delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	-0.0500817936442619	0	0.116244488955763
Skcos10	0.403171416580656	0.663996581500024	0.0744725386445902
Skcos100	2.15975787826904	1	0
Skcos1000	-0.0651042862679183	0.0139723103121711	0.11330973020867
Skcos10000	0.033533951314603	0.0018648335501259	4.06048511900072e-05
Skcos10001	0.664411965057172	0.991174708015856	3.16963935456646e-07
Skcos10002	-0.584837079367636	0	0.999967869607333
Skcos10003	0.0384682969684446	0.0361281058587909	0
Skcos10004	0.889700029951864	0.9878832832273	7.21630399132996e-05
Skcos10005	0.894607696680647	0.997684946544567	5.32664016967335e-07
Skcos10006	nan	nan	nan
Skcos10007	0.0540371533668232	0.167483172929129	0
Skcos10008	0.470321470356205	0.724002339812965	0.0529724572571062
Skcos10009	1.43378798311591	1	0
Skcos1001	0.845838307873787	0.974614213922661	0.000527611754555848
Skcos10010	nan	nan	nan
Skcos10011	1.22361209034928	0.998393445090955	3.76722809765273e-06
Skcos10012	0.356484992608961	0.61485438594396	0.096056561469536
Skcos10013	1.85440404527722	1	0
Skcos10014	0.443373791919949	0.691376886775842	0.06665559936341
Skcos10015	nan	nan	nan
Skcos10016	0.570954825159408	0.815229155430603	0.0212586051770422
Skcos10017	-0.449220647415905	0.0670361279414569	0.696042024958374
Skcos10018	1.14709306688105	0.998516457127788	3.04567330769466e-06
Skcos10019	0.941427573223368	0.998650858839392	2.62756956660171e-07
Skcos1002	-0.27860626715101	0.00015756700221223	0.656221492841807
Skcos10020	-0.0243908499714683	0	0
Skcos10021	nan	nan	nan
Skcos10022	0.657020766826716	0.91147122349952	0.00247031106712628
Skcos10023	0.261994000746331	0.533462590491809	0.136099868283474
Skcos10024	0.592781872594397	0.805992640530471	0.0303774906226899
Skcos10025	1.34938666933636	1	0
Skcos10026	0.911762485826394	0.999909091641489	0
Skcos10027	-0.354205136757738	0	0.964866303540528
Skcos10028	nan	nan	nan
Skcos10029	0.417731845523691	0.713873939530355	0.0288460360801191
Skcos1003	nan	nan	nan
Skcos10030	0.261994000746331	0.533462590491809	0.136099868283474
Skcos10031	0.0540371533668232	0.167483172929129	0
Skcos10032	-0.246642796783555	0.148010393146309	0.52039908804579
Skcos10033	0.261994000746331	0.533462590491809	0.136099868283474
Skcos10034	nan	nan	nan
Skcos10035	0.443373791919949	0.691376886775842	0.06665559936341
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	1.05306187843027	0.994189527802168	6.7546846937921e-05
Skcos10039	0.760810461524038	0.905393394323012	0.00898006318398229
Skcos1004	0.385508802159023	0.694149114318773	0.0227722102808951
Skcos10040	0.158908812729824	0.441931234459265	0.165858161635954
Skcos10041	0.26077866130527	0.618610285466619	6.39588697481436e-05
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	0.522351608846843	0.758153802505219	0.04627166916731
Skcos10045	0.286707631630927	0.562093737364317	0.114671134994539
Skcos10046	0.933447647212712	0.98288420020116	0.000188925998935318
Skcos10047	0.778640013509743	0.933225326268467	0.00280087196070719
Skcos10048	0.598950132376697	0.971289816957674	1.16202259896547e-05
Skcos10049	0.969710851951803	0.999563586439367	0
Skcos1005	0.760810461524038	0.905393394323012	0.00898006318398229
Skcos10050	0.470321470356205	0.724002339812965	0.0529724572571062
Skcos10051	-0.0584159275238314	0.0218234435014796	0.209641179780112
Skcos10052	0.0540371533668232	0.167483172929129	0
Skcos10053	nan	nan	nan
Skcos10054	nan	nan	nan
Skcos10055	0.261994000746331	0.533462590491809	0.136099868283474
Skcos10056	0.0540371533668232	0.167483172929129	0
Skcos10057	nan	nan	nan
Skcos10058	0.710541799867752	0.871239872551632	0.0122126887451187
Skcos10059	nan	nan	nan
Skcos1006	-0.266315049098287	0	0.817172032585687
Skcos10060	1.06684393664745	0.989303390583942	0.000275383587110128
Skcos10061	-0.030572374968291	0.0322261750099648	0.0789961664930291
Skcos10062	-0.0584159275238314	0.0218234435014796	0.209641179780112
Skcos10063	0.158908812729824	0.441931234459265	0.165858161635954
Skcos10064	nan	nan	nan
Skcos10065	nan	nan	nan
Skcos10066	-0.0712617295471306	0.070154731974996	0.266294460174056
Skcos10067	0.158908812729824	0.441931234459265	0.165858161635954
Skcos10068	0.684458053122779	0.87227997735733	0.0107818298449176
Skcos10069	0.684458053122779	0.87227997735733	0.0107818298449176
Skcos1007	0.403171416580656	0.663996581500024	0.0744725386445902
Skcos10070	1.0452396888575	0.991125702966004	0.000176551964782986
Skcos10071	0.522351608846843	0.758153802505219	0.04627166916731
Skcos10072	0.801140693197728	0.982197598496179	3.7144517564145e-05
Skcos10073	nan	nan	nan
Skcos10074	0.341366164518864	0.695416332766902	0.00777764570599802
Skcos10075	-0.606634056525306	0.013453690536879	0.853974236668338
Skcos10076	0.0540371533668232	0.167483172929129	0
Skcos10077	0.383245748144212	0.687841964984441	0.027485572895349
Skcos10078	0.807162517540383	0.920704519335432	0.00530081429368986
Skcos10079	0.522018149186643	0.772949786860182	0.0296966020175589
Skcos1008	0.849693432503005	0.943790787142802	0.00245820554714417
Skcos10080	0.778640013509743	0.933225326268467	0.00280087196070719
Skcos10081	nan	nan	nan
Skcos10082	-0.0487650681837472	0	0.147907740909958
Skcos10083	nan	nan	nan
Skcos10084	1.08209139999377	0.9969762433638	1.53840918465945e-05
Skcos10085	-0.0487650681837472	0	0.147907740909958
Skcos10086	0.662857278657862	0.986715712014002	2.39058865885981e-06
Skcos10087	0.243305036976463	0.522622906646422	0.0949731454418579
Skcos10088	0.219555785671761	0.48903441603481	0.0593831452052913
Skcos10089	0.600185223152569	0.839824020133199	0.011330609183692
Skcos1009	0.317629207288396	0.593089136219226	0.0759597088514157
Skcos10090	nan	nan	nan
Skcos10091	0.0540371533668232	0.167483172929129	0
Skcos10092	0.261994000746331	0.533462590491809	0.136099868283474
Skcos10093	0.820424342646073	0.989058305318718	2.30951707711205e-05
Skcos10094	nan	nan	nan
Skcos10095	-0.14190451006117	0.180448901693374	0.421859048116639
Skcos10096	0.920611228026826	0.970001881500392	0.000876713246512318
Skcos10097	nan	nan	nan
Skcos10098	nan	nan	nan
Skcos10099	1.25540650022046	0.999347332079392	1.34625329263734e-06
Skcos101	0.522351608846843	0.758153802505219	0.04627166916731
Skcos1010	nan	nan	nan
Skcos10100	0.261994000746331	0.533462590491809	0.136099868283474
Skcos10101	0.594268003554137	0.993136347022033	0
Skcos10102	0.261994000746331	0.533462590491809	0.136099868283474
Skcos10103	0.772542685757906	0.966300981581513	0.00030098116611929
Skcos10104	0.144221740564424	0.420387820716402	0.156818665871428
Skcos10105	0.839081376919968	0.991484602248047	2.74543347079673e-05
Skcos10106	0.433136966738281	0.820535232017287	0.00140382900006514
Skcos10107	0.522351608846843	0.758153802505219	0.04627166916731
Skcos10108	1.45400198773011	1	0
Skcos10109	0.162671419446051	0.432713298865624	0.126930331244314
Skcos1011	0.463865291238205	0.923007504691427	2.18271257863053e-05
Skcos10110	0.192208733882695	0.467238240826014	0.121407182904389
Skcos10111	0.447453780379626	0.777928406647071	0.0109977387952441
Skcos10112	0.204151401722397	0.472239237588413	0.0515377434798641
Skcos10113	0.20185754989773	0.473119251369621	0.135611205367141
Skcos10114	nan	nan	nan
Skcos10115	nan	nan	nan
Skcos10116	0.925328020085029	0.985682864757093	0.000115303371996636
Skcos10117	0.658928178901249	0.894572136130403	0.00483055314952547
Skcos10118	0.0540371533668232	0.167483172929129	0
Skcos10119	nan	nan	nan
Skcos1012	0.368989238775183	0.745726980056532	0.00279290056858684
