delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	-0.0500817936442619	0	0
Skcos10	0.403171416580656	0.250059394858937	0.00536516396141564
Skcos100	2.15975787826904	1	0
Skcos1000	-0.0651042862679183	0	6.0246225165318e-07
Skcos10000	0.033533951314603	0	0
Skcos10001	0.664411965057172	0.44126886441153	0
Skcos10002	-0.584837079367636	0	0.114382449331495
Skcos10003	0.0384682969684446	0	0
Skcos10004	0.889700029951864	0.727776884150585	1.6034331533957e-08
Skcos10005	0.894607696680647	0.795103745572376	0
Skcos10006	nan	nan	nan
Skcos10007	0.0540371533668232	0	0
Skcos10008	0.470321470356205	0.301678551037421	0.00302670357106917
Skcos10009	1.43378798311591	0.999898025070978	0
Skcos1001	0.845838307873787	0.659381565538584	5.2211284629892e-07
Skcos10010	nan	nan	nan
Skcos10011	1.22361209034928	0.928602348513455	2.58905812343927e-09
Skcos10012	0.356484992608961	0.224901431487778	0.00922279729387569
Skcos10013	1.85440404527722	0.999964860473542	0
Skcos10014	0.443373791919949	0.292930068297463	0.00539853209891821
Skcos10015	nan	nan	nan
Skcos10016	0.570954825159408	0.387443597404863	0.000601012906192081
Skcos10017	-0.449220647415905	0.00566339877651897	0.301044749825927
Skcos10018	1.14709306688105	0.929249681049419	5.1918709737765e-10
Skcos10019	0.941427573223368	0.836546874014126	0
Skcos1002	-0.27860626715101	0	0.0015531817874975
Skcos10020	-0.0243908499714683	0	0
Skcos10021	nan	nan	nan
Skcos10022	0.657020766826716	0.431216752631838	8.95710533811611e-06
Skcos10023	0.261994000746331	0.169102510348189	0.0137904197017923
Skcos10024	0.592781872594397	0.418835314000566	0.00156897602379278
Skcos10025	1.34938666933636	0.998993891737798	0
Skcos10026	0.911762485826394	0.870080235858468	0
Skcos10027	-0.354205136757738	0	1.33892084957408e-06
Skcos10028	nan	nan	nan
Skcos10029	0.417731845523691	0.211833590321702	0.000477443321916702
Skcos1003	nan	nan	nan
Skcos10030	0.261994000746331	0.169102510348189	0.0137904197017923
Skcos10031	0.0540371533668232	0	0
Skcos10032	-0.246642796783555	0.0172174915796903	0.159378167949306
Skcos10033	0.261994000746331	0.169102510348189	0.0137904197017923
Skcos10034	nan	nan	nan
Skcos10035	0.443373791919949	0.292930068297463	0.00539853209891821
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	1.05306187843027	0.866091692929753	5.987455997327e-08
Skcos10039	0.760810461524038	0.573862672697465	0.00021994457762083
Skcos1004	0.385508802159023	0.156576200803431	0.000227878271807236
Skcos10040	0.158908812729824	0.074101485986067	0
Skcos10041	0.26077866130527	0.000483825209714535	0
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	0.522351608846843	0.349852021845291	0.00275956557018466
Skcos10045	0.286707631630927	0.172993155390989	0.00972140792686796
Skcos10046	0.933447647212712	0.76405383039396	2.67461242399118e-07
Skcos10047	0.778640013509743	0.601299193372013	2.52635414981885e-05
Skcos10048	0.598950132376697	0.309974477380997	0
Skcos10049	0.969710851951803	0.882264524262792	0
Skcos1005	0.760810461524038	0.573862672697465	0.00021994457762083
Skcos10050	0.470321470356205	0.301678551037421	0.00302670357106917
Skcos10051	-0.0584159275238314	0	0
Skcos10052	0.0540371533668232	0	0
Skcos10053	nan	nan	nan
Skcos10054	nan	nan	nan
Skcos10055	0.261994000746331	0.169102510348189	0.0137904197017923
Skcos10056	0.0540371533668232	0	0
Skcos10057	nan	nan	nan
Skcos10058	0.710541799867752	0.510805932375987	0.000369678446342965
Skcos10059	nan	nan	nan
Skcos1006	-0.266315049098287	0	0
Skcos10060	1.06684393664745	0.848807189250256	9.29002316973017e-07
Skcos10061	-0.030572374968291	0	2.62070830414042e-07
Skcos10062	-0.0584159275238314	0	0
Skcos10063	0.158908812729824	0.074101485986067	0
Skcos10064	nan	nan	nan
Skcos10065	nan	nan	nan
Skcos10066	-0.0712617295471306	0	0
Skcos10067	0.158908812729824	0.074101485986067	0
Skcos10068	0.684458053122779	0.497657456439505	0.000263182863444424
Skcos10069	0.684458053122779	0.497657456439505	0.000263182863444424
Skcos1007	0.403171416580656	0.250059394858937	0.00536516396141564
