delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	-0.0362886408797563	0	0
Skcos10	0.496431273234169	0.737661733391762	0.0434188687603683
Skcos100	2.07441905482655	1	0
Skcos1000	-0.00567529661342064	0.0355298684630578	0.0435910478095968
Skcos10000	-0.0325963754877033	1.56085578282327e-05	0.00091252106011844
Skcos10001	1.01449903902208	0.999984446793765	0
Skcos10002	-0.37344394799294	0	0.951853686837142
Skcos10003	0.362324011283871	0.637028591184438	0.0678825122317052
Skcos10004	0.944219729703865	0.993803245327032	1.27621773384537e-05
Skcos10005	1.22439608233939	0.999984451967853	0
Skcos10006	-0.104364639873958	0.146948037964186	0.358691340069326
Skcos10007	0.0752786817646278	0.281795761268199	0.0822173100890002
Skcos10008	0.182132586468819	0.459481694487361	0.135954308598272
Skcos10009	1.57389684665484	1	0
Skcos1001	0.80917563435115	0.968424187638506	0.000430308852209502
Skcos10010	-0.104364639873958	0.146948037964186	0.358691340069326
Skcos10011	1.22078671050647	0.999063608280646	1.2188140983577e-06
Skcos10012	0.34267383463078	0.609689002191559	0.0884845184925146
Skcos10013	1.77394631081217	1	0
Skcos10014	0.324166102497659	0.592622856603385	0.0903815406270822
Skcos10015	nan	nan	nan
Skcos10016	0.488778037535589	0.774714813899059	0.0261276523770814
Skcos10017	-0.104364639873958	0.146948037964186	0.358691340069326
Skcos10018	0.904667240786556	0.992749207464726	1.9439123226837e-05
Skcos10019	1.22439608233939	0.999984451967853	0
Skcos1002	-0.393049455900128	7.76262973310497e-07	0.905096702791104
Skcos10020	-0.061049106342954	0.0244317208736773	0.196179993240993
Skcos10021	nan	nan	nan
Skcos10022	0.780385030605307	0.962235768147863	0.00046212748588026
Skcos10023	0.159959956602002	0.440644716495787	0.158883520707055
Skcos10024	0.563433047895378	0.804858767281782	0.028290410854935
Skcos10025	0.913884117377831	0.9999720254958	0
Skcos10026	0.694179027038176	0.997658266129758	0
Skcos10027	-0.202254718631059	0	0.381434796913413
Skcos10028	nan	nan	nan
Skcos10029	0.407805523641831	0.719360772607803	0.0243745755795658
Skcos1003	nan	nan	nan
Skcos10030	0.257507985660264	0.537127394557624	0.128980017943169
Skcos10031	0.0752786817646278	0.281795761268199	0.0822173100890002
Skcos10032	nan	nan	nan
Skcos10033	0.257507985660264	0.537127394557624	0.128980017943169
Skcos10034	nan	nan	nan
Skcos10035	0.422619385957565	0.687644499115644	0.0622584675668808
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	1.06345001104457	0.996405950428406	2.46436902013735e-05
Skcos10039	0.529013177577095	0.786365011379427	0.0212016857148779
Skcos1004	0.46480398594631	0.784758926897995	0.00927387236168815
Skcos10040	0.0710886217344764	0.263856477745747	0.0660865817609529
Skcos10041	-0.0582870832587884	0.00607991366851968	0.0724335528757501
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	0.395451800430491	0.663657446101917	0.0640582894355745
Skcos10045	0.297960313085165	0.572430085369665	0.0952813658957508
Skcos10046	0.557872412573003	0.877187189997651	0.0033443524678711
Skcos10047	0.620952584151564	0.887160549263579	0.00618080444958983
Skcos10048	0.874776590751309	0.999480485306435	0
Skcos10049	0.56510683530898	0.962894912101745	1.84553155891679e-05
Skcos1005	0.625519648241708	0.860305904457375	0.0141004466245033
Skcos10050	0.362324011283871	0.637028591184438	0.0678825122317052
Skcos10051	0.167343435655799	0.444941503058403	0.158389281068921
Skcos10052	0.0752786817646278	0.281795761268199	0.0822173100890002
Skcos10053	nan	nan	nan
Skcos10054	nan	nan	nan
Skcos10055	0.257507985660264	0.537127394557624	0.128980017943169
Skcos10056	0.0752786817646278	0.281795761268199	0.0822173100890002
Skcos10057	nan	nan	nan
Skcos10058	0.477117952746799	0.741289446369876	0.0314616822711641
Skcos10059	nan	nan	nan
Skcos1006	-0.185264076865662	0	0.210672979937815
Skcos10060	0.856733874366622	0.971430641063317	0.000763558904471243
Skcos10061	-0.25899941690034	4.28282880962385e-05	0.618531435364192
Skcos10062	0.167343435655799	0.444941503058403	0.158389281068921
Skcos10063	0.0710886217344764	0.263856477745747	0.0660865817609529
Skcos10064	nan	nan	nan
Skcos10065	nan	nan	nan
Skcos10066	0.257507985660264	0.537127394557624	0.128980017943169
Skcos10067	0.0710886217344764	0.263856477745747	0.0660865817609529
