delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	-0.0362886408797563	0	0
Skcos10	0.496431273234169	0.310930615261055	0.00221641651029136
Skcos100	2.07441905482655	1	0
Skcos1000	-0.00567529661342064	0	0
Skcos10000	-0.0325963754877033	0	0
Skcos10001	1.01449903902208	0.950106590772362	0
Skcos10002	-0.37344394799294	0	0.000242769232957791
Skcos10003	0.362324011283871	0.204137930167303	0.0037079282748778
Skcos10004	0.944219729703865	0.797411428563365	1.49727493846708e-09
Skcos10005	1.22439608233939	0.983842879029852	0
Skcos10006	-0.104364639873958	0	0
Skcos10007	0.0752786817646278	0	0
Skcos10008	0.182132586468819	0.0792197699814568	0.00126061829357373
Skcos10009	1.57389684665484	0.999998080546906	0
Skcos1001	0.80917563435115	0.659759869481671	3.70670209604859e-07
Skcos10010	-0.104364639873958	0	0
Skcos10011	1.22078671050647	0.938887507130355	4.41730452056527e-10
Skcos10012	0.34267383463078	0.203054963022806	0.00690348945950383
Skcos10013	1.77394631081217	0.999972493990129	0
Skcos10014	0.324166102497659	0.183163798322328	0.00721491572581966
Skcos10015	nan	nan	nan
Skcos10016	0.488778037535589	0.291102715197975	0.000554938960034899
Skcos10017	-0.104364639873958	0	0
Skcos10018	0.904667240786556	0.743147418507139	3.41056150492617e-09
Skcos10019	1.22439608233939	0.983842879029852	0
Skcos1002	-0.393049455900128	0	0.0108991444190836
Skcos10020	-0.061049106342954	0	0
Skcos10021	nan	nan	nan
Skcos10022	0.780385030605307	0.606906130995217	6.00693077783503e-07
Skcos10023	0.159959956602002	0.0729112022142832	0
Skcos10024	0.563433047895378	0.376815374865171	0.0010153284050468
Skcos10025	0.913884117377831	0.889716863390174	0
Skcos10026	0.694179027038176	0.500445729649888	0
Skcos10027	-0.202254718631059	0	0
Skcos10028	nan	nan	nan
Skcos10029	0.407805523641831	0.180422524069549	0.000306952673670988
Skcos1003	nan	nan	nan
Skcos10030	0.257507985660264	0.151147713513962	0.0106519310927355
Skcos10031	0.0752786817646278	0	0
Skcos10032	nan	nan	nan
Skcos10033	0.257507985660264	0.151147713513962	0.0106519310927355
Skcos10034	nan	nan	nan
Skcos10035	0.422619385957565	0.257492807468402	0.00369950330941066
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	1.06345001104457	0.880422311160419	9.97764585813905e-09
Skcos10039	0.529013177577095	0.333638531789878	0.000543706969273571
Skcos1004	0.46480398594631	0.226092818215768	4.36403809476067e-05
Skcos10040	0.0710886217344764	0	0
Skcos10041	-0.0582870832587884	0	0
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	0.395451800430491	0.236501801821099	0.0038277275322119
Skcos10045	0.297960313085165	0.165303581178971	0.00659387649266927
Skcos10046	0.557872412573003	0.323868909607861	6.3698113643908e-06
Skcos10047	0.620952584151564	0.404659780445966	3.44732576343024e-05
Skcos10048	0.874776590751309	0.807176778824961	0
Skcos10049	0.56510683530898	0.258785739502016	0
Skcos1005	0.625519648241708	0.429237329348097	0.000261772860986312
Skcos10050	0.362324011283871	0.204137930167303	0.0037079282748778
Skcos10051	0.167343435655799	0.0854640370415204	0
Skcos10052	0.0752786817646278	0	0
Skcos10053	nan	nan	nan
Skcos10054	nan	nan	nan
Skcos10055	0.257507985660264	0.151147713513962	0.0106519310927355
Skcos10056	0.0752786817646278	0	0
Skcos10057	nan	nan	nan
Skcos10058	0.477117952746799	0.289582752757869	0.0010584450346053
Skcos10059	nan	nan	nan
Skcos1006	-0.185264076865662	0	0
Skcos10060	0.856733874366622	0.657938281208176	2.44080519273902e-06
Skcos10061	-0.25899941690034	0	0.000201096808534868
Skcos10062	0.167343435655799	0.0854640370415204	0
Skcos10063	0.0710886217344764	0	0
Skcos10064	nan	nan	nan
Skcos10065	nan	nan	nan
Skcos10066	0.257507985660264	0.151147713513962	0.0106519310927355
Skcos10067	0.0710886217344764	0	0
Skcos10068	0.577864525256974	0.369657241445254	0.000251432349891161
Skcos10069	0.673421684366235	0.48761207935228	0.000143087884304348
Skcos1007	0.203468853693403	0.102640110072246	0.00515279077156214
Skcos10070	0.792606915363361	0.606583022333306	9.53777726679838e-07
Skcos10071	0.203468853693403	0.102640110072246	0.00515279077156214
Skcos10072	0.784246469069783	0.624050099100633	7.87935705643616e-10
Skcos10073	nan	nan	nan
Skcos10074	0.689554712458343	0.483349684111233	0
Skcos10075	-0.373425913026725	0.00180409472655501	0.193360666186523
Skcos10076	0.0752786817646278	0	0
Skcos10077	0.654248577857185	0.430654267448063	1.28459743345695e-05
Skcos10078	0.775980878796945	0.565893597413211	7.21232266062396e-05
Skcos10079	0.625519648241708	0.429237329348097	0.000261772860986312
Skcos1008	0.581980989862454	0.380232121219702	8.27480455007408e-05
Skcos10080	0.344527269353212	0.134938106880491	0.000464807951513868
Skcos10081	-0.104364639873958	0	0
Skcos10082	0.0752786817646278	0	0
Skcos10083	nan	nan	nan
Skcos10084	0.516053186634178	0.254491782802142	1.83861422993524e-06
Skcos10085	0.0752786817646278	0	0
Skcos10086	0.5028749143495	0.147917991706581	0
Skcos10087	0.453168754532773	0.255302955770605	0.000571927559859802
Skcos10088	0.419456016018311	0.176916670189529	4.51384415652012e-05
Skcos10089	0.709184391291939	0.516573705721305	3.40331800766891e-05
Skcos1009	0.0659313621772476	0	0
Skcos10090	nan	nan	nan
Skcos10091	0.0752786817646278	0	0
Skcos10092	0.257507985660264	0.151147713513962	0.0106519310927355
Skcos10093	1.00838540373693	0.882485036759102	0
Skcos10094	nan	nan	nan
Skcos10095	nan	nan	nan
Skcos10096	0.822296203032548	0.651330132182838	4.26077867426844e-06
Skcos10097	nan	nan	nan
Skcos10098	nan	nan	nan
Skcos10099	1.12087785442325	0.911785810037858	9.48043833390457e-11
Skcos101	0.496431273234169	0.310930615261055	0.00221641651029136
Skcos1010	nan	nan	nan
Skcos10100	0.159959956602002	0.0729112022142832	0
Skcos10101	0.557616527116888	0.171331745373953	0
Skcos10102	0.257507985660264	0.151147713513962	0.0106519310927355
Skcos10103	0.613070447665181	0.37404554339257	4.09225232647446e-07
Skcos10104	0.0628566926677337	0	0
Skcos10105	0.570603301504718	0.293502172073769	0
Skcos10106	1.17628803535176	0.969497216274457	0
Skcos10107	0.395451800430491	0.236501801821099	0.0038277275322119
Skcos10108	1.74674628654212	0.999999961679457	0
Skcos10109	0.375851962273223	0.177528997450704	0.00091960165905669
Skcos1011	0.733497078753256	0.580471258786636	0
Skcos10110	0.057189093814095	0	0
Skcos10111	0.908262827159119	0.726543691057113	8.30237661804545e-08
Skcos10112	0.538144824846961	0.281845893164834	1.73187789994076e-06
Skcos10113	-0.103409056468892	0	0
Skcos10114	-0.372752750176606	0.00603722774012493	0.230086489857939
Skcos10115	nan	nan	nan
Skcos10116	0.642120110475657	0.417911010848359	7.31654306747579e-07
Skcos10117	0.619555902522711	0.399105620442165	1.80353266500337e-05
Skcos10118	-0.0161721117018459	0	0
Skcos10119	nan	nan	nan
Skcos1012	0.590252057884722	0.310083347011643	0
Skcos10120	0.257507985660264	0.151147713513962	0.0106519310927355
Skcos10121	2.06315926038797	1	0
Skcos10122	1.12227666593148	0.887467430359957	1.08122112110537e-08
Skcos10123	1.05598733877721	0.89488628294491	7.40692284476256e-10
Skcos10124	0.324166102497659	0.183163798322328	0.00721491572581966
Skcos10125	0.477117952746799	0.289582752757869	0.0010584450346053
Skcos10126	0.34267383463078	0.203054963022806	0.00690348945950383
Skcos10127	-0.797626824547579	8.01124831211036e-08	0.64703365612021
Skcos10128	0.823223498554282	0.666763311192354	7.76256308295124e-08
Skcos10129	0.129150999904799	0.00820547652627662	0
Skcos1013	0.490517060561876	0.243677545846237	5.08806206063803e-05
Skcos10130	-0.22711734672922	0.000113032993511516	0.0321898833476404
Skcos10131	0.257507985660264	0.151147713513962	0.0106519310927355
Skcos10132	1.11381064541824	0.894129967970723	3.17365508298254e-09
Skcos10133	1.39384585690551	0.986912699235613	2.51232019900561e-12
Skcos10134	1.77229112026085	1	0
Skcos10135	0.0803158159476877	0	0
Skcos10136	-0.0190066213106176	0	0
Skcos10137	0.519703497040877	0.329953174182532	0.00101326511689062
Skcos10138	0.465754140234406	0.0261645613776735	0
Skcos10139	nan	nan	nan
Skcos1014	0.496431273234169	0.310930615261055	0.00221641651029136
Skcos10140	0.257507985660264	0.151147713513962	0.0106519310927355
Skcos10141	nan	nan	nan
Skcos10142	0.167343435655799	0.0854640370415204	0
Skcos10143	nan	nan	nan
Skcos10144	nan	nan	nan
Skcos10145	nan	nan	nan
Skcos10146	0.0752786817646278	0	0
Skcos10147	0.0710886217344764	0	0
Skcos10148	0.852462106063903	0.664847201476859	3.62004187298718e-07
Skcos10149	0.477117952746799	0.289582752757869	0.0010584450346053
Skcos1015	0.34267383463078	0.203054963022806	0.00690348945950383
Skcos10150	0.0710886217344764	0	0
Skcos10151	-0.0161721117018459	0	0
Skcos10152	0.0710886217344764	0	0
Skcos10153	0.563433047895378	0.376815374865171	0.0010153284050468
Skcos10154	0.54944649453315	0.314240435297809	5.04662791104545e-05
Skcos10155	0.951905114972445	0.963380531134802	0
Skcos10156	0.34267383463078	0.203054963022806	0.00690348945950383
Skcos10157	0.897898342972556	0.735581522807254	1.42323510565479e-08
Skcos10158	0.55267383194179	0.337163264841164	2.52150835492529e-05
Skcos10159	0.0710886217344764	0	0
Skcos1016	0.719659350068339	0.509767538260974	3.37144868673475e-06
Skcos10160	0.201124985830067	0	0
Skcos10161	nan	nan	nan
Skcos10162	0.245813907316318	0.142316317434528	0.00989587270610643
Skcos10163	0.416432891867654	0.107574650691572	1.12481381837416e-07
Skcos10164	0.405597972228224	0.212764829748299	0.00100851099739181
Skcos10165	nan	nan	nan
Skcos10166	0.344144593541935	0.0819661208974519	2.19248802854119e-05
Skcos10167	nan	nan	nan
Skcos10168	nan	nan	nan
Skcos10169	0.0752786817646278	0	0
Skcos1017	0.570693663822722	0.0139847141388718	0
Skcos10170	nan	nan	nan
Skcos10171	0.71859381390179	0.521186094936806	6.09707831754524e-05
