delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	0.0482620061769054	0.110005462616341	0
Skcos10	0.0921312759339361	0.31002453423513	0.0995657954288694
Skcos100	0.380528090332062	0.965377074263039	0
Skcos1000	-1.03394518905626	0	1
Skcos10000	-0.196896127353042	0	0.325469509760133
Skcos10001	-0.46061387371789	0	0.972762174443795
Skcos10002	-0.329846393322795	0	0.886663934198899
Skcos10003	-0.121481976704976	0.0989876462056703	0.355089401992462
Skcos10004	0.104369998079066	0.282109392501333	0.0532874165339619
Skcos10005	0.387377620071618	0.818648782070296	0.000406219496208344
Skcos10006	-0.108381289607276	0.119693968364076	0.345677392018814
Skcos10007	-0.00103581851420695	0	0
Skcos10008	-0.157085421656271	0.0825638492086574	0.405486223330419
Skcos10009	-0.184248189641689	0.000173756156928966	0.362524436956218
Skcos1001	0.640379008686945	0.945334769523468	0.000446585787360241
Skcos10010	-0.0545382480626796	0	0.16956993936742
Skcos10011	0.142326741439011	0.363411631758167	0.0506833758366545
Skcos10012	0.100838844121741	0.334191663032496	0.111640437879791
Skcos10013	0.803550986869589	0.998566265811283	0
Skcos10014	-0.0909954396614028	0.0996067786848968	0.301669279423461
Skcos10015	nan	nan	nan
Skcos10016	-0.226730452307397	0.0353204338260412	0.502093601774978
Skcos10017	-0.0545382480626796	0	0.16956993936742
Skcos10018	-0.278295866488507	0.00432884146892995	0.619357454060354
Skcos10019	-0.184100971480205	0.00510226526749388	0.401053852631641
Skcos1002	-0.506494787703778	0	0.991420764824498
Skcos10020	-0.00512184795509404	0	0
Skcos10021	nan	nan	nan
Skcos10022	0.195456992116565	0.453108427219951	0.0396136341913824
Skcos10023	0.105033227690193	0.342630215761834	0.114352859265325
Skcos10024	-0.0848002696606015	0.0866630873299301	0.285810260038812
Skcos10025	-0.420244014470859	0	0.952277597987185
Skcos10026	-1.90876091885038	0	1
Skcos10027	0.185078530686375	0.307621672686043	0
Skcos10028	nan	nan	nan
Skcos10029	-0.458470092948891	0.000966094928554969	0.871549180440383
Skcos1003	-0.16223819395041	0.113679709372513	0.425840519803171
Skcos10030	0.050213786896201	0.141593887705289	0
Skcos10031	-0.0538984807796471	0	0.164399303311304
Skcos10032	nan	nan	nan
Skcos10033	0.105033227690193	0.342630215761834	0.114352859265325
Skcos10034	nan	nan	nan
Skcos10035	0.151812303003651	0.409661515227634	0.111881727798661
Skcos10036	nan	nan	nan
