delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	0.0482620061769054	0	0
Skcos10	0.0921312759339361	0	0
Skcos100	0.380528090332062	0.000171761744577852	0
Skcos1000	-1.03394518905626	0	0.999806358657481
Skcos10000	-0.196896127353042	0	0
Skcos10001	-0.46061387371789	0	0.03254934004975
Skcos10002	-0.329846393322795	0	2.79310917954173e-05
Skcos10003	-0.121481976704976	0	0.00955766529331754
Skcos10004	0.104369998079066	0	0
Skcos10005	0.387377620071618	0.0502952761982488	0
Skcos10006	-0.108381289607276	0	0
Skcos10007	-0.00103581851420695	0	0
Skcos10008	-0.157085421656271	0	0.0243501705608408
Skcos10009	-0.184248189641689	0	4.47586547054587e-06
Skcos1001	0.640379008686945	0.411732804346322	1.19868640979623e-07
Skcos10010	-0.0545382480626796	0	0
Skcos10011	0.142326741439011	0.00597684828143177	0
Skcos10012	0.100838844121741	0	0
Skcos10013	0.803550986869589	0.712934528501229	0
Skcos10014	-0.0909954396614028	0	0
Skcos10015	nan	nan	nan
Skcos10016	-0.226730452307397	0.000123985081344533	0.0320375216780461
Skcos10017	-0.0545382480626796	0	0
Skcos10018	-0.278295866488507	0	0.01616692428368
Skcos10019	-0.184100971480205	0	0.000722894586285681
Skcos1002	-0.506494787703778	0	0.0609165068266112
Skcos10020	-0.00512184795509404	0	0
Skcos10021	nan	nan	nan
Skcos10022	0.195456992116565	0.0199064539578253	8.32135665354112e-05
Skcos10023	0.105033227690193	0	0
Skcos10024	-0.0848002696606015	0	0
Skcos10025	-0.420244014470859	0	0.0109772026721207
Skcos10026	-1.90876091885038	0	1
Skcos10027	0.185078530686375	0	0
Skcos10028	nan	nan	nan
Skcos10029	-0.458470092948891	6.1504159287321e-08	0.143700305274958
Skcos1003	-0.16223819395041	0	0.0456707606745892
Skcos10030	0.050213786896201	0	0
Skcos10031	-0.0538984807796471	0	0
Skcos10032	nan	nan	nan
Skcos10033	0.105033227690193	0	0
Skcos10034	nan	nan	nan
Skcos10035	0.151812303003651	0.0357263904832291	0
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	-0.118965534019261	0	0.00167408097031697
Skcos10039	-0.0770606074920623	0	0
Skcos1004	-0.0330900409856751	0	0
Skcos10040	-0.47250184424885	3.16459839870379e-05	0.226971175782628
Skcos10041	0.107990690326866	0	0
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	0.14497933311849	0.0307186529396816	0
Skcos10045	0.14497933311849	0.0307186529396816	0
Skcos10046	0.0724429672354209	0	0
Skcos10047	-0.669945136504987	0	0.463166541576295
Skcos10048	0.259042247196412	0.00362476066526115	0
Skcos10049	-0.596794944182248	0	0.24188036725807
Skcos1005	0.035583768819572	0	0
Skcos10050	-0.00290469773485873	0	0
Skcos10051	-0.00120264529596988	0	0
Skcos10052	0.0525575618135107	0	0
Skcos10053	-0.0545382480626796	0	0
Skcos10054	nan	nan	nan
Skcos10055	-0.184241175669656	0.00100882820302007	0.0448341994367606
Skcos10056	-0.00103581851420695	0	0
Skcos10057	-0.108381289607276	0	0
Skcos10058	-0.241627969113181	0.000172075264030087	0.0390318830790088
Skcos10059	nan	nan	nan
Skcos1006	0.0539437712936564	0	0
Skcos10060	0.2682762528598	0.0530143844074873	0.00011336156573994
Skcos10061	-0.295603604260509	0	0.000360364326286694
Skcos10062	-0.00120264529596988	0	0
Skcos10063	0.106441153932695	0	0
Skcos10064	nan	nan	nan
Skcos10065	nan	nan	nan
Skcos10066	0.105033227690193	0	0
Skcos10067	-0.193114442732099	0.00146709163344061	0.0536936518233892
Skcos10068	0.253199132203048	0.0640634725745618	0.000623765402275446
Skcos10069	0.0732891652122779	0	0
Skcos1007	0.0437545247766421	0	0
Skcos10070	0.278129589274587	0.0507863918493353	5.37864733963304e-05
Skcos10071	-0.234478377721894	0.000402373441564788	0.0496119122945959
Skcos10072	-0.550720448687835	0	0.198267127054747
Skcos10073	nan	nan	nan
Skcos10074	-0.268367556723922	0	0.0084479003190568
Skcos10075	-0.608054056100681	8.49954209856129e-07	0.36849074139144
Skcos10076	-0.295570043245408	0.000819923337259362	0.105651940794598
Skcos10077	-0.312800996253337	1.9491268290279e-06	0.0361077286830069
Skcos10078	0.408390883587841	0.166875268093103	0.000147330507052502
Skcos10079	-0.0418277442224451	0	0
Skcos1008	-0.122946719055957	0	0.0053056586182858
Skcos10080	0.0947200658887942	0	0
Skcos10081	nan	nan	nan
Skcos10082	-0.0538984807796471	0	0
Skcos10083	nan	nan	nan
Skcos10084	-0.127009812417241	0	0.00180107368471762
Skcos10085	0.0525575618135107	0	0
Skcos10086	1.13279024418489	0.986756169273145	0
Skcos10087	-0.133637045973663	0	0.0106553626790794
Skcos10088	-0.228590836193108	5.73465411206673e-06	0.0136639654141676
Skcos10089	-0.00490493573176092	0	0
Skcos1009	-0.173409500717035	0.000162597475372464	0.0219688328020536
Skcos10090	-0.26694356926103	0.00161064431729564	0.0976039505410226
Skcos10091	-0.00103581851420695	0	0
Skcos10092	0.105033227690193	0	0
Skcos10093	-0.348316310569115	0	0.0206453651084228
Skcos10094	nan	nan	nan
Skcos10095	nan	nan	nan
Skcos10096	0.406847441152067	0.155615606262186	3.03630221614203e-05
Skcos10097	nan	nan	nan
Skcos10098	nan	nan	nan
Skcos10099	0.298365391621613	0.033325078319077	2.7246753043922e-06
Skcos101	0.0437545247766421	0	0
Skcos1010	-0.0545382480626796	0	0
Skcos10100	-0.342283069321152	0.000186294760640297	0.115756207366956
Skcos10101	-0.0103428200893309	0	0
Skcos10102	-0.0014526503503321	0	0
Skcos10103	0.646165025982648	0.402616857237029	2.45856382911551e-08
Skcos10104	-0.265675148253166	0.00058520959987235	0.0747190864867861
Skcos10105	-0.241106008548809	0	0.00556943405857842
Skcos10106	-0.122859837545163	4.94216499015037e-07	0.000422629635021193
Skcos10107	0.258055964459908	0.0912723988200338	0.00157605836007652
Skcos10108	0.411461128849657	0.0161603614923664	0
Skcos10109	-0.487178094923211	1.92385304652356e-07	0.200372374413514
Skcos1011	0.0462086459002373	1.10651896532577e-06	0
Skcos10110	-0.360493997090568	6.43807308879498e-06	0.0831021453630763
Skcos10111	-0.0310341826253285	0	0
Skcos10112	0.138604396553441	0.00533693475890884	0
Skcos10113	-0.117379731075004	0	0.00582588419842077
Skcos10114	-0.0545382480626796	0	0
Skcos10115	-0.0545382480626796	0	0
Skcos10116	-0.0301461473785117	0	0
Skcos10117	-0.399865296096246	1.97374589095957e-07	0.0908301686681674
Skcos10118	0.0525575618135107	0	0
Skcos10119	nan	nan	nan
Skcos1012	0.401298457537976	0.0615371118334888	0
Skcos10120	-0.0514446396547991	0	0
Skcos10121	0.309565325395417	0.00196807715590461	0
Skcos10122	-0.163579856042981	0	0.00612348169589442
Skcos10123	0.0593889021639896	0	0
Skcos10124	-0.243813963634962	0.000454053187331143	0.056557813630538
Skcos10125	0.331916549062513	0.1188965962743	0.000415010627256824
Skcos10126	-0.0499478233246269	0	0
Skcos10127	-0.568385537890978	1.80616305157216e-07	0.301965764114555
Skcos10128	-0.0941609298503347	0	0
Skcos10129	-0.256809763093631	1.38951182263001e-06	0.0154550410381996
Skcos1013	0.0822931543049792	0	0
Skcos10130	-0.344737826770628	5.94246062712589e-07	0.0464230348835923
Skcos10131	-0.0514446396547991	0	0
Skcos10132	0.0168648293961325	0	0
Skcos10133	0.687132441010779	0.505623729341925	4.89838284973413e-09
Skcos10134	0.363860136272472	0.00086670859578249	0
Skcos10135	-0.229811029631905	6.52890256027218e-07	0.00843894830920143
Skcos10136	-0.148309023205211	0	0.0334049658652774
Skcos10137	0.18313974768635	0.0455118964174472	0.000486302802552634
Skcos10138	-0.420583904218113	0	0.0011960370809203
Skcos10139	nan	nan	nan
Skcos1014	0.0437545247766421	0	0
Skcos10140	-0.098103933674195	0	0
Skcos10141	nan	nan	nan
Skcos10142	0.106441153932695	0	0
Skcos10143	nan	nan	nan
Skcos10144	nan	nan	nan
Skcos10145	nan	nan	nan
Skcos10146	-0.105868258402919	0	0
Skcos10147	-0.0527831607490228	0	0
Skcos10148	-1.20630760586087	0	0.998702568139013
Skcos10149	0.0801022064812774	0	0
Skcos1015	-0.0017819364018381	0	0
Skcos10150	-0.101916059663776	0	0
Skcos10151	-0.105868258402919	0	0
Skcos10152	0.106441153932695	0	0
Skcos10153	-0.00290469773485873	0	0
Skcos10154	-0.340736081418276	1.02115337771189e-06	0.0529899799741415
Skcos10155	-0.394918520052748	0	0.00119900253640665
Skcos10156	-0.0499478233246269	0	0
Skcos10157	0.242271559934048	0.0235294825547836	1.45988926839296e-05
Skcos10158	-0.132461900207225	0	0.00526489681204447
Skcos10159	-0.0527831607490228	0	0
Skcos1016	-0.00618256814452503	0	0
Skcos10160	-0.224098712673271	0	0
Skcos10161	nan	nan	nan
Skcos10162	-0.0944438442756289	0	0
Skcos10163	-0.353161322324118	0	0.0232433676153092
Skcos10164	-0.385303009186669	4.55564386569022e-06	0.0937690041421746
Skcos10165	nan	nan	nan
Skcos10166	-0.500630670144968	0	0.147899945348039
Skcos10167	nan	nan	nan
Skcos10168	nan	nan	nan
Skcos10169	-0.00103581851420695	0	0
Skcos1017	-0.0340279197828268	0	0
Skcos10170	nan	nan	nan
Skcos10171	-0.0397613161172716	0	0
Skcos10172	-0.176415641258222	0.000614718799260748	0.038178731952812
Skcos10173	-0.0671975549984553	0	0
Skcos10174	0.0322463560432808	0	0
Skcos10175	0.0525575618135107	0	0
Skcos10176	-0.0017819364018381	0	0
Skcos10177	-0.00103581851420695	0	0
Skcos10178	0.230467291800401	0	0
Skcos10179	-0.79366249177538	4.74315670519039e-10	0.689607024105739
Skcos1018	0.141421384153647	0.0156829333121043	0
Skcos10180	-0.309029923638665	2.12878451652199e-05	0.0577558385992717
Skcos10181	-0.098103933674195	0	0
Skcos10182	-0.00325177843064556	0	0
Skcos10183	0.100838844121741	0	0
Skcos10184	-0.0545382480626796	0	0
Skcos10185	0.100838844121741	0	0
Skcos10186	-0.0442001712025825	0	0
Skcos10187	-0.233916741421394	0.000146187674466173	0.0372783092263564
Skcos10188	-0.379992393623709	4.4537835669969e-05	0.128463584529619
Skcos10189	-0.155757775837437	0	0.0413988644172483
Skcos1019	-0.193403873074457	0	0.000248353563163753
Skcos10190	-0.158417492894041	0	0.0150468466963202
Skcos10191	-0.0442001712025825	0	0
Skcos10192	-0.00120264529596988	0	0
Skcos10193	-0.588802479205051	4.69788039050038e-09	0.316144866061212
Skcos10194	-0.250343545866084	0.00127716770015943	0.0785565756739308
Skcos10195	0.0144101233759401	0	0
Skcos10196	0.435663432280994	0.130703022405164	3.25896863565127e-07
Skcos10197	0.168526376517258	0.000171547393878219	0
Skcos10198	0.151812303003651	0.0357263904832291	0
Skcos10199	0.225120976479404	0.0592692231990869	0.00112672634460904
Skcos102	-0.158049281010141	0	0.00295600193243731
Skcos1020	-0.304556083331265	0.00031444473856095	0.0911328240505316
Skcos10200	0.0646681439988319	0	0
Skcos10201	-0.274024797701966	3.75269133795169e-05	0.04397509956211
Skcos10202	-0.0074448063321036	0	0
Skcos10203	-0.0545382480626796	0	0
Skcos10204	0.0525575618135107	0	0
Skcos10205	0.14497933311849	0.0307186529396816	0
Skcos10206	-0.119794044116106	0	0.00381952043141115
Skcos10207	0.427800007556377	0.199139307582179	0.000142207449767148
Skcos10208	-0.00290469773485873	0	0
Skcos10209	-0.108381289607276	0	0
Skcos1021	0.746924665063884	0.638348569095524	0
Skcos10210	-0.148309023205211	0	0.0334049658652774
Skcos10211	-0.0538984807796471	0	0
Skcos10212	0.106965468079185	0	0
Skcos10213	-0.327272585156058	0	0.0142746240050403
Skcos10214	-0.0545382480626796	0	0
Skcos10215	nan	nan	nan
Skcos10216	-0.297016240158985	0	0
Skcos10217	-0.255768736881752	0	0.00482778716993095
Skcos10218	-0.25022660748745	5.30541277806723e-07	0.0113241313111849
Skcos10219	-0.196971461392801	6.13193375332405e-05	0.0167365649958283
Skcos1022	nan	nan	nan
Skcos10220	-0.0641364722148264	0	0
Skcos10221	nan	nan	nan
Skcos10222	0.157959135887084	0.0418777650797796	0
Skcos10223	-0.0778230337839594	0	0
Skcos10224	nan	nan	nan
Skcos10225	-0.248446541410318	0	0.0073643079927785
Skcos10226	-0.0545382480626796	0	0
Skcos10227	0.106441153932695	0	0
Skcos10228	0.331916549062513	0.1188965962743	0.000415010627256824
Skcos10229	0.0338579127867167	0	0
Skcos1023	-0.173012391866173	0	0
Skcos10230	0.576059312741162	0.333158779249454	2.97279976115214e-07
Skcos10231	-0.821840340757193	2.70586621730454e-10	0.698180346352541
Skcos10232	-0.0014526503503321	0	0
Skcos10233	-0.200009871994939	8.05986840719316e-06	0.00783095628841367
Skcos10234	-0.316851011377764	0.000896961444230345	0.123271162929344
Skcos10235	nan	nan	nan
Skcos10236	-0.00103581851420695	0	0
Skcos10237	-0.0574689070480051	0	0
Skcos10238	-0.101916059663776	0	0
Skcos10239	-0.290674860500395	0	0.0110269858138066
Skcos1024	-0.166668283794724	0	0.000247068633566148
Skcos10240	-0.0527831607490228	0	0
Skcos10241	-0.129848145384805	0	0.00870125245612737
Skcos10242	-0.00103581851420695	0	0
Skcos10243	-0.385303009186669	4.55564386569022e-06	0.0937690041421746
Skcos10244	-0.14184816535917	0	0.0278231602534868
Skcos10245	0.0224436662998152	0	0
Skcos10246	nan	nan	nan
Skcos10247	nan	nan	nan
Skcos10248	-0.101916059663776	0	0
Skcos10249	-0.0545382480626796	0	0
Skcos1025	-0.0046736982298405	0	0
Skcos10250	0.106441153932695	0	0
Skcos10251	0.0415251942797742	0	0
Skcos10252	nan	nan	nan
Skcos10253	nan	nan	nan
Skcos10254	nan	nan	nan
Skcos10255	-0.00387970895699359	0	0
Skcos10256	-0.0268297483622359	0	0
Skcos10257	0.209212488465053	0.0683802631473025	0.00192580133522908
Skcos10258	-0.193114442732099	0.00146709163344061	0.0536936518233892
Skcos10259	0.0947200658887942	0	0
Skcos1026	-0.875718652649719	0	0.84575971235276
Skcos10260	-0.0909954396614028	0	0
Skcos10261	0.134543891109573	0	0
Skcos10262	-0.0654585604817582	0	0
Skcos10263	0.120702047468266	0.00544192635964547	0
