delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	0.290828532920494	0.586576913068529	0.030854849778202
Skcos10	0.190216484110309	0.467902879249249	0.129442078138223
Skcos100	1.88438473182837	1	0
Skcos1000	-0.103771837099878	0.00389307205782978	0.169861522003842
Skcos10000	-0.140749794805417	0	0.0797699873562466
Skcos10001	0.673700955697345	0.995538458034624	0
Skcos10002	-0.674814397454289	0	1
Skcos10003	0.251639604780582	0.536538848113493	0.0996452403877922
Skcos10004	0.473946992261072	0.83006123957377	0.00276108852303885
Skcos10005	1.01633570390292	0.999775281732153	0
Skcos10006	nan	nan	nan
Skcos10007	0.0707412658783911	0.259975675980636	0.0650093100436359
Skcos10008	0.509242819122531	0.774837064403071	0.0293910583926098
Skcos10009	1.33697594841075	1	0
Skcos1001	0.442436827218418	0.791456132875921	0.00756827876541775
Skcos10010	nan	nan	nan
Skcos10011	0.938167650621226	0.992589407980804	2.15804689312556e-05
Skcos10012	0.308690335259015	0.588742640888285	0.0915195176504938
Skcos10013	1.7604202620405	1	0
Skcos10014	0.380755530550568	0.661557948796748	0.0646724295509327
Skcos10015	nan	nan	nan
Skcos10016	0.708898615335366	0.900356450251307	0.00587862055370513
Skcos10017	-0.170445894152881	0.154472223787198	0.443449890272207
Skcos10018	0.818342091060444	0.984451249559103	5.22542250139001e-05
Skcos10019	0.427027266361509	0.856359398653292	0.000379621077907448
Skcos1002	-0.543367730862604	0	0.995170088160682
Skcos10020	-0.220064484765544	0.0452445913232253	0.49096366748655
Skcos10021	nan	nan	nan
Skcos10022	1.02614877654838	0.995596339235669	3.98801438391246e-05
Skcos10023	0.232336180649926	0.511401049937648	0.12587536661307
Skcos10024	0.419075547488732	0.699755207782999	0.0458591394299736
Skcos10025	0.852366128939251	0.999908084192071	0
Skcos10026	0.408491736877192	0.887587908678382	1.41838628379592e-05
Skcos10027	-0.163051018890056	0	0.196488580575535
Skcos10028	nan	nan	nan
Skcos10029	0.335770460216062	0.632596984882804	0.0347682546885307
Skcos1003	nan	nan	nan
Skcos10030	0.146568539531891	0.416735076308212	0.14774981352424
Skcos10031	0.0707412658783911	0.259975675980636	0.0650093100436359
Skcos10032	nan	nan	nan
Skcos10033	0.232336180649926	0.511401049937648	0.12587536661307
Skcos10034	nan	nan	nan
Skcos10035	0.208582269647549	0.480515640063363	0.12969837807605
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	0.423978544202442	0.7621523466664	0.00886795960626069
Skcos10039	0.664259058711446	0.882732297919509	0.00793232184312078
Skcos1004	0.304730274766927	0.610202189571008	0.0273765094643643
