delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	0.290828532920494	0.0720770091458549	0.000145907350431857
Skcos10	0.190216484110309	0.0850414640104301	0.0026235604824048
Skcos100	1.88438473182837	1	0
Skcos1000	-0.103771837099878	0	5.30982990566614e-07
Skcos10000	-0.140749794805417	0	0
Skcos10001	0.673700955697345	0.460627514838953	0
Skcos10002	-0.674814397454289	0	0.419947733368835
Skcos10003	0.251639604780582	0.11654952517801	0.00465360734113023
Skcos10004	0.473946992261072	0.20208712970232	1.34421421778743e-06
Skcos10005	1.01633570390292	0.917595672991974	0
Skcos10006	nan	nan	nan
Skcos10007	0.0707412658783911	0	0
Skcos10008	0.509242819122531	0.308097510658	0.00100722941568103
Skcos10009	1.33697594841075	0.999836654311353	0
Skcos1001	0.442436827218418	0.173572641110658	1.82752304358165e-05
Skcos10010	nan	nan	nan
Skcos10011	0.938167650621226	0.792789507627595	4.4242492671674e-09
Skcos10012	0.308690335259015	0.169535741788976	0.0059175194771025
Skcos10013	1.7604202620405	0.999975732664405	0
Skcos10014	0.380755530550568	0.219657820981314	0.00338028022814569
Skcos10015	nan	nan	nan
Skcos10016	0.708898615335366	0.523160129709741	5.85024201677611e-05
Skcos10017	-0.170445894152881	0	0.0805589017892229
Skcos10018	0.818342091060444	0.679751184335361	3.96082064415873e-09
Skcos10019	0.427027266361509	0.0897982790278179	0
Skcos1002	-0.543367730862604	0	0.115040207352007
Skcos10020	-0.220064484765544	0.000261970982539037	0.0369347118196702
Skcos10021	nan	nan	nan
Skcos10022	1.02614877654838	0.839164095132672	1.00998031167986e-08
Skcos10023	0.232336180649926	0.125918921134949	0.00818915339982967
Skcos10024	0.419075547488732	0.230073804330648	0.0018540533889171
Skcos10025	0.852366128939251	0.819845876492874	0
Skcos10026	0.408491736877192	0.0329125634055455	0
Skcos10027	-0.163051018890056	0	0
Skcos10028	nan	nan	nan
Skcos10029	0.335770460216062	0.120224805782378	0.000337547894465206
Skcos1003	nan	nan	nan
Skcos10030	0.146568539531891	0.0510563956950156	0
Skcos10031	0.0707412658783911	0	0
Skcos10032	nan	nan	nan
Skcos10033	0.232336180649926	0.125918921134949	0.00818915339982967
Skcos10034	nan	nan	nan
Skcos10035	0.208582269647549	0.100220666109526	0.00488554300778384
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	0.423978544202442	0.159533445454832	1.41097621834e-05
Skcos10039	0.664259058711446	0.455441523908061	0.000138101357278119
Skcos1004	0.304730274766927	0.08186837120347	0.000150438557545861
Skcos10040	-0.0879896527838366	0	0
Skcos10041	-0.0736173363660812	0	0
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	0.359238099092062	0.18907743890378	0.00337205313043142
Skcos10045	0.27357001626664	0.136287770470692	0.00519554882590623
Skcos10046	0.904742247751814	0.729518807977574	6.3289419968609e-08
Skcos10047	0.81452185836984	0.653278986076114	3.76928344745398e-06
Skcos10048	0.872361614651986	0.806979997742319	0
Skcos10049	0.39503756565493	0.0505375888815569	0
Skcos1005	0.197805496737708	0.0673989146604097	0.00225659910109802
Skcos10050	0.509242819122531	0.308097510658	0.00100722941568103
Skcos10051	-0.0879896527838366	0	0
Skcos10052	0.0707412658783911	0	0
Skcos10053	nan	nan	nan
Skcos10054	nan	nan	nan
Skcos10055	0.146568539531891	0.0510563956950156	0
Skcos10056	0.0707412658783911	0	0
Skcos10057	nan	nan	nan
Skcos10058	0.28478412437551	0.123500734784633	0.00257715750804459
Skcos10059	nan	nan	nan
Skcos1006	-0.193447715575851	0	0
Skcos10060	0.525853242919848	0.284924179286243	2.78047331869236e-05
Skcos10061	-0.295382716834377	0	0.000507044084876634
Skcos10062	0.15213272381088	0.0599571210539862	0
Skcos10063	0.15213272381088	0.0599571210539862	0
Skcos10064	-0.0892905488386122	0	0
Skcos10065	nan	nan	nan
Skcos10066	0.0616449809405714	0	0
Skcos10067	0.15213272381088	0.0599571210539862	0
Skcos10068	0.382046393383646	0.183747881546953	0.000801669399055407
Skcos10069	0.61926400575754	0.419105660748221	0.000116498590074147
Skcos1007	0.190216484110309	0.0850414640104301	0.0026235604824048
Skcos10070	0.893913613974845	0.721005747065664	1.36296611535855e-07
Skcos10071	0.359238099092062	0.18907743890378	0.00337205313043142
Skcos10072	0.56732430645962	0.277993929939024	3.37097138554297e-08
Skcos10073	nan	nan	nan
Skcos10074	0.374576153629977	0.0767198316866569	4.66181700340204e-07
Skcos10075	-0.665788786190358	1.20966690036282e-05	0.457423239819718
Skcos10076	0.0707412658783911	0	0
Skcos10077	0.912243383283117	0.764281226222101	4.34873464404151e-07
Skcos10078	0.61926400575754	0.419105660748221	0.000116498590074147
Skcos10079	0.489007562968965	0.288420476662534	0.000464719637337088
Skcos1008	0.355369035470049	0.135824166309499	0.000414774031362323
Skcos10080	0.518696952286379	0.295405643799556	6.26792256558074e-05
Skcos10081	nan	nan	nan
Skcos10082	0.0707412658783911	0	0
Skcos10083	nan	nan	nan
Skcos10084	0.467166090495061	0.185953699382442	1.98662127269116e-06
Skcos10085	0.0707412658783911	0	0
Skcos10086	0.515958427894444	0.15953289557253	0
Skcos10087	-0.200771609334117	0.000617495942721913	0.0400901376797338
Skcos10088	0.321202911487195	0.0818651571295349	9.17169420371065e-05
Skcos10089	0.741989981556988	0.558650808659959	1.42012963466407e-05
Skcos1009	0.334747434226698	0.15617907991253	0.00154246791919275
Skcos10090	nan	nan	nan
Skcos10091	0.0707412658783911	0	0
Skcos10092	0.232336180649926	0.125918921134949	0.00818915339982967
Skcos10093	0.841505647134061	0.731398197624113	0
Skcos10094	nan	nan	nan
Skcos10095	nan	nan	nan
Skcos10096	0.933059861126955	0.763409656265111	6.54814737098954e-07
Skcos10097	-0.0892905488386122	0	0
Skcos10098	nan	nan	nan
Skcos10099	1.07018078458254	0.9100986646977	4.49658583706955e-11
Skcos101	0.447797215687579	0.258409350762182	0.00190136144062389
Skcos1010	nan	nan	nan
Skcos10100	0.146568539531891	0.0510563956950156	0
Skcos10101	0.501083135514613	0.081391010232654	0
Skcos10102	0.146568539531891	0.0510563956950156	0
Skcos10103	0.698112293444362	0.505532848865189	7.26011129089629e-08
Skcos10104	0.232336180649926	0.125918921134949	0.00818915339982967
Skcos10105	0.534388606167526	0.246193176428225	2.39870194295445e-08
Skcos10106	0.834456454558835	0.730695667020951	0
Skcos10107	0.110824072379818	0	0
Skcos10108	1.35728821223312	0.999915503027337	0
Skcos10109	0.357507195866442	0.151616900553456	0.000823995355042093
Skcos1011	0.568191937371244	0.226961404298106	0
Skcos10110	0.53517482658882	0.316420421488491	0.000270592519686998
Skcos10111	0.863213836699543	0.723927173966875	5.7333157351421e-08
Skcos10112	0.323379231924763	0.0718258546910424	2.10939142426419e-05
Skcos10113	0.231581652608991	0.0958473304203282	0.00418171128787477
Skcos10114	-0.471244363562611	0.0015563584374828	0.276251111609578
Skcos10115	nan	nan	nan
Skcos10116	0.478261260957147	0.215577804398022	4.49526832511227e-06
Skcos10117	0.0711463229333083	0	0
Skcos10118	0.0707412658783911	0	0
Skcos10119	nan	nan	nan
Skcos1012	0.623858740912341	0.364720836924657	0
Skcos10120	0.232336180649926	0.125918921134949	0.00818915339982967
Skcos10121	2.10385923924094	1	0
Skcos10122	1.1321448631153	0.924622588142833	3.34357385438241e-09
Skcos10123	0.577951890458672	0.333821388878264	3.37293874934527e-07
Skcos10124	0.294140900252944	0.152017828055392	0.00539152986004389
Skcos10125	0.440171097858908	0.234789460710978	0.00094544425969832
Skcos10126	0.308690335259015	0.169535741788976	0.0059175194771025
Skcos10127	-0.820155499986238	8.35520090715797e-09	0.66543188970773
Skcos10128	0.980876011692349	0.841395219498765	5.3703475739722e-09
Skcos10129	-0.360560613393476	6.5079240164648e-07	0.0663818982832132
Skcos1013	0.183266038396176	0.0327622232418565	0.000262767244382944
Skcos10130	-0.328869768835714	6.5829669281432e-06	0.0598801954662148
Skcos10131	0.232336180649926	0.125918921134949	0.00818915339982967
Skcos10132	1.05134912495522	0.890627656749178	2.15846910831309e-09
Skcos10133	1.02849870858715	0.863073005434483	4.20980303360959e-10
Skcos10134	1.75908946433034	1	0
Skcos10135	-0.0992858794388348	0	0
Skcos10136	0.15213272381088	0.0599571210539862	0
Skcos10137	0.158923295645215	0.0516670344729541	0
Skcos10138	0.165828506916376	1.03280493432157e-07	0
Skcos10139	nan	nan	nan
Skcos1014	0.110824072379818	0	0
Skcos10140	0.232336180649926	0.125918921134949	0.00818915339982967
Skcos10141	nan	nan	nan
Skcos10142	0.15213272381088	0.0599571210539862	0
Skcos10143	nan	nan	nan
Skcos10144	nan	nan	nan
Skcos10145	nan	nan	nan
Skcos10146	0.0707412658783911	0	0
Skcos10147	0.15213272381088	0.0599571210539862	0
Skcos10148	0.413263486789443	0.154384169613422	2.60280174110616e-05
Skcos10149	0.440171097858908	0.234789460710978	0.00094544425969832
Skcos1015	0.308690335259015	0.169535741788976	0.0059175194771025
Skcos10150	0.0677309929443781	0	0
Skcos10151	0.0707412658783911	0	0
Skcos10152	0.0677309929443781	0	0
Skcos10153	0.33302725301942	0.172872707229996	0.0031138911238963
Skcos10154	0.727060426933035	0.555802538385894	4.39498098127192e-06
Skcos10155	0.775815641654125	0.727708724296325	0
Skcos10156	0.0547907572196098	0	0
Skcos10157	1.05045801762671	0.897886723487306	5.45730098058958e-10
Skcos10158	0.790661712919472	0.608335607224218	7.33802375496539e-07
Skcos10159	-0.226869879817344	0.0058948864528447	0.1063626818306
Skcos1016	0.751344958202179	0.557604735228543	7.55033305928159e-07
Skcos10160	-0.281393874906402	0	0
Skcos10161	nan	nan	nan
Skcos10162	-0.0176512514192048	0	0
Skcos10163	0.739650674463471	0.563444084992743	0
Skcos10164	0.708898615335366	0.523160129709741	5.85024201677611e-05
Skcos10165	nan	nan	nan
Skcos10166	0.426133317510207	0.141892147570485	3.41881231903633e-06
Skcos10167	nan	nan	nan
Skcos10168	nan	nan	nan
Skcos10169	0.0707412658783911	0	0
Skcos1017	0.269702577884132	0	0
Skcos10170	nan	nan	nan
Skcos10171	0.66227577719084	0.445845535004616	6.83902509032931e-05
Skcos10172	-0.0862438180498118	0	0
Skcos10173	0.6979249361101	0.514142694309631	1.61026993219794e-05
Skcos10174	0.578940560789754	0.356811943986367	0.000138323213937837
Skcos10175	-0.0102832318091974	0	0
Skcos10176	0.223259501509306	0.112060879427505	0.00712861921519217
Skcos10177	-0.0102832318091974	0	0
Skcos10178	2.18562607152035	1	0
Skcos10179	-0.242119941842337	0.00196605748348048	0.0842177879407959
Skcos1018	0.829016996402278	0.653841206672017	6.33032149068807e-06
Skcos10180	0.61926400575754	0.419105660748221	0.000116498590074147
Skcos10181	0.146568539531891	0.0510563956950156	0
Skcos10182	0.38832969916513	0.204965415308807	0.00160793258779842
Skcos10183	0.308690335259015	0.169535741788976	0.0059175194771025
Skcos10184	nan	nan	nan
Skcos10185	0.308690335259015	0.169535741788976	0.0059175194771025
Skcos10186	0.231581652608991	0.0958473304203282	0.00418171128787477
Skcos10187	0.334747434226698	0.15617907991253	0.00154246791919275
Skcos10188	0.380755530550568	0.219657820981314	0.00338028022814569
Skcos10189	-0.166352560854919	0	0.0755431356042277
Skcos1019	0.734332857000392	0.581059660342958	0
Skcos10190	0.33541990426139	0.136254064515995	0.000712968895081646
Skcos10191	0.565257718159334	0.359207787314746	0.000532363983239601
Skcos10192	0.15213272381088	0.0599571210539862	0
Skcos10193	-0.0365386096049209	0	0
Skcos10194	-0.0102832318091974	0	0
Skcos10195	0.232513929207059	0.0273380027783544	4.56944390357051e-05
Skcos10196	0.966352050037165	0.808022501389092	9.16644171188587e-10
Skcos10197	1.77099952296252	0.99999877540874	0
Skcos10198	0.380755530550568	0.219657820981314	0.00338028022814569
Skcos10199	0.360008891093479	0.171785798749827	0.00169121965870776
Skcos102	0.557194880325754	0.298275739343213	3.18375817511219e-07
Skcos1020	0.232336180649926	0.125918921134949	0.00818915339982967
Skcos10200	0.741989981556988	0.558650808659959	1.42012963466407e-05
Skcos10201	0.578940560789754	0.356811943986367	0.000138323213937837
Skcos10202	0.907067695961652	0.796237600120953	2.09979072831299e-09
Skcos10203	nan	nan	nan
Skcos10204	0.0707412658783911	0	0
Skcos10205	0.27357001626664	0.136287770470692	0.00519554882590623
