delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	0.00489664483355147	0	0
Skcos10	0.0382857746747827	0.0204918661072155	0
Skcos100	-0.0575524894235777	0.0184312334420265	0.158659270948566
Skcos1000	0.0486361786676147	0.0794357795511268	0.0137506131951307
Skcos10000	-0.0630783494654524	4.27997515176328e-06	0.00704743984622194
Skcos10001	0.220104042085756	0.50015771608557	0.00869669498852136
Skcos10002	0.194227952655202	0.362466547270747	0
Skcos10003	0.101819866174816	0.298464522583607	0.076477832529194
Skcos10004	0.0243875326306973	0	0
Skcos10005	0.163584484546698	0.396345743021873	0.0391361890327937
Skcos10006	-0.0220513336101598	0	0
Skcos10007	nan	nan	nan
Skcos10008	-0.0770929493646463	0.0611086545261395	0.243193304320394
Skcos10009	0.079642369238174	0.228875882765245	0.0468583782923617
Skcos1001	-0.0103282028926839	0	0
Skcos10010	-0.0220513336101598	0	0
Skcos10011	0.00887395744623114	0	0
Skcos10012	nan	nan	nan
Skcos10013	-0.0220513336101598	0	0
Skcos10014	-0.0220513336101598	0	0
Skcos10015	nan	nan	nan
Skcos10016	-0.017975228954756	0	0
Skcos10017	0.0998960685058102	0.301410075673802	0.0771095752212263
Skcos10018	-0.0876964040706455	0.0711928162685343	0.27039872180495
Skcos10019	0.139006034314275	0.351257962066658	0.0491805763508339
Skcos1002	-0.0974837470917018	0.00320928553752881	0.146153507920378
Skcos10020	-0.0184730179876474	0	0
Skcos10021	nan	nan	nan
Skcos10022	0.0506974887952343	0.123884910246038	0
Skcos10023	-0.0220513336101598	0	0
Skcos10024	nan	nan	nan
Skcos10025	-0.251445819862734	0.0063234908004425	0.563019906618915
Skcos10026	-0.142857845063833	0.0192508680023514	0.32666692322243
Skcos10027	0.14320558729765	0.123813627488847	0
Skcos10028	nan	nan	nan
Skcos10029	-0.0011511885598267	0	0
Skcos1003	nan	nan	nan
Skcos10030	nan	nan	nan
Skcos10031	nan	nan	nan
Skcos10032	0.0685166815267764	0.222778838776567	0.0465577295557243
Skcos10033	nan	nan	nan
Skcos10034	nan	nan	nan
Skcos10035	nan	nan	nan
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	0.0104881835044988	0	0
Skcos10039	-0.0521725672632514	0	0.134673290503871
Skcos1004	0.0360373800455268	0	0
Skcos10040	-0.0220513336101598	0	0
Skcos10041	-0.267443374369583	1.2282575007288e-05	0.637649231886265
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	-0.0220513336101598	0	0
Skcos10045	0.0104881835044988	0	0
Skcos10046	-0.134371293084666	0.0620462263716436	0.345962937207561
Skcos10047	-0.0450578629318684	0	0.0916476879779607
Skcos10048	0.167719592579089	0.377917275534037	0.0207040310914061
Skcos10049	-0.221304600135815	0.0106426445313406	0.505037042247428
Skcos1005	-0.0220513336101598	0	0
Skcos10050	-0.0205035666389202	0	0
Skcos10051	0.0685166815267764	0.222778838776567	0.0465577295557243
Skcos10052	nan	nan	nan
Skcos10053	nan	nan	nan
Skcos10054	nan	nan	nan
Skcos10055	nan	nan	nan
Skcos10056	nan	nan	nan
Skcos10057	nan	nan	nan
Skcos10058	-0.0521725672632514	0	0.134673290503871
Skcos10059	nan	nan	nan
Skcos1006	0.0788023477254458	0.00107706925031246	0
Skcos10060	-0.0521725672632514	0	0.134673290503871
Skcos10061	-0.191126030308653	0.000238416788669893	0.400826555409945
Skcos10062	0.0685166815267764	0.222778838776567	0.0465577295557243
Skcos10063	-0.0220513336101598	0	0
Skcos10064	nan	nan	nan
Skcos10065	nan	nan	nan
Skcos10066	0.0988094396338162	0.296013489014102	0.0795573954684701
Skcos10067	-0.0220513336101598	0	0
Skcos10068	-0.0205035666389202	0	0
Skcos10069	0.00887395744623114	0	0
Skcos1007	-0.049385006188056	0	0.121740733099567
Skcos10070	-0.0770929493646463	0.0611086545261395	0.243193304320394
Skcos10071	-0.0823779734926592	0.064303466393169	0.262083129629778
Skcos10072	-0.00634376912193922	0	0
Skcos10073	nan	nan	nan
Skcos10074	0.186670493033692	0.427126566929111	0.021706730644236
Skcos10075	0.0865475362052054	0.256089230412972	0.0619579187298307
Skcos10076	nan	nan	nan
Skcos10077	0.107336554075478	0.309408477045119	0.0699901464865026
Skcos10078	nan	nan	nan
Skcos10079	0.0392678467587166	0.0326926814794646	0
Skcos1008	-0.0770929493646463	0.0611086545261395	0.243193304320394
Skcos10080	-0.144154319739063	0.0575899570344533	0.367079456339335
Skcos10081	-0.0220513336101598	0	0
Skcos10082	0.0382857746747827	0.0204918661072155	0
Skcos10083	nan	nan	nan
Skcos10084	-0.225497602031326	0.0247953978690197	0.512402278558221
Skcos10085	0.0382857746747827	0.0204918661072155	0
Skcos10086	-0.10227597078608	0.0347176937843759	0.242002108363463
Skcos10087	0.0770421071763932	0.242617101685254	0.0558509190116277
Skcos10088	0.0927441232919525	0.26676476636913	0.0585049514601771
Skcos10089	0.0414037650347265	0.048939196510406	0
Skcos1009	-0.0807601263520648	0.06536473791992	0.251492468996845
Skcos10090	nan	nan	nan
Skcos10091	nan	nan	nan
Skcos10092	nan	nan	nan
Skcos10093	0.0886911997827735	0.263834593118758	0.0608202467457244
Skcos10094	nan	nan	nan
Skcos10095	0.0382857746747827	0.0204918661072155	0
Skcos10096	-0.0205035666389202	0	0
Skcos10097	nan	nan	nan
Skcos10098	nan	nan	nan
Skcos10099	-0.0450578629318684	0	0.0916476879779607
Skcos101	nan	nan	nan
Skcos1010	nan	nan	nan
Skcos10100	-0.0220513336101598	0	0
Skcos10101	-0.0274161130465184	0.0482158091362667	0.0963382849174232
Skcos10102	nan	nan	nan
Skcos10103	-0.0625040084581981	0.0350216053588125	0.192810332640454
Skcos10104	-0.0205035666389202	0	0
Skcos10105	-0.121773786025727	0.0492146297756637	0.316077734873293
Skcos10106	0.385344851438625	0.770455302979018	0.00212839180014345
Skcos10107	-0.0220513336101598	0	0
Skcos10108	0.164685682607084	0.392133476584355	0.0333016534668477
Skcos10109	0.0795627577301839	0.248785086718965	0.0584578608692164
Skcos1011	0.184596169706171	0.400829874871493	0.00802954337929807
Skcos10110	-0.0471744952927476	0	0.113329354387148
Skcos10111	0.188614701291349	0.435319237216215	0.0397451718380279
Skcos10112	0.164685682607084	0.392133476584355	0.0333016534668477
Skcos10113	-0.103080400790982	0.0719062131153771	0.293108934969977
Skcos10114	-0.112264661696118	0.0742739880065462	0.32082017599622
Skcos10115	nan	nan	nan
Skcos10116	-0.103080400790982	0.0719062131153771	0.293108934969977
Skcos10117	-0.0103282028926839	0	0
Skcos10118	-0.0220513336101598	0	0
Skcos10119	nan	nan	nan
Skcos1012	0.130715204946148	0.315101020115922	0.0318770274921718
Skcos10120	0.0382857746747827	0.0204918661072155	0
Skcos10121	-0.0450578629318684	0	0.0916476879779607
Skcos10122	0.159864396101006	0.395010865749352	0.055777891836304
Skcos10123	-0.0770929493646463	0.0611086545261395	0.243193304320394
Skcos10124	0.00887395744623114	0	0
Skcos10125	-0.0205035666389202	0	0
Skcos10126	nan	nan	nan
Skcos10127	-0.0617315464978451	0.0285965223538802	0.175132690803451
Skcos10128	0.135885533284636	0.348086760176537	0.0556453910531873
Skcos10129	0.166764697585112	0.382878864486274	0.0229458649291811
Skcos1013	0.187791288492817	0.432214748088179	0.0301117551597684
Skcos10130	-0.0818395094795419	0.0486153389688133	0.230348767561961
Skcos10131	0.0382857746747827	0.0204918661072155	0
Skcos10132	0.0719757518363049	0.229195990967347	0.0494282845001362
Skcos10133	0.0988094396338162	0.296013489014102	0.0795573954684701
Skcos10134	-0.00601386191973521	0	0
Skcos10135	0.339369531871809	0.743674517113296	0.000645402556262208
Skcos10136	-0.0521725672632514	0	0.134673290503871
Skcos10137	-0.0220513336101598	0	0
Skcos10138	0.0352675932231587	0.0655457082482546	0.0199837656215566
Skcos10139	nan	nan	nan
Skcos1014	0.189528647981377	0.43837234946007	0.04698627585287
Skcos10140	0.0988094396338162	0.296013489014102	0.0795573954684701
Skcos10141	nan	nan	nan
Skcos10142	nan	nan	nan
Skcos10143	nan	nan	nan
Skcos10144	nan	nan	nan
Skcos10145	nan	nan	nan
Skcos10146	nan	nan	nan
Skcos10147	-0.0220513336101598	0	0
Skcos10148	0.105544596585244	0.305753423551759	0.0710493415546757
Skcos10149	-0.0205035666389202	0	0
Skcos1015	nan	nan	nan
Skcos10150	-0.0220513336101598	0	0
Skcos10151	-0.0220513336101598	0	0
Skcos10152	0.0392678467587166	0.0326926814794646	0
Skcos10153	nan	nan	nan
Skcos10154	-0.0643733917027628	0.0400543831366279	0.205426354919824
Skcos10155	-0.16318774313671	0.0100759370351149	0.363377177088174
Skcos10156	0.0685166815267764	0.222778838776567	0.0465577295557243
Skcos10157	-0.0643733917027628	0.0400543831366279	0.205426354919824
Skcos10158	-0.119721508843067	0.0685421864942482	0.327197675564469
Skcos10159	-0.0220513336101598	0	0
Skcos1016	0.0203046452947398	0	0
Skcos10160	0.0482348918630459	0.0279320012827829	0.00156545916937183
Skcos10161	nan	nan	nan
Skcos10162	-0.0220513336101598	0	0
Skcos10163	-0.114409129178171	0.045089010916007	0.295978357431615
Skcos10164	0.0473499486849769	0.100952242493412	0
Skcos10165	nan	nan	nan
Skcos10166	-0.10292334729019	0.0571632016995004	0.283820076848996
Skcos10167	nan	nan	nan
Skcos10168	nan	nan	nan
Skcos10169	nan	nan	nan
Skcos1017	-0.000146168641885808	0.000307191204658275	0.000331228763484043
Skcos10170	nan	nan	nan
Skcos10171	0.00887395744623114	0	0
Skcos10172	0.0696512315813508	0.226326169818222	0.0486896570916544
Skcos10173	-0.155740811538617	0.0573253485102508	0.39435683551584
Skcos10174	-0.017975228954756	0	0
Skcos10175	nan	nan	nan
Skcos10176	nan	nan	nan
Skcos10177	0.0382857746747827	0.0204918661072155	0
Skcos10178	-0.155145061751006	0.029329788801075	0.36956132283158
Skcos10179	0.0323120130818399	0	0
Skcos1018	-0.0823779734926592	0.064303466393169	0.262083129629778
Skcos10180	0.0998960685058102	0.301410075673802	0.0771095752212263
Skcos10181	nan	nan	nan
Skcos10182	0.0685166815267764	0.222778838776567	0.0465577295557243
Skcos10183	nan	nan	nan
Skcos10184	-0.0220513336101598	0	0
Skcos10185	nan	nan	nan
Skcos10186	0.0392678467587166	0.0326926814794646	0
Skcos10187	-0.0103282028926839	0	0
Skcos10188	-0.049385006188056	0	0.121740733099567
Skcos10189	-0.0205035666389202	0	0
Skcos1019	0.292224524378332	0.640200793710837	0.00619399495817292
Skcos10190	0.0441526709619609	0.0731053680549094	0
Skcos10191	0.13123703196001	0.349017166608811	0.066733208192119
Skcos10192	nan	nan	nan
Skcos10193	-0.168370291094574	0.0457726093879102	0.404482560286879
Skcos10194	-0.017975228954756	0	0
Skcos10195	0.206712786935186	0.459018062084416	0.017175510082522
Skcos10196	-0.017975228954756	0	0
Skcos10197	-0.04027004691258	0	0.0515076909885184
Skcos10198	nan	nan	nan
Skcos10199	-0.04027004691258	0	0.0515076909885184
Skcos102	-0.0952391318351001	0.0736729665776707	0.286474143250799
Skcos1020	0.159864396101006	0.395010865749352	0.055777891836304
Skcos10200	-0.0220513336101598	0	0
Skcos10201	0.016380366339996	0	0
Skcos10202	-0.0807601263520648	0.06536473791992	0.251492468996845
Skcos10203	nan	nan	nan
Skcos10204	nan	nan	nan
Skcos10205	0.0104881835044988	0	0
Skcos10206	-0.134371293084666	0.0620462263716436	0.345962937207561
Skcos10207	-0.0205035666389202	0	0
Skcos10208	0.00887395744623114	0	0
Skcos10209	nan	nan	nan
Skcos1021	0.0998960685058102	0.301410075673802	0.0771095752212263
Skcos10210	nan	nan	nan
Skcos10211	0.00887395744623114	0	0
Skcos10212	-0.109966288823215	0.0623450173677408	0.301983276785681
Skcos10213	-0.0742979974644719	0.0591948444945748	0.235551522460896
Skcos10214	nan	nan	nan
Skcos10215	nan	nan	nan
Skcos10216	-0.0923761737250273	0	0.000154331582818803
Skcos10217	0.0171987128770849	0	0
Skcos10218	0.0886911997827735	0.263834593118758	0.0608202467457244
Skcos10219	0.299910885663453	0.62699079590004	0.0127170101632754
Skcos1022	-0.0521725672632514	0	0.134673290503871
Skcos10220	0.0529044700232033	0.000373999576489128	0
Skcos10221	nan	nan	nan
Skcos10222	0.0382857746747827	0.0204918661072155	0
Skcos10223	-0.0122771503410958	0.000306194921844825	0.00112695502132205
Skcos10224	nan	nan	nan
Skcos10225	-0.289884364338235	0.0113279628360389	0.625770546192228
Skcos10226	nan	nan	nan
Skcos10227	nan	nan	nan
Skcos10228	0.0104881835044988	0	0
Skcos10229	0.0744757865846263	0.236300497581186	0.0528920245695442
Skcos1023	-0.0667353697344668	0.000140151076121193	0.0253345534621675
Skcos10230	0.0601572763320728	0.1739079197181	0.0139659920722997
Skcos10231	-0.0521725672632514	0	0.134673290503871
Skcos10232	-0.0220513336101598	0	0
Skcos10233	-0.0823779734926592	0.064303466393169	0.262083129629778
Skcos10234	nan	nan	nan
Skcos10235	0.0685166815267764	0.222778838776567	0.0465577295557243
Skcos10236	0.0382857746747827	0.0204918661072155	0
Skcos10237	0.188845165321131	0.436117759219421	0.0415820990908602
Skcos10238	-0.0220513336101598	0	0
Skcos10239	-0.0589418024777152	0.0243903613276084	0.171193499919657
Skcos1024	-0.0766014566502987	0.0246196931340354	0.170580527071435
Skcos10240	-0.0770929493646463	0.0611086545261395	0.243193304320394
Skcos10241	0.0392678467587166	0.0326926814794646	0
Skcos10242	nan	nan	nan
Skcos10243	0.0129930066524115	0	0
Skcos10244	nan	nan	nan
Skcos10245	-0.053299020744998	0.0388729518193849	0.146403500377859
Skcos10246	nan	nan	nan
Skcos10247	nan	nan	nan
Skcos10248	-0.0220513336101598	0	0
Skcos10249	nan	nan	nan
Skcos1025	0.0104881835044988	0	0
Skcos10250	nan	nan	nan
Skcos10251	nan	nan	nan
Skcos10252	nan	nan	nan
Skcos10253	nan	nan	nan
Skcos10254	nan	nan	nan
Skcos10255	-0.0250194807077455	0	0
Skcos10256	-0.284414257938881	0	0.759391599587992
Skcos10257	-0.0521725672632514	0	0.134673290503871
Skcos10258	0.016380366339996	0	0
Skcos10259	0.0441526709619609	0.0731053680549094	0
Skcos1026	-0.0300605542911418	0	0
Skcos10260	0.0104881835044988	0	0
Skcos10261	0.0440893706483293	0.10419294569969	0.0284623961548112
Skcos10262	0.115295281429405	0.277453811700743	0.0356012165165156
Skcos10263	-0.0205035666389202	0	0
Skcos10264	-0.005769356305342	0	0
Skcos10265	nan	nan	nan
Skcos10266	nan	nan	nan
Skcos10267	nan	nan	nan
Skcos10268	0.00887395744623114	0	0
Skcos10269	nan	nan	nan
Skcos1027	0.162762316629175	0.39923612823654	0.0435963348514052
Skcos10270	nan	nan	nan
Skcos10271	nan	nan	nan
Skcos10272	0.0382857746747827	0.0204918661072155	0
Skcos10273	-0.005769356305342	0	0
Skcos10274	0.109112229438125	0.276765878695628	0.0417100563582837
Skcos10275	-0.468152284449619	0	0.994416514334573
Skcos10276	-0.0823779734926592	0.064303466393169	0.262083129629778
Skcos10277	nan	nan	nan
Skcos10278	0.0685166815267764	0.222778838776567	0.0465577295557243
