delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	0.00489664483355147	0	0
Skcos10	0.0382857746747827	0	0
Skcos100	-0.0575524894235777	0	0
Skcos1000	0.0486361786676147	0	0
Skcos10000	-0.0630783494654524	0	0
Skcos10001	0.220104042085756	0.00536072572050831	4.55109161233347e-07
Skcos10002	0.194227952655202	0	0
Skcos10003	0.101819866174816	0	0
Skcos10004	0.0243875326306973	0	0
Skcos10005	0.163584484546698	0.0081862267725103	0
Skcos10006	-0.0220513336101598	0	0
Skcos10007	nan	nan	nan
Skcos10008	-0.0770929493646463	0	0
Skcos10009	0.079642369238174	0	0
Skcos1001	-0.0103282028926839	0	0
Skcos10010	-0.0220513336101598	0	0
Skcos10011	0.00887395744623114	0	0
Skcos10012	nan	nan	nan
Skcos10013	-0.0220513336101598	0	0
Skcos10014	-0.0220513336101598	0	0
Skcos10015	nan	nan	nan
Skcos10016	-0.017975228954756	0	0
Skcos10017	0.0998960685058102	0	0
Skcos10018	-0.0876964040706455	0	0
Skcos10019	0.139006034314275	0.0053981013568241	0
Skcos1002	-0.0974837470917018	0	0
Skcos10020	-0.0184730179876474	0	0
Skcos10021	nan	nan	nan
Skcos10022	0.0506974887952343	0	0
Skcos10023	-0.0220513336101598	0	0
Skcos10024	nan	nan	nan
Skcos10025	-0.251445819862734	3.46550009014087e-07	0.00992332818105077
Skcos10026	-0.142857845063833	8.23644223575243e-07	0.00103197455126345
Skcos10027	0.14320558729765	0	0
Skcos10028	nan	nan	nan
Skcos10029	-0.0011511885598267	0	0
Skcos1003	nan	nan	nan
Skcos10030	nan	nan	nan
Skcos10031	nan	nan	nan
Skcos10032	0.0685166815267764	0	0
Skcos10033	nan	nan	nan
Skcos10034	nan	nan	nan
Skcos10035	nan	nan	nan
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	0.0104881835044988	0	0
Skcos10039	-0.0521725672632514	0	0
Skcos1004	0.0360373800455268	0	0
Skcos10040	-0.0220513336101598	0	0
Skcos10041	-0.267443374369583	0	0.000180427603749456
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	-0.0220513336101598	0	0
Skcos10045	0.0104881835044988	0	0
Skcos10046	-0.134371293084666	0	0.00686382666640527
Skcos10047	-0.0450578629318684	0	0
Skcos10048	0.167719592579089	0.00300115859645518	0
Skcos10049	-0.221304600135815	9.12275041930275e-07	0.00668577687330521
Skcos1005	-0.0220513336101598	0	0
Skcos10050	-0.0205035666389202	0	0
Skcos10051	0.0685166815267764	0	0
Skcos10052	nan	nan	nan
Skcos10053	nan	nan	nan
Skcos10054	nan	nan	nan
Skcos10055	nan	nan	nan
Skcos10056	nan	nan	nan
Skcos10057	nan	nan	nan
Skcos10058	-0.0521725672632514	0	0
Skcos10059	nan	nan	nan
Skcos1006	0.0788023477254458	0	0
Skcos10060	-0.0521725672632514	0	0
Skcos10061	-0.191126030308653	0	1.56753603789569e-05
Skcos10062	0.0685166815267764	0	0
Skcos10063	-0.0220513336101598	0	0
Skcos10064	nan	nan	nan
Skcos10065	nan	nan	nan
Skcos10066	0.0988094396338162	0	0
Skcos10067	-0.0220513336101598	0	0
Skcos10068	-0.0205035666389202	0	0
Skcos10069	0.00887395744623114	0	0
Skcos1007	-0.049385006188056	0	0
Skcos10070	-0.0770929493646463	0	0
Skcos10071	-0.0823779734926592	0	0
Skcos10072	-0.00634376912193922	0	0
Skcos10073	nan	nan	nan
Skcos10074	0.186670493033692	0.00663046140663173	6.18649409103488e-06
Skcos10075	0.0865475362052054	0	0
Skcos10076	nan	nan	nan
Skcos10077	0.107336554075478	0	0
Skcos10078	nan	nan	nan
Skcos10079	0.0392678467587166	0	0
Skcos1008	-0.0770929493646463	0	0
Skcos10080	-0.144154319739063	0	0.00882184970284456
Skcos10081	-0.0220513336101598	0	0
Skcos10082	0.0382857746747827	0	0
Skcos10083	nan	nan	nan
Skcos10084	-0.225497602031326	2.56578792588894e-05	0.0197694440928215
Skcos10085	0.0382857746747827	0	0
Skcos10086	-0.10227597078608	4.36646740215103e-06	0.000518200287731777
Skcos10087	0.0770421071763932	0	0
Skcos10088	0.0927441232919525	0	0
Skcos10089	0.0414037650347265	0	0
Skcos1009	-0.0807601263520648	0	0
Skcos10090	nan	nan	nan
Skcos10091	nan	nan	nan
Skcos10092	nan	nan	nan
Skcos10093	0.0886911997827735	0	0
Skcos10094	nan	nan	nan
Skcos10095	0.0382857746747827	0	0
Skcos10096	-0.0205035666389202	0	0
Skcos10097	nan	nan	nan
Skcos10098	nan	nan	nan
Skcos10099	-0.0450578629318684	0	0
Skcos101	nan	nan	nan
Skcos1010	nan	nan	nan
Skcos10100	-0.0220513336101598	0	0
Skcos10101	-0.0274161130465184	4.35805860554771e-07	4.67573388201945e-06
Skcos10102	nan	nan	nan
Skcos10103	-0.0625040084581981	0	0
Skcos10104	-0.0205035666389202	0	0
Skcos10105	-0.121773786025727	0	0.00238102426371198
Skcos10106	0.385344851438625	0.0714283782562971	1.31831742920167e-07
Skcos10107	-0.0220513336101598	0	0
Skcos10108	0.164685682607084	0.00622030863253164	0
Skcos10109	0.0795627577301839	0	0
Skcos1011	0.184596169706171	0.00132457309317292	0
Skcos10110	-0.0471744952927476	0	0
Skcos10111	0.188614701291349	0.0153732680503888	5.30862894191224e-05
Skcos10112	0.164685682607084	0.00622030863253164	0
Skcos10113	-0.103080400790982	0	0
Skcos10114	-0.112264661696118	0	0
Skcos10115	nan	nan	nan
Skcos10116	-0.103080400790982	0	0
Skcos10117	-0.0103282028926839	0	0
Skcos10118	-0.0220513336101598	0	0
Skcos10119	nan	nan	nan
Skcos1012	0.130715204946148	0.00148252783096663	0
Skcos10120	0.0382857746747827	0	0
Skcos10121	-0.0450578629318684	0	0
Skcos10122	0.159864396101006	0.0139685912888225	0
Skcos10123	-0.0770929493646463	0	0
Skcos10124	0.00887395744623114	0	0
Skcos10125	-0.0205035666389202	0	0
Skcos10126	nan	nan	nan
Skcos10127	-0.0617315464978451	0	0
Skcos10128	0.135885533284636	0.00638269277696812	0
Skcos10129	0.166764697585112	0.00372957458820418	0
Skcos1013	0.187791288492817	0.0105901157156462	2.69658607613105e-05
Skcos10130	-0.0818395094795419	0	0
Skcos10131	0.0382857746747827	0	0
Skcos10132	0.0719757518363049	0	0
Skcos10133	0.0988094396338162	0	0
Skcos10134	-0.00601386191973521	0	0
Skcos10135	0.339369531871809	0.0226919374524041	0
Skcos10136	-0.0521725672632514	0	0
Skcos10137	-0.0220513336101598	0	0
Skcos10138	0.0352675932231587	0	0
Skcos10139	nan	nan	nan
Skcos1014	0.189528647981377	0.0195457214376982	9.78065682666193e-05
Skcos10140	0.0988094396338162	0	0
Skcos10141	nan	nan	nan
Skcos10142	nan	nan	nan
Skcos10143	nan	nan	nan
Skcos10144	nan	nan	nan
Skcos10145	nan	nan	nan
Skcos10146	nan	nan	nan
Skcos10147	-0.0220513336101598	0	0
Skcos10148	0.105544596585244	0	0
Skcos10149	-0.0205035666389202	0	0
Skcos1015	nan	nan	nan
Skcos10150	-0.0220513336101598	0	0
Skcos10151	-0.0220513336101598	0	0
Skcos10152	0.0392678467587166	0	0
Skcos10153	nan	nan	nan
Skcos10154	-0.0643733917027628	0	0
Skcos10155	-0.16318774313671	0	0.000877926741929009
Skcos10156	0.0685166815267764	0	0
Skcos10157	-0.0643733917027628	0	0
Skcos10158	-0.119721508843067	0	0.00377282833450905
Skcos10159	-0.0220513336101598	0	0
Skcos1016	0.0203046452947398	0	0
Skcos10160	0.0482348918630459	0	0
Skcos10161	nan	nan	nan
Skcos10162	-0.0220513336101598	0	0
Skcos10163	-0.114409129178171	0	0.000900415561097241
Skcos10164	0.0473499486849769	0	0
