delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	0.133197538927003	0.384477739312167	0.1130610505668
Skcos10	-0.418731276609346	0.137970100970502	0.631650679590098
Skcos100	-2.00345287710283	0	1
Skcos1000	-1.03394735349542	0	1
Skcos10000	-0.234871243718255	0	0.573803546284166
Skcos10001	-1.23165249475017	0	1
Skcos10002	0.249530803992827	0.618536347463767	0
Skcos10003	-0.275452150829384	0.12422391254872	0.557768060967075
Skcos10004	-0.912912001053673	0.000283804207987449	0.986098280567313
Skcos10005	-0.509014885513792	0.00319494702304081	0.8548895178012
Skcos10006	-0.342702206989673	0.185869275651069	0.580697832329997
Skcos10007	-0.118093215866298	0.161245156933797	0.395395986901731
Skcos10008	-1.07950613393088	0.00422991080273468	0.959791723423239
Skcos10009	-1.81369555128737	0	1
Skcos1001	0.00759749107931311	0	0
Skcos10010	-0.118093215866298	0.161245156933797	0.395395986901731
Skcos10011	-1.62301430403937	5.15704807962307e-06	0.999355439927822
Skcos10012	-0.342702206989673	0.185869275651069	0.580697832329997
Skcos10013	-1.81840806032731	1.78271504851243e-05	0.999188076619427
Skcos10014	-1.14030778172573	0.0130006445901477	0.928637223430307
Skcos10015	nan	nan	nan
Skcos10016	-1.19022560285927	0.000408579250658484	0.988589080585119
Skcos10017	0.678954193411052	0.769172155890558	0.0725336213438229
Skcos10018	-1.91745061897974	0	0.999999521868571
Skcos10019	-1.32842862613776	0	0.999995471101369
Skcos1002	-0.265860968789599	4.16153039795515e-05	0.637554409384867
Skcos10020	0.0230927060538224	0	0
Skcos10021	nan	nan	nan
Skcos10022	-0.505255686997139	0.0239514292594531	0.770829293038057
Skcos10023	-0.118093215866298	0.161245156933797	0.395395986901731
Skcos10024	-1.32748258975987	0.00337724062519234	0.968437537573352
Skcos10025	-1.98562293876784	0	1
Skcos10026	-2.98039885939918	0	1
Skcos10027	0.55113373393498	0.999991483948235	0
Skcos10028	nan	nan	nan
Skcos10029	-1.12474028433834	7.27074377781862e-06	0.998144292538935
Skcos1003	-0.538854917216882	0.121896524736332	0.684899826610473
Skcos10030	-0.342702206989673	0.185869275651069	0.580697832329997
Skcos10031	-0.342702206989673	0.185869275651069	0.580697832329997
Skcos10032	0.505855323766915	0.671141330738767	0.132007914513106
Skcos10033	-0.118093215866298	0.161245156933797	0.395395986901731
Skcos10034	nan	nan	nan
Skcos10035	-0.342702206989673	0.185869275651069	0.580697832329997
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	-1.6103420833389	1.92798263782671e-07	0.999873112542184
Skcos10039	-1.52100935751534	0.000713245104653208	0.991130605240916
Skcos1004	-0.480249832364538	0.015743909527026	0.792858841427191
Skcos10040	-1.5726809890875	0.000378051371160679	0.993683783316262
Skcos10041	-0.154476564887557	0.00223071459500548	0.307824245111299
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	-0.538854917216882	0.121896524736332	0.684899826610473
Skcos10045	-0.0572487462516734	0.0138913210855704	0.202357778391119
Skcos10046	-1.11406734956473	0.000169861667874733	0.989516597069406
Skcos10047	-2.04012135328308	0	0.999999734625771
Skcos10048	-0.358357584365858	0.00438312824324697	0.728938014093666
Skcos10049	-1.77963484004444	0	1
Skcos1005	-1.32748258975987	0.00337724062519234	0.968437537573352
Skcos10050	-0.753647504516094	0.0339406396044513	0.835537227588971
Skcos10051	0.105189027175598	0.377132116881703	0.175114105430652
Skcos10052	nan	nan	nan
Skcos10053	-0.118093215866298	0.161245156933797	0.395395986901731
Skcos10054	nan	nan	nan
Skcos10055	-1.14030778172573	0.0130006445901477	0.928637223430307
Skcos10056	-0.118093215866298	0.161245156933797	0.395395986901731
Skcos10057	-0.342702206989673	0.185869275651069	0.580697832329997
Skcos10058	-1.70644897015426	5.40965308148376e-05	0.997727667929952
Skcos10059	nan	nan	nan
Skcos1006	0.322643212168949	0.977817393655367	0
Skcos10060	-1.40049973064803	0.00249422043403709	0.976831352346855
Skcos10061	-0.290850611921223	3.27320749143451e-05	0.692713630670814
Skcos10062	0.105189027175598	0.377132116881703	0.175114105430652
Skcos10063	nan	nan	nan
Skcos10064	nan	nan	nan
Skcos10065	nan	nan	nan
Skcos10066	0.493929389965979	0.658656414768007	0.131697991385165
Skcos10067	-1.0195816513455	0.0214068112825022	0.902175370264855
Skcos10068	-0.541888565345167	0.0917943016481643	0.717440909453351
Skcos10069	-0.929970416610037	0.0115752143810539	0.912125221826916
Skcos1007	-0.541888565345167	0.0917943016481643	0.717440909453351
Skcos10070	-1.14613846330385	0.00221134895091256	0.970628238240228
Skcos10071	-1.52100935751534	0.000713245104653208	0.991130605240916
Skcos10072	-1.63105519853441	0	0.999999983266699
Skcos10073	nan	nan	nan
Skcos10074	-0.726331267242326	2.2345465870542e-05	0.98345936263988
Skcos10075	-0.287250265738227	0.0646841933509076	0.586400658384656
Skcos10076	-1.14030778172573	0.0130006445901477	0.928637223430307
Skcos10077	-0.861471764794551	0.000104680652437415	0.982267789446002
Skcos10078	-0.342702206989673	0.185869275651069	0.580697832329997
Skcos10079	-0.814092788601784	0.0124620148464198	0.90135126722897
Skcos1008	-1.50701041422108	3.74109746770369e-05	0.998151564418339
Skcos10080	-0.937735610236788	0.00517481710140721	0.951538250200099
Skcos10081	nan	nan	nan
Skcos10082	-0.0912067459676468	0.123047944999171	0.338613628915498
Skcos10083	nan	nan	nan
Skcos10084	-1.56388188379188	2.72849265445192e-08	0.999951177406527
Skcos10085	0.293789523810654	0.546633112020082	0.209276587447602
Skcos10086	0.882753095211199	0.985007594593972	0.000142222989700725
Skcos10087	-0.505255686997139	0.0239514292594531	0.770829293038057
Skcos10088	-0.540576135604068	0.00313896941178019	0.886797084671533
Skcos10089	-0.800635815947795	0.00721988304436102	0.917723615468534
Skcos1009	-0.698722958896542	0.009384682867754	0.878941440589163
Skcos10090	-0.878277093875589	0.0378918576493468	0.850774505187221
Skcos10091	-0.118093215866298	0.161245156933797	0.395395986901731
Skcos10092	-0.118093215866298	0.161245156933797	0.395395986901731
Skcos10093	-1.410332500947	0	0.999997136981124
Skcos10094	nan	nan	nan
Skcos10095	0.293789523810654	0.546633112020082	0.209276587447602
Skcos10096	-0.652908850299265	0.0551122192764463	0.778231070129934
Skcos10097	nan	nan	nan
Skcos10098	nan	nan	nan
Skcos10099	-1.31431127880595	6.49627679461214e-05	0.997255801419454
Skcos101	-0.878277093875589	0.0378918576493468	0.850774505187221
Skcos1010	-0.118093215866298	0.161245156933797	0.395395986901731
Skcos10100	-1.46418545755654	0.00133728476960826	0.987542100516128
Skcos10101	-0.641477019046737	0	0.996337191540479
Skcos10102	-0.538854917216882	0.121896524736332	0.684899826610473
Skcos10103	0.081010166724224	0.300802331628128	0.0985409646753082
Skcos10104	-0.929970416610037	0.0115752143810539	0.912125221826916
