delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	0.133197538927003	0.0209269150196098	0
Skcos10	-0.418731276609346	0.0302684158698343	0.323773258193939
Skcos100	-2.00345287710283	0	1
Skcos1000	-1.03394735349542	0	0.999057381653438
Skcos10000	-0.234871243718255	0	0
Skcos10001	-1.23165249475017	0	0.998725834171169
Skcos10002	0.249530803992827	0	0
Skcos10003	-0.275452150829384	0.0126106524028926	0.159975938509717
Skcos10004	-0.912912001053673	6.43772254557457e-07	0.733730081873463
Skcos10005	-0.509014885513792	5.78866563720445e-06	0.261156332242461
Skcos10006	-0.342702206989673	0.0475445425854669	0.289121602826716
Skcos10007	-0.118093215866298	0	0
Skcos10008	-1.07950613393088	0.000218939655770795	0.772940184109346
Skcos10009	-1.81369555128737	0	0.999999978726799
Skcos1001	0.00759749107931311	0	0
Skcos10010	-0.118093215866298	0	0
Skcos10011	-1.62301430403937	3.09866338251444e-08	0.97977788305505
Skcos10012	-0.342702206989673	0.0475445425854669	0.289121602826716
Skcos10013	-1.81840806032731	4.5241972686899e-08	0.98637707084511
Skcos10014	-1.14030778172573	0.00104187526286256	0.762967312653694
Skcos10015	nan	nan	nan
Skcos10016	-1.19022560285927	2.45315591528543e-06	0.885651161104423
Skcos10017	0.678954193411052	0.485653354002447	0.012956051528417
Skcos10018	-1.91745061897974	0	0.999676797717299
Skcos10019	-1.32842862613776	0	0.991898860460168
Skcos1002	-0.265860968789599	0	0.000484851429199609
Skcos10020	0.0230927060538224	0	0
Skcos10021	nan	nan	nan
Skcos10022	-0.505255686997139	0.000669386605592317	0.303570162966283
Skcos10023	-0.118093215866298	0	0
Skcos10024	-1.32748258975987	0.000178272867929338	0.848038427780088
Skcos10025	-1.98562293876784	0	1
Skcos10026	-2.98039885939918	0	1
Skcos10027	0.55113373393498	0.0319045309411518	0
Skcos10028	nan	nan	nan
Skcos10029	-1.12474028433834	1.17566534618522e-09	0.928440852745318
Skcos1003	-0.538854917216882	0.0273124949816438	0.405134665894241
Skcos10030	-0.342702206989673	0.0475445425854669	0.289121602826716
Skcos10031	-0.342702206989673	0.0475445425854669	0.289121602826716
Skcos10032	0.505855323766915	0.394251020334248	0.033655477333814
Skcos10033	-0.118093215866298	0	0
Skcos10034	nan	nan	nan
Skcos10035	-0.342702206989673	0.0475445425854669	0.289121602826716
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	-1.6103420833389	1.81723441720492e-10	0.993787610760183
Skcos10039	-1.52100935751534	1.58572915187329e-05	0.925847514928573
Skcos1004	-0.480249832364538	0.000185422816383365	0.266311160520554
Skcos10040	-1.5726809890875	1.02579100860975e-05	0.934268653790737
Skcos10041	-0.154476564887557	0	5.13055804233418e-05
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	-0.538854917216882	0.0273124949816438	0.405134665894241
Skcos10045	-0.0572487462516734	0	0
Skcos10046	-1.11406734956473	1.33305768051008e-06	0.882573187986229
Skcos10047	-2.04012135328308	0	0.999816308863956
Skcos10048	-0.358357584365858	8.4411947734145e-07	0.0694993871845451
Skcos10049	-1.77963484004444	0	0.9999996453074
Skcos1005	-1.32748258975987	0.000178272867929338	0.848038427780088
Skcos10050	-0.753647504516094	0.00376968231407964	0.547539312831359
Skcos10051	0.105189027175598	0	0
Skcos10052	nan	nan	nan
Skcos10053	-0.118093215866298	0	0
Skcos10054	nan	nan	nan
Skcos10055	-1.14030778172573	0.00104187526286256	0.762967312653694
Skcos10056	-0.118093215866298	0	0
Skcos10057	-0.342702206989673	0.0475445425854669	0.289121602826716
Skcos10058	-1.70644897015426	4.12870234973106e-07	0.967441385353374
Skcos10059	nan	nan	nan
Skcos1006	0.322643212168949	0	0
Skcos10060	-1.40049973064803	8.67860289932584e-05	0.884482996728812
Skcos10061	-0.290850611921223	0	0.001324001975168
Skcos10062	0.105189027175598	0	0
Skcos10063	nan	nan	nan
Skcos10064	nan	nan	nan
Skcos10065	nan	nan	nan
Skcos10066	0.493929389965979	0.381829585108481	0.0310867031200346
Skcos10067	-1.0195816513455	0.00288645584250966	0.690335337863171
Skcos10068	-0.541888565345167	0.0166357451087086	0.389379982519109
Skcos10069	-0.929970416610037	0.000989383263064155	0.666499544664148
Skcos1007	-0.541888565345167	0.0166357451087086	0.389379982519109
Skcos10070	-1.14613846330385	7.19705089960795e-05	0.824235117956214
