delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	0.295517715380616	0.607530291283527	0.0288361670868328
Skcos10	-0.107996769180047	0.132789558448189	0.35403102225252
Skcos100	-0.266629098806234	0.0186400455375182	0.561643542573411
Skcos1000	-0.0391790184484841	0.0193036552513243	0.0731806825788566
Skcos10000	-0.173220512087165	0	0.225536230183892
Skcos10001	0.0203235488717175	0.169155148112342	0.124873659930781
Skcos10002	-0.0938627733035532	2.09866752986595e-05	0.0490786993247555
Skcos10003	0.164692764110062	0.432920471304566	0.129940357075176
Skcos10004	-0.298082551289979	0.0404853524400138	0.595045492282095
Skcos10005	0.140759258884877	0.380040979167188	0.0965854049296299
Skcos10006	nan	nan	nan
Skcos10007	nan	nan	nan
Skcos10008	0.0905683508404952	0.320364783010274	0.119037616257018
Skcos10009	-0.0621428619129559	0.0497087964558231	0.2122032501421
Skcos1001	-0.273759405691614	0.0556537485353616	0.562130376194036
Skcos10010	nan	nan	nan
Skcos10011	-0.167012931025237	0.135190537301948	0.441000233446867
Skcos10012	nan	nan	nan
Skcos10013	nan	nan	nan
Skcos10014	nan	nan	nan
Skcos10015	nan	nan	nan
Skcos10016	0.160145469416548	0.428134853723913	0.144819400313481
Skcos10017	0.162347739450004	0.434572580668973	0.137726515918925
Skcos10018	-0.214311399009453	0.0907191197435092	0.486585972716666
Skcos10019	-0.415471942887467	0.00367508574156763	0.79282988488372
Skcos1002	-0.26375802855332	2.86833013545806e-05	0.637439135002292
Skcos10020	-0.161875646085393	0.0719896209632379	0.412682531478544
Skcos10021	nan	nan	nan
Skcos10022	0.361508329863324	0.640190045484441	0.0560353696626151
Skcos10023	nan	nan	nan
Skcos10024	-0.0479536533083974	0	0.116423717487513
Skcos10025	-0.452253199933969	0.00243345649860112	0.833361777484364
Skcos10026	-0.463047025846203	0.000239350194274048	0.888660762861586
Skcos10027	0.188068382951742	0.307614329292016	0
Skcos10028	nan	nan	nan
Skcos10029	-0.0406161277807607	0	0.0686682592191226
Skcos1003	nan	nan	nan
Skcos10030	-0.0479536533083974	0	0.116423717487513
Skcos10031	nan	nan	nan
Skcos10032	0.160145469416548	0.428134853723913	0.144819400313481
Skcos10033	nan	nan	nan
Skcos10034	nan	nan	nan
Skcos10035	-0.118506736839009	0.13470621195985	0.376489869379795
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	-0.463965823691301	0.0178905891105988	0.779764916076281
Skcos10039	nan	nan	nan
Skcos1004	-0.0465668769556856	0	0.128601137318712
Skcos10040	-0.188430352911955	0.128103764293248	0.46250492540822
Skcos10041	-0.323629007108187	5.44426831474711e-06	0.79003953215259
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	-0.0479536533083974	0	0.116423717487513
Skcos10045	0.027536110711947	0	0
Skcos10046	0.0336195811519277	0	0
Skcos10047	0.0920829864196341	0.324062860139786	0.12184496208605
Skcos10048	0.272206029325646	0.592890569311625	0.0175751539893926
Skcos10049	-0.510094467471877	0.00086438326152745	0.88944150839693
Skcos1005	-0.379320279829133	0.0522251683175799	0.672650642999581
Skcos10050	0.0905683508404952	0.320364783010274	0.119037616257018
Skcos10051	-0.0357937288957111	0	0
Skcos10052	nan	nan	nan
Skcos10053	nan	nan	nan
Skcos10054	nan	nan	nan
Skcos10055	-0.0479536533083974	0	0.116423717487513
Skcos10056	nan	nan	nan
Skcos10057	nan	nan	nan
Skcos10058	-0.255509065876112	0.100495046569544	0.5409422255044
Skcos10059	nan	nan	nan
Skcos1006	0.0720390067585519	0.000640089527176474	0
Skcos10060	-0.379320279829133	0.0522251683175799	0.672650642999581
Skcos10061	-0.258994823853322	6.73916181356675e-05	0.618419726522759
Skcos10062	0.160145469416548	0.428134853723913	0.144819400313481
Skcos10063	nan	nan	nan
Skcos10064	-0.0479536533083974	0	0.116423717487513
Skcos10065	nan	nan	nan
Skcos10066	0.0958910976692495	0.333793949735595	0.121208592677867
Skcos10067	nan	nan	nan
Skcos10068	-0.167012931025237	0.135190537301948	0.441000233446867
Skcos10069	0.0235141054137741	0	0
Skcos1007	-0.107996769180047	0.132789558448189	0.35403102225252
Skcos10070	-0.0432436940525144	0	0.0739913494005043
Skcos10071	-0.0479536533083974	0	0.116423717487513
Skcos10072	-0.159227938426184	0.0838575777988319	0.40289253074354
Skcos10073	nan	nan	nan
Skcos10074	0.0415405534031416	0.0451950906767081	0
Skcos10075	-0.098224272963568	0.109481150962327	0.321540285900966
Skcos10076	nan	nan	nan
Skcos10077	0.47983843876057	0.755232994550227	0.0249144918724034
Skcos10078	-0.0479536533083974	0	0.116423717487513
Skcos10079	0.027536110711947	0	0
Skcos1008	-0.32850938157736	0.0589778388579807	0.624530137083716
Skcos10080	-0.143164450028722	0.136044024675952	0.404038343341404
Skcos10081	nan	nan	nan
Skcos10082	0.0905683508404952	0.320364783010274	0.119037616257018
Skcos10083	nan	nan	nan
Skcos10084	-0.459949799670308	0.014660869866899	0.784520416512889
Skcos10085	0.0905683508404952	0.320364783010274	0.119037616257018
Skcos10086	-0.126026409060548	0.0528102383495476	0.326568228747446
Skcos10087	-0.331709744589087	0.0292999925965449	0.655865720941631
Skcos10088	0.0988960838150993	0.316820778633277	0.0961931413672821
Skcos10089	0.160861069018932	0.435904065687822	0.142531224290731
Skcos1009	0.041457316390525	0.0503848195543838	0
Skcos10090	nan	nan	nan
Skcos10091	nan	nan	nan
Skcos10092	nan	nan	nan
Skcos10093	0.0494550797631031	0.122236436194268	0
Skcos10094	nan	nan	nan
Skcos10095	0.0905683508404952	0.320364783010274	0.119037616257018
Skcos10096	0.0905683508404952	0.320364783010274	0.119037616257018
Skcos10097	-0.0479536533083974	0	0.116423717487513
Skcos10098	nan	nan	nan
Skcos10099	-0.0924766915649227	0.120982185786191	0.32476822757606
Skcos101	nan	nan	nan
