delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	0.295517715380616	0.0723825842110143	0.000151995540964412
Skcos10	-0.107996769180047	0	0
Skcos100	-0.266629098806234	1.85737420903583e-05	0.0374030037603745
Skcos1000	-0.0391790184484841	0	0
Skcos10000	-0.173220512087165	0	0
Skcos10001	0.0203235488717175	0.000639730861713679	0.000380806714645074
Skcos10002	-0.0938627733035532	0	0
Skcos10003	0.164692764110062	0.0621158991621402	0
Skcos10004	-0.298082551289979	0.000392325724264385	0.0916138196274351
Skcos10005	0.140759258884877	0.0195922895354084	0
Skcos10006	nan	nan	nan
Skcos10007	nan	nan	nan
Skcos10008	0.0905683508404952	0	0
Skcos10009	-0.0621428619129559	0	0
Skcos1001	-0.273759405691614	0.00105408221944061	0.0907632875448688
Skcos10010	nan	nan	nan
Skcos10011	-0.167012931025237	0	0.064277398366004
Skcos10012	nan	nan	nan
Skcos10013	nan	nan	nan
Skcos10014	nan	nan	nan
Skcos10015	nan	nan	nan
Skcos10016	0.160145469416548	0.0633186394340324	0
Skcos10017	0.162347739450004	0.064337616949754	0
Skcos10018	-0.214311399009453	0.0028765733841253	0.0741086386588876
Skcos10019	-0.415471942887467	1.80868016620989e-06	0.122711165600745
Skcos1002	-0.26375802855332	0	0.000272478862840261
Skcos10020	-0.161875646085393	0.000277924683810368	0.0214997125801241
Skcos10021	nan	nan	nan
Skcos10022	0.361508329863324	0.178861298332409	0.00177944052663431
Skcos10023	nan	nan	nan
Skcos10024	-0.0479536533083974	0	0
Skcos10025	-0.452253199933969	5.39077072543083e-07	0.161266439091469
Skcos10026	-0.463047025846203	0	0.1266538381936
Skcos10027	0.188068382951742	0	0
Skcos10028	nan	nan	nan
Skcos10029	-0.0406161277807607	0	0
Skcos1003	nan	nan	nan
Skcos10030	-0.0479536533083974	0	0
Skcos10031	nan	nan	nan
Skcos10032	0.160145469416548	0.0633186394340324	0
Skcos10033	nan	nan	nan
Skcos10034	nan	nan	nan
Skcos10035	-0.118506736839009	0	0
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	-0.463965823691301	0.000176259768452189	0.238934893874208
Skcos10039	nan	nan	nan
Skcos1004	-0.0465668769556856	0	0
Skcos10040	-0.188430352911955	0.00166400647553261	0.0825855741808557
Skcos10041	-0.323629007108187	0	0.00205527277361887
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	-0.0479536533083974	0	0
Skcos10045	0.027536110711947	0	0
Skcos10046	0.0336195811519277	0	0
Skcos10047	0.0920829864196341	0	0
Skcos10048	0.272206029325646	0.035226661150383	1.86510544623126e-05
Skcos10049	-0.510094467471877	0	0.214439807360266
Skcos1005	-0.379320279829133	0.00187340366053787	0.191031179106955
Skcos10050	0.0905683508404952	0	0
Skcos10051	-0.0357937288957111	0	0
Skcos10052	nan	nan	nan
Skcos10053	nan	nan	nan
Skcos10054	nan	nan	nan
Skcos10055	-0.0479536533083974	0	0
