delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	0.119934593175138	0.359319514638551	0.107479375008248
Skcos10	-0.744027666252958	0.062698334302642	0.794933877347392
Skcos100	-1.90318554035093	0	1
Skcos1000	-1.0994310417677	0	1
Skcos10000	-0.168321640146349	0	0.169980715296584
Skcos10001	-1.66153484784736	0	1
Skcos10002	0.0352732589642325	0.0134837530532521	0.00111100216694494
Skcos10003	-0.828693203758334	0.0112548940607264	0.901210966024774
Skcos10004	-1.0447520092377	3.69559464213657e-05	0.994290608228713
Skcos10005	-0.972214826815667	1.64248378173735e-05	0.99603828330157
Skcos10006	-0.158370213278713	0.205553423092884	0.451177218476674
Skcos10007	-0.175430667922144	0.210007244738914	0.46920830833439
Skcos10008	-0.577655445315059	0.032687689998998	0.792365404476881
Skcos10009	-2.02778579051414	0	1
Skcos1001	0.0468663425657522	0.119255066878346	0
Skcos10010	0.0285897191730738	0	0
Skcos10011	-1.7284580857454	2.67764240600599e-06	0.999744009061046
Skcos10012	-0.376554351820859	0.16862971246235	0.597879300992256
Skcos10013	-1.6061976064169	9.25553477017735e-06	0.999129010740289
Skcos10014	-0.809304463860563	0.0263739562213022	0.870761135276511
Skcos10015	nan	nan	nan
Skcos10016	-1.10196861624432	0.000280391909640048	0.986387820640254
Skcos10017	0.0285897191730738	0	0
Skcos10018	-1.58597236216528	0	0.999996545886
Skcos10019	-1.77026328294842	0	1
Skcos1002	-0.146010610095024	0.000734708587578123	0.25689877976501
Skcos10020	0.0710045064044393	0.253391342520484	0.0633800604426928
Skcos10021	nan	nan	nan
Skcos10022	-0.735133308846861	0.00617488375407596	0.918988498529288
Skcos10023	0.0285897191730738	0	0
Skcos10024	-1.40066434217112	0.00259047554621543	0.976926558488029
Skcos10025	-1.47295068592713	0	1
Skcos10026	-2.76756274543616	0	1
Skcos10027	0.397990135152426	0.988392872673223	0
Skcos10028	nan	nan	nan
Skcos10029	-1.16389830314225	1.99131190514468e-06	0.99899633808603
Skcos1003	-0.564989142206901	0.100874137544774	0.704027497872243
Skcos10030	-0.376554351820859	0.16862971246235	0.597879300992256
Skcos10031	-0.376554351820859	0.16862971246235	0.597879300992256
Skcos10032	nan	nan	nan
Skcos10033	-0.175430667922144	0.210007244738914	0.46920830833439
Skcos10034	nan	nan	nan
Skcos10035	-0.376554351820859	0.16862971246235	0.597879300992256
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	-1.73259791166562	6.79981526093446e-08	0.999966545894152
Skcos10039	-0.966271718857017	0.0041783691631667	0.954260057515813
Skcos1004	-0.615832815662711	0.00529196170978214	0.898353893940342
Skcos10040	-1.28843637791365	0.000769951328432263	0.989774530407143
Skcos10041	0.178064579497503	0.343772538060888	0.000316110520419278
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	-0.325577563335317	0.175094917666655	0.568945954762812
Skcos10045	-0.131894269922177	0.194508827292914	0.414704834160356
Skcos10046	-0.578381797171515	0.00670598942308136	0.859753483561867
Skcos10047	-1.88243995796988	0	0.999999699342116
Skcos10048	-0.708023874972265	2.83926625606673e-05	0.980423624180168
Skcos10049	-1.31642324148182	0	1
Skcos1005	-0.993748076440869	0.00865380716310879	0.940096800009144
Skcos10050	-0.58127351447928	0.0511643295033057	0.760050082066332
Skcos10051	-0.376554351820859	0.16862971246235	0.597879300992256
Skcos10052	nan	nan	nan
Skcos10053	-0.175430667922144	0.210007244738914	0.46920830833439
Skcos10054	nan	nan	nan
Skcos10055	-1.19265316371707	0.00866189256779364	0.950224782733291
Skcos10056	-0.175430667922144	0.210007244738914	0.46920830833439
Skcos10057	-0.376554351820859	0.16862971246235	0.597879300992256
Skcos10058	-1.19600491778927	0.000461179570646366	0.987401928116523
Skcos10059	nan	nan	nan
Skcos1006	0.241316053353663	0.65478775021316	0
Skcos10060	-0.828693203758334	0.0112548940607264	0.901210966024774
Skcos10061	-0.0529620434940121	0.00897568442934162	0.0729011094092903
Skcos10062	-0.376554351820859	0.16862971246235	0.597879300992256
Skcos10063	0.222937166879801	0.497239560713576	0.219234282697362
Skcos10064	nan	nan	nan
Skcos10065	nan	nan	nan
Skcos10066	-0.175430667922144	0.210007244738914	0.46920830833439
Skcos10067	-0.704957639651432	0.0433152932410093	0.814036008362386
Skcos10068	-0.377071338810808	0.130464881525541	0.622841957381176
Skcos10069	-0.993748076440869	0.00865380716310879	0.940096800009144
Skcos1007	-0.215475199732258	0.193832257869621	0.488958593381452
Skcos10070	-0.641070897988275	0.0187380492629152	0.844883644095516
Skcos10071	-0.78546290182876	0.00928650123148282	0.905989047277389
Skcos10072	-1.65039373124121	0	1
Skcos10073	nan	nan	nan
Skcos10074	-1.18712560754504	0	0.999934503105756
Skcos10075	-0.578087635693641	0.00881142421885724	0.848574767351701
Skcos10076	-1.19265316371707	0.00866189256779364	0.950224782733291
Skcos10077	-1.29935956244026	8.45366045478161e-07	0.99970434454519
Skcos10078	-0.376554351820859	0.16862971246235	0.597879300992256
Skcos10079	-1.15173476324745	0.00210298608050745	0.969786505661669
Skcos1008	-0.995034314997955	0.000528649861279974	0.981478364583876
Skcos10080	-0.283998399181952	0.0894395866752677	0.573606624893176
Skcos10081	0.222937166879801	0.497239560713576	0.219234282697362
Skcos10082	-0.376554351820859	0.16862971246235	0.597879300992256
Skcos10083	nan	nan	nan
Skcos10084	-0.760183597767621	0.000140186844517634	0.980891578420383
Skcos10085	nan	nan	nan
Skcos10086	1.07567771859432	0.998896341468002	1.68546371784577e-06
Skcos10087	-0.859147303293038	0.00330008529800232	0.944678451458276
Skcos10088	-0.808140581292796	0.000116222706674282	0.981877124825979
Skcos10089	-1.08764444731316	0.0010917393472627	0.975631658780663
Skcos1009	-0.393093348233669	0.0427335165123735	0.679402714593191
Skcos10090	-0.910415420424369	0.0336981947892715	0.861777312324671
Skcos10091	-0.175430667922144	0.210007244738914	0.46920830833439
Skcos10092	-0.175430667922144	0.210007244738914	0.46920830833439
Skcos10093	-1.71907969139268	0	0.999999992037866
Skcos10094	nan	nan	nan
Skcos10095	nan	nan	nan
Skcos10096	-0.484066254306109	0.0838631195056116	0.698078049150073
Skcos10097	nan	nan	nan
Skcos10098	nan	nan	nan
Skcos10099	-1.07599741300347	0.000143299041516293	0.989718119568182
Skcos101	-0.910415420424369	0.0336981947892715	0.861777312324671
Skcos1010	-0.175430667922144	0.210007244738914	0.46920830833439
Skcos10100	-1.15173476324745	0.00210298608050745	0.969786505661669
Skcos10101	-0.60718187612597	0	0.996110665734101
Skcos10102	-0.564989142206901	0.100874137544774	0.704027497872243
Skcos10103	0.324643140168207	0.595056854886976	0.0939674170901734
Skcos10104	-0.752471816716837	0.0210879769622423	0.873430764089846
Skcos10105	-0.997261322307385	1.24153034893461e-07	0.999237796519659
Skcos10106	-1.6760431087691	0	0.999999862347816
Skcos10107	0.0285897191730738	0	0
Skcos10108	-1.65039373124121	0	1
Skcos10109	-1.24422725816293	3.22167236549221e-06	0.999395598469198
Skcos1011	-0.7631560127211	0	0.998130804777668
Skcos10110	-0.65173413818365	0.00311448219364426	0.913665074068718
Skcos10111	-1.25324670021232	1.07137352954032e-05	0.998863136537666
Skcos10112	-0.446865979159145	0.0139094545328852	0.767669453133607
Skcos10113	-0.0911333359421313	0.137317418807895	0.332641102166619
Skcos10114	0.591025740578578	0.7295611714054	0.0922369145077954
Skcos10115	-0.175430667922144	0.210007244738914	0.46920830833439
