delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	0.119934593175138	0.00610328831640853	0
Skcos10	-0.744027666252958	0.0108466692249215	0.523795135666273
Skcos100	-1.90318554035093	0	1
Skcos1000	-1.0994310417677	0	0.999951274959964
Skcos10000	-0.168321640146349	0	0
Skcos10001	-1.66153484784736	0	0.999999891949604
Skcos10002	0.0352732589642325	0	0
Skcos10003	-0.828693203758334	0.000532447306946241	0.613021610173781
Skcos10004	-1.0447520092377	3.46309730411599e-08	0.860761320739237
Skcos10005	-0.972214826815667	2.73036648714799e-09	0.830071007278546
Skcos10006	-0.158370213278713	0	0.108338362334149
Skcos10007	-0.175430667922144	0	0.136819765785725
Skcos10008	-0.577655445315059	0.00159937160690879	0.380841096667725
Skcos10009	-2.02778579051414	0	1
Skcos1001	0.0468663425657522	0	0
Skcos10010	0.0285897191730738	0	0
Skcos10011	-1.7284580857454	2.43084615665822e-09	0.992119067483921
Skcos10012	-0.376554351820859	0.0434545082396589	0.31142956397423
Skcos10013	-1.6061976064169	7.76741319824066e-08	0.976869744123254
Skcos10014	-0.809304463860563	0.00237613713097822	0.593727349814926
Skcos10015	nan	nan	nan
Skcos10016	-1.10196861624432	2.89719758091107e-06	0.867526953047277
Skcos10017	0.0285897191730738	0	0
Skcos10018	-1.58597236216528	0	0.997687510753109
Skcos10019	-1.77026328294842	0	0.999953792052029
Skcos1002	-0.146010610095024	0	1.26599902430298e-06
Skcos10020	0.0710045064044393	0	0
Skcos10021	nan	nan	nan
Skcos10022	-0.735133308846861	0.000102319479333511	0.568256088100876
Skcos10023	0.0285897191730738	0	0
Skcos10024	-1.40066434217112	0.000100484542782433	0.885816839554023
Skcos10025	-1.47295068592713	0	0.999997998927109
Skcos10026	-2.76756274543616	0	1
Skcos10027	0.397990135152426	6.22087986652391e-05	0
Skcos10028	nan	nan	nan
Skcos10029	-1.16389830314225	1.07996604063311e-10	0.940434624623209
Skcos1003	-0.564989142206901	0.021843746190093	0.418416225252389
Skcos10030	-0.376554351820859	0.0434545082396589	0.31142956397423
Skcos10031	-0.376554351820859	0.0434545082396589	0.31142956397423
Skcos10032	nan	nan	nan
Skcos10033	-0.175430667922144	0	0.136819765785725
Skcos10034	nan	nan	nan
Skcos10035	-0.376554351820859	0.0434545082396589	0.31142956397423
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	-1.73259791166562	4.42191830381201e-12	0.996784316133536
Skcos10039	-0.966271718857017	0.000106400631798884	0.7295483135342
Skcos1004	-0.615832815662711	2.54679683197801e-05	0.404009731281757
Skcos10040	-1.28843637791365	1.60798990705374e-05	0.907785362372852
Skcos10041	0.178064579497503	6.94637244459255e-06	0
Skcos10042	nan	nan	nan
