delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	0.126431110622867	0.291669049806898	0.0216764171732803
Skcos10	-0.0557186540425322	0	0.141104741549652
Skcos100	-0.0897689531012503	0.0249528390217124	0.197035567944623
Skcos1000	-0.0744214337080808	0.0033067025943337	0.0876372279921351
Skcos10000	-0.100821674510644	0	0.0175109736338537
Skcos10001	-0.16269845765534	0.00683679019519235	0.344598188522368
Skcos10002	-0.270126926490528	0	0.743326668727702
Skcos10003	-0.0174185977789541	0	0
Skcos10004	-0.141659663269751	0.0210919121124605	0.325416969984937
Skcos10005	-0.0595663742169599	0.0137580507112069	0.150858418092901
Skcos10006	0.0197313987650422	0	0
Skcos10007	nan	nan	nan
Skcos10008	0.0763064342584793	0.20783066436049	0.0398114183685915
Skcos10009	-0.0908343036560346	0.0275840744094558	0.212884449909971
Skcos1001	-0.0976771666487594	0.03629563507705	0.24332914080152
Skcos10010	0.0197313987650422	0	0
Skcos10011	-0.0547103446500635	0	0.136302720117618
Skcos10012	nan	nan	nan
Skcos10013	0.0197313987650422	0	0
Skcos10014	0.0197313987650422	0	0
Skcos10015	nan	nan	nan
Skcos10016	0.0574815253697571	0.146301360870852	0.00708817802984432
Skcos10017	-0.0178156549113696	0	0
Skcos10018	-0.0140170440543711	0	0
Skcos10019	-0.319450772931902	0.000611143719823612	0.717142881471914
Skcos1002	-0.122360156436603	0.000309769639416408	0.15763745699042
Skcos10020	-0.0655391968056972	0.0220817489718306	0.16347443806274
Skcos10021	nan	nan	nan
Skcos10022	0.075639192511291	0.207069465371783	0.0372257280647815
Skcos10023	0.0197313987650422	0	0
Skcos10024	-0.0180510803263788	0	0
Skcos10025	-0.0240795140257412	0.0539346248561615	0.0959803536149813
Skcos10026	-0.164489881299139	0.00281253460406964	0.344272191381357
Skcos10027	0.0350429128511458	0.00245595081373066	5.50683238151943e-05
Skcos10028	nan	nan	nan
Skcos10029	-0.0140170440543711	0	0
Skcos1003	nan	nan	nan
Skcos10030	-0.0180510803263788	0	0
Skcos10031	nan	nan	nan
Skcos10032	nan	nan	nan
Skcos10033	nan	nan	nan
Skcos10034	nan	nan	nan
Skcos10035	-0.036890257760252	0	0
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	-0.171494608945799	0.0169048543695778	0.39089616176642
Skcos10039	0.0386167064786735	0.0182246681557798	0
Skcos1004	-0.0443129160748802	0	0.0701655349017582
Skcos10040	-0.0363991710482527	0	0
Skcos10041	-0.0126347522685071	0.00909120991150592	0.0174914316500482
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	0.000918985720682073	0	0
Skcos10045	0.00109088107286433	0	0
Skcos10046	0.10917063458132	0.270215796089348	0.0363729782590588
Skcos10047	0.0571814428140334	0.145823135192244	0.00465731166665928
Skcos10048	0.00874284726949031	0	0
Skcos10049	-0.0827624970134293	0.0221617751397998	0.183328996105725
Skcos1005	-0.0904813297216423	0.0427206120459772	0.240677645801841
Skcos10050	0.0386167064786735	0.0182246681557798	0
Skcos10051	-0.0557186540425322	0	0.141104741549652
Skcos10052	nan	nan	nan
Skcos10053	nan	nan	nan
Skcos10054	nan	nan	nan
Skcos10055	-0.0180510803263788	0	0
Skcos10056	nan	nan	nan
Skcos10057	nan	nan	nan
Skcos10058	-0.0356064893819119	0	0
Skcos10059	nan	nan	nan
Skcos1006	-0.0081060473459687	0	4.65272229834267e-07
Skcos10060	-0.0708045268059176	0.0335607289297128	0.194781531759622
Skcos10061	-0.0306050761136957	0.0068913633837216	0.0282205398310276
Skcos10062	nan	nan	nan
Skcos10063	0.0197313987650422	0	0
Skcos10064	-0.0180510803263788	0	0
Skcos10065	nan	nan	nan
Skcos10066	-0.036890257760252	0	0
Skcos10067	0.0197313987650422	0	0
Skcos10068	-0.0356064893819119	0	0
Skcos10069	0.000918985720682073	0	0
Skcos1007	0.00135842085265892	0	0
Skcos10070	0.0384416467382372	0.0143953354541261	0
Skcos10071	0.0385512714683524	0.0181777739631654	0
Skcos10072	-0.0698441296831192	0.0275972012401698	0.178570951988896
Skcos10073	nan	nan	nan
Skcos10074	-0.119172324229487	0.0214530004781361	0.263121195249316
Skcos10075	-0.106396486862038	0.030956825157737	0.255916081692173
Skcos10076	nan	nan	nan
Skcos10077	0.075639192511291	0.207069465371783	0.0372257280647815
Skcos10078	-0.0180510803263788	0	0
Skcos10079	-0.0178156549113696	0	0
Skcos1008	-0.0506560172285243	0	0.112182585564192
Skcos10080	0.0554480718588874	0.135369584206599	0
Skcos10081	0.0197313987650422	0	0
Skcos10082	nan	nan	nan
Skcos10083	nan	nan	nan
Skcos10084	-0.0100254872543171	0	0
Skcos10085	nan	nan	nan
Skcos10086	0.012417553713351	0.0797921498232094	0.0598106052926602
Skcos10087	-0.194270946278345	0.0103708462716999	0.433996365042261
Skcos10088	-0.0268713400795496	0	0
Skcos10089	0.0197783255129744	0	0
Skcos1009	0.0733647649489598	0.200633610006225	0.0349728323699228
Skcos10090	nan	nan	nan
Skcos10091	nan	nan	nan
Skcos10092	nan	nan	nan
Skcos10093	-0.0443129160748802	0	0.0701655349017582
Skcos10094	nan	nan	nan
Skcos10095	nan	nan	nan
Skcos10096	0.0386167064786735	0.0182246681557798	0
Skcos10097	-0.0180510803263788	0	0
Skcos10098	nan	nan	nan
Skcos10099	0.00172437632348846	0	0
Skcos101	nan	nan	nan
Skcos1010	nan	nan	nan
Skcos10100	0.000918985720682073	0	0
Skcos10101	-0.0332964954495119	0.0249865361107368	0.0727179142245776
Skcos10102	-0.0180510803263788	0	0
Skcos10103	0.0374862099027376	0.00694740711796545	0
Skcos10104	0.0386167064786735	0.0182246681557798	0
Skcos10105	-0.0071867481447525	0	0
Skcos10106	-0.106396486862038	0.030956825157737	0.255916081692173
Skcos10107	-0.0547103446500635	0	0.136302720117618
Skcos10108	-0.153079905913333	0.0144713223121982	0.334254189896471
Skcos10109	0.00214813246843006	0	0
Skcos1011	-0.085761883779415	0.0173514940821927	0.170264912302495
Skcos10110	0.128020384928793	0.306622354429465	0.0309306100134894
Skcos10111	0.00172437632348846	0	0
Skcos10112	-0.0698441296831192	0.0275972012401698	0.178570951988896
Skcos10113	0.0907005286236312	0.236071149197996	0.0397056860344891
Skcos10114	-0.0336612244193194	0	0
Skcos10115	nan	nan	nan
Skcos10116	-0.0443129160748802	0	0.0701655349017582
Skcos10117	-0.160034149200757	0.0179860731226412	0.356208230474405
Skcos10118	0.0197313987650422	0	0
Skcos10119	nan	nan	nan
Skcos1012	0.0223902533895737	0	0
Skcos10120	nan	nan	nan
Skcos10121	0.0384416467382372	0.0143953354541261	0
Skcos10122	0.0197313987650422	0	0
Skcos10123	-0.132107022514315	0.0269748798071989	0.314107171021457
Skcos10124	0.000918985720682073	0	0
Skcos10125	0.00109088107286433	0	0
Skcos10126	nan	nan	nan
Skcos10127	-0.029259730014109	0	0
Skcos10128	0.0563237365398451	0.140220917100609	0.00228645531670154
Skcos10129	-0.232927190326105	0.00204637862127471	0.521058343724566
Skcos1013	-0.0913881892497609	0.0364965924645303	0.225910899585577
Skcos10130	-0.0535897759483443	0	0.112380572718748
Skcos10131	nan	nan	nan
Skcos10132	0.00109088107286433	0	0
Skcos10133	-0.0744867457823802	0.0370586196054214	0.207238247605478
Skcos10134	0.00902172697192441	0	0
Skcos10135	-0.0882989252667938	0.0249525710697469	0.197014780277457
Skcos10136	0.0386167064786735	0.0182246681557798	0
Skcos10137	-0.072719326979159	0.0351818230529993	0.200426704496451
Skcos10138	-0.227712062730472	1.10289672916746e-05	0.520072067363489
Skcos10139	nan	nan	nan
Skcos1014	-0.0744867457823802	0.0370586196054214	0.207238247605478
Skcos10140	nan	nan	nan
Skcos10141	nan	nan	nan
Skcos10142	nan	nan	nan
Skcos10143	nan	nan	nan
Skcos10144	nan	nan	nan
Skcos10145	nan	nan	nan
Skcos10146	nan	nan	nan
Skcos10147	0.0197313987650422	0	0
Skcos10148	-0.116116145564029	0.0315857452976638	0.278437790815509
Skcos10149	0.00109088107286433	0	0
Skcos1015	nan	nan	nan
Skcos10150	0.000918985720682073	0	0
Skcos10151	0.0197313987650422	0	0
Skcos10152	0.000918985720682073	0	0
Skcos10153	-0.036890257760252	0	0
Skcos10154	0.0563237365398451	0.140220917100609	0.00228645531670154
Skcos10155	-0.104717629847227	0.0078789496309705	0.196814921004332
Skcos10156	-0.0557186540425322	0	0.141104741549652
Skcos10157	0.0563237365398451	0.140220917100609	0.00228645531670154
Skcos10158	0.0741011857243041	0.200427275234785	0.0348554272625613
Skcos10159	-0.072719326979159	0.0351818230529993	0.200426704496451
Skcos1016	0.0201163892208652	0	0
Skcos10160	-0.422756370703997	0	0.995019132601064
Skcos10161	nan	nan	nan
Skcos10162	-0.0547103446500635	0	0.136302720117618
Skcos10163	0.13895723444881	0.313052549346778	0.0169691825614935
Skcos10164	0.0763064342584793	0.20783066436049	0.0398114183685915
Skcos10165	nan	nan	nan
Skcos10166	0.0367774471980631	0	0
Skcos10167	nan	nan	nan
Skcos10168	nan	nan	nan
Skcos10169	nan	nan	nan
Skcos1017	-0.280256907484418	0	0.842791914996804
Skcos10170	nan	nan	nan
Skcos10171	0.000918985720682073	0	0
Skcos10172	-0.072719326979159	0.0351818230529993	0.200426704496451
Skcos10173	0.0927884111660119	0.242954619838453	0.0414963675265265
Skcos10174	0.0198616928241322	0	0
Skcos10175	-0.0180510803263788	0	0
Skcos10176	-0.0180510803263788	0	0
Skcos10177	-0.0180510803263788	0	0
Skcos10178	-0.00426401604802494	0	0
Skcos10179	-0.0296366588293869	0	0
Skcos1018	0.0574815253697571	0.146301360870852	0.00708817802984432
Skcos10180	0.000918985720682073	0	0
