delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	0.126431110622867	0.000441140683908654	0
Skcos10	-0.0557186540425322	0	0
Skcos100	-0.0897689531012503	1.78118909177725e-07	7.24865550644075e-05
Skcos1000	-0.0744214337080808	0	0
Skcos10000	-0.100821674510644	0	0
Skcos10001	-0.16269845765534	0	0.000408341917196257
Skcos10002	-0.270126926490528	0	0
Skcos10003	-0.0174185977789541	0	0
Skcos10004	-0.141659663269751	0	0.00107793224670825
Skcos10005	-0.0595663742169599	0	0
Skcos10006	0.0197313987650422	0	0
Skcos10007	nan	nan	nan
Skcos10008	0.0763064342584793	0	0
Skcos10009	-0.0908343036560346	0	0
Skcos1001	-0.0976771666487594	0	0
Skcos10010	0.0197313987650422	0	0
Skcos10011	-0.0547103446500635	0	0
Skcos10012	nan	nan	nan
Skcos10013	0.0197313987650422	0	0
Skcos10014	0.0197313987650422	0	0
Skcos10015	nan	nan	nan
Skcos10016	0.0574815253697571	0	0
Skcos10017	-0.0178156549113696	0	0
Skcos10018	-0.0140170440543711	0	0
Skcos10019	-0.319450772931902	1.05526727239138e-09	0.0144398629871951
Skcos1002	-0.122360156436603	0	0
Skcos10020	-0.0655391968056972	0	0
Skcos10021	nan	nan	nan
Skcos10022	0.075639192511291	0	0
Skcos10023	0.0197313987650422	0	0
Skcos10024	-0.0180510803263788	0	0
Skcos10025	-0.0240795140257412	1.31292679408421e-06	6.52393094368027e-06
Skcos10026	-0.164489881299139	0	9.09427497196688e-05
Skcos10027	0.0350429128511458	0	0
Skcos10028	nan	nan	nan
Skcos10029	-0.0140170440543711	0	0
Skcos1003	nan	nan	nan
Skcos10030	-0.0180510803263788	0	0
Skcos10031	nan	nan	nan
Skcos10032	nan	nan	nan
Skcos10033	nan	nan	nan
Skcos10034	nan	nan	nan
Skcos10035	-0.036890257760252	0	0
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	-0.171494608945799	0	0.00242760238025524
Skcos10039	0.0386167064786735	0	0
Skcos1004	-0.0443129160748802	0	0
Skcos10040	-0.0363991710482527	0	0
Skcos10041	-0.0126347522685071	0	0
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	0.000918985720682073	0	0
Skcos10045	0.00109088107286433	0	0
Skcos10046	0.10917063458132	0	0
Skcos10047	0.0571814428140334	0	0
Skcos10048	0.00874284726949031	0	0
Skcos10049	-0.0827624970134293	0	3.91782494584132e-05
Skcos1005	-0.0904813297216423	0	0
Skcos10050	0.0386167064786735	0	0
Skcos10051	-0.0557186540425322	0	0
Skcos10052	nan	nan	nan
Skcos10053	nan	nan	nan
Skcos10054	nan	nan	nan
Skcos10055	-0.0180510803263788	0	0
Skcos10056	nan	nan	nan
Skcos10057	nan	nan	nan
Skcos10058	-0.0356064893819119	0	0
Skcos10059	nan	nan	nan
Skcos1006	-0.0081060473459687	0	0
Skcos10060	-0.0708045268059176	0	0
Skcos10061	-0.0306050761136957	0	0
Skcos10062	nan	nan	nan
Skcos10063	0.0197313987650422	0	0
Skcos10064	-0.0180510803263788	0	0
Skcos10065	nan	nan	nan
Skcos10066	-0.036890257760252	0	0
Skcos10067	0.0197313987650422	0	0
Skcos10068	-0.0356064893819119	0	0
Skcos10069	0.000918985720682073	0	0
Skcos1007	0.00135842085265892	0	0
Skcos10070	0.0384416467382372	0	0
Skcos10071	0.0385512714683524	0	0
Skcos10072	-0.0698441296831192	0	0
Skcos10073	nan	nan	nan
Skcos10074	-0.119172324229487	0	0.000205335101394898
Skcos10075	-0.106396486862038	0	0
Skcos10076	nan	nan	nan
Skcos10077	0.075639192511291	0	0
Skcos10078	-0.0180510803263788	0	0
Skcos10079	-0.0178156549113696	0	0
Skcos1008	-0.0506560172285243	0	0
Skcos10080	0.0554480718588874	0	0
Skcos10081	0.0197313987650422	0	0
Skcos10082	nan	nan	nan
Skcos10083	nan	nan	nan
Skcos10084	-0.0100254872543171	0	0
Skcos10085	nan	nan	nan
Skcos10086	0.012417553713351	3.02292479530708e-06	1.00787734809289e-06
Skcos10087	-0.194270946278345	4.42199668812141e-07	0.00292804819267081
Skcos10088	-0.0268713400795496	0	0
