delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	0.329679427525502	0.132622798090174	0.00099261710714639
Skcos10	0.125663873911955	0.0278919672776442	0
Skcos100	1.68623439432838	1	0
Skcos1000	0.994971214828864	0.998787261414484	0
Skcos10000	0.0585592861426848	0	0
Skcos10001	1.26750777133766	0.99970130433677	0
Skcos10002	-0.345937743759054	0	4.42477931804439e-06
Skcos10003	0.790831980453131	0.584793936267768	0.00120091703314405
Skcos10004	0.477815823959408	0.243232744277923	4.05354905921663e-05
Skcos10005	0.811467753547758	0.661150658057052	8.02097613286711e-08
Skcos10006	0.399508768954585	0.326524698444103	0.0436607570838951
Skcos10007	0.186330465775853	0.160597867623548	0.00511374111723396
Skcos10008	1.51854915069207	0.926231011793455	1.44709031635193e-05
Skcos10009	1.74396903701283	1	0
Skcos1001	-0.574958345313456	0.00138103360794389	0.402560794807944
Skcos10010	0.186330465775853	0.160597867623548	0.00511374111723396
Skcos10011	1.26623699853131	0.923851360365959	1.71463797426145e-07
Skcos10012	0.399508768954585	0.326524698444103	0.0436607570838951
Skcos10013	1.89058379389132	0.990947634125374	4.72787545875183e-09
Skcos10014	1.19325687314961	0.793060926081992	0.000646465071667419
Skcos10015	nan	nan	nan
Skcos10016	1.85333191568301	0.989029726027047	1.58478728619167e-08
Skcos10017	-0.219759261835556	0.0309921832353779	0.20119857546414
Skcos10018	1.50004955521112	0.995927110466623	0
Skcos10019	0.717431587442103	0.540578528586337	0
Skcos1002	-0.0169038533279948	0	0
Skcos10020	-0.289417841138047	0.000776306675639687	0.0917455179304249
Skcos10021	nan	nan	nan
Skcos10022	1.53794687042382	0.962558687258673	8.8690318980211e-07
Skcos10023	0.186330465775853	0.160597867623548	0.00511374111723396
Skcos10024	1.12400085452323	0.786374306651836	0.000388254080372315
Skcos10025	1.41572594252621	0.999993347703168	0
Skcos10026	2.46905254663386	1	0
Skcos10027	-0.358621195851173	0	7.15429765353668e-06
Skcos10028	nan	nan	nan
Skcos10029	1.21860788956222	0.9332579930132	4.32218892568112e-10
Skcos1003	0.594869812533692	0.436974912616172	0.0213267230914596
Skcos10030	0.172779254283967	0.133048111465441	0
Skcos10031	0.399508768954585	0.326524698444103	0.0436607570838951
Skcos10032	nan	nan	nan
Skcos10033	0.186330465775853	0.160597867623548	0.00511374111723396
Skcos10034	nan	nan	nan
Skcos10035	-0.0245932884031399	0	0
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	0.763662410697249	0.600324445292257	7.0149144937804e-07
Skcos10039	1.57762263012064	0.951916570613416	8.20157596861291e-06
Skcos1004	0.483061794973832	0.262523690544337	0.000147714975179213
Skcos10040	0.99463516327853	0.716046750660815	0.000120036212466756
Skcos10041	-0.194592983484637	0	1.13358305189271e-05
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	0.373357477307116	0.309413849407184	0.0425975768922324
Skcos10045	0.152169330988508	0.0892137011867104	0
Skcos10046	1.37696356217221	0.951097827450471	1.37222606107415e-07
Skcos10047	2.32888424172283	0.99999353153628	0
Skcos10048	0.727880481086039	0.561372317431325	0
Skcos10049	1.12657447385061	0.994603527692631	0
Skcos1005	0.268814710013814	0.177137940951215	0.0151794263528811
Skcos10050	1.19325687314961	0.793060926081992	0.000646465071667419
Skcos10051	-0.196993621926212	0.0204496623109944	0.16889800776709
Skcos10052	nan	nan	nan
Skcos10053	0.186330465775853	0.160597867623548	0.00511374111723396
Skcos10054	nan	nan	nan
Skcos10055	0.943715305769892	0.667675141117979	0.00200054830377381
Skcos10056	0.186330465775853	0.160597867623548	0.00511374111723396
Skcos10057	0.399508768954585	0.326524698444103	0.0436607570838951
Skcos10058	1.00389391228603	0.765245879151496	2.53628976947666e-05
Skcos10059	nan	nan	nan
Skcos1006	-0.249805368330868	0	0
Skcos10060	0.354214996069693	0.217845076840459	0.00936626428153583
Skcos10061	0.0118326418625648	0	0
Skcos10062	0.399508768954585	0.326524698444103	0.0436607570838951
Skcos10063	nan	nan	nan
Skcos10064	-0.23401770391486	0.0389433203806354	0.221884439983028
Skcos10065	nan	nan	nan
Skcos10066	-0.219759261835556	0.0309921832353779	0.20119857546414
Skcos10067	1.07427818777871	0.742603373892835	0.00185264764573939
Skcos10068	0.103299687451324	0	0
Skcos10069	1.12400085452323	0.786374306651836	0.000388254080372315
