delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	0.91766271586675	0.912349837804919	0
Skcos10	-0.534641751073046	3.87634023479436e-06	0.288289062380289
Skcos100	1.05264133098246	0.872733549278861	0
Skcos1000	-0.122216860838569	0	0
Skcos10000	2.50512389451645	1	0
Skcos10001	1.36081723905158	0.998875085181198	0
Skcos10002	-0.184404308217875	0	0.0623590662269107
Skcos10003	-0.807673590163829	2.68631569720325e-06	0.642736360878074
Skcos10004	-0.424757599475882	0.000561767933785521	0.224529031683963
Skcos10005	2.30496892491246	1	0
Skcos10006	0.0673723890288921	0	0
Skcos10007	0.654689742414083	0.458114068339832	0.00401513865414085
Skcos10008	-1.32932883579985	2.89919147162493e-10	0.974500427483862
Skcos10009	-0.400844283634417	0	0.0478941757315049
Skcos1001	1.44130804898143	0.99962640711842	0
Skcos10010	0.620143170087059	0.424260550274595	0.00160363589094447
Skcos10011	0.207035661894075	0.0709702684837534	0.00131441039013498
Skcos10012	-0.520671733573771	0.0092389603732787	0.368553248690759
Skcos10013	-0.801851339343618	0.00191524272291346	0.57325564420549
Skcos10014	-0.261021915499827	0.00238420360966007	0.11168906495425
Skcos10015	0.44328723995654	0.291157225052951	0.00408069117401981
Skcos10016	-0.149053098879419	0	0.014605005407175
Skcos10017	-0.819559515378443	0.00363307266403747	0.601304589007076
Skcos10018	-0.838843274185927	0	0.716895571927822
Skcos10019	0.938728396634249	0.865661081397831	0
Skcos1002	1.43337927426613	1	0
Skcos10020	1.30759164043245	0.969543550727369	0
Skcos10021	nan	nan	nan
Skcos10022	1.03229136338508	0.964040333242855	0
Skcos10023	-0.626229297590755	0.00086645980196868	0.440765148889178
Skcos10024	-1.21885398540227	3.60435255063928e-06	0.882310584729166
Skcos10025	-1.31172702971965	0	0.999877565710472
Skcos10026	-0.646402858165429	0	0.432016063109009
Skcos10027	-1.24746535084465	0	1
Skcos10028	-0.190588497125071	0.0559665858926551	0.178986301924695
Skcos10029	0.584948816332313	0.318668851022142	0
Skcos1003	-0.190588497125071	0.0559665858926551	0.178986301924695
Skcos10030	0.16311019739273	0	0
Skcos10031	0.0256941943785406	0	0
Skcos10032	-1.4162715673042	1.77914842317298e-05	0.919676258043323
Skcos10033	0.162605444751019	0.0466072203613411	0
Skcos10034	-0.250268799002403	0.0480464791802074	0.222122332646547
Skcos10035	1.08060158012371	0.792988356103031	1.05273905796071e-05
Skcos10036	0.370898548257387	0.276004438465706	0.0101687793956635
Skcos10037	-0.819559515378443	0.00363307266403747	0.601304589007076
Skcos10038	-0.381929925718953	0.000509727370837457	0.142873272261458
Skcos10039	0.668110683619536	0.444790615955256	0
Skcos1004	1.83353179958512	0.999985462185252	0
Skcos10040	-0.422899968455387	3.85931994335214e-05	0.177560609219417
Skcos10041	3.25750773891681	1	0
Skcos10042	-0.0472433082549415	0.0178565181129121	0.0866071949664236
Skcos10043	-0.201530578798552	0.0414610051556098	0.175125610771282
Skcos10044	0.393433415270142	0.166850344626456	6.58602074317147e-05
Skcos10045	0.635931527948565	0.439002011945873	0.0013674050267747
Skcos10046	0.0213310699822129	0.00179054610400042	0.000185250159214879
Skcos10047	-0.810488966587197	0	0.682743455727618
Skcos10048	1.32325368663345	1	0
Skcos10049	-0.238226919480086	0	8.44857781277157e-06
Skcos1005	1.87239313462767	0.999937034663392	0
Skcos10050	-2.0832820802869	2.99661929901428e-24	0.999999486815867
Skcos10051	-0.343357030294081	0.0019987537412397	0.167016159096882
Skcos10052	0.370898548257387	0.276004438465706	0.0101687793956635
Skcos10053	-0.579341797894084	0.0138787509243658	0.410908906169368
Skcos10054	nan	nan	nan
Skcos10055	-0.415826163649679	0.000256341880841885	0.205389471316403
Skcos10056	-0.413731697733324	0.0273476950465951	0.305209953369578
Skcos10057	-0.250268799002403	0.0480464791802074	0.222122332646547
Skcos10058	-0.157247034172095	0	0.0241517878109694
Skcos10059	-0.250268799002403	0.0480464791802074	0.222122332646547
Skcos1006	-1.21228028895166	0	1
Skcos10060	1.00201768739309	0.786267656025342	2.79338728824279e-08
Skcos10061	1.93718394815389	1	0
Skcos10062	0.612977208769418	0.441550464480979	0.00646181947432979
Skcos10063	0.0773336748672705	0	0
Skcos10064	-0.250268799002403	0.0480464791802074	0.222122332646547
Skcos10065	nan	nan	nan
Skcos10066	-0.190588497125071	0.0559665858926551	0.178986301924695
Skcos10067	-1.49555399494934	1.82596768569423e-06	0.946808671774366
Skcos10068	0.808806234033863	0.593801202361018	4.14900719462235e-06
Skcos10069	0.933583428967975	0.685417520248095	1.90655720547274e-05
Skcos1007	0.94054268528314	0.738705445484149	1.531400721458e-07
Skcos10070	0.364239829800278	0.1316590527968	2.53207021279248e-05
Skcos10071	0.889043438440817	0.686892154247647	7.163697600496e-07
Skcos10072	-0.652272469342373	0	0.398543190864069
Skcos10073	-0.250268799002403	0.0480464791802074	0.222122332646547
Skcos10074	1.13830975733254	0.984229491999842	0
Skcos10075	0.674194573678534	0.481927630047075	0.00362466201594556
Skcos10076	-0.585570240371292	0.0025391710609755	0.40090562334102
Skcos10077	-0.142472244395557	3.15143458652669e-05	0.00133710761448738
Skcos10078	-1.20629497709829	1.50621661455558e-05	0.86103310397925
Skcos10079	-0.355467314539304	0.000127074299961948	0.0932203301254337
Skcos1008	0.0841130666011272	0.0101974834577265	0.000310853102998738
Skcos10080	-0.289901491498331	0.00145240183803165	0.0904629419255406
Skcos10081	nan	nan	nan
Skcos10082	-0.483208482537607	0.000451216419859289	0.280559975493259
Skcos10083	-0.33062349104516	0.0125677730835814	0.220394868414984
Skcos10084	0.172151303816234	0.0808186740590487	0.00537683456988362
Skcos10085	-0.550255936940861	5.360303313095e-05	0.330648634964931
Skcos10086	0.577628702393495	0.350402220844697	1.05711262304824e-05
Skcos10087	0.443722880371207	0.187881040811435	4.3521959733185e-06
Skcos10088	-0.276300122558367	0.00166665410906296	0.0819764118069729
Skcos10089	1.40875113215243	0.999834979230094	0
Skcos1009	0.212773566207894	0.0576726668367926	0.000399575649940752
Skcos10090	0.666394371545754	0.47405465256122	0.00106386360569039
Skcos10091	-0.102883478307453	0	0
Skcos10092	0.322566795483045	0.210113317296322	0.00990916229222195
Skcos10093	-0.602596893855973	0	0.253657273607199
Skcos10094	-0.801851339343618	0.00191524272291346	0.57325564420549
Skcos10095	-0.819559515378443	0.00363307266403747	0.601304589007076
Skcos10096	-0.258020039879929	0.000169780984739392	0.0315799586972484
Skcos10097	-0.0472433082549415	0.0178565181129121	0.0866071949664236
Skcos10098	0.0533628096710445	0	0
Skcos10099	0.0699927736622707	0.0169525653119692	0.0017953027696936
Skcos101	-2.18424478478453	4.39877593744315e-13	0.999920740455143
Skcos1010	-0.413731697733324	0.0273476950465951	0.305209953369578
Skcos10100	0.0854446387734755	0	0
Skcos10101	1.51053051745482	1	0
Skcos10102	-0.190588497125071	0.0559665858926551	0.178986301924695
Skcos10103	0.732831136683353	0.56594049148921	0
Skcos10104	-1.06028141753728	0.000567145106795936	0.732529283946842
Skcos10105	1.87306006068891	1	0
Skcos10106	1.44405569326882	0.999766928257086	0
Skcos10107	-0.0687267108840244	0	0.004337306676687
Skcos10108	1.54944598955847	0.999259516844929	0
Skcos10109	-0.350953666275375	1.34400694023541e-05	0.0870751225417331
Skcos1011	1.42176311890483	0.999992274791079	0
Skcos10110	0.00333312805897	0.00492036698316496	0.00133691105444859
Skcos10111	0.0783627213811027	0.0188902224947262	0.00147760502203203
Skcos10112	2.51782661789466	1	0
Skcos10113	1.49794558787847	0.999823304540411	0
Skcos10114	1.40605305879444	0.982718742610528	0
Skcos10115	-0.579341797894084	0.0138787509243658	0.410908906169368
Skcos10116	-0.645127287214671	0	0.414351603796665
Skcos10117	0.275800078836229	0.169549656865403	0
Skcos10118	-0.413731697733324	0.0273476950465951	0.305209953369578
Skcos10119	-0.579341797894084	0.0138787509243658	0.410908906169368
Skcos1012	0.212151588206437	0.00146884090295526	0
Skcos10120	-0.175034977168127	0	0.0336484780641608
Skcos10121	-0.869677880587559	7.26441726744661e-08	0.718374503456763
Skcos10122	-0.124967197474882	0	0
Skcos10123	1.01320364994916	0.959337963667584	0
Skcos10124	0.266517353819901	0.174456599725122	0.00766704732417238
Skcos10125	0.0506403699599817	0	0
Skcos10126	0.020082118337711	0	0
Skcos10127	0.792420019849144	0.697691335046088	0
Skcos10128	0.0949893891596434	0.00167090454503465	3.31262563278538e-06
Skcos10129	1.75474356383826	0.999999996161737	0
Skcos1013	2.01945748298343	0.999958033489017	0
Skcos10130	-0.833480615148533	3.04454269613593e-09	0.673153994764224
Skcos10131	-0.538565760754159	0.00290259038830179	0.364651074381514
Skcos10132	-0.469780200335209	0.00964482949797445	0.326066278513902
Skcos10133	0.324025503253219	0.149493222264377	0.000809323649333735
Skcos10134	0.271078519338391	0.0404299090598131	1.53533729910809e-06
Skcos10135	1.19885598609072	0.999442434556843	0
Skcos10136	-0.829003149138866	0.000155835130683132	0.61873067537676
Skcos10137	1.11559020140354	0.928065060309846	0
Skcos10138	-0.8252093455289	0	0.752985349725347
Skcos10139	-0.250268799002403	0.0480464791802074	0.222122332646547
Skcos1014	1.92912562634703	0.999995269051912	0
Skcos10140	-0.655075886694441	0.000299070307194178	0.471224478942724
Skcos10141	nan	nan	nan
Skcos10142	nan	nan	nan
Skcos10143	nan	nan	nan
Skcos10144	0.634372508723125	0.455913811457953	0.00536023713288309
Skcos10145	nan	nan	nan
Skcos10146	-0.452405014928583	0.00361661348329067	0.292214632471567
Skcos10147	-0.201530578798552	0.0414610051556098	0.175125610771282
Skcos10148	-1.49094993716031	7.06047751707956e-15	0.997776084447476
Skcos10149	-1.25759029914642	1.03808833062077e-09	0.953028796616276
Skcos1015	0.681123164244532	0.469926759012518	0.000967144938109688
Skcos10150	-0.160662984488854	0.00131659685390975	0.0183083178582406
Skcos10151	-0.973029246367278	4.39380324790693e-05	0.72758698157304
Skcos10152	-0.172998490970131	0.0015516926583442	0.0237230101274271
Skcos10153	0.600616670029994	0.386760861125498	5.72639799345038e-06
Skcos10154	0.74169509961296	0.544872350730375	6.05238901352895e-07
Skcos10155	0.286779497511219	0.0290312588928345	2.91340001173351e-08
Skcos10156	0.502213392077012	0.131716180946273	0
Skcos10157	0.474867550274132	0.197557458114339	8.0865034856213e-08
Skcos10158	0.424648537466435	0.189418803413342	1.34646327514953e-05
Skcos10159	-0.231959832241923	2.29471100916564e-05	0.0112459071072735
Skcos1016	0.996333820984082	0.949089912410251	0
Skcos10160	2.41892027734622	1	0
Skcos10161	nan	nan	nan
Skcos10162	0.709370401244584	0.49769163465337	3.67721017997673e-05
Skcos10163	-1.07408130471246	0	0.998930042579847
Skcos10164	-1.0853870060993	0	0.959547377049716
Skcos10165	-0.017880270456291	0	0
Skcos10166	-0.311487144277828	1.99496589601513e-05	0.0409797209834993
Skcos10167	-0.579341797894084	0.0138787509243658	0.410908906169368
Skcos10168	-0.190588497125071	0.0559665858926551	0.178986301924695
Skcos10169	0.564264365854906	0.404357664196447	0.00892110525660346
Skcos1017	2.63863568479172	1	0
Skcos10170	-0.801851339343618	0.00191524272291346	0.57325564420549
Skcos10171	-1.42309821904484	3.22524716877441e-09	0.982115815721172
Skcos10172	0.781125571265492	0.564586023830028	4.53223213705761e-05
Skcos10173	-1.29423678068813	1.60486604947646e-10	0.976108316465005
Skcos10174	0.356984882182723	0.0137107101726626	0
Skcos10175	1.53214308949371	0.981595847947811	0
Skcos10176	-0.749345014676521	4.08548711744908e-06	0.587169041279173
Skcos10177	0.756198753684818	0.555716457133485	1.54222535941562e-05
Skcos10178	0.368214550899555	0.0469529006466183	0
Skcos10179	-1.57638625925695	2.54994736533609e-19	0.999749247876046
Skcos1018	0.47852104508171	0.267223511182649	5.83700681679268e-05
Skcos10180	1.21604730476617	0.999899451742012	0
Skcos10181	-0.201530578798552	0.0414610051556098	0.175125610771282
Skcos10182	0.454175488077128	0.25604991369466	0.000252761260960662
Skcos10183	0.094209529788322	0	0
Skcos10184	0.370898548257387	0.276004438465706	0.0101687793956635
Skcos10185	0.45450871568937	0.309419317112669	0.00882710245791256
Skcos10186	0.0211731109628488	0	0
Skcos10187	-0.556783188415381	5.11815818528979e-07	0.296243839283378
Skcos10188	1.13908468483663	0.928838178610582	0
Skcos10189	1.62089727893479	1	0
Skcos1019	-0.257933653083671	0	0.00477447126688534
Skcos10190	1.32427028751918	0.995918175262267	0
Skcos10191	0.774158371717763	0.575007427532512	7.95330267785326e-06
Skcos10192	-0.0472433082549415	0.0178565181129121	0.0866071949664236
Skcos10193	0.0820731093733488	0.000772793840441973	1.10736647518194e-06
Skcos10194	0.682810998575011	0.466419665133235	2.7225992575388e-06
Skcos10195	0.717162504431555	0.527598911688222	0
Skcos10196	-2.22608228376171	1.82300054169061e-16	0.999993022645434
Skcos10197	-0.331402795019552	0.000354343216082828	0.0922829079228568
Skcos10198	-0.585570240371292	0.0025391710609755	0.40090562334102
Skcos10199	0.755752573641333	0.576244747616998	2.08410486313899e-09
Skcos102	-0.332037380293687	0.00109439780566449	0.119466465737583
Skcos1020	1.80742933896861	0.998873934053524	0
Skcos10200	0.594707597545011	0.377781119820529	6.65636367619811e-05
Skcos10201	-0.0728099529240215	0.00776960876409435	0.0151745138977022
Skcos10202	-1.4243823782625	2.99546584794235e-15	0.995505534649886
Skcos10203	0.47962650171812	0.276717292631295	0.000383858114938818
Skcos10204	1.08060158012371	0.792988356103031	1.05273905796071e-05
Skcos10205	1.98701763016193	0.999996763418804	0
Skcos10206	0.946735620718028	0.727569012505846	1.38613781574316e-06
Skcos10207	-0.0483245551404658	0	0
Skcos10208	1.10250750354475	0.824202951662621	4.22291550496218e-07
Skcos10209	0.762848612795826	0.550666898480239	0.00145054887823415
Skcos1021	0.442881461812593	0.331849061381897	0.0135413459356457
Skcos10210	0.0211731109628488	0	0
Skcos10211	1.12813025707656	0.869095978046123	6.85532692339415e-09
Skcos10212	-1.2095693712881	0	0.988363539088453
Skcos10213	0.0812016747724985	0.00124198545772456	3.40407151834876e-06
Skcos10214	-1.74185599625307	9.95599135181911e-10	0.993173928470567
Skcos10215	0.795012391328644	0.567804383760701	0.000915371460746624
Skcos10216	1.13758690074295	1	0
Skcos10217	0.665496830922049	0.454165701537367	3.07435671501597e-09
Skcos10218	-0.184250435765466	0	0.000467050030755275
Skcos10219	-0.840488776890223	1.0468015751838e-06	0.651685705052914
Skcos1022	-0.0955758670750765	0.0669756510615985	0.134617565627168
Skcos10220	2.58861733394834	1	0
Skcos10221	-0.310252374747591	0.0367953337981659	0.23927794963197
Skcos10222	-0.116433489398351	0.0374955991611072	0.11317662869966
Skcos10223	2.62583050385059	1	0
Skcos10224	-0.190588497125071	0.0559665858926551	0.178986301924695
Skcos10225	-0.705614734646788	0	0.534898211240439
Skcos10226	0.403865901277898	0.283118222922793	0.0112682429673063
Skcos10227	-0.0883196471569756	0.00229632991708636	0.0777266161007843
Skcos10228	0.831045521981337	0.621137362265304	1.89969823795293e-05
Skcos10229	0.0189792532106517	0	0
Skcos1023	2.70097549337407	1	0
Skcos10230	1.60848909128934	0.999999626016992	0
Skcos10231	0.501871885919594	0.308987756706178	0.000304093904771788
Skcos10232	-0.585570240371292	0.0025391710609755	0.40090562334102
Skcos10233	0.43130130138269	0.267435566530182	0.00200627430081488
Skcos10234	-0.801851339343618	0.00191524272291346	0.57325564420549
Skcos10235	-0.190588497125071	0.0559665858926551	0.178986301924695
Skcos10236	-0.0883196471569756	0.00229632991708636	0.0777266161007843
Skcos10237	0.928799968124421	0.734746022033324	1.86939373788222e-08
Skcos10238	-0.442701267294436	4.33560142323679e-05	0.189140702447434
Skcos10239	-0.583227754610398	0	0.284219189956073
Skcos1024	-0.320033614745341	0	0.00436056583612904
Skcos10240	0.788619372136866	0.560583676728316	0.000166023143926219
Skcos10241	1.81565248612341	0.99999933377004	0
Skcos10242	-0.116433489398351	0.0374955991611072	0.11317662869966
Skcos10243	-1.40707573623399	3.1995649193829e-10	0.97872302050835
Skcos10244	-1.002718938194	0.000495421801859773	0.704367359124374
Skcos10245	2.71374053218398	1	0
Skcos10246	nan	nan	nan
Skcos10247	nan	nan	nan
Skcos10248	-0.628920981616576	0.00927368520530744	0.461464498789911
Skcos10249	nan	nan	nan
Skcos1025	-1.2899480409556	6.7316034885645e-09	0.962334763459514
Skcos10250	nan	nan	nan
Skcos10251	-0.0883196471569756	0.00229632991708636	0.0777266161007843
Skcos10252	nan	nan	nan
Skcos10253	nan	nan	nan
Skcos10254	nan	nan	nan
Skcos10255	2.05514295414769	0.999999963344038	0
Skcos10256	2.97509064426025	1	0
Skcos10257	-0.52835978256981	3.21499700000877e-05	0.287970282755099
Skcos10258	-0.192662196853573	0.000250296483603865	0.0420430450125531
Skcos10259	-0.574193820918604	3.8513812808376e-06	0.355715011999113
Skcos1026	-0.561759830139081	0	0.266167360346754
Skcos10260	-0.67945141833704	8.88263910080465e-08	0.470211541487791
Skcos10261	1.68842351025787	1	0
Skcos10262	-0.949599036597614	0	0.968935477085489
Skcos10263	-0.718035186964754	7.0312522804636e-08	0.528837735022946
Skcos10264	0.771510803687025	0.77723564510288	0
Skcos10265	-0.642814103933083	0.000128633284054108	0.431439847167717
Skcos10266	-0.15549002767016	0.0433642709230099	0.145695849177727
Skcos10267	-0.250268799002403	0.0480464791802074	0.222122332646547
Skcos10268	0.564264365854906	0.404357664196447	0.00892110525660346
Skcos10269	0.750275423149517	0.534846412754229	0.000319841775978219
Skcos1027	0.0418842914198684	0.00111192135114319	2.94821984525373e-05
Skcos10270	-0.250268799002403	0.0480464791802074	0.222122332646547
Skcos10271	0.0909805516890521	0.0573916903045819	0.0119167510144656
Skcos10272	0.474782570701125	0.214309226852315	1.67935421133277e-06
Skcos10273	-0.0694813605739239	0.00517622288633866	0.00860974632518747
Skcos10274	-0.636449714485372	0	0.394725728406481
Skcos10275	3.70646797672562	1	0
Skcos10276	0.811489472910532	0.602517364771503	2.55677403539006e-05
Skcos10277	1.01870491592578	0.767304920580604	2.63133289281561e-06
Skcos10278	-0.829003149138866	0.000155835130683132	0.61873067537676
Skcos10279	-0.475942533205425	6.86300989008886e-05	0.241486959405022
Skcos1028	0.998988049477931	0.995774473332434	0
Skcos10280	-2.17543609212141	2.12302667954792e-29	0.999999999507747
Skcos10281	0.84034734845951	0.614424152826475	0.000580891121315624
Skcos10282	-0.612600669236382	9.50244483990508e-07	0.384154543172904
Skcos10283	0.357510763606946	0.192891619358704	0.00205094689781844
Skcos10284	1.54766445547977	1	0
Skcos10285	0.00271177233805705	0.00566397788379749	0.00191581681776389
Skcos10286	2.17626726278951	1	0
Skcos10287	0.256820037617388	0.0331571462422337	2.10553814204318e-06
Skcos10288	-1.14413280115156	0	0.966680251236544
Skcos10289	1.15406237691184	0.999962824769905	0
Skcos1029	2.09987045451081	1	0
Skcos10290	0.490714236825542	0.196039382697162	5.02651035010277e-09
Skcos10291	-1.14221275887043	2.62879633625585e-05	0.822402631705919
Skcos10292	-0.230209566499501	0	0.00246802663920177
Skcos10293	-0.538565760754159	0.00290259038830179	0.364651074381514
Skcos10294	0.0174729899721824	0.0317139960230014	0.0163294078668958
Skcos10295	1.31497116269593	0.979276649191859	0
Skcos10296	0.649011250626186	0.440768835605824	8.3644187230526e-05
Skcos10297	0.00347507430935666	0.0317268714269998	0.0187809181842232
Skcos10298	1.28628252227109	0.998178124141609	0
Skcos10299	0.0533628096710445	0	0
Skcos103	0.204421415683003	0.027461496774533	2.69817687818526e-05
Skcos1030	-1.03116747864427	2.14944717978497e-06	0.803935044389106
Skcos10300	0.449427125672608	0.220024757448738	4.75533560168708e-05
Skcos10301	1.40633811741276	0.99775415246585	0
Skcos10302	2.6155775006658	1	0
Skcos10303	-0.589920078214873	0	0.111256842158812
Skcos10304	2.79686931875511	1	0
Skcos10305	0.231695605464606	0.11434701647032	0.00439870823118239
Skcos10306	0.182509070694624	0.00558809465303077	1.34204676810985e-07
Skcos10307	-0.08064022676326	0	0
Skcos10308	-0.0148580540721536	0.0028457631493173	0.0011430754573304
Skcos10309	0.172628626434276	0.000171514006537444	0
Skcos1031	0.828944536239616	0.641645822973096	5.71255905612033e-08
Skcos10310	-1.20340619319849	2.8205335617314e-08	0.926872445759928
Skcos10311	nan	nan	nan
Skcos10312	0.275800078836229	0.169549656865403	0
Skcos10313	0.16311019739273	0	0
Skcos10314	-0.701254187185958	0	0.539748041421801
Skcos10315	-0.357170808486203	0	0
Skcos10316	-0.836613666078543	4.92160258996355e-06	0.642848331052775
Skcos10317	0.370898548257387	0.276004438465706	0.0101687793956635
Skcos10318	-0.962439381699374	0	0.866897288915721
Skcos10319	nan	nan	nan
Skcos1032	2.24653370252001	0.999999935448136	0
Skcos10320	nan	nan	nan
Skcos10321	nan	nan	nan
Skcos10322	nan	nan	nan
Skcos10323	nan	nan	nan
Skcos10324	0.746129267837862	0.532374544890461	0.00166150851517119
Skcos10325	nan	nan	nan
Skcos10326	-0.0955758670750765	0.0669756510615985	0.134617565627168
Skcos10327	nan	nan	nan
Skcos10328	nan	nan	nan
Skcos10329	nan	nan	nan
Skcos1033	3.276383512384	1	0
Skcos10330	0.983362125591188	0.708417343848386	5.40709028755354e-05
Skcos10331	0.735901239851451	0.709064182617469	0
Skcos10332	0.520015790129737	0.296039265862697	1.15179970816801e-05
Skcos10333	0.971609042707626	0.70700129985203	7.31325299918773e-05
Skcos10334	-0.381929925718953	0.000509727370837457	0.142873272261458
Skcos10335	-0.612162599274948	0	0.390319614195386
Skcos10336	0.0787304818489446	0.00305186692293187	3.42789521470245e-05
Skcos10337	-1.34071942501554	0	1
Skcos10338	0.403865901277898	0.283118222922793	0.0112682429673063
