delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	-0.0531907124590438	0.111895307625099	0.224809489842072
Skcos10	2.28998764258928	1	0
Skcos100	-0.728367572769833	0	1
Skcos1000	2.33298454833024	1	0
Skcos10000	-0.532319966977212	0	1
Skcos10001	1.57849213310789	1	0
Skcos10002	0.482402803228789	0.999906571084226	0
Skcos10003	2.26360026731616	1	0
Skcos10004	-0.0188445339161422	0.0998274353955276	0.139990770539488
Skcos10005	-0.0367253171549895	0.0337176808551986	0.0879939411635113
Skcos10006	3.80640905974441	0.999999999999634	2.42769502641534e-22
Skcos10007	1.79055723851003	0.98072361314985	0.00184031385651755
Skcos10008	2.54297103156652	1	0
Skcos10009	0.0742624137972269	0.057891326535303	0.000442281051373759
Skcos1001	1.37324155073157	1	0
Skcos10010	3.78699454608149	0.999999999995473	1.45867889424837e-20
Skcos10011	0.153629041395963	0.356007285215965	0.0245171228565698
Skcos10012	2.31590352932834	0.999999999999837	0
Skcos10013	-1.20823629902628	0	1
Skcos10014	1.40038028691751	0.998952235334714	2.01877824020023e-06
Skcos10015	3.30620896099953	0.999985089671496	3.23633202201586e-08
Skcos10016	2.56542904362606	1	0
Skcos10017	4.42718391034122	1	0
Skcos10018	1.01805708254379	0.999999907057086	0
Skcos10019	1.01560692549958	1	0
Skcos1002	2.8804318990268	1	0
Skcos10020	1.0801660082174	0.999872361058176	6.10371341822557e-11
Skcos10021	nan	nan	nan
Skcos10022	1.48457743402833	1	0
Skcos10023	2.19290116893308	0.99999988320819	2.04799312823806e-14
Skcos10024	3.19150830950879	1	0
Skcos10025	1.12837228447642	1	0
Skcos10026	0.66835767943162	0.999998982720381	0
Skcos10027	-1.00028468068448	0	1
Skcos10028	2.31338343163521	0.983418584420572	0.00299535943857772
Skcos10029	2.78754175502095	1	0
Skcos1003	2.41180938189459	0.98974510312482	0.00174454319518796
Skcos10030	1.05464487249856	0.935417033228621	0.00608441369194112
Skcos10031	1.79055723851003	0.98072361314985	0.00184031385651755
Skcos10032	1.57563001507047	0.923798254980876	0.0265979197598746
Skcos10033	1.38273495787404	0.989591925740986	0.0002269265750915
Skcos10034	2.63731108631416	0.995485354337334	0.000471585175050713
Skcos10035	2.56303837045356	1	0
Skcos10036	-0.00300358853334052	0.405230920425353	0.396118372180084
Skcos10037	-0.00199725885943253	0	0
Skcos10038	2.00984952518528	1	0
Skcos10039	2.79217297089684	1	0
Skcos1004	-0.397585624092534	0.00757337205410385	0.771428923670257
Skcos10040	3.72465431121366	1	0
Skcos10041	-0.058433257890685	0.000708687772029297	0.025308617250905
Skcos10042	1.75247404246754	0.945204241098197	0.017213112172851
Skcos10043	3.20909140717967	0.999950660675476	2.71473056951075e-07
Skcos10044	1.57223344504738	0.999977935812173	1.65162498014122e-10
Skcos10045	2.05333032560083	0.999999999999692	0
Skcos10046	2.0380744720308	1	0
Skcos10047	2.15586455380564	1	0
Skcos10048	1.64998732051173	1	0
Skcos10049	1.99042587129427	1	0
Skcos1005	1.08485964110906	0.998511437815839	2.90268898553707e-07
Skcos10050	3.16641053667701	1	0
Skcos10051	2.12261065821927	0.99992963640584	6.46840238785326e-08
Skcos10052	-0.987902498263043	0.102304823802073	0.784709984419296
Skcos10053	2.52281785788784	0.992733892408152	0.000848515324389187
Skcos10054	0.200614961966772	0.507333824235034	0.295492307766719
Skcos10055	2.42337773489552	0.999999999996198	6.55407772839307e-23
Skcos10056	1.53826287474156	0.941830062787072	0.0117228275944148
Skcos10057	3.04609585992588	0.999735699842592	5.50328792253479e-06
Skcos10058	2.07510791364089	1	0
Skcos10059	0.171897226704813	0.515963404377952	0.259799334201959
Skcos1006	-0.547237374313716	0	1
Skcos10060	0.152546458282633	0.382292153194478	0.0578200344993887
Skcos10061	-0.527952386720588	0	0.998069464097891
Skcos10062	1.93364004796135	0.999403659796823	3.15633082692127e-06
Skcos10063	2.45004152919953	0.999999742581918	1.91099805679003e-13
Skcos10064	2.441534653586	0.990586144002975	0.00147135363606203
Skcos10065	1.67270367857818	0.935102776965165	0.0201281656096851
Skcos10066	1.69563805076009	0.999361318315447	2.43115568763741e-06
Skcos10067	2.89703327913955	1	0
Skcos10068	-0.891247074075628	0.000356352815679593	0.975956388974378
Skcos10069	1.12194583904176	0.999588268864744	8.40040596504471e-09
Skcos1007	2.33606293488576	1	0
Skcos10070	0.45355246954885	0.846771406990158	0.000593337318688567
Skcos10071	2.23360867613231	1	0
Skcos10072	2.45195586798349	1	0
Skcos10073	-0.295677546359872	0.289125032786867	0.531176219673266
Skcos10074	1.54927503784374	1	0
Skcos10075	0.867010003975025	0.859136812847708	0.0196824672610622
Skcos10076	2.35130624378989	0.999606402808251	3.44283268035951e-06
Skcos10077	3.28063325135178	1	0
Skcos10078	0.558281904442987	0.856395124188785	0.00300854453391424
Skcos10079	1.79870393351207	0.999999999999997	0
Skcos1008	1.78858429398183	1	0
Skcos10080	1.84291102923674	1	0
Skcos10081	nan	nan	nan
Skcos10082	3.32535937899501	1	5.05019019555577e-34
Skcos10083	3.46141457053163	0.999999549953344	3.19649366959438e-11
Skcos10084	0.761365706858292	0.998939541644485	0
Skcos10085	3.55588189320239	1	0
Skcos10086	-0.0659997709529642	0.0104340347495928	0.0981186306977379
Skcos10087	1.74083092630178	1	0
Skcos10088	1.44731573917127	1	0
Skcos10089	2.19867329674761	1	0
Skcos1009	2.38878980343659	1	0
Skcos10090	3.66606882300218	0.999999999968993	5.78755824151825e-18
Skcos10091	3.20546230643373	1	8.76041718869104e-29
Skcos10092	2.20889082841084	0.999999937966629	6.205992691707e-15
Skcos10093	1.62384434191838	1	0
Skcos10094	0.601293279178034	0.754506160469362	0.0940353123297841
Skcos10095	3.79026617264989	0.999999999999113	1.24353948001555e-21
Skcos10096	2.77666264750196	1	0
Skcos10097	1.95006424380078	0.962143898920864	0.00967786437507868
Skcos10098	2.57122539308481	0.993826498133345	0.000762353988538424
Skcos10099	0.808213327863466	0.999839370726548	0
Skcos101	2.59711246731109	1	0
Skcos1010	2.79914570134777	0.998175348522128	0.000116841426431485
Skcos10100	2.76888210404613	1	0
Skcos10101	1.13506886783504	1	0
Skcos10102	2.28853391004351	0.999999991108322	3.4363525344208e-17
Skcos10103	1.25050786390398	1	0
Skcos10104	2.11282864995037	0.999998637813606	6.27415463198566e-12
Skcos10105	2.29217768701927	1	0
Skcos10106	1.59661680937679	1	0
Skcos10107	1.24483175109186	0.997631988126658	4.54390636979554e-06
Skcos10108	-0.366672394858585	0	0.933133595120133
Skcos10109	2.34143176358484	1	0
Skcos1011	0.208101099693222	0.431482575719579	8.03647605119275e-06
Skcos10110	1.8926025309045	1	0
Skcos10111	2.06451102664708	1	0
Skcos10112	-0.60961580766332	9.29791201215108e-05	0.963930180420425
Skcos10113	2.13348471641895	1	0
Skcos10114	3.10271651649312	0.99985941096882	1.69150236116393e-06
Skcos10115	3.07512295772318	0.999805073958797	3.15439344213251e-06
Skcos10116	2.18449311803994	1	0
Skcos10117	0.794745356206704	0.994643502325512	4.7753909133222e-07
Skcos10118	0.371780386169224	0.629972344795508	0.142122177863744
Skcos10119	0.0100082594475495	0.34748553943508	0.274282598809509
Skcos1012	-0.333736102897158	0.000222128505758847	0.780910324923302
Skcos10120	2.23621564108583	0.999999966782771	1.79008326009614e-15
Skcos10121	-0.0965862976802287	0.000743939203870427	0.0907582581082084
Skcos10122	1.26587689538405	1	0
Skcos10123	1.14388280027694	0.999999999909966	0
Skcos10124	2.68893900723274	1	0
Skcos10125	1.47516382105094	0.999998002577304	0
Skcos10126	2.25451428297332	0.999999999996344	0
Skcos10127	-0.517948583400592	0.0137208913565663	0.816387228892236
Skcos10128	2.08787906374532	1	0
Skcos10129	1.17865295754537	0.999999998193493	0
Skcos1013	-1.45743147003423	0	0.999982682153976
Skcos10130	0.696599803263706	0.985462303989029	2.42027221287888e-06
Skcos10131	2.8128988209778	1	0
Skcos10132	1.20326494035101	0.999999999958224	0
Skcos10133	0.922843731610378	0.999992419607096	0
Skcos10134	-0.420576786161893	0	0.995107236055864
Skcos10135	0.84591548646385	0.999934872268371	0
Skcos10136	2.29891458376203	0.999997292311147	4.64435701476625e-11
Skcos10137	1.31107438584323	0.999821482614804	7.55350162741769e-09
Skcos10138	-0.226666631333002	0	0.526965581590684
Skcos10139	-0.612296599894475	0.184392980290251	0.659493823073397
Skcos1014	0.514303392189487	0.740169116131106	0.0307289495919028
Skcos10140	1.17356184206418	0.960025401361899	0.00220503690781994
Skcos10141	-0.00300358853334052	0.405230920425353	0.396118372180084
Skcos10142	-0.0630945717825203	0.101824451531951	0.267845616771796
Skcos10143	0.171897226704813	0.515963404377952	0.259799334201959
Skcos10144	2.63731108631416	0.995485354337334	0.000471585175050713
Skcos10145	-0.870172385754039	0.141493237773751	0.74047551207809
Skcos10146	2.67432352548816	0.999997459099557	3.34687983380554e-10
Skcos10147	-0.229010340263101	0.187494797655381	0.500551115658388
Skcos10148	1.98953103836378	1	0
Skcos10149	1.9313026061174	1	0
Skcos1015	0.825144960982769	0.882213134117599	0.0121068730198332
Skcos10150	2.37298399822382	0.999999442341466	2.15214323140512e-12
Skcos10151	3.50285954204164	1	0
Skcos10152	3.41748957612255	1	0
Skcos10153	2.05939051160311	1	0
Skcos10154	-0.0617112682345837	0.13354039607552	0.271499151487795
Skcos10155	-0.342242859631361	0	0.917458595354778
Skcos10156	3.53021633074552	1	0
Skcos10157	0.974761146126346	0.999997174947991	0
Skcos10158	1.79678700307103	1	0
Skcos10159	2.99840927893465	1	0
Skcos1016	1.60387860058451	1	0
Skcos10160	-0.497004325046445	0	0.999989642053917
Skcos10161	nan	nan	nan
Skcos10162	1.95806790071727	0.999999225445041	7.12213428549364e-13
Skcos10163	1.93461746456371	1	0
Skcos10164	2.81509323121008	1	0
Skcos10165	3.35592666848684	0.999995061305741	3.01002296862648e-09
Skcos10166	2.2777205050872	1	0
Skcos10167	nan	nan	nan
Skcos10168	1.43998638735003	0.909910474324635	0.0315254429771719
Skcos10169	-1.94760298815594	0.0188153971206736	0.952048571354494
Skcos1017	-0.813265895594872	0	1
Skcos10170	3.77714550180451	0.999999999999925	3.24033700728886e-23
Skcos10171	2.13177946616315	1	0
Skcos10172	2.49918900957329	1	0
Skcos10173	1.86881854212212	1	0
Skcos10174	2.76376502989362	1	0
Skcos10175	1.6818888927099	0.96757549781124	0.00418715168569134
Skcos10176	2.27448727761635	0.999999999998668	0
Skcos10177	2.15175145376905	0.998172754592166	6.11821074292268e-05
Skcos10178	0.393648282049226	1	0
Skcos10179	1.38175920126345	0.999522750401523	1.66183905427623e-07
Skcos1018	1.63308211010063	1	0
Skcos10180	2.49938455963131	1	0
Skcos10181	1.63066505547536	0.998635325040925	7.29212519792185e-06
Skcos10182	2.28697976807318	1	0
Skcos10183	2.45140780892798	1	0
Skcos10184	3.7967659684866	0.999999999999374	6.51912863990874e-22
Skcos10185	1.44079972780203	0.997843084173132	8.78245670691936e-06
Skcos10186	1.1755920513793	0.998743794035279	5.66576181124007e-07
Skcos10187	2.44031526195337	1	0
Skcos10188	2.93975133145537	1	0
Skcos10189	3.10015811899527	0.999999999999467	8.25507805792668e-24
Skcos1019	0.658215517723348	0.999951175374834	0
Skcos10190	1.61770363680349	0.99999999999993	0
