delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	-0.0942224416133745	0.0907718888861512	0.305687281290323
Skcos10	5.28232942785916	1	8.42074638548991e-92
Skcos100	1.69032997028568	1	0
Skcos1000	2.33544268373411	1	0
Skcos10000	-0.560456269119841	0	1
Skcos10001	2.81645558673476	1	0
Skcos10002	0.0971292496765496	0.0247749550873253	0
Skcos10003	3.55392662489702	1	0
Skcos10004	1.65842559344679	0.999987740350488	3.77001278070841e-11
Skcos10005	1.7937208172197	0.999999999989217	0
Skcos10006	3.39115061959106	0.999999999860441	4.91566977898716e-18
Skcos10007	3.41176604175953	0.999151932354755	6.9806053916857e-05
Skcos10008	3.10850583836679	1	0
Skcos10009	2.08054294621985	1	0
Skcos1001	2.92208764039295	1	0
Skcos10010	3.36818110688335	0.999999999102324	2.12387659292035e-17
Skcos10011	3.59426292248808	1	3.75471506669389e-30
Skcos10012	5.03533898727118	1	5.79694923951409e-53
Skcos10013	3.15682379570458	0.999999802853048	2.98199849786829e-12
Skcos10014	3.17178561763082	0.999999421565521	1.21663998286951e-11
Skcos10015	4.18718635560747	0.999994649344196	9.09473065737452e-09
Skcos10016	3.84838066442651	1	0
Skcos10017	4.11013064028421	1	0
Skcos10018	2.53496217774773	1	0
Skcos10019	2.82607191218155	1	0
Skcos1002	2.47372995509244	1	0
Skcos10020	1.00583041379428	0.999485487337003	2.56650049418506e-09
Skcos10021	nan	nan	nan
Skcos10022	2.98852179106051	1	0
Skcos10023	3.43166935212693	0.999999999992043	4.3978836003536e-21
Skcos10024	6.02167656042576	1	0
Skcos10025	2.19928090121331	1	0
Skcos10026	1.46693648204108	1	0
Skcos10027	-1.20729913200997	0	1
Skcos10028	2.74940244185574	0.993503150308922	0.001418957096722
Skcos10029	3.56487881599435	1	0
Skcos1003	2.8889395588155	0.995189271446741	0.000793524554232809
Skcos10030	3.76609400507578	0.999844248701342	4.14932980236119e-06
Skcos10031	3.41176604175953	0.999151932354755	6.9806053916857e-05
Skcos10032	1.75805704747124	0.950836895939372	0.0168118369665631
Skcos10033	4.10700489109697	0.999993739055387	9.73525013472638e-09
Skcos10034	3.21844105288898	0.99819639733123	0.000176022379194318
Skcos10035	5.3513586819842	1	1.41332438209277e-116
Skcos10036	-0.0369232301915913	0.392029630855176	0.407454677681887
Skcos10037	-0.00880535339639911	0.227982563329629	0.229461782369299
Skcos10038	4.4755764512516	1	0
Skcos10039	4.36616945136962	1	0
Skcos1004	0.417904682673555	0.69767963363698	0.02946166752652
Skcos10040	4.52732268496363	1	0
Skcos10041	-0.118902700981364	7.22358333551767e-05	0.118933675652573
Skcos10042	2.00410374375435	0.967239533281803	0.0106210356121786
Skcos10043	4.05764267016367	0.999982072435183	3.59419781241606e-08
Skcos10044	3.47365948437931	0.999999999977724	1.75616340804432e-20
Skcos10045	3.21741765320067	1	0
Skcos10046	2.96313717833672	1	0
Skcos10047	3.51812390804479	1	0
Skcos10048	2.73592342691823	1	0
Skcos10049	2.67390748414189	1	0
Skcos1005	3.49722255585441	0.999999999997936	2.79186493737363e-22
Skcos10050	4.39923398200163	1	0
Skcos10051	4.43412942267267	0.999999968807957	1.52901532244996e-12
Skcos10052	-0.740141898945213	0.168608155726351	0.686134752200456
Skcos10053	3.04939441517238	0.996694467246031	0.000369470781238073
Skcos10054	0.24454788642583	0.520227397436993	0.289387527031357
Skcos10055	4.92596685919763	1	1.05912385012168e-42
Skcos10056	3.01152603114059	0.996392801993619	0.000437201371549142
Skcos10057	3.82665007981478	0.999875009417679	2.25316502752545e-06
Skcos10058	3.60692037603084	1	0
Skcos10059	0.346649992291413	0.599610840686276	0.224663341624719
Skcos1006	-0.728032935315725	0	1
Skcos10060	2.49336873884513	0.999996639715137	1.01633636099567e-10
Skcos10061	-0.804727256127333	0	1
Skcos10062	4.26518620315136	0.999998661591732	4.85322215827987e-10
Skcos10063	3.34054811159525	0.999999995023521	5.75968700590672e-16
Skcos10064	2.93173738236741	0.99562057225626	0.00066313628470409
Skcos10065	1.8994040469312	0.959978864812564	0.0129879814179195
Skcos10066	4.38930976909964	0.999999956153998	5.79257120311903e-13
Skcos10067	3.75474071344416	1	2.27710422159186e-37
Skcos10068	0.998538267114814	0.839634859301203	0.0459808511829342
Skcos10069	3.60884114406569	0.999999999999999	1.09303308476115e-26
Skcos1007	3.06269112569637	1	0
Skcos10070	2.14633452046802	0.999999917408013	9.83176511668705e-16
Skcos10071	2.96298850241749	1	0
Skcos10072	3.58179886651594	1	0
Skcos10073	-0.372293261068245	0.274518859129501	0.543671053965751
Skcos10074	2.50805937433572	1	0
Skcos10075	-0.248687884562769	0.12333743280345	0.541872405120591
Skcos10076	4.12571727316129	0.999994189951204	7.66479224842574e-09
Skcos10077	4.54874872655109	1	0
Skcos10078	4.52684603188464	0.999999999303443	2.87019985081976e-16
Skcos10079	4.09729576571237	1	0
Skcos1008	3.10232690461241	1	0
Skcos10080	2.49240931601726	1	0
Skcos10081	-2.26803010327247	0.011285920226493	0.967128900672085
Skcos10082	4.97876658682192	1	1.34150638511847e-42
Skcos10083	4.37748837492925	0.99999994768112	8.72782953196712e-13
Skcos10084	1.53760090585059	0.999999999908992	0
Skcos10085	5.15928997865325	1	3.8832490045131e-71
Skcos10086	0.526807107573879	0.971080268959246	1.58729279932555e-07
Skcos10087	2.84116168197221	1	0
Skcos10088	2.12775389060076	1	0
Skcos10089	4.12187666980411	1	0
Skcos1009	2.57376819904172	1	0
Skcos10090	4.59709579548574	0.999999999995704	5.17888090217494e-20
Skcos10091	4.88503850890394	1	2.83528083435441e-37
Skcos10092	4.77529719323797	1	2.64303089063762e-30
Skcos10093	3.1513298904182	1	0
Skcos10094	0.404702765843076	0.691370886587194	0.095763973596482
Skcos10095	4.71679535876357	0.999999999999987	1.59805965785452e-24
Skcos10096	4.8287571101355	1	0
Skcos10097	2.25777270894254	0.978995312242398	0.00541530254828021
Skcos10098	3.12084076953032	0.99750104235457	0.000290219697903876
Skcos10099	2.95063731296176	1	0
Skcos101	5.49492581599537	1	0
Skcos1010	3.46014207129756	0.999295977335634	5.65249357347247e-05
Skcos10100	3.94726186514362	1	9.80400263338531e-60
Skcos10101	1.74573341159758	1	0
Skcos10102	4.83121911007203	1	3.01222593943401e-30
Skcos10103	2.1971656602169	1	0
Skcos10104	2.64309274468617	0.999999911448096	3.81174244203359e-14
Skcos10105	3.0608134342923	1	0
Skcos10106	3.3898243640673	1	0
Skcos10107	3.19608236038662	0.999999763262324	5.88696168886269e-12
Skcos10108	1.96621636229159	1	0
