delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	0.741079936047411	0.997945120871419	0
Skcos10	-0.835092732077249	0.00655312634127666	0.931344751755983
Skcos100	1.62482525068786	0.99997580219312	4.94048255908585e-09
Skcos1000	0.265136687060348	0.742915156618982	0
Skcos10000	3.2084075112416	1	0
Skcos10001	1.36160474392955	0.999996943894457	0
Skcos10002	2.6208561941901	1	0
Skcos10003	-0.578381929478587	0.0264675546523343	0.810438439595858
Skcos10004	0.156338078060576	0.441749384632656	0.183744084138436
Skcos10005	1.84566717277859	1	0
Skcos10006	-0.183303296323038	0.164186331622763	0.476681262688528
Skcos10007	nan	nan	nan
Skcos10008	-1.72317151414547	8.41650811411756e-06	0.999458374930949
Skcos10009	0.198698339264808	0.441169302917863	0.0111711128483581
Skcos1001	1.69922992356536	1	0
Skcos10010	-0.672342950622389	0.141458067316205	0.710609226900771
Skcos10011	-0.822844712753508	0.0132559640850154	0.893357157171646
Skcos10012	-1.00421245355174	0.0644659819106621	0.829810102226812
Skcos10013	-0.743983285117181	0.0767965804853358	0.779409772794055
Skcos10014	0.44505308627381	0.646648514660763	0.120050428787736
Skcos10015	1.5702285948349	0.991251651779385	0.000547135784577369
Skcos10016	-0.939253859865226	0.00995612780164229	0.916508911875347
Skcos10017	-0.468546441231426	0.171061706314107	0.626673863782425
Skcos10018	-0.648238728313262	0.00130815176682987	0.927228257446353
Skcos10019	0.210643048743258	0.464966549231807	0.0587097802449798
Skcos1002	0.409660591120851	0.997897610911825	0
Skcos10020	1.51927248593834	0.998843218172793	9.11053740223874e-06
Skcos10021	nan	nan	nan
Skcos10022	-0.500809876405882	0.00229095053065601	0.863062248851148
Skcos10023	-0.771496524911022	0.0508823012182597	0.813208121012255
Skcos10024	-0.175193604250517	0.112435948062972	0.458169015809199
Skcos10025	-0.672024180843444	1.45214367559289e-07	0.993492075511562
Skcos10026	1.22286801705494	0.999999543173421	0
Skcos10027	0.126042356840029	0.0669716399909283	0
Skcos10028	nan	nan	nan
Skcos10029	0.340134921139944	0.644209834380445	0.0253729974827321
Skcos1003	-0.104057606156587	0.24569630694333	0.394662820432079
Skcos10030	0.49430336415825	0.645560752888847	0.163406054282911
Skcos10031	-0.146322073745803	0.26378673597305	0.437944969649697
Skcos10032	-1.11207450819261	0.00877487842430311	0.939999460687488
Skcos10033	-0.468546441231426	0.171061706314107	0.626673863782425
Skcos10034	nan	nan	nan
Skcos10035	0.49430336415825	0.645560752888847	0.163406054282911
Skcos10036	nan	nan	nan
Skcos10037	-1.00421245355174	0.0644659819106621	0.829810102226812
Skcos10038	0.141402368535569	0.394521721723445	0.12613866436587
Skcos10039	-0.946988732260792	9.39242518918616e-06	0.994572247721787
Skcos1004	1.82125231737509	0.99997860963456	1.72358851291981e-08
Skcos10040	-0.822844712753508	0.0132559640850154	0.893357157171646
Skcos10041	3.77402368512162	1	0
Skcos10042	-0.104057606156587	0.24569630694333	0.394662820432079
Skcos10043	-0.672342950622389	0.141458067316205	0.710609226900771
Skcos10044	-0.822844712753508	0.0132559640850154	0.893357157171646
Skcos10045	-0.146322073745803	0.26378673597305	0.437944969649697
Skcos10046	-0.956417196509109	3.42014729497389e-05	0.991079678035355
Skcos10047	-1.07336048630877	3.35139537850844e-05	0.995764064096909
Skcos10048	0.116424139055336	0.136178040858092	0.000190067386953571
Skcos10049	-0.0222675998572899	0.0269613663008069	0.0516306665346104
Skcos1005	0.970151580348738	0.858542378941115	0.0369758020547091
Skcos10050	-1.76276138495169	2.83577712512428e-10	0.999998933282712
Skcos10051	0.0057675433493096	0	0
Skcos10052	0.139552974191674	0.432364542380591	0.173551964057658
Skcos10053	-0.672342950622389	0.141458067316205	0.710609226900771
Skcos10054	nan	nan	nan
Skcos10055	-0.804070192429212	0.0228289798046465	0.860660044841528
Skcos10056	-0.672342950622389	0.141458067316205	0.710609226900771
Skcos10057	nan	nan	nan
Skcos10058	0.25507320966569	0.519821797477726	0.148587988344808
Skcos10059	nan	nan	nan
Skcos1006	0.202126356106777	0.30751012072654	0
Skcos10060	0.594728128660098	0.7097843657072	0.0953324529439957
Skcos10061	2.61532618163268	1	0
Skcos10062	0.139552974191674	0.432364542380591	0.173551964057658
Skcos10063	-0.672342950622389	0.141458067316205	0.710609226900771
Skcos10064	0.764719001002707	0.765072899338423	0.0940385223398586
Skcos10065	nan	nan	nan
Skcos10066	nan	nan	nan
Skcos10067	-2.2991318843065	0.000247493849993555	0.998126299114649
Skcos10068	0.15532943863264	0.446360786531064	0.196447150163558
Skcos10069	0.0532927783247855	0.161361525846613	0
Skcos1007	0.872843019007452	0.858111049162638	0.02869875573077
Skcos10070	-0.926864511070528	0.00350176629069418	0.945569997260101
Skcos10071	-0.987399701748134	0.052160878196638	0.844637797606531
Skcos10072	-0.510161132895443	1.67370215525586e-05	0.949657500065288
Skcos10073	nan	nan	nan
Skcos10074	0.843742884581204	0.995132342487104	2.10175208505695e-06
Skcos10075	2.61117034308113	0.999895877894427	1.60879745849407e-06
Skcos10076	-0.183303296323038	0.164186331622763	0.476681262688528
Skcos10077	-0.774663340688444	3.07026845579642e-05	0.984013107426646
Skcos10078	-1.11207450819261	0.00877487842430311	0.939999460687488
Skcos10079	-0.744634377069892	0.00174152838095508	0.942298528614993
Skcos1008	-0.0523817308750443	0	0.0733034708524118
Skcos10080	-0.502140841200161	0.022599493854924	0.768458718565515
Skcos10081	nan	nan	nan
Skcos10082	-1.15448348472007	0.0121737902041341	0.93028884678827
Skcos10083	-1.00421245355174	0.0644659819106621	0.829810102226812
Skcos10084	0.979136867261592	0.965152644453733	0.00092462804224434
Skcos10085	-0.0677139374161677	0	0.191302966445928
Skcos10086	2.13736113186858	0.999999999987716	0
Skcos10087	0.431093730174034	0.709468516014145	0.0291487912205816
Skcos10088	-0.300451574939186	0.0620043077672852	0.582809317321155
Skcos10089	0.25300393208241	0.525492469975741	0.0468209069785668
Skcos1009	-0.000902264919413521	0	0
Skcos10090	0.661129419478836	0.724680804082693	0.115746384031239
Skcos10091	-0.0394201483704237	0	0.00503753164528224
Skcos10092	-0.0394201483704237	0	0.00503753164528224
Skcos10093	-0.662953020052094	0	0.996346096795566
Skcos10094	-1.30837758149979	0.0276386844056424	0.91196027149897
Skcos10095	-1.00421245355174	0.0644659819106621	0.829810102226812
Skcos10096	-0.0409709527699552	0	0
Skcos10097	0.49430336415825	0.645560752888847	0.163406054282911
Skcos10098	-0.104057606156587	0.24569630694333	0.394662820432079
Skcos10099	-1.00634149496422	0.00137471047261969	0.975882984180032
Skcos101	-3.13266865291705	8.81307574438408e-09	0.999999245033465
Skcos1010	-0.337555383185386	0.249182887717294	0.555244910507189
Skcos10100	-0.266508613856343	0.214599795376406	0.526340673400581
Skcos10101	0.482313210570913	0.980322179661644	0
Skcos10102	nan	nan	nan
Skcos10103	1.11434778963646	0.999989444594831	0
Skcos10104	-1.59495374248028	0.00899242093204577	0.962529251008122
Skcos10105	0.792432897205605	0.97636867140099	0.000120995454353479
Skcos10106	1.39273994713889	0.999998917819618	0
Skcos10107	-0.672342950622389	0.141458067316205	0.710609226900771
Skcos10108	1.75161374369715	0.99999842134758	7.11102318422317e-11
Skcos10109	-0.602404545157976	0.0175171753512501	0.827562890648945
Skcos1011	1.07835338774204	0.999993051862834	0
Skcos10110	-0.435792741089159	0.0144195753724388	0.756526373297321
Skcos10111	0.208990810619156	0.472202438218731	0.0941966928294559
Skcos10112	2.21056583183421	0.99999999634608	0
Skcos10113	-0.34702291650395	0.0526943910001927	0.642399500434833
Skcos10114	1.90122991746673	0.999941531315724	1.0116678036202e-07
Skcos10115	-0.672342950622389	0.141458067316205	0.710609226900771
Skcos10116	-0.309894310202577	0.0159646917896008	0.635302696426647
Skcos10117	1.56460400123186	0.964741525030065	0.00638635396578252
Skcos10118	-0.672342950622389	0.141458067316205	0.710609226900771
Skcos10119	-0.672342950622389	0.141458067316205	0.710609226900771
Skcos1012	-0.251740557045443	0.00632316856103728	0.559164001657573
Skcos10120	-2.09394428575327	0.000982776270174192	0.994991940263373
Skcos10121	-0.378294816288499	0.0399870078708148	0.665977051755738
Skcos10122	-0.790325038180411	0.0339745997028906	0.839433675947091
Skcos10123	-0.460894629261072	0.00269888715507507	0.829322220890145
Skcos10124	-0.468546441231426	0.171061706314107	0.626673863782425
Skcos10125	-0.529294172120593	0.0724222159243601	0.717117342198697
Skcos10126	-1.00421245355174	0.0644659819106621	0.829810102226812
Skcos10127	0.654611742469964	0.986377218682714	1.2415540644756e-06
Skcos10128	-0.70938603206646	0.000121422053198128	0.975438647686115
Skcos10129	1.96271746158515	1	0
Skcos1013	3.19749217949145	0.999999999931587	0
Skcos10130	0.138060065767172	0.382851306254575	0.0994834666571426
Skcos10131	-1.30837758149979	0.0276386844056424	0.91196027149897
Skcos10132	-0.699233623920937	0.11788644410993	0.733322929897666
Skcos10133	0.953046826620484	0.960314214812876	0.00133060514711335
Skcos10134	0.054964016447854	0.179885407200217	0.0143270181383607
