delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	0.462294518730297	0.197065967033045	6.69434936905411e-06
Skcos10	0.487109741567929	0.318840418812495	0.00583959740464703
Skcos100	-3.38383185769794	0	1
Skcos1000	1.03747514179701	0.999586917568127	0
Skcos10000	-2.39990499086653	0	1
Skcos10001	-1.73670200644729	0	0.999989200064029
Skcos10002	-3.20489576537428	0	1
Skcos10003	0.267851415468807	0.177795392654173	0.0165625247295575
Skcos10004	-1.32614568575504	1.85216615327526e-10	0.980419350462744
Skcos10005	-1.32797651512433	0	0.990405589118671
Skcos10006	0.647614276911866	0.473790189965586	0.0185496970908659
Skcos10007	-0.186034049906567	0	0.153281931758621
Skcos10008	0.666549294828913	0.481833419914863	0.00056080031994988
Skcos10009	-1.12482274644011	0	0.992815804191494
Skcos1001	-0.491216322167122	6.31142772899699e-05	0.240718916752911
Skcos10010	0.232236719457964	0.21927584575833	0.0412183761592366
Skcos10011	-0.905799056262713	1.67055190245284e-07	0.775708876254947
Skcos10012	-0.270996124301553	0.0392912242879715	0.224817382691177
Skcos10013	-2.3690566343505	0	0.999999681105376
Skcos10014	-0.0978986650074768	0	0
Skcos10015	0.443986091354567	0.352790652222784	0.0393234254858358
Skcos10016	-0.257281593370088	0.00861617739827019	0.138298746998537
Skcos10017	0.443986091354567	0.352790652222784	0.0393234254858358
Skcos10018	-0.359018623824269	2.69997070118375e-05	0.0910828356681585
Skcos10019	-1.09212951967585	0	0.940944810543406
Skcos1002	1.18861370494591	0.99999420826046	0
Skcos10020	-0.828169012306694	7.32514733125379e-05	0.641488586368572
Skcos10021	nan	nan	nan
Skcos10022	0.113240238380899	0	0
Skcos10023	0.210493640768653	0.185969588240305	0.0249570075979501
Skcos10024	0.0519508102536946	0	0
Skcos10025	-0.537710605195679	0	0.171954993815107
Skcos10026	-1.43934400221193	0	0.999771011349283
Skcos10027	-0.00859638152455096	0	0
Skcos10028	nan	nan	nan
Skcos10029	0.00880401345543535	0	0
Skcos1003	nan	nan	nan
Skcos10030	-0.599140913677764	0.0232612806376381	0.435065105732666
Skcos10031	0.027641790580172	0	0
Skcos10032	1.19693327372998	0.787121157366905	0.00112125981710601
Skcos10033	-0.140834173190034	0	0.0866389493139596
Skcos10034	nan	nan	nan
Skcos10035	-0.973760769104843	0.00399756855718627	0.671519714709802
Skcos10036	nan	nan	nan
Skcos10037	0.443986091354567	0.352790652222784	0.0393234254858358
Skcos10038	-0.525163640429273	2.7016548165139e-05	0.289936647970999
Skcos10039	0.943062671118769	0.761018443354192	2.91905291252085e-07
Skcos1004	-1.10023060599389	4.88210275421402e-07	0.867873951379319
Skcos10040	0.994898652128858	0.706399559033302	0.00142217817606001
Skcos10041	-2.77037502071348	0	1
Skcos10042	nan	nan	nan
Skcos10043	0.232236719457964	0.21927584575833	0.0412183761592366
Skcos10044	0.289385298855894	0.199358810774419	0.0209060974648142
Skcos10045	-0.73312637938295	0.00535573945332247	0.5422683620322
Skcos10046	-0.00905767911661124	0	0
Skcos10047	0.278473597838383	0.101374460196558	0.00132714735461659
Skcos10048	0.746428613218786	0.638072621668127	0
Skcos10049	0.393588348254044	0.0292078441697473	0
Skcos1005	-0.85434651680766	0.000498922171767391	0.630470969401486
Skcos10050	1.328168607323	0.955541586835883	2.11543152196339e-09
Skcos10051	0.416208010259527	0.332326351134886	0.0371328795276448
Skcos10052	-0.186034049906567	0	0.153281931758621
Skcos10053	0.232236719457964	0.21927584575833	0.0412183761592366
Skcos10054	nan	nan	nan
Skcos10055	0.538042500238017	0.395920924124818	0.0165206049286348
Skcos10056	0.027641790580172	0	0
Skcos10057	nan	nan	nan
Skcos10058	-0.213796549499862	0.0150684415163105	0.127104523324647
Skcos10059	nan	nan	nan
Skcos1006	-0.122766842322423	0	0
Skcos10060	-1.13025766429132	1.55125778831175e-06	0.857778402308925
Skcos10061	-1.64267890457983	0	0.999996322340963
Skcos10062	-0.398040242547403	0.0446902565470848	0.327431120076455
Skcos10063	-0.168543410679129	0	0.131560206375886
Skcos10064	nan	nan	nan
Skcos10065	nan	nan	nan
Skcos10066	-0.599140913677764	0.0232612806376381	0.435065105732666
Skcos10067	0.880047903714318	0.633375056346232	0.00351977818027305
Skcos10068	-0.740841816811642	0.000742381186351799	0.528374477075163
Skcos10069	-1.19890270814087	5.8788936376307e-05	0.839667224360586
Skcos1007	-0.32780866477741	0.020037937801748	0.230794649817932
Skcos10070	-0.515026687932656	0.000103382343641499	0.296505396926124
Skcos10071	-0.32780866477741	0.020037937801748	0.230794649817932
Skcos10072	0.441485468272038	0.106619895301175	0
Skcos10073	nan	nan	nan
Skcos10074	-0.653127145130623	2.13067324327853e-08	0.442788216681463
Skcos10075	-0.599140913677764	0.0232612806376381	0.435065105732666
Skcos10076	0.434253451648619	0.348172131116929	0.0391341564257205
Skcos10077	0.474695880522783	0.231135472885536	2.03707169731131e-05
