delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	0.394835813397401	0.7170284810166	0.0130711878437301
Skcos10	1.15528885364822	0.961725719636748	0.00494044952555676
Skcos100	-0.948690569407124	0.000455685551064695	0.98318483189187
Skcos1000	0.962525919966079	1	0
Skcos10000	-2.34230788199785	0	1
Skcos10001	-0.889617466488442	1.90994255535467e-05	0.991311085277865
Skcos10002	-3.56596439215029	0	1
Skcos10003	0.341886588160661	0.599131829247584	0.116500392113931
Skcos10004	-0.213009660231268	0.164185040353993	0.487726961808901
Skcos10005	-0.205723500001132	0.101059883498235	0.473863684178995
Skcos10006	0.484821264831343	0.674112857698248	0.117296387190679
Skcos10007	nan	nan	nan
Skcos10008	1.38687170304325	0.98848063994417	0.000591631412286003
Skcos10009	0.551922427411848	0.887715927722359	0.00212707896350062
Skcos1001	0.713957998085059	0.848526991209977	0.0187274229932308
Skcos10010	0.123531862541445	0.403346677644363	0.175550618628712
Skcos10011	0.987213366359171	0.917101707976726	0.0142577986502866
Skcos10012	0.309826458621779	0.559337682683414	0.178484741495788
Skcos10013	0.484821264831343	0.674112857698248	0.117296387190679
Skcos10014	0.650871103715368	0.761214879790183	0.072845595496894
Skcos10015	0.309826458621779	0.559337682683414	0.178484741495788
Skcos10016	0.676871399944852	0.786868702059641	0.0528540971233122
Skcos10017	-0.35527742546405	0.133533071017573	0.600138303124327
Skcos10018	1.26645078138549	0.992198727265102	0.000128003504894594
Skcos10019	0.0834152208346259	0.294898962396486	0.100180479434451
Skcos1002	0.888469800257795	1	0
Skcos10020	-0.796322208542715	0.00613972814166536	0.921416891037707
Skcos10021	nan	nan	nan
Skcos10022	1.00625483969752	0.979808935343663	0.000465980679426166
Skcos10023	0.650871103715368	0.761214879790183	0.072845595496894
Skcos10024	1.08760233843095	0.930509454663851	0.00994017977230891
Skcos10025	1.04335082712269	0.999309499556155	1.84049032252159e-07
Skcos10026	-0.378705124965335	0.0120718269803981	0.730220745705859
Skcos10027	-0.3665436994171	0	0.972114153923665
Skcos10028	nan	nan	nan
Skcos10029	0.616301409599223	0.818794489723206	0.0219634673624793
Skcos1003	nan	nan	nan
Skcos10030	nan	nan	nan
Skcos10031	0.123531862541445	0.403346677644363	0.175550618628712
Skcos10032	0.561485964276909	0.728724536566181	0.0811130512888389
Skcos10033	0.309826458621779	0.559337682683414	0.178484741495788
Skcos10034	nan	nan	nan
Skcos10035	nan	nan	nan
Skcos10036	nan	nan	nan
Skcos10037	0.309826458621779	0.559337682683414	0.178484741495788
Skcos10038	1.06868223344477	0.950734704693323	0.00475479391147451
Skcos10039	2.0147373484262	0.999985468762707	1.05996746410274e-07
Skcos1004	-0.585461456181235	0.0291925782379231	0.796937444560798
Skcos10040	1.20458000237075	0.960138054758482	0.00588684751352358
Skcos10041	-2.41784863907229	0	1
Skcos10042	nan	nan	nan
Skcos10043	0.123531862541445	0.403346677644363	0.175550618628712
Skcos10044	1.20458000237075	0.960138054758482	0.00588684751352358
Skcos10045	-0.223385621482946	0.206385806396244	0.500747306254617
Skcos10046	1.33948361845749	0.995560835847224	7.1976813975016e-05
Skcos10047	1.43710738841827	0.997610935878489	5.96854816030854e-05
Skcos10048	1.38942280123382	1	0
Skcos10049	1.49973694663462	1	0
Skcos1005	0.309826458621779	0.559337682683414	0.178484741495788
Skcos10050	1.88712402732833	0.999958002648333	1.02153366611295e-07
Skcos10051	0.271763949825293	0.536833020295512	0.18125537807423
Skcos10052	nan	nan	nan
Skcos10053	0.123531862541445	0.403346677644363	0.175550618628712
Skcos10054	nan	nan	nan
Skcos10055	0.954887718584345	0.900618403006222	0.0216214330412111
Skcos10056	0.123531862541445	0.403346677644363	0.175550618628712
Skcos10057	nan	nan	nan
Skcos10058	0.954887718584345	0.900618403006222	0.0216214330412111
Skcos10059	nan	nan	nan
Skcos1006	-0.390053144499631	0	0.999456481596429
Skcos10060	0.484821264831343	0.674112857698248	0.117296387190679
Skcos10061	-1.62861024148754	0	1
Skcos10062	-0.404570404160676	0.14947398641613	0.624790312111398
Skcos10063	0.123531862541445	0.403346677644363	0.175550618628712
Skcos10064	nan	nan	nan
Skcos10065	nan	nan	nan
Skcos10066	-0.579771051012383	0.0886146030406175	0.727453783948817
Skcos10067	1.08760233843095	0.930509454663851	0.00994017977230891
Skcos10068	0.296481922714539	0.552880312823767	0.18017218774263
Skcos10069	-0.0536766159450181	0	0.186709666490759
Skcos1007	0.296481922714539	0.552880312823767	0.18017218774263
Skcos10070	1.15528885364822	0.961725719636748	0.00494044952555676
Skcos10071	0.484821264831343	0.674112857698248	0.117296387190679
Skcos10072	1.40077487836606	0.999989873132863	0
