delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	0.442730355735668	0.176121083397688	2.19732307909233e-05
Skcos10	2.31762183305711	0.988521047256997	5.56084558018603e-06
Skcos100	-1.21153600269001	2.88694923574775e-08	0.92822598602043
Skcos1000	1.04033068709515	0.999422653191652	0
Skcos10000	-2.47629801650803	0	1
Skcos10001	-0.553828659476019	3.12412336881361e-05	0.328784564900108
Skcos10002	-3.89360643318404	0	1
Skcos10003	1.42131296987005	0.862531121971048	0.00048963937872231
Skcos10004	-0.157041327804518	0.00770439917628372	0.121110251495364
Skcos10005	0.365028059830554	0.227612398535576	0.00738119795274713
Skcos10006	0.584094335864066	0.446653145276307	0.0480346864134001
Skcos10007	nan	nan	nan
Skcos10008	1.24758673888436	0.841789673635633	4.80166451071836e-05
Skcos10009	0.832950829456145	0.667111779369593	2.83095648109719e-08
Skcos1001	0.883412543983332	0.62279211460179	0.00102167164061196
Skcos10010	-0.00792903889480186	0	0
Skcos10011	1.66400327331543	0.909119921632978	0.000288016023881346
Skcos10012	0.605772470084432	0.463890130423689	0.0495319529329825
Skcos10013	0.584094335864066	0.446653145276307	0.0480346864134001
Skcos10014	0.853841657114305	0.580899409518279	0.0196186222150876
Skcos10015	0.605772470084432	0.463890130423689	0.0495319529329825
Skcos10016	0.839847718583549	0.580236435391542	0.00885552706364359
Skcos10017	0.28481966742932	0.281876293320064	0.065693518240872
Skcos10018	1.05157970995525	0.779819922704638	1.05168092040679e-05
Skcos10019	0.63715864677696	0.450218366568126	0.000496096071630586
Skcos1002	0.779211436122985	0.790024934385574	0
Skcos10020	-1.02104048142442	2.67451304905762e-05	0.784676861114487
Skcos10021	nan	nan	nan
Skcos10022	1.54755907557365	0.975823760072574	2.48227872087299e-08
Skcos10023	0.853841657114305	0.580899409518279	0.0196186222150876
Skcos10024	1.85023263099865	0.939795779630157	0.000199020014383451
Skcos10025	0.517278610022076	0.213275201191431	0
Skcos10026	-0.716984343793734	0	0.522952066996784
Skcos10027	-0.21513140330067	0	0
Skcos10028	nan	nan	nan
Skcos10029	0.767119389126233	0.548776335540146	0.000403463237728075
Skcos1003	nan	nan	nan
Skcos10030	nan	nan	nan
Skcos10031	0.29704744278727	0.294769956659278	0.0724125393792365
Skcos10032	1.64617223149458	0.897299390347128	0.000696677879117831
Skcos10033	0.605772470084432	0.463890130423689	0.0495319529329825
Skcos10034	nan	nan	nan
