delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	0.584972442673196	0.345024162189864	2.39441426002439e-06
Skcos10	1.06110378993453	0.728635552235414	0.00119370217376801
Skcos100	-3.40760545514577	0	1
Skcos1000	-0.0731644362960656	0	0
Skcos10000	-2.65641051376718	0	1
Skcos10001	-2.385911515488	0	1
Skcos10002	-4.01062812546773	0	1
Skcos10003	-0.0457383570100318	0	0
Skcos10004	-1.32941114725973	9.33554064924366e-09	0.957220885816849
Skcos10005	-0.789948460393719	1.04212338519456e-07	0.650249921135277
Skcos10006	0.35881640874706	0.333893878750211	0.0783546843553765
Skcos10007	-0.335342185746314	0.0826176170552041	0.332105575913834
Skcos10008	0.320465431706913	0.183776183752615	0.00690106910286623
Skcos10009	-1.36659273749558	0	0.999954247302448
Skcos1001	1.00844603543241	0.699831007431246	0.000596731090912908
Skcos10010	0.0393066364805673	0	0
Skcos10011	-0.801368645047354	1.14399613987938e-05	0.642018987211205
Skcos10012	0.0418245951523496	0	0
Skcos10013	-1.38388856101594	3.69913396207942e-07	0.951266874200741
Skcos10014	-0.365555155456877	0.0245521187406529	0.264026272271158
Skcos10015	0.747104540562953	0.52379460891161	0.0425193056980434
Skcos10016	-0.733133902741482	9.6074760639751e-05	0.561683255656042
Skcos10017	0.380621634425195	0.351388850917506	0.0848885941732381
Skcos10018	-0.827258480463811	0	0.678887232070857
Skcos10019	-1.39928950337167	0	0.996950413338506
Skcos1002	0.632526691930696	0.273425197047106	0
Skcos10020	-0.985663670930994	5.06937736995008e-05	0.754232065652915
Skcos10021	nan	nan	nan
Skcos10022	0.489349032250421	0.256185204777458	0.00015166104349043
Skcos10023	1.02657404870519	0.65555346394288	0.0160622706895451
Skcos10024	-0.155117986811549	0.0146111290121015	0.107939372732133
Skcos10025	-1.02288355717038	0	0.984851970466573
Skcos10026	-3.53855062164772	0	1
Skcos10027	0.185537908057789	0	0
Skcos10028	nan	nan	nan
Skcos10029	-0.696845521951863	2.96240860177756e-07	0.532925201181552
Skcos1003	-1.00467857851632	0.0201149505941223	0.649069259874078
Skcos10030	-0.679376958310689	0.0535095183238821	0.503975358277242
Skcos10031	-0.285473742659578	0.0730578032147009	0.290398094780753
Skcos10032	1.92159031694252	0.946008806245937	0.00051977279370402
Skcos10033	0.380621634425195	0.351388850917506	0.0848885941732381
Skcos10034	nan	nan	nan
Skcos10035	-0.679376958310689	0.0535095183238821	0.503975358277242
Skcos10036	nan	nan	nan
Skcos10037	0.747104540562953	0.52379460891161	0.0425193056980434
Skcos10038	-0.746290896352583	7.09874006540166e-07	0.572350847410916
Skcos10039	0.872311005882609	0.696003554434547	1.80810635491945e-06
Skcos1004	-1.31176635110488	1.83327683596856e-07	0.957896805689909
Skcos10040	-0.349278813181883	0.00547059459974046	0.20589248421474
Skcos10041	-3.01843327033051	0	1
Skcos10042	nan	nan	nan
Skcos10043	0.393480034422547	0.361575274359824	0.0889750840797926
Skcos10044	1.13204311839347	0.732629859625404	0.00253164940623991
Skcos10045	-0.534220554128278	0.0544385492260944	0.427281931716734
Skcos10046	0.115784170109991	0.00139785368104652	0
Skcos10047	-0.784359247444525	0	0.622394856456525
Skcos10048	1.08656311049547	0.99338953848064	0
Skcos10049	-0.29916128424152	0	0.00203390453740538
Skcos1005	-1.0060432488574	0.00116998816244137	0.704844054943855
Skcos10050	1.54141707913632	0.985349031119081	6.87703501622731e-10
Skcos10051	0.670885444969336	0.4910012024022	0.0427760594936182
Skcos10052	nan	nan	nan
Skcos10053	0.0393066364805673	0	0
Skcos10054	nan	nan	nan
Skcos10055	-0.0905374770819327	0	0
Skcos10056	0.0393066364805673	0	0
Skcos10057	-0.679376958310689	0.0535095183238821	0.503975358277242
Skcos10058	-0.749814683704995	0.000140883020844476	0.547658074348496
Skcos10059	nan	nan	nan
Skcos1006	-0.0680844926268192	0	0
Skcos10060	-0.843163014604474	0.00132957377785246	0.639279179671058
Skcos10061	-2.06172538894156	0	1
Skcos10062	-0.679376958310689	0.0535095183238821	0.503975358277242
Skcos10063	0.393480034422547	0.361575274359824	0.0889750840797926
Skcos10064	nan	nan	nan
Skcos10065	nan	nan	nan
Skcos10066	-0.335342185746314	0.0826176170552041	0.332105575913834
Skcos10067	0.219788946419772	0.183893991356303	0.0285894171330324
Skcos10068	-0.30451908250363	0.0488936379110579	0.264738533724428
Skcos10069	-1.39125760101973	0.000274277539493298	0.893503399317886
Skcos1007	-0.30451908250363	0.0488936379110579	0.264738533724428
Skcos10070	-0.107455241243364	0	0.0202919243553116
Skcos10071	-0.992475782952215	0.000305079381168214	0.724815820761043
Skcos10072	-0.253942890935077	0	0.00579506885312834
Skcos10073	nan	nan	nan
Skcos10074	-1.14266764783468	0	0.953106245509193
Skcos10075	-3.29505554500389	1.00019699228875e-10	0.999858503808253
Skcos10076	-0.559271570747638	0.0124917584679202	0.417442129469847
Skcos10077	-0.0299572159331558	0	0
Skcos10078	1.16214666180145	0.731687496635915	0.00638493085344621
Skcos10079	0.461533815857167	0.27214648520087	0.00199423519189768
Skcos1008	-0.0969176658668909	0	0
Skcos10080	-0.0954782323946969	0	0
Skcos10081	nan	nan	nan
Skcos10082	0.936538061925428	0.611346403552966	0.0179789231635084
Skcos10083	0.747104540562953	0.52379460891161	0.0425193056980434
Skcos10084	-1.44854761863198	4.91475786314512e-12	0.99209447919116
Skcos10085	2.1469703924725	0.965798279994036	0.000151453618980215
Skcos10086	-0.575070502600967	0.00138097093062304	0.389348825509332
Skcos10087	-0.345537476485909	0.00239511585370134	0.171142130277735
Skcos10088	-0.899137296538731	3.72102776052149e-08	0.774180129176115
Skcos10089	0.205629431660465	0.0934712581250178	0.00491660558541776
Skcos1009	-0.288767146187896	0.00443963223052482	0.140127483242976
Skcos10090	-0.898048194526364	0.0112993492867898	0.613292354145011
Skcos10091	0.380621634425195	0.351388850917506	0.0848885941732381
Skcos10092	0.380621634425195	0.351388850917506	0.0848885941732381
Skcos10093	0.0863035234185639	0.000239725948240471	3.46837361667751e-06
Skcos10094	1.07871078929535	0.673065100561053	0.0178035253145576
Skcos10095	0.747104540562953	0.52379460891161	0.0425193056980434
Skcos10096	1.22724420042708	0.863320327732056	4.85679764849525e-06
Skcos10097	nan	nan	nan
Skcos10098	nan	nan	nan
Skcos10099	-0.432164325364362	0.000366122059690106	0.219684741525554
Skcos101	1.23592752798587	0.845792466376046	2.78903940026235e-05
Skcos1010	0.0393066364805673	0	0
Skcos10100	-1.17299546480515	0.000168727145686027	0.83378097826395
Skcos10101	-0.501273226296987	0	0.0893697441779415
Skcos10102	-1.00467857851632	0.0201149505941223	0.649069259874078
Skcos10103	1.0802647498331	0.826776947856762	3.47451625372158e-06
Skcos10104	-0.566233201291602	0.00609939580720058	0.41116345942976
Skcos10105	-1.44191724915631	0	0.995312283626754
Skcos10106	-1.47595509337462	0	0.996693921301393
Skcos10107	0.0393066364805673	0	0
Skcos10108	-2.52940201830062	0	0.999999995562016
Skcos10109	-0.892696398664585	1.44879974404394e-07	0.756802229229289
Skcos1011	-1.25883894745675	0	0.994444794861318
Skcos10110	-0.263526025674785	0.000963365609468304	0.0824259687666532
Skcos10111	-0.621099601898116	1.3395507837191e-05	0.415542351650318
Skcos10112	-1.35070527399404	5.83987504759008e-08	0.964505118584678
Skcos10113	0.0631753952229517	0	0
Skcos10114	0.719734504317129	0.515712109850414	0.0434374106483257
Skcos10115	0.0393066364805673	0	0
Skcos10116	0.0322263063651091	0	0
Skcos10117	-3.70946517730096	3.7995388533981e-18	0.99999983924414
Skcos10118	0.393480034422547	0.361575274359824	0.0889750840797926
Skcos10119	0.393480034422547	0.361575274359824	0.0889750840797926
Skcos1012	0.484459693197749	0.185463524275553	1.27250682836308e-07
Skcos10120	0.504348000490372	0.384176097153798	0.036036442690268
Skcos10121	-1.89131104035067	0	0.999995301009058
Skcos10122	-1.45251548308688	8.98675614318679e-11	0.987101425480633
Skcos10123	-0.044700921009832	0	0
Skcos10124	-1.17299546480515	0.000168727145686027	0.83378097826395
Skcos10125	0.936538061925428	0.611346403552966	0.0179789231635084
Skcos10126	-0.549128132552437	0.0238517273260475	0.409164119850078
Skcos10127	0.256847277156793	0.0574838222924183	0.00027042567236073
Skcos10128	-0.0333162381135528	0	0
Skcos10129	-0.928386061519089	3.03602957011375e-09	0.798207103686737
Skcos1013	-3.1992630733478	1.29497944214054e-09	0.999733453956475
Skcos10130	-0.642431293310057	4.55363382553934e-07	0.427018649023244
Skcos10131	-0.168398401660838	0.0287811210416917	0.165214297498292
Skcos10132	-1.95467004539751	3.82747235998873e-11	0.998722301555267
Skcos10133	-0.177870163949197	0.027163225794606	0.13731062053817
Skcos10134	-2.00400723919527	0	1
Skcos10135	-0.246474061390597	2.04859544177327e-05	0.0268681058115754
Skcos10136	0.0523188719822246	0	0
Skcos10137	0.67932136616923	0.480674184803131	0.0157324633947881
Skcos10138	-2.13314207190336	0	1
Skcos10139	nan	nan	nan
Skcos1014	-0.30451908250363	0.0488936379110579	0.264738533724428
Skcos10140	0.0523188719822246	0	0
Skcos10141	nan	nan	nan
Skcos10142	nan	nan	nan
Skcos10143	nan	nan	nan
Skcos10144	nan	nan	nan
Skcos10145	nan	nan	nan
Skcos10146	0.045117616246785	0	0
Skcos10147	-0.534220554128278	0.0544385492260944	0.427281931716734
Skcos10148	-1.65715100754853	0	0.999995763341906
Skcos10149	0.805486099138579	0.581940299888918	0.000499273703589939
Skcos1015	-0.731226611927292	0.0248422629569342	0.53598844781485
Skcos10150	1.46881232848495	0.922513636429083	9.35805659236615e-06
Skcos10151	0.808724891770918	0.556305452460373	0.0166031253405946
Skcos10152	3.08367159884405	0.99951583155316	1.77742277459857e-08
Skcos10153	-0.0905374770819327	0	0
Skcos10154	-1.48123336218131	2.70413574359022e-11	0.989156909503923
Skcos10155	-2.31430651021164	0	1
Skcos10156	2.05769710303221	0.999557626612005	3.77949526897164e-14
Skcos10157	-0.319729361114175	0.00127962945773513	0.125558857096774
Skcos10158	-0.818990154466998	2.65996318157108e-06	0.662977310275671
Skcos10159	2.22384097281282	0.998395021783605	1.28970723958727e-10
Skcos1016	0.20644796428457	0.0562633231578285	0.0012405129079084
Skcos10160	-1.14696859121458	0	0.999994327822196
Skcos10161	nan	nan	nan
Skcos10162	-0.440414903339224	0.0246638948402682	0.336444397062156
Skcos10163	0.403023467748375	0.0365177279255482	0
Skcos10164	0.264026331122916	0.0615999921249592	0.00029003401217475
Skcos10165	0.393480034422547	0.361575274359824	0.0889750840797926
Skcos10166	-0.936643916893607	0	0.836171568279247
Skcos10167	0.393480034422547	0.361575274359824	0.0889750840797926
Skcos10168	nan	nan	nan
Skcos10169	-0.335342185746314	0.0826176170552041	0.332105575913834
Skcos1017	-1.67800094242379	0	1
Skcos10170	1.07871078929535	0.673065100561053	0.0178035253145576
Skcos10171	-0.0182981868526358	0	0
Skcos10172	-0.910618276090193	0.00272934175825288	0.642652819791339
Skcos10173	-0.058789397958	0	0
Skcos10174	1.55672609955718	0.996762151805107	0
Skcos10175	nan	nan	nan
Skcos10176	0.951006160452879	0.653522297775036	0.00278464887202132
Skcos10177	0.719734504317129	0.515712109850414	0.0434374106483257
