delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	-0.739561215298016	3.04418241051345e-06	0.541525204715334
Skcos10	-0.0340074535427121	0	0
Skcos100	-0.599589101302951	5.95622050595123e-06	0.390139553004534
Skcos1000	-0.124422961943376	0	1.86829314087788e-06
Skcos10000	-1.1914201332283	0	1
Skcos10001	-0.330274791042901	6.44589410653138e-06	0.0524191767112155
Skcos10002	-3.95103018703934	0	1
Skcos10003	-0.466354003920252	0.00712485884900016	0.318758343470126
Skcos10004	-0.695451982171086	0.00172942871102956	0.498778050196894
Skcos10005	0.127473886271741	0.0137508581906561	0
Skcos10006	nan	nan	nan
Skcos10007	nan	nan	nan
Skcos10008	-0.157929257708755	0.0208844210511363	0.151190423910053
Skcos10009	0.0537630977899106	0	0
Skcos1001	0.375325768111906	0.250543322664808	0.01086177689979
Skcos10010	nan	nan	nan
Skcos10011	-0.325520381863761	0.0454046066928962	0.271860726520955
Skcos10012	nan	nan	nan
Skcos10013	-0.0128086738147016	0	0
Skcos10014	0.167504176637708	0.0970131670506882	0
Skcos10015	-0.0128086738147016	0	0
Skcos10016	-0.0719677198341151	0	0
Skcos10017	-0.876394283790566	0.00392278605984804	0.624291551917983
Skcos10018	0.927496000982002	0.680593822866645	5.961681312067e-05
Skcos10019	-0.46219309842256	0.000271556876980387	0.236740003124772
Skcos1002	-0.616338543934143	0	0.290069859774728
Skcos10020	-1.12071911843124	4.38821986209091e-06	0.846913548900063
Skcos10021	nan	nan	nan
Skcos10022	-0.0253072917487164	0	0
Skcos10023	nan	nan	nan
Skcos10024	1.31672552984337	0.862493660371583	6.88822094446479e-05
Skcos10025	-0.315958581994762	0.000341359147938961	0.106046798553527
Skcos10026	0.173273407156637	0.0113376785551981	2.74901586293244e-05
Skcos10027	-0.126366116834873	0	0
Skcos10028	nan	nan	nan
Skcos10029	-0.585930537491756	0.00290297973215501	0.415844243738056
Skcos1003	nan	nan	nan
Skcos10030	nan	nan	nan
Skcos10031	nan	nan	nan
Skcos10032	0.0617373798451631	0	0
Skcos10033	nan	nan	nan
Skcos10034	nan	nan	nan
Skcos10035	0.357345880371018	0.281942461346659	0.0347990121574357
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	-0.0719677198341151	0	0
Skcos10039	0.928685737660196	0.64549740171827	0.00248078625922454
Skcos1004	-0.60999050173528	0.000571984064194424	0.422022449339715
Skcos10040	0.806503223669312	0.582741141467149	0.00481593171488698
Skcos10041	-1.11038867537717	0	0.993602371580395
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	1.03489505656301	0.713705167286432	0.00127496660770077
Skcos10045	-0.520572635348078	0.021318850373805	0.388501235334122
Skcos10046	0.617212056278719	0.428197680826874	0.00278904833039133
Skcos10047	-0.520572635348078	0.021318850373805	0.388501235334122
Skcos10048	0.0437365852446385	0.002544853709963	0.000379658800597717
Skcos10049	0.36659781440182	0.131612216785213	4.11359538051897e-05
Skcos1005	nan	nan	nan
Skcos10050	0.597620909171975	0.440567989865725	0.0122777818089585
Skcos10051	0.0617373798451631	0	0
Skcos10052	nan	nan	nan
Skcos10053	nan	nan	nan
Skcos10054	nan	nan	nan
Skcos10055	0.167504176637708	0.0970131670506882	0
Skcos10056	nan	nan	nan
Skcos10057	0.167504176637708	0.0970131670506882	0
