delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	-0.701388489480872	0.00246108986036107	0.93127924366293
Skcos10	-0.700202760017956	0.0806800809507062	0.770750579462681
Skcos100	-2.79934527443562	0	1
Skcos1000	-1.18002882482266	0	1
Skcos10000	-1.4371385075461	0	1
Skcos10001	-1.64807106551813	0	1
Skcos10002	-4.2530345736271	0	1
Skcos10003	-1.04256042715403	0.00435959270905371	0.955068371625166
Skcos10004	-2.08788290219294	3.61649844155008e-10	0.999999629492951
Skcos10005	-0.513941298390498	0.00148852694819022	0.876096306484831
Skcos10006	-0.858894346419603	0.0971801050824714	0.776937439051467
Skcos10007	-0.536561998129539	0.185374021079332	0.63937876550036
Skcos10008	-1.87453248243658	9.64556778850949e-05	0.998793019786045
Skcos10009	-1.90301313986192	0	1
Skcos1001	0.428518899511653	0.640005115869579	0.1056077900249
Skcos10010	-0.536561998129539	0.185374021079332	0.63937876550036
Skcos10011	-3.09704758312997	3.19948106580197e-10	0.999999892843277
Skcos10012	-0.858894346419603	0.0971801050824714	0.776937439051467
Skcos10013	-2.37799273649671	1.72350995698169e-08	0.999995823204191
Skcos10014	-1.14684853633585	0.00810878135457239	0.940907059791973
Skcos10015	0.0883992345890361	0.333585922779494	0.118308830270717
Skcos10016	-1.72897637004003	3.10247744994103e-06	0.999865076214474
Skcos10017	-0.536561998129539	0.185374021079332	0.63937876550036
Skcos10018	-1.3081411666356	0	0.999991179143939
Skcos10019	-1.99620194407759	0	1
Skcos1002	-0.905301886594951	0	1
Skcos10020	-1.39171978610073	8.93001485841883e-05	0.996611525789926
Skcos10021	nan	nan	nan
Skcos10022	-0.779941775465261	0.00382201739970898	0.927263554624475
Skcos10023	-0.536561998129539	0.185374021079332	0.63937876550036
Skcos10024	-0.0886781258423104	0.0937119660245639	0.313965308221888
Skcos10025	-2.48218494026669	0	1
Skcos10026	-2.94490553296286	0	1
Skcos10027	0.426675757562468	0.998407515495085	0
Skcos10028	nan	nan	nan
Skcos10029	-2.13456967585876	7.20255467896608e-13	0.999999993128708
Skcos1003	-1.15928925528005	0.0425878423138395	0.883435704914512
Skcos10030	-0.858894346419603	0.0971801050824714	0.776937439051467
Skcos10031	-0.858894346419603	0.0971801050824714	0.776937439051467
Skcos10032	1.00971719615258	0.838357089593364	0.0589865175915885
Skcos10033	-0.536561998129539	0.185374021079332	0.63937876550036
Skcos10034	nan	nan	nan
Skcos10035	-0.0033281829469586	0	0
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	-2.18397795406049	1.51279709959069e-11	0.999999950900043
