delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	-0.335305114297052	0.055117373982936	0.625542277625451
Skcos10	-0.424803115651708	0.152084336011074	0.622599176424077
Skcos100	-0.998352743398095	2.63122387662354e-06	0.998599993607073
Skcos1000	-0.17015831595915	0.000438470660159407	0.32561009519295
Skcos10000	-1.37568574812483	0	1
Skcos10001	-0.322357994039379	0.00745683883757054	0.674185533945941
Skcos10002	-4.34974906190825	0	1
Skcos10003	-0.0483392688178177	0	0.109996616125299
Skcos10004	-1.48081237581284	3.03664387298117e-05	0.998069490781071
Skcos10005	0.396211829327617	0.690054201824136	0.0269780649419802
Skcos10006	nan	nan	nan
Skcos10007	nan	nan	nan
Skcos10008	0.0607059704230063	0.214374030502382	0.0184615214118762
Skcos10009	-0.0581254008360527	0	0.142241860189885
Skcos1001	-0.383029455680318	0.0556756490725183	0.663506397743313
Skcos10010	nan	nan	nan
Skcos10011	-1.13642774699215	0.0254495573170378	0.90877577004528
Skcos10012	nan	nan	nan
Skcos10013	0.0607059704230063	0.214374030502382	0.0184615214118762
Skcos10014	0.327839148343897	0.567400078900849	0.201231114021146
Skcos10015	0.0607059704230063	0.214374030502382	0.0184615214118762
Skcos10016	0.570172871717188	0.696124202991711	0.128099650418497
Skcos10017	-0.66140374157932	0.105180506881951	0.730643800343454
Skcos10018	0.439590692373832	0.692333594363399	0.0502296520435231
Skcos10019	-1.14429228561578	4.09623525964599e-07	0.9993647356144
Skcos1002	-0.916680989338633	0	1
Skcos10020	-1.57725908079111	2.55774384249554e-06	0.999721139576601
Skcos10021	nan	nan	nan
Skcos10022	1.34601545942198	0.961493949504692	0.00513336363939804
Skcos10023	nan	nan	nan
Skcos10024	1.48358266415495	0.983155170361195	0.00225313578943591
Skcos10025	-0.963541830229889	2.73186741200972e-06	0.997398154649792
Skcos10026	-0.42212963982192	0.000205466955143638	0.865314750873268
Skcos10027	0.0663750404997532	0.00707603818208342	1.47245247001325e-06
Skcos10028	nan	nan	nan
Skcos10029	-0.793813503839752	0.0179836034936976	0.886242831797513
Skcos1003	nan	nan	nan
Skcos10030	-0.404958633221274	0.192453322790808	0.59602132459486
Skcos10031	nan	nan	nan
Skcos10032	0.787965952590786	0.790545335504537	0.0681875749691758
Skcos10033	nan	nan	nan
Skcos10034	nan	nan	nan
Skcos10035	-0.000471611180218863	0	0
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	-1.28484161629712	0.00050095676559465	0.990975591590119
Skcos10039	1.33411842228085	0.951628953641381	0.00929598111844676
Skcos1004	-0.784449657862048	0.00710729319618861	0.922576306387993
Skcos10040	0.307867106533512	0.557829998438036	0.17884577782729
Skcos10041	-1.49340731989337	0	1
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	1.15679855461192	0.919943539202298	0.0173038968646421
Skcos10045	-0.66140374157932	0.105180506881951	0.730643800343454
Skcos10046	0.89008538763586	0.880194799813524	0.0201867761702891
Skcos10047	-0.404958633221274	0.192453322790808	0.59602132459486
