delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	-0.335305114297052	0.00162383512783057	0.149433614170117
Skcos10	-0.424803115651708	0.034352619626308	0.332071054050014
Skcos100	-0.998352743398095	1.16059813470857e-10	0.890961184415548
Skcos1000	-0.17015831595915	0	3.0857147051463e-06
Skcos10000	-1.37568574812483	0	1
Skcos10001	-0.322357994039379	3.01187540504759e-06	0.0481770258266326
Skcos10002	-4.34974906190825	0	1
Skcos10003	-0.0483392688178177	0	0
Skcos10004	-1.48081237581284	3.73004506845704e-07	0.961381970199576
Skcos10005	0.396211829327617	0.176335043611639	0.000211961553830854
Skcos10006	nan	nan	nan
Skcos10007	nan	nan	nan
Skcos10008	0.0607059704230063	0	0
Skcos10009	-0.0581254008360527	0	0
Skcos1001	-0.383029455680318	0.00231824202216367	0.215000864449018
Skcos10010	nan	nan	nan
Skcos10011	-1.13642774699215	0.00402884273420778	0.737861495005678
Skcos10012	nan	nan	nan
Skcos10013	0.0607059704230063	0	0
Skcos10014	0.327839148343897	0.294338175413547	0.0537314490869144
Skcos10015	0.0607059704230063	0	0
Skcos10016	0.570172871717188	0.428083094925531	0.0339340503571983
Skcos10017	-0.66140374157932	0.0291635690978138	0.491136026745398
Skcos10018	0.439590692373832	0.260385988907112	0.00173491343188162
Skcos10019	-1.14429228561578	5.85255047972092e-11	0.935139450728233
Skcos1002	-0.916680989338633	0	0.961731582752281
Skcos10020	-1.57725908079111	1.85364860964732e-09	0.990375464384613
Skcos10021	nan	nan	nan
Skcos10022	1.34601545942198	0.840381750357025	0.000357858484297539
Skcos10023	nan	nan	nan
Skcos10024	1.48358266415495	0.886028033055555	0.000108662465716895
Skcos10025	-0.963541830229889	3.4861482365217e-11	0.852039090781162
Skcos10026	-0.42212963982192	0	0.0657575393495893
Skcos10027	0.0663750404997532	0	0
Skcos10028	nan	nan	nan
Skcos10029	-0.793813503839752	0.00100678027683065	0.590923519932453
Skcos1003	nan	nan	nan
Skcos10030	-0.404958633221274	0.0662669599404807	0.351821715726924
Skcos10031	nan	nan	nan
Skcos10032	0.787965952590786	0.54963683632332	0.0169711314253442
Skcos10033	nan	nan	nan
Skcos10034	nan	nan	nan
Skcos10035	-0.000471611180218863	0	0
Skcos10036	nan	nan	nan
Skcos10037	nan	nan	nan
Skcos10038	-1.28484161629712	5.98062998432144e-06	0.900532720072769
Skcos10039	1.33411842228085	0.834976093972434	0.00114013375367083
Skcos1004	-0.784449657862048	0.000160111305573359	0.575902643908708
Skcos10040	0.307867106533512	0.260811992980659	0.0354061931860546
Skcos10041	-1.49340731989337	0	1
Skcos10042	nan	nan	nan
Skcos10043	nan	nan	nan
Skcos10044	1.15679855461192	0.76156233725427	0.0017935291304221
Skcos10045	-0.66140374157932	0.0291635690978138	0.491136026745398
Skcos10046	0.89008538763586	0.631091279497719	0.00123216020763832
Skcos10047	-0.404958633221274	0.0662669599404807	0.351821715726924
Skcos10048	0.433922379406291	0.139586407240873	6.48866552696051e-07
Skcos10049	-0.371255007761627	8.22947824053894e-07	0.0722165298240112
Skcos1005	-1.54851134274581	0.000359986825377069	0.892680336580628
Skcos10050	1.1719905988402	0.75891585462206	0.00262379922079414
Skcos10051	-0.0483392688178177	0	0
Skcos10052	nan	nan	nan
Skcos10053	nan	nan	nan
Skcos10054	nan	nan	nan
Skcos10055	0.0350504809280913	0	0
Skcos10056	nan	nan	nan
Skcos10057	0.327839148343897	0.294338175413547	0.0537314490869144
Skcos10058	-0.282176216426729	0.0277737467304417	0.223484688023169
Skcos10059	nan	nan	nan
Skcos1006	-0.0269216007746392	0	0
Skcos10060	-0.897455264282195	0.00219189012298809	0.657051203666502
Skcos10061	-2.11014749098575	0	1
Skcos10062	0.570172871717188	0.428083094925531	0.0339340503571983
Skcos10063	0.327839148343897	0.294338175413547	0.0537314490869144
Skcos10064	0.717757188650295	0.506969801286277	0.0188863441567523
Skcos10065	nan	nan	nan
Skcos10066	-0.66140374157932	0.0291635690978138	0.491136026745398
Skcos10067	0.327839148343897	0.294338175413547	0.0537314490869144
Skcos10068	-1.13642774699215	0.00402884273420778	0.737861495005678
Skcos10069	-0.161805674880784	0.0163096543062297	0.166390853113238
Skcos1007	-0.635947798137616	0.0210300647802498	0.462254367394363
Skcos10070	0.436284441626762	0.344426466574348	0.0403969741073695
Skcos10071	-0.161805674880784	0.0163096543062297	0.166390853113238
Skcos10072	0.332913174555595	0.110880288153406	9.84162293763867e-05
Skcos10073	nan	nan	nan
Skcos10074	-0.58673503254095	3.17540409481629e-06	0.365871918383508
Skcos10075	-1.48081237581284	3.73004506845704e-07	0.961381970199576
Skcos10076	nan	nan	nan
Skcos10077	1.48358266415495	0.886028033055555	0.000108662465716895
Skcos10078	0.887676738622545	0.610110121269851	0.00801787063165781
Skcos10079	0.601964379269879	0.436470762517761	0.0208527802511645
Skcos1008	-0.446733993472038	0.00707001700296763	0.305272011748875
Skcos10080	-0.585504045332806	0.00903642538291768	0.419144506037408
Skcos10081	nan	nan	nan
Skcos10082	0.0607059704230063	0	0
Skcos10083	nan	nan	nan
Skcos10084	-1.26350536628039	1.7969520191988e-06	0.913897464792356
Skcos10085	0.570172871717188	0.428083094925531	0.0339340503571983
Skcos10086	-0.261753875629016	8.3806048115652e-06	0.0217371319368406
Skcos10087	-1.03336401229822	3.2428652068692e-06	0.835837474064088
Skcos10088	-0.335305114297052	0.00162383512783057	0.149433614170117
Skcos10089	1.76316746850107	0.963541892874893	1.42033140039774e-06
Skcos1009	-0.433025695339106	0.0237675424423664	0.31732218408935
Skcos10090	nan	nan	nan
Skcos10091	0.327839148343897	0.294338175413547	0.0537314490869144
Skcos10092	0.0607059704230063	0	0
Skcos10093	0.788751663229888	0.605021622995527	1.32977335774914e-07
Skcos10094	nan	nan	nan
Skcos10095	nan	nan	nan
Skcos10096	2.15491624837472	0.992970156101502	5.68980943841527e-08
Skcos10097	-0.404958633221274	0.0662669599404807	0.351821715726924
Skcos10098	nan	nan	nan
Skcos10099	0.314768651416524	0.246355453845933	0.0280500445609851
Skcos101	0.787965952590786	0.54963683632332	0.0169711314253442
Skcos1010	nan	nan	nan
Skcos10100	-0.404958633221274	0.0662669599404807	0.351821715726924
Skcos10101	-1.42136678193742	0	0.999732268389448
Skcos10102	-0.161805674880784	0.0163096543062297	0.166390853113238
Skcos10103	-0.121847710534097	0	0
Skcos10104	nan	nan	nan
Skcos10105	-1.09280894624815	1.87628266983887e-07	0.866708327888682
Skcos10106	-0.722836344237808	4.98091103591525e-05	0.548859013909284
Skcos10107	-0.825284056369921	0.00892384172385185	0.571452093328964
Skcos10108	-1.17879985117228	6.90689255221643e-09	0.930987780546044
Skcos10109	0.714696262596878	0.493611054399451	0.000889458103400734
Skcos1011	-1.24499098843246	0	0.985011456170454
Skcos10110	1.22122424145071	0.826616093454875	0.000218499025164122
Skcos10111	0.728433331168677	0.50494475455924	0.00205685183813755
Skcos10112	-1.30151495687753	1.23087227256174e-07	0.937435147342608
Skcos10113	-0.605545592136207	0.0144849594851702	0.447548734860371
Skcos10114	-1.54851134274581	0.000359986825377069	0.892680336580628
Skcos10115	0.327839148343897	0.294338175413547	0.0537314490869144
Skcos10116	-1.28484161629712	5.98062998432144e-06	0.900532720072769
Skcos10117	-0.977067501132728	7.38363192712217e-06	0.780789597643199
Skcos10118	nan	nan	nan
Skcos10119	nan	nan	nan
Skcos1012	-0.276856839204836	0.000184646887070067	0.063011916498965
Skcos10120	nan	nan	nan
Skcos10121	1.02336715658931	0.709678364315513	0.00159962130169646
Skcos10122	0.787965952590786	0.54963683632332	0.0169711314253442
Skcos10123	-0.886455820235969	8.55152622454024e-05	0.662059036972952
Skcos10124	0.887676738622545	0.610110121269851	0.00801787063165781
Skcos10125	-0.66140374157932	0.0291635690978138	0.491136026745398
Skcos10126	0.0607059704230063	0	0
Skcos10127	-1.35264874561106	6.65929239642075e-11	0.978848556017774
Skcos10128	0.108950032183596	0	0
Skcos10129	-1.26137125060833	0	0.978219920603853
Skcos1013	-2.38725809710043	1.04263395740625e-08	0.998642266110349
Skcos10130	-0.377623435853566	4.43780635360087e-06	0.100491490744406
Skcos10131	nan	nan	nan
Skcos10132	-0.412409245541573	0.0541750482908061	0.345398012939574
Skcos10133	0.51106564205055	0.367966833338919	0.0112760451113358
