gene	A	B	C	D	E
Skcos1	22	18	21	20	13
Skcos10	6	1	0	4	3
Skcos100	315	19	26	208	34
Skcos1000	122	99	111	369	127
Skcos10000	544	397	508	658	584
Skcos10001	90	32	24	150	38
Skcos10002	203	280	270	285	380
Skcos10003	7	5	2	10	3
Skcos10004	32	6	6	27	15
Skcos10005	58	14	9	34	13
Skcos10006	0	0	1	2	0
Skcos10007	1	0	0	1	0
Skcos10008	7	1	4	11	0
Skcos10009	127	17	16	154	23
Skcos1001	24	4	5	5	11
Skcos10010	0	0	1	1	0
Skcos10011	28	1	1	22	4
Skcos10012	4	0	0	2	0
Skcos10013	63	0	1	19	0
Skcos10014	5	0	1	7	0
Skcos10015	0	0	0	0	0
Skcos10016	11	2	3	18	0
Skcos10017	0	4	1	1	2
Skcos10018	33	3	7	48	8
Skcos10019	58	13	9	72	32
Skcos1002	95	97	131	166	159
Skcos10020	15	12	15	15	20
Skcos10021	0	0	0	0	0
Skcos10022	23	6	5	16	1
Skcos10023	3	0	1	1	0
Skcos10024	7	0	0	9	1
Skcos10025	105	15	33	166	36
Skcos10026	102	27	42	794	60
Skcos10027	361	391	401	294	397
Skcos10028	0	0	0	0	0
Skcos10029	16	6	7	35	8
Skcos1003	0	0	0	3	0
Skcos10030	3	0	0	2	1
Skcos10031	1	0	0	2	0
Skcos10032	0	2	0	0	0
Skcos10033	3	0	0	1	0
Skcos10034	0	0	0	0	0
Skcos10035	5	0	0	2	2
Skcos10036	0	0	0	0	0
Skcos10037	0	0	0	0	0
Skcos10038	25	2	2	30	12
Skcos10039	10	0	2	12	0
Skcos1004	21	9	9	22	12
Skcos10040	2	0	1	13	3
Skcos10041	155	89	149	136	156
Skcos10042	0	0	0	0	0
Skcos10043	0	0	0	0	0
Skcos10044	6	0	1	3	1
Skcos10045	6	2	2	3	2
Skcos10046	24	3	9	21	3
Skcos10047	16	2	4	46	1
Skcos10048	74	28	23	53	23
Skcos10049	67	15	31	133	39
Skcos1005	10	0	1	9	6
Skcos10050	7	1	2	7	0
Skcos10051	2	2	0	2	3
Skcos10052	1	0	0	0	0
Skcos10053	0	0	0	1	0
Skcos10054	0	0	0	0	0
Skcos10055	3	0	0	7	1
Skcos10056	1	0	0	1	0
Skcos10057	0	0	0	2	0
Skcos10058	9	0	2	16	4
Skcos10059	0	0	0	0	0
Skcos1006	854	843	930	799	966
Skcos10060	18	0	2	10	6
Skcos10061	115	90	137	158	147
Skcos10062	2	2	0	2	0
Skcos10063	2	0	1	0	0
Skcos10064	0	0	0	0	1
Skcos10065	0	0	0	0	0
Skcos10066	3	3	0	1	2
Skcos10067	2	0	1	6	0
Skcos10068	11	1	2	5	4
Skcos10069	11	1	1	9	1
Skcos1007	6	1	3	5	3
Skcos10070	21	1	4	12	2
Skcos10071	6	0	3	12	1
Skcos10072	40	10	12	80	17
Skcos10073	0	0	0	0	0
Skcos10074	42	21	15	59	24
Skcos10075	3	10	8	19	15
Skcos10076	1	0	0	7	0
Skcos10077	19	8	5	32	1
Skcos10078	11	0	0	2	1
Skcos10079	10	2	1	11	2
Skcos1008	15	1	4	19	7
Skcos10080	16	2	8	13	5
Skcos10081	0	0	1	0	0
Skcos10082	1	1	0	2	0
Skcos10083	0	0	0	0	0
Skcos10084	30	3	13	36	14
Skcos10085	1	1	0	0	0
Skcos10086	77	27	39	13	39
Skcos10087	12	6	4	16	16
Skcos10088	23	13	11	33	13
Skcos10089	14	3	2	14	1
Skcos1009	10	4	8	15	4
Skcos10090	0	0	0	5	0
Skcos10091	1	0	0	1	0
Skcos10092	3	0	0	1	0
Skcos10093	44	11	9	68	12
Skcos10094	0	0	0	0	0
Skcos10095	0	1	0	0	0
Skcos10096	17	1	2	6	0
Skcos10097	0	0	0	0	1
Skcos10098	0	0	0	0	0
Skcos10099	34	2	4	21	4
Skcos101	6	0	0	5	0
Skcos1010	0	0	0	1	0
Skcos10100	3	0	1	11	1
Skcos10101	136	54	67	136	73
Skcos10102	3	0	0	3	1
Skcos10103	30	7	11	8	9
Skcos10104	3	1	2	9	0
Skcos10105	42	10	18	57	19
Skcos10106	51	23	8	59	15
Skcos10107	6	0	1	1	4
Skcos10108	130	17	12	80	23
Skcos10109	12	7	5	30	5
Skcos1011	95	43	37	89	46
Skcos10110	11	6	9	23	2
Skcos10111	25	10	4	26	4
Skcos10112	29	17	12	23	17
Skcos10113	8	4	9	11	4
Skcos10114	0	0	4	1	6
Skcos10115	0	0	0	1	0
Skcos10116	27	4	9	28	12
Skcos10117	18	4	5	35	15
Skcos10118	1	0	1	0	0
Skcos10119	0	0	0	0	0
Skcos1012	53	26	23	30	22
Skcos10120	3	1	0	4	0
Skcos10121	120	2	4	83	2
Skcos10122	24	6	1	31	0
Skcos10123	31	1	4	28	12
Skcos10124	5	1	1	11	1
Skcos10125	9	1	2	2	2
Skcos10126	4	0	0	5	0
Skcos10127	7	18	25	25	28
Skcos10128	27	10	6	31	3
Skcos10129	25	24	19	37	38
Skcos1013	20	14	8	17	14
Skcos10130	20	17	25	35	30
Skcos10131	3	1	0	4	0
Skcos10132	27	4	2	26	2
