delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	-8.80237646146984e-05	0	0
Throt10	0.424093840296943	0	0
Throt100	-0.104562720540146	0	0
Throt1000	nan	nan	nan
Throt10000	nan	nan	nan
Throt10001	0.192090761574721	0.0709880426708057	0
Throt10002	0.0774636376775674	0	0
Throt10003	-0.00758997293267947	0	0
Throt10004	0.508463041349181	0.302790303966399	0.000202196319684833
Throt10005	-0.124876512460535	0	0.0260560058002568
Throt10006	4.28146110368624e-05	0	0
Throt10007	nan	nan	nan
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	-0.124876512460535	0	0.0260560058002568
Throt10010	-0.204939528974347	0.000219066493864903	0.0639618964952978
Throt10011	-0.518200539967829	0	0.182382996122564
Throt10012	nan	nan	nan
Throt10013	-0.0599024803705768	0	0
Throt10014	nan	nan	nan
Throt10015	-0.384146186949811	0.000263094004861423	0.161118780807162
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	-0.113404055261917	0	0.0176937969630454
Throt10019	nan	nan	nan
Throt1002	-0.34359902525978	0.000379813513792062	0.132186279338148
Throt10020	-0.986328048617733	0	0.941477540154176
Throt10021	-0.503882971716856	0.000313894900435907	0.298556256604889
Throt10022	0.0623138198817756	0	0
Throt10023	0.128008163021585	0.00210305432395894	0
Throt10024	0.0493291425049305	0	0
Throt10025	0.128008163021585	0.00210305432395894	0
Throt10026	4.28146110368624e-05	0	0
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	-0.290494381368152	0.00166617769718699	0.118969436258203
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	nan	nan	nan
Throt10034	0.0481877897473962	0	0
Throt10035	nan	nan	nan
Throt10036	4.28146110368624e-05	0	0
Throt10037	0.0623138198817756	0	0
Throt10038	0.0623138198817756	0	0
Throt10039	4.28146110368624e-05	0	0
Throt1004	4.28146110368624e-05	0	0
Throt10040	4.28146110368624e-05	0	0
Throt10041	nan	nan	nan
Throt10042	0.0623138198817756	0	0
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	0.0493291425049305	0	0
Throt10046	-0.00758997293267947	0	0
Throt10047	-0.113404055261917	0	0.0176937969630454
Throt10048	-0.0757720228609305	0	0
Throt10049	4.28146110368624e-05	0	0
Throt1005	-0.0757720228609305	0	0
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	-0.244739370061556	0.00402062518164868	0.105253561577476
Throt10055	-0.408233716391814	0	0.00374544852890043
Throt10056	-0.37399563421959	0	0.00144071316753657
Throt10057	0.0307289921418698	0	0
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	-0.124876512460535	0	0.0260560058002568
Throt10062	-0.0599024803705768	0	0
Throt10063	-0.113404055261917	0	0.0176937969630454
Throt10064	-0.0599024803705768	0	0
Throt10065	4.28146110368624e-05	0	0
Throt10066	nan	nan	nan
Throt10067	nan	nan	nan
Throt10068	-1.06411953788854	0	1
Throt10069	-0.0200925599283765	0	0
Throt1007	-1.39638085864276	0	1
Throt10070	0.128008163021585	0.00210305432395894	0
Throt10071	nan	nan	nan
Throt10072	nan	nan	nan
Throt10073	nan	nan	nan
Throt10074	nan	nan	nan
Throt10075	-0.290494381368152	0.00166617769718699	0.118969436258203
Throt10076	0.128008163021585	0.00210305432395894	0
Throt10077	nan	nan	nan
Throt10078	nan	nan	nan
Throt10079	0.0493291425049305	0	0
Throt1008	-0.151473606105354	0	0.0381157639763604
Throt10080	-0.113404055261917	0	0.0176937969630454
Throt10081	0.0307289921418698	0	0
Throt10082	0.128008163021585	0.00210305432395894	0
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	0.649492876917167	0.443348070638783	5.22278920914319e-06
Throt10089	4.28146110368624e-05	0	0
Throt1009	0.176141212829309	0.0552336924707491	0
Throt10090	nan	nan	nan
Throt10091	nan	nan	nan
Throt10092	0.128008163021585	0.00210305432395894	0
Throt10093	nan	nan	nan
Throt10094	0.0623138198817756	0	0
Throt10095	-0.0599024803705768	0	0
Throt10096	nan	nan	nan
Throt10097	nan	nan	nan
Throt10098	nan	nan	nan
Throt10099	nan	nan	nan
Throt101	-0.518255256308062	0	0.00683334972507768
Throt1010	-0.0599024803705768	0	0
Throt10100	nan	nan	nan
Throt10101	-0.00598813562025797	0	0
Throt10102	nan	nan	nan
Throt10103	-0.113404055261917	0	0.0176937969630454
Throt10104	4.28146110368624e-05	0	0
Throt10105	-0.124876512460535	0	0.0260560058002568
Throt10106	nan	nan	nan
Throt10107	0.0623138198817756	0	0
Throt10108	nan	nan	nan
Throt10109	0.25119919200852	0.104226145368002	0.00310139505552917
Throt1011	-0.113404055261917	0	0.0176937969630454
Throt10110	nan	nan	nan
Throt10111	-0.695952695660742	0	0.500042600252114
Throt10112	nan	nan	nan
Throt10113	nan	nan	nan
Throt10114	-0.0200925599283765	0	0
Throt10115	-0.565978613404622	0	0.157213921827007
Throt10116	nan	nan	nan
Throt10117	-0.406942135813054	0	1.12142862175675e-06
Throt10118	0.110246379872584	0	0
Throt10119	nan	nan	nan
Throt1012	-0.463016873650261	0	0.00147642980339831
Throt10120	nan	nan	nan
Throt10121	0.128008163021585	0.00210305432395894	0
Throt10122	nan	nan	nan
Throt10123	4.28146110368624e-05	0	0
Throt10124	nan	nan	nan
Throt10125	nan	nan	nan
Throt10126	nan	nan	nan
Throt10127	0.0623138198817756	0	0
Throt10128	0.0623138198817756	0	0
Throt10129	-0.638305233461152	9.58732992468999e-08	0.404112033540902
Throt1013	-0.0175174612997945	0	0
Throt10130	4.28146110368624e-05	0	0
Throt10131	4.28146110368624e-05	0	0
Throt10132	nan	nan	nan
Throt10133	nan	nan	nan
Throt10134	4.28146110368624e-05	0	0
Throt10135	-0.098384851195323	0	0
Throt10136	-0.0574094568012853	0	0
Throt10137	4.28146110368624e-05	0	0
Throt10138	nan	nan	nan
Throt10139	4.28146110368624e-05	0	0
Throt1014	-0.499910753717986	0	0.00381327026877264
Throt10140	-0.113404055261917	0	0.0176937969630454
Throt10141	0.192090761574721	0.0709880426708057	0
Throt10142	-0.0599024803705768	0	0
Throt10143	nan	nan	nan
Throt10144	nan	nan	nan
Throt10145	nan	nan	nan
Throt10146	0.206984646505703	0.060692972426838	0.00106301656046879
Throt10147	-0.113404055261917	0	0.0176937969630454
Throt10148	0.0623138198817756	0	0
Throt10149	0.0582429790061153	0	0
Throt1015	-0.0704132900730426	0	0
Throt10150	4.28146110368624e-05	0	0
Throt10151	-0.294414838718488	0.000157169638441082	0.071417605063648
Throt10152	nan	nan	nan
Throt10153	-0.00758997293267947	0	0
Throt10154	0.0320614893290957	0	0
Throt10155	nan	nan	nan
Throt10156	nan	nan	nan
Throt10157	0.128008163021585	0.00210305432395894	0
Throt10158	nan	nan	nan
Throt10159	nan	nan	nan
Throt1016	nan	nan	nan
Throt10160	0.0623138198817756	0	0
Throt10161	-0.179785602484403	0.00291152716646929	0.070955476181352
Throt10162	-0.0599024803705768	0	0
Throt10163	-0.545117984837847	0	0.00176415588447628
Throt10164	-0.562613287123428	0	0
Throt10165	nan	nan	nan
Throt10166	nan	nan	nan
