delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	0.558182217023011	0.999971893131159	0
Throt10	0.972578632647467	1	0
Throt100	0.115554111229351	0	0
Throt1000	nan	nan	nan
Throt10000	-0.536174326291543	0.114171599508195	0.696054701163924
Throt10001	0.392641026518931	0.614635127546581	0.152760117163404
Throt10002	-0.141429422597257	0.14176184810756	0.417640617706975
Throt10003	0.22410561312089	0.506614181953447	0.198933602562675
Throt10004	1.18015951344147	0.958072473136006	0.00610816785238722
Throt10005	-0.148499648485162	0.233576159887565	0.438252357376324
Throt10006	0.0196032244933241	0	0
Throt10007	-0.330387850330908	0.188622598794101	0.562848911543887
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	-0.540864288684712	0.0992218269058376	0.70894071624424
Throt10010	-0.0756681851509448	0.0534572962400083	0.268581300832671
Throt10011	-0.89862498325572	0	0.999716337853261
Throt10012	nan	nan	nan
Throt10013	0.0196032244933241	0	0
Throt10014	nan	nan	nan
Throt10015	-0.663256134531743	0.0303624353283436	0.820566506339538
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	nan	nan	nan
Throt1002	-0.448556081884918	0.0760369082803034	0.680493130802935
Throt10020	-0.71595021678894	4.85308737762588e-05	0.980435474294466
Throt10021	-0.73055439077433	0.0634271957434765	0.796666311464212
Throt10022	-0.194901485424588	0.208686001201173	0.476671759688879
Throt10023	0.193370950095802	0.484858420581769	0.192924164516423
Throt10024	0.424569596564392	0.635511348637306	0.147753461800842
Throt10025	0.424569596564392	0.635511348637306	0.147753461800842
Throt10026	0.0196032244933241	0	0
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	-0.386928655462232	0.137590953447002	0.615185111549224
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	nan	nan	nan
Throt10034	0.480039491260914	0.666595919136862	0.113589728497535
Throt10035	nan	nan	nan
Throt10036	0.0196032244933241	0	0
Throt10037	0.22410561312089	0.506614181953447	0.198933602562675
Throt10038	0.22410561312089	0.506614181953447	0.198933602562675
Throt10039	0.0196032244933241	0	0
Throt1004	0.0196032244933241	0	0
Throt10040	-0.148499648485162	0.233576159887565	0.438252357376324
Throt10041	nan	nan	nan
Throt10042	0.22410561312089	0.506614181953447	0.198933602562675
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	-0.244732431611287	0.175758023234771	0.519780140628617
