delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	0.558182217023011	0.0615102194172876	0
Throt10	0.972578632647467	1	0
Throt100	0.115554111229351	0	0
Throt1000	nan	nan	nan
Throt10000	-0.536174326291543	0.0260259300421646	0.396136902843186
Throt10001	0.392641026518931	0.310283883061083	0.03359354927741
Throt10002	-0.141429422597257	0	0
Throt10003	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10004	1.18015951344147	0.81022322340028	0.000338970634122462
Throt10005	-0.148499648485162	0	0.134754142237125
Throt10006	0.0196032244933241	0	0
Throt10007	-0.330387850330908	0.0522486213389836	0.286628540884824
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	-0.540864288684712	0.0190633177629436	0.391795196044502
Throt10010	-0.0756681851509448	0	0
Throt10011	-0.89862498325572	0	0.855739849795805
Throt10012	nan	nan	nan
Throt10013	0.0196032244933241	0	0
Throt10014	nan	nan	nan
Throt10015	-0.663256134531743	0.00174755523195372	0.485790395329153
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	nan	nan	nan
Throt1002	-0.448556081884918	0.00616956990294372	0.296803143735574
Throt10020	-0.71595021678894	0	0.540472876304494
Throt10021	-0.73055439077433	0.0111843250611166	0.53021575644125
Throt10022	-0.194901485424588	0.0143800025073883	0.162964018626218
Throt10023	0.193370950095802	0.139536919387474	0
Throt10024	0.424569596564392	0.32861894475784	0.0351484547364374
Throt10025	0.424569596564392	0.32861894475784	0.0351484547364374
Throt10026	0.0196032244933241	0	0
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	-0.386928655462232	0.0265614581339893	0.296423330728868
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	nan	nan	nan
Throt10034	0.480039491260914	0.35503764044611	0.0213886064468417
Throt10035	nan	nan	nan
Throt10036	0.0196032244933241	0	0
Throt10037	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10038	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10039	0.0196032244933241	0	0
Throt1004	0.0196032244933241	0	0
Throt10040	-0.148499648485162	0	0.134754142237125
Throt10041	nan	nan	nan
Throt10042	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	-0.244732431611287	0.0201599268918615	0.189877461970432
Throt10046	-0.386928655462232	0.0265614581339893	0.296423330728868
Throt10047	-0.536174326291543	0.0260259300421646	0.396136902843186
Throt10048	-0.194901485424588	0.0143800025073883	0.162964018626218
Throt10049	0.0196032244933241	0	0
Throt1005	-0.194901485424588	0.0143800025073883	0.162964018626218
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	nan	nan	nan
Throt10055	-0.225222101014453	0	1.97499512124482e-05
Throt10056	-0.224413905490811	0	1.57844005326515e-05
Throt10057	0.392641026518931	0.310283883061083	0.03359354927741
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	0.0196032244933241	0	0
Throt10062	0.0196032244933241	0	0
Throt10063	nan	nan	nan
Throt10064	0.0196032244933241	0	0
Throt10065	0.0196032244933241	0	0
Throt10066	nan	nan	nan
Throt10067	nan	nan	nan
Throt10068	-1.06287803988367	0	1
Throt10069	-0.244732431611287	0.0201599268918615	0.189877461970432
Throt1007	-0.378506565002133	0	0
Throt10070	0.193370950095802	0.139536919387474	0
Throt10071	-0.330387850330908	0.0522486213389836	0.286628540884824
Throt10072	nan	nan	nan
Throt10073	-0.330387850330908	0.0522486213389836	0.286628540884824
Throt10074	nan	nan	nan
Throt10075	0.000216938217390844	0	0
Throt10076	0.424569596564392	0.32861894475784	0.0351484547364374
Throt10077	nan	nan	nan
Throt10078	nan	nan	nan
Throt10079	0.424569596564392	0.32861894475784	0.0351484547364374
Throt1008	0.000216938217390844	0	0
Throt10080	nan	nan	nan
Throt10081	0.601854086813667	0.441394139126167	0.0171610196836276
Throt10082	0.424569596564392	0.32861894475784	0.0351484547364374
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	1.11714304258896	0.816217345519758	1.40526512644341e-05
Throt10089	0.0196032244933241	0	0
Throt1009	-0.326773709593798	0.0141105120777918	0.222634611508811
Throt10090	nan	nan	nan
Throt10091	nan	nan	nan
Throt10092	0.424569596564392	0.32861894475784	0.0351484547364374
Throt10093	nan	nan	nan
Throt10094	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10095	-0.350360142042331	0.0432683499351614	0.292051055703977
Throt10096	nan	nan	nan
Throt10097	nan	nan	nan
Throt10098	nan	nan	nan
Throt10099	nan	nan	nan
Throt101	0.163292169294468	0	0
Throt1010	0.0196032244933241	0	0
Throt10100	nan	nan	nan
Throt10101	0.942977895605496	0.67305840516955	0.0025004099787543
Throt10102	nan	nan	nan
Throt10103	nan	nan	nan
Throt10104	0.0196032244933241	0	0
Throt10105	0.0196032244933241	0	0
Throt10106	nan	nan	nan
Throt10107	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10108	nan	nan	nan
Throt10109	0.0576353518960751	0	0
Throt1011	-0.330387850330908	0.0522486213389836	0.286628540884824
Throt10110	nan	nan	nan
Throt10111	-0.764504693158844	0	0.674779753260383
Throt10112	nan	nan	nan
Throt10113	-0.330387850330908	0.0522486213389836	0.286628540884824
Throt10114	-0.0287287288364712	0	0
Throt10115	-0.859202159608599	0	0.90507994857013
Throt10116	nan	nan	nan
Throt10117	-0.427830025730544	0	5.67601452379287e-06
Throt10118	0.127596223342586	0.0184882788245355	0
Throt10119	nan	nan	nan
Throt1012	-0.302597334707239	0	2.56807142319932e-07
Throt10120	nan	nan	nan
Throt10121	0.424569596564392	0.32861894475784	0.0351484547364374
Throt10122	nan	nan	nan
Throt10123	0.0196032244933241	0	0
Throt10124	nan	nan	nan
Throt10125	nan	nan	nan
Throt10126	nan	nan	nan
Throt10127	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10128	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10129	-0.89110191999431	5.23153387514625e-07	0.726668630107118
Throt1013	-0.353505482226783	0.00935596342093058	0.228014053732524
Throt10130	0.0196032244933241	0	0
Throt10131	0.0196032244933241	0	0
Throt10132	nan	nan	nan
Throt10133	nan	nan	nan
Throt10134	0.0196032244933241	0	0
Throt10135	-0.244732431611287	0.0201599268918615	0.189877461970432
Throt10136	-0.453663834034817	0.000300983759233336	0.230235902553589
Throt10137	-0.148499648485162	0	0.134754142237125
Throt10138	nan	nan	nan
Throt10139	0.0196032244933241	0	0
Throt1014	-0.696623184508121	0	0.519952854916151
Throt10140	nan	nan	nan
Throt10141	0.601854086813667	0.441394139126167	0.0171610196836276
Throt10142	-0.856038984302067	0.00250572833403338	0.612109147112758
Throt10143	nan	nan	nan
Throt10144	-0.330387850330908	0.0522486213389836	0.286628540884824
Throt10145	nan	nan	nan
Throt10146	0.860500245469407	0.607319991992515	0.000609363200953856
Throt10147	nan	nan	nan
Throt10148	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10149	0.419377880604908	0.293394160570314	0.0125084288317705
Throt1015	0.0576353518960751	0	0
Throt10150	-0.350360142042331	0.0432683499351614	0.292051055703977
Throt10151	-0.624173630542742	4.41679343011857e-05	0.420049232470783
Throt10152	nan	nan	nan
Throt10153	0.000216938217390844	0	0
Throt10154	-0.113549308796603	0	0
Throt10155	nan	nan	nan
Throt10156	nan	nan	nan
Throt10157	0.424569596564392	0.32861894475784	0.0351484547364374
Throt10158	nan	nan	nan
Throt10159	nan	nan	nan
Throt1016	nan	nan	nan
Throt10160	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10161	-0.330387850330908	0.0522486213389836	0.286628540884824
Throt10162	0.0196032244933241	0	0
Throt10163	-0.649104793352155	0	0.18285950351792
Throt10164	-0.62305231759805	0	0.00108366305441244
Throt10165	nan	nan	nan
Throt10166	nan	nan	nan
Throt10167	-0.536174326291543	0.0260259300421646	0.396136902843186
Throt10168	nan	nan	nan
Throt10169	nan	nan	nan
Throt1017	0.7831653004484	0.552336538906007	0.00337055632311738
Throt10170	0.0196032244933241	0	0
Throt10171	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10172	-0.148499648485162	0	0.134754142237125
Throt10173	0.0196032244933241	0	0
Throt10174	nan	nan	nan
Throt10175	-0.350360142042331	0.0432683499351614	0.292051055703977
Throt10176	nan	nan	nan
Throt10177	nan	nan	nan
Throt10178	nan	nan	nan
Throt10179	0.0196032244933241	0	0
Throt1018	0.857026998816033	0.635553288718606	0.000155308907525218
Throt10180	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10181	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10182	0.0576353518960751	0	0
Throt10183	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10184	nan	nan	nan
Throt10185	nan	nan	nan
Throt10186	nan	nan	nan
Throt10187	-0.393740576658808	0	0.000209390249250935
Throt10188	nan	nan	nan
Throt10189	nan	nan	nan
Throt1019	-0.436501571276811	0	0.0951493300616761
Throt10190	nan	nan	nan
Throt10191	-0.350360142042331	0.0432683499351614	0.292051055703977
Throt10192	-0.148499648485162	0	0.134754142237125
Throt10193	0.489588140097729	0.335602032260258	0.00729894620582071
Throt10194	nan	nan	nan
Throt10195	0.0196032244933241	0	0
Throt10196	nan	nan	nan
Throt10197	0.424569596564392	0.32861894475784	0.0351484547364374
Throt10198	-0.886896223208945	0	0.913561433006315
Throt10199	-0.0287287288364712	0	0
Throt102	-0.383138356000677	0	0
Throt1020	-0.315592244025025	2.6202644382822e-06	0.0428321240269503
Throt10200	-0.346212460362715	0	9.36609175365293e-05
Throt10201	-0.206549942477613	6.72878720718429e-07	0.00414645620330982
Throt10202	nan	nan	nan
Throt10203	nan	nan	nan
Throt10204	0.193370950095802	0.139536919387474	0
Throt10205	0.0196032244933241	0	0
Throt10206	1.03595961192731	0.710429135769339	0.00103868572110959
Throt10207	-0.148499648485162	0	0.134754142237125
Throt10208	-0.753362483746715	0	0.999739916585623
Throt10209	nan	nan	nan
Throt1021	-0.287469205521842	0.000199774277590272	0.0644146331947925
Throt10210	nan	nan	nan
Throt10211	nan	nan	nan
Throt10212	nan	nan	nan
Throt10213	nan	nan	nan
Throt10214	nan	nan	nan
Throt10215	-0.536174326291543	0.0260259300421646	0.396136902843186
Throt10216	nan	nan	nan
Throt10217	nan	nan	nan
Throt10218	0.193370950095802	0.139536919387474	0
Throt10219	nan	nan	nan
Throt1022	-0.721419417037631	0	0.69236426580833
Throt10220	nan	nan	nan
Throt10221	nan	nan	nan
Throt10222	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10223	0.424569596564392	0.32861894475784	0.0351484547364374
Throt10224	0.424569596564392	0.32861894475784	0.0351484547364374
Throt10225	nan	nan	nan
Throt10226	nan	nan	nan
Throt10227	nan	nan	nan
Throt10228	0.000216938217390844	0	0
Throt10229	0.0196032244933241	0	0
Throt1023	nan	nan	nan
Throt10230	0.0196032244933241	0	0
Throt10231	nan	nan	nan
Throt10232	nan	nan	nan
Throt10233	nan	nan	nan
Throt10234	nan	nan	nan
Throt10235	nan	nan	nan
Throt10236	nan	nan	nan
Throt10237	nan	nan	nan
Throt10238	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10239	nan	nan	nan
Throt1024	0.424569596564392	0.32861894475784	0.0351484547364374
Throt10240	nan	nan	nan
Throt10241	1.18653763605539	0.787126554211297	0.000838653460945474
Throt10242	nan	nan	nan
Throt10243	1.52206713702674	0.928005512773556	3.93576745770093e-05
Throt10244	nan	nan	nan
Throt10245	nan	nan	nan
Throt10246	0.0196032244933241	0	0
Throt10247	-0.536174326291543	0.0260259300421646	0.396136902843186
Throt10248	-0.330387850330908	0.0522486213389836	0.286628540884824
Throt10249	-0.148499648485162	0	0.134754142237125
Throt1025	1.13831669441751	0.850836767548235	1.41282862103941e-06
Throt10250	-0.330387850330908	0.0522486213389836	0.286628540884824
Throt10251	-0.244732431611287	0.0201599268918615	0.189877461970432
Throt10252	-0.330387850330908	0.0522486213389836	0.286628540884824
Throt10253	-0.0287287288364712	0	0
Throt10254	nan	nan	nan
Throt10255	nan	nan	nan
Throt10256	nan	nan	nan
Throt10257	nan	nan	nan
Throt10258	nan	nan	nan
Throt10259	0.0196032244933241	0	0
Throt1026	1.2008811327062	0.902271813518377	2.94346746020092e-08
Throt10260	0.0196032244933241	0	0
Throt10261	nan	nan	nan
Throt10262	-0.148499648485162	0	0.134754142237125
Throt10263	nan	nan	nan
Throt10264	0.127596223342586	0.0184882788245355	0
Throt10265	-0.0287287288364712	0	0
Throt10266	0.0196032244933241	0	0
Throt10267	-0.148499648485162	0	0.134754142237125
Throt10268	0.424569596564392	0.32861894475784	0.0351484547364374
Throt10269	nan	nan	nan
Throt1027	0.0196032244933241	0	0
Throt10270	-0.73055439077433	0.0111843250611166	0.53021575644125
Throt10271	-0.330387850330908	0.0522486213389836	0.286628540884824
Throt10272	nan	nan	nan
Throt10273	nan	nan	nan
Throt10274	nan	nan	nan
Throt10275	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10276	0.0196032244933241	0	0
Throt10277	nan	nan	nan
Throt10278	-0.536174326291543	0.0260259300421646	0.396136902843186
Throt10279	nan	nan	nan
Throt1028	nan	nan	nan
Throt10280	0.0196032244933241	0	0
Throt10281	0.0196032244933241	0	0
Throt10282	nan	nan	nan
Throt10283	nan	nan	nan
Throt10284	-1.39156999934068	4.47983459388961e-08	0.970053840643372
Throt10285	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10286	-0.14067590518624	0	0
Throt10287	-0.350360142042331	0.0432683499351614	0.292051055703977
Throt10288	-0.350360142042331	0.0432683499351614	0.292051055703977
Throt10289	nan	nan	nan
Throt1029	0.0196032244933241	0	0
Throt10290	0.942977895605496	0.67305840516955	0.0025004099787543
Throt10291	0.942977895605496	0.67305840516955	0.0025004099787543
Throt10292	nan	nan	nan
Throt10293	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10294	nan	nan	nan
Throt10295	nan	nan	nan
Throt10296	-0.800309374442493	0	1
Throt10297	-0.800876073483558	0	1
Throt10298	nan	nan	nan
Throt10299	nan	nan	nan
Throt103	-0.0287287288364712	0	0
Throt1030	0.424569596564392	0.32861894475784	0.0351484547364374
Throt10300	nan	nan	nan
Throt10301	-0.536174326291543	0.0260259300421646	0.396136902843186
Throt10302	0.0196032244933241	0	0
Throt10303	0.106683162028774	0.0329905377014474	0.00418204291521383
Throt10304	nan	nan	nan
Throt10305	-0.536174326291543	0.0260259300421646	0.396136902843186
Throt10306	0.127596223342586	0.0184882788245355	0
Throt10307	-0.536174326291543	0.0260259300421646	0.396136902843186
Throt10308	0.466596525666564	0.340214491950258	0.0161773495780018
Throt10309	nan	nan	nan
Throt1031	-0.350360142042331	0.0432683499351614	0.292051055703977
Throt10310	nan	nan	nan
Throt10311	-0.330387850330908	0.0522486213389836	0.286628540884824
Throt10312	-0.330387850330908	0.0522486213389836	0.286628540884824
Throt10313	nan	nan	nan
Throt10314	0.601854086813667	0.441394139126167	0.0171610196836276
Throt10315	0.22410561312089	0.186681444086969	0.0185864348120693
Throt10316	-0.554083001135563	0.00423786372913143	0.390427445243809
Throt10317	0.0196032244933241	0	0
Throt10318	nan	nan	nan
Throt10319	nan	nan	nan
Throt1032	-0.433082866468702	0.0103721545411355	0.302294309821525
Throt10320	0.0196032244933241	0	0
Throt10321	-0.330387850330908	0.0522486213389836	0.286628540884824
Throt10322	nan	nan	nan
Throt10323	-0.745200157118669	0.000366229238054879	0.543644978056601
Throt10324	-0.983624601044514	0	0.820511163571205
Throt10325	-0.148499648485162	0	0.134754142237125
Throt10326	0.424569596564392	0.32861894475784	0.0351484547364374
Throt10327	nan	nan	nan
Throt10328	nan	nan	nan
