delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	-0.297168267216147	0	0
Throt10	-0.507012150966389	0	0
Throt100	-0.00308236803613084	0	0
Throt1000	-0.0620409863974314	0	0
Throt10000	nan	nan	nan
Throt10001	-0.0230366009689658	0	0
Throt10002	-0.008580949663612	0	0
Throt10003	-0.0144274717844203	0	0
Throt10004	-0.0703205373679857	0	0
Throt10005	-0.0122231145796967	0	0
Throt10006	0.0052277279963084	0	0
Throt10007	nan	nan	nan
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	-0.0856303507446286	0	0
Throt10010	-0.085507033195385	0	0
Throt10011	-0.221036754919379	0	0.00044372366803368
Throt10012	nan	nan	nan
Throt10013	-0.0122231145796967	0	0
Throt10014	-0.0279332756356255	0	0
Throt10015	-0.00303380093836014	0	0
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	-0.0279332756356255	0	0
Throt10019	-0.0279332756356255	0	0
Throt1002	-0.0718306652868033	0	0
Throt10020	-0.0642406599436824	3.8294480953933e-07	2.68933146346342e-05
Throt10021	-0.0279332756356255	0	0
Throt10022	0.0035962768376852	0	0
Throt10023	-0.017909662279013	0	0
Throt10024	0.0383114615421196	0	0
Throt10025	0.0383114615421196	0	0
Throt10026	0.0052277279963084	0	0
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	-0.0144274717844203	0	0
Throt10030	nan	nan	nan
Throt10031	-0.0279332756356255	0	0
Throt10032	nan	nan	nan
Throt10033	-0.0279332756356255	0	0
Throt10034	-0.0361523084315421	0	0
Throt10035	nan	nan	nan
Throt10036	-0.0297155631424129	0	0
Throt10037	0.0217067227723305	0	0
Throt10038	0.0035962768376852	0	0
Throt10039	-0.0122231145796967	0	0
Throt1004	0.0052277279963084	0	0
Throt10040	-0.0122231145796967	0	0
Throt10041	nan	nan	nan
Throt10042	0.0217067227723305	0	0
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	-0.152738777261391	0	0.00113826779115233
Throt10046	-0.147140348083101	0	0.00109596844857385
Throt10047	-0.0620409863974314	0	0
Throt10048	-0.0144274717844203	0	0
Throt10049	-0.0122231145796967	0	0
Throt1005	-0.0529558149271477	0	0
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	-0.0279332756356255	0	0
Throt10055	0.395666280304641	0.00431405412946239	0
Throt10056	0.433600793031185	0.01123041491516	0
Throt10057	-0.0441465088189662	0	0
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	-0.0122231145796967	0	0
Throt10062	0.0052277279963084	0	0
Throt10063	nan	nan	nan
Throt10064	-0.0122231145796967	0	0
Throt10065	-0.0122231145796967	0	0
Throt10066	nan	nan	nan
Throt10067	nan	nan	nan
Throt10068	-0.193377118756054	0	0
Throt10069	-0.152738777261391	0	0.00113826779115233
Throt1007	-0.206549298801196	0	0
Throt10070	0.0383114615421196	0	0
Throt10071	nan	nan	nan
Throt10072	nan	nan	nan
Throt10073	nan	nan	nan
Throt10074	nan	nan	nan
Throt10075	-0.0529558149271477	0	0
Throt10076	0.0192778634276183	0	0
Throt10077	-0.0279332756356255	0	0
Throt10078	-0.0279332756356255	0	0
Throt10079	0.0192778634276183	0	0
Throt1008	0.0217067227723305	0	0
Throt10080	nan	nan	nan
Throt10081	-0.0441465088189662	0	0
Throt10082	-0.0588495288317558	0	0
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
