delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	0.213959968448227	0.459492324694732	0
Throt10	0.785093531793641	1	0
Throt100	0.0301408722763382	0	0
Throt1000	nan	nan	nan
Throt10000	-0.421916260750528	0.125330331628216	0.645272839154866
Throt10001	0.482060782116895	0.679078435250032	0.0963038692994894
Throt10002	0.448984078528892	0.662680981514795	0.106163731024589
Throt10003	0.177106971738234	0.4684448330236	0.187080081857348
Throt10004	0.763753350186989	0.856440319351129	0.0222877711841386
Throt10005	0.0174062285290288	0	0
Throt10006	0.0174062285290288	0	0
Throt10007	nan	nan	nan
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	0.0174062285290288	0	0
Throt10010	-0.0595881350072933	0	0.185216590933133
Throt10011	-0.804668386305438	0	0.998549213077225
Throt10012	nan	nan	nan
Throt10013	0.0174062285290288	0	0
Throt10014	nan	nan	nan
Throt10015	-0.477352583541498	0.0542983217510453	0.71129892162184
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	nan	nan	nan
Throt1002	0.448984078528892	0.662680981514795	0.106163731024589
Throt10020	-0.76006527915891	1.00924338869275e-05	0.989773731441211
Throt10021	-0.421916260750528	0.125330331628216	0.645272839154866
Throt10022	0.177106971738234	0.4684448330236	0.187080081857348
Throt10023	0.153353778316799	0.443016986457123	0.175011063294838
Throt10024	0.338249054705256	0.589495945179167	0.152507123335189
Throt10025	0.153353778316799	0.443016986457123	0.175011063294838
Throt10026	-0.119501824825055	0.20909487764028	0.399926703061994
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	0.177106971738234	0.4684448330236	0.187080081857348
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	nan	nan	nan
Throt10034	-0.17220372625033	0.137106882906655	0.456563755298833
Throt10035	nan	nan	nan
Throt10036	-0.119501824825055	0.20909487764028	0.399926703061994
Throt10037	0.177106971738234	0.4684448330236	0.187080081857348
Throt10038	-0.155192155303936	0.191284213052163	0.437501223442397
Throt10039	0.0174062285290288	0	0
Throt1004	0.0174062285290288	0	0
Throt10040	0.0174062285290288	0	0
Throt10041	nan	nan	nan
Throt10042	0.177106971738234	0.4684448330236	0.187080081857348
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	0.338249054705256	0.589495945179167	0.152507123335189
Throt10046	0.177106971738234	0.4684448330236	0.187080081857348
Throt10047	-0.258193478505462	0.192656862186605	0.523746565069335
Throt10048	-0.316051826551622	0.142229815109497	0.571476294707263
Throt10049	-0.119501824825055	0.20909487764028	0.399926703061994
Throt1005	-0.155192155303936	0.191284213052163	0.437501223442397
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	nan	nan	nan
Throt10055	-0.233387374405396	3.73903882374863e-05	0.540192041139275
Throt10056	-0.217501032229737	5.64964402623013e-05	0.480116902824955
Throt10057	-1.20957487609394	8.84877178584242e-05	0.99479728740973
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	0.0174062285290288	0	0
Throt10062	0.0174062285290288	0	0
Throt10063	nan	nan	nan
Throt10064	0.0174062285290288	0	0
Throt10065	-0.435406027563739	0.108719503237594	0.65937759946019
Throt10066	-0.258193478505462	0.192656862186605	0.523746565069335
Throt10067	nan	nan	nan
Throt10068	-1.05053738072575	0	1
Throt10069	-0.0217954117637731	0	0
Throt1007	-0.430436268650067	0	1
Throt10070	-0.0217954117637731	0	0
Throt10071	nan	nan	nan
Throt10072	nan	nan	nan
Throt10073	nan	nan	nan
Throt10074	-0.258193478505462	0.192656862186605	0.523746565069335
Throt10075	-0.316051826551622	0.142229815109497	0.571476294707263
Throt10076	0.338249054705256	0.589495945179167	0.152507123335189
Throt10077	nan	nan	nan
Throt10078	nan	nan	nan
Throt10079	-0.0217954117637731	0	0
Throt1008	0.177106971738234	0.4684448330236	0.187080081857348
Throt10080	nan	nan	nan
Throt10081	0.312767958219165	0.572895461251627	0.157427374535656
Throt10082	0.338249054705256	0.589495945179167	0.152507123335189
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	0.970902998307325	0.961088930991105	0.00161126781025173
Throt10089	0.0174062285290288	0	0
Throt1009	0.616673231553511	0.771274368001806	0.0629142001224518
Throt10090	nan	nan	nan
Throt10091	nan	nan	nan
