delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	0.213959968448227	0	0
Throt10	0.785093531793641	0.999997754185124	0
Throt100	0.0301408722763382	0	0
Throt1000	nan	nan	nan
Throt10000	-0.421916260750528	0.0224165526363251	0.31572910373594
Throt10001	0.482060782116895	0.353750468629381	0.0161808226760239
Throt10002	0.448984078528892	0.329388349370834	0.0173418530542489
Throt10003	0.177106971738234	0.115233391557743	0
Throt10004	0.763753350186989	0.557151884704998	0.00116710550001155
Throt10005	0.0174062285290288	0	0
Throt10006	0.0174062285290288	0	0
Throt10007	nan	nan	nan
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	0.0174062285290288	0	0
Throt10010	-0.0595881350072933	0	0
Throt10011	-0.804668386305438	0	0.710502329858174
Throt10012	nan	nan	nan
Throt10013	0.0174062285290288	0	0
Throt10014	nan	nan	nan
Throt10015	-0.477352583541498	0.00385836982920304	0.313946509296013
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	nan	nan	nan
Throt1002	0.448984078528892	0.329388349370834	0.0173418530542489
Throt10020	-0.76006527915891	0	0.619165990518455
Throt10021	-0.421916260750528	0.0224165526363251	0.31572910373594
Throt10022	0.177106971738234	0.115233391557743	0
Throt10023	0.153353778316799	0.0590703003816404	0
Throt10024	0.338249054705256	0.256044848506477	0.0285295062692351
Throt10025	0.153353778316799	0.0590703003816404	0
Throt10026	-0.119501824825055	0	0.0601000419318714
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	0.177106971738234	0.115233391557743	0
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	nan	nan	nan
Throt10034	-0.17220372625033	0	0.0539882856685917
Throt10035	nan	nan	nan
Throt10036	-0.119501824825055	0	0.0601000419318714
Throt10037	0.177106971738234	0.115233391557743	0
Throt10038	-0.155192155303936	0	0.0902452459576077
Throt10039	0.0174062285290288	0	0
Throt1004	0.0174062285290288	0	0
Throt10040	0.0174062285290288	0	0
Throt10041	nan	nan	nan
Throt10042	0.177106971738234	0.115233391557743	0
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	0.338249054705256	0.256044848506477	0.0285295062692351
Throt10046	0.177106971738234	0.115233391557743	0
Throt10047	-0.258193478505462	0.0404837243771127	0.220605959870209
Throt10048	-0.316051826551622	0.022080192646728	0.230974914032291
Throt10049	-0.119501824825055	0	0.0601000419318714
Throt1005	-0.155192155303936	0	0.0902452459576077
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	nan	nan	nan
Throt10055	-0.233387374405396	0	1.9975375176391e-05
Throt10056	-0.217501032229737	0	9.99721877142343e-06
Throt10057	-1.20957487609394	1.52835379489753e-07	0.915642016957061
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	0.0174062285290288	0	0
Throt10062	0.0174062285290288	0	0
Throt10063	nan	nan	nan
Throt10064	0.0174062285290288	0	0
Throt10065	-0.435406027563739	0.0160060067430108	0.311546275550767
Throt10066	-0.258193478505462	0.0404837243771127	0.220605959870209
Throt10067	nan	nan	nan
Throt10068	-1.05053738072575	0	1
Throt10069	-0.0217954117637731	0	0
Throt1007	-0.430436268650067	0	0
Throt10070	-0.0217954117637731	0	0
Throt10071	nan	nan	nan
Throt10072	nan	nan	nan
Throt10073	nan	nan	nan
Throt10074	-0.258193478505462	0.0404837243771127	0.220605959870209
Throt10075	-0.316051826551622	0.022080192646728	0.230974914032291
Throt10076	0.338249054705256	0.256044848506477	0.0285295062692351
Throt10077	nan	nan	nan
Throt10078	nan	nan	nan
Throt10079	-0.0217954117637731	0	0
Throt1008	0.177106971738234	0.115233391557743	0
Throt10080	nan	nan	nan
Throt10081	0.312767958219165	0.238241965854745	0.0250734824087969
Throt10082	0.338249054705256	0.256044848506477	0.0285295062692351
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	0.970902998307325	0.735231514184951	1.57899580891246e-05
Throt10089	0.0174062285290288	0	0
Throt1009	0.616673231553511	0.442442979049561	0.00784174767839354
Throt10090	nan	nan	nan
Throt10091	nan	nan	nan
Throt10092	0.338249054705256	0.256044848506477	0.0285295062692351
Throt10093	nan	nan	nan
Throt10094	0.177106971738234	0.115233391557743	0
Throt10095	0.0174062285290288	0	0
Throt10096	nan	nan	nan
Throt10097	nan	nan	nan
Throt10098	nan	nan	nan
Throt10099	nan	nan	nan
Throt101	0.653138368845007	0.343780359786558	0
Throt1010	-0.576590168477375	0.00685876874219147	0.411699914732084
Throt10100	nan	nan	nan
Throt10101	0.764658186325864	0.554983211671747	0.00252795262390801
Throt10102	nan	nan	nan
Throt10103	nan	nan	nan
