delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	0.533027684037829	0.999661357749132	0
Throt10	0.557318558859663	1	0
Throt100	0.219056076209415	0.307608459548969	0
Throt1000	nan	nan	nan
Throt10000	-0.127108538983338	0.13647022034408	0.386975886279186
Throt10001	-0.0596691813720485	0.0202572219987423	0.201653576590234
Throt10002	-0.110693871304041	0.135236717048145	0.355756831165238
Throt10003	0.0737894068950421	0.271898607967442	0.0776121898951865
Throt10004	-0.0596691813720485	0.0202572219987423	0.201653576590234
Throt10005	0.0738001013357362	0.271724063957514	0.0774874793133208
Throt10006	nan	nan	nan
Throt10007	-0.0596691813720485	0.0202572219987423	0.201653576590234
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	-0.0536193177425677	0	0.170449427572214
Throt10010	0.13512407627742	0.395758102920868	0.133056246634121
Throt10011	-0.209260120195064	0.00763908300861775	0.460476777871978
Throt10012	nan	nan	nan
Throt10013	0.0737894068950421	0.271898607967442	0.0776121898951865
Throt10014	nan	nan	nan
Throt10015	0.0740226751290915	0.261988404110925	0.0704669249954095
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	0.0737894068950421	0.271898607967442	0.0776121898951865
Throt10019	nan	nan	nan
Throt1002	0.126897289970059	0.378554116765591	0.121662823601741
Throt10020	0.417385022362522	0.855675069092728	0.000285782228188481
Throt10021	0.254539371460844	0.535373587551064	0.0828271776684029
Throt10022	-0.127108538983338	0.13647022034408	0.386975886279186
Throt10023	-0.0596691813720485	0.0202572219987423	0.201653576590234
Throt10024	0.0737894068950421	0.271898607967442	0.0776121898951865
Throt10025	nan	nan	nan
Throt10026	nan	nan	nan
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	0.13512407627742	0.395758102920868	0.133056246634121
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	nan	nan	nan
Throt10034	0.0738290911202901	0.270259652700325	0.0763942757688353
Throt10035	nan	nan	nan
Throt10036	nan	nan	nan
Throt10037	nan	nan	nan
Throt10038	nan	nan	nan
Throt10039	nan	nan	nan
Throt1004	nan	nan	nan
Throt10040	-0.0596691813720485	0.0202572219987423	0.201653576590234
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	-0.120531379866686	0.134984572247384	0.37586421593637
