delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	0.533027684037829	0.0401388275389334	0
Throt10	0.557318558859663	0	0
Throt100	0.219056076209415	0	0
Throt1000	nan	nan	nan
Throt10000	-0.127108538983338	0	0.0184962028040075
Throt10001	-0.0596691813720485	0	0
Throt10002	-0.110693871304041	0	0.00178453226497277
Throt10003	0.0737894068950421	0	0
Throt10004	-0.0596691813720485	0	0
Throt10005	0.0738001013357362	0	0
Throt10006	nan	nan	nan
Throt10007	-0.0596691813720485	0	0
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	-0.0536193177425677	0	0
Throt10010	0.13512407627742	0.0316635299364198	0
Throt10011	-0.209260120195064	0	0.00368550733955988
Throt10012	nan	nan	nan
Throt10013	0.0737894068950421	0	0
Throt10014	nan	nan	nan
Throt10015	0.0740226751290915	0	0
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	0.0737894068950421	0	0
Throt10019	nan	nan	nan
Throt1002	0.126897289970059	0.0164672997227646	0
Throt10020	0.417385022362522	0.067444010730701	0
Throt10021	0.254539371460844	0.100610161638888	0.00315908104042074
Throt10022	-0.127108538983338	0	0.0184962028040075
Throt10023	-0.0596691813720485	0	0
Throt10024	0.0737894068950421	0	0
Throt10025	nan	nan	nan
Throt10026	nan	nan	nan
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	0.13512407627742	0.0316635299364198	0
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	nan	nan	nan
Throt10034	0.0738290911202901	0	0
Throt10035	nan	nan	nan
Throt10036	nan	nan	nan
Throt10037	nan	nan	nan
Throt10038	nan	nan	nan
Throt10039	nan	nan	nan
Throt1004	nan	nan	nan
Throt10040	-0.0596691813720485	0	0
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	-0.120531379866686	0	0.011690599236846
Throt10046	-0.120531379866686	0	0.011690599236846
Throt10047	-0.0574383215154901	0	0
Throt10048	0.00901965030619032	0	0
Throt10049	nan	nan	nan
Throt1005	0.00901965030619032	0	0
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	0.207979490528221	0.088456378775562	0.00472170846087217
Throt10055	0.19425185018676	8.82754986567697e-06	0
Throt10056	0.161279091980075	1.95011791125985e-06	0
Throt10057	0.0738001013357362	0	0
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	0.14083368505367	0.0400562025296699	0
Throt10062	0.0737894068950421	0	0
Throt10063	0.0737894068950421	0	0
