delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	-0.317330589749131	0	0.905066187227361
Throt10	-0.932276649342093	0	1
Throt100	0.101470304520644	0	0
Throt1000	-0.169509865836633	0.126639303316925	0.43513175555879
Throt10000	nan	nan	nan
Throt10001	-0.230696914721407	0.0988047693844167	0.513759412005137
Throt10002	-0.0863383465151931	0.112918860594389	0.310502211666747
Throt10003	-0.0407273013230941	0	0.0456533516997289
Throt10004	-0.578289343980569	0.00816310800798287	0.857523991641375
Throt10005	0.0797091173634473	0.289526688164814	0.0929093119422861
Throt10006	nan	nan	nan
Throt10007	nan	nan	nan
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	-0.13155837231316	0.134353854196156	0.383180607971522
Throt10010	-0.0545258449773908	0.0236649385717827	0.1908764849933
Throt10011	0.127698160563447	0.307433877322532	0.031981480863038
Throt10012	nan	nan	nan
Throt10013	0.0189853316910027	0	0
Throt10014	-0.0439674516339547	0	0.0782278415622793
Throt10015	0.312142562735902	0.596469172065981	0.0551826784336659
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	0.0189853316910027	0	0
Throt10019	-0.0439674516339547	0	0.0782278415622793
Throt1002	0.103871175368755	0.335512567721641	0.108952113978369
Throt10020	0.792052131031296	0.998204644469442	0
Throt10021	0.379728480367399	0.675786392493787	0.0390974755807264
Throt10022	-0.0439674516339547	0	0.0782278415622793
Throt10023	-0.169509865836633	0.126639303316925	0.43513175555879
Throt10024	0.0786732554220157	0.28563633060666	0.0895743388521315
Throt10025	nan	nan	nan
Throt10026	nan	nan	nan
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	0.202002046594118	0.476851254237649	0.108378272451334
Throt10030	nan	nan	nan
Throt10031	-0.0439674516339547	0	0.0782278415622793
Throt10032	nan	nan	nan
Throt10033	-0.0439674516339547	0	0.0782278415622793
Throt10034	-0.115500641154159	0.13372761236485	0.365056592830447
Throt10035	nan	nan	nan
Throt10036	-0.106595709819957	0.121621588613319	0.351844646342669
Throt10037	nan	nan	nan
Throt10038	-0.0439674516339547	0	0.0782278415622793
Throt10039	-0.0439674516339547	0	0.0782278415622793
Throt1004	nan	nan	nan
Throt10040	-0.0439674516339547	0	0.0782278415622793
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	-0.433491070353191	0.0213994639427576	0.744107036402898
Throt10046	-0.389879925395246	0.0304756745833805	0.698166084336046
Throt10047	-0.0982987970107094	0.118180783780163	0.334786681503288
Throt10048	0.0216996902772619	0	0
Throt10049	-0.0439674516339547	0	0.0782278415622793
Throt1005	-0.0863383465151931	0.112918860594389	0.310502211666747
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
