delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	-0.317330589749131	0	0
Throt10	-0.932276649342093	0	1
Throt100	0.101470304520644	0	0
Throt1000	-0.169509865836633	0	0.0605466967989866
Throt10000	nan	nan	nan
Throt10001	-0.230696914721407	0.00350330138077288	0.0942710584153692
Throt10002	-0.0863383465151931	0	0
Throt10003	-0.0407273013230941	0	0
Throt10004	-0.578289343980569	6.67429049775069e-05	0.367775524621169
Throt10005	0.0797091173634473	0	0
Throt10006	nan	nan	nan
Throt10007	nan	nan	nan
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	-0.13155837231316	0	0.0327498348083146
Throt10010	-0.0545258449773908	0	0
Throt10011	0.127698160563447	0.00131527563937227	7.65033966466821e-06
Throt10012	nan	nan	nan
Throt10013	0.0189853316910027	0	0
Throt10014	-0.0439674516339547	0	0
Throt10015	0.312142562735902	0.124311600081924	0.00119373228447102
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	0.0189853316910027	0	0
Throt10019	-0.0439674516339547	0	0
Throt1002	0.103871175368755	0	0
Throt10020	0.792052131031296	0.694831930686062	0
Throt10021	0.379728480367399	0.183192340608247	0.000906979013289579
Throt10022	-0.0439674516339547	0	0
Throt10023	-0.169509865836633	0	0.0605466967989866
Throt10024	0.0786732554220157	0	0
Throt10025	nan	nan	nan
Throt10026	nan	nan	nan
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	0.202002046594118	0.0789921850282352	0.0033378725539328
Throt10030	nan	nan	nan
Throt10031	-0.0439674516339547	0	0
Throt10032	nan	nan	nan
Throt10033	-0.0439674516339547	0	0
Throt10034	-0.115500641154159	0	0.0211286870921761
Throt10035	nan	nan	nan
Throt10036	-0.106595709819957	0	0
Throt10037	nan	nan	nan
Throt10038	-0.0439674516339547	0	0
Throt10039	-0.0439674516339547	0	0
Throt1004	nan	nan	nan
Throt10040	-0.0439674516339547	0	0
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	-0.433491070353191	0.000266996995229596	0.216393638729384
Throt10046	-0.389879925395246	0.000501954907918358	0.184085964153212
Throt10047	-0.0982987970107094	0	0
Throt10048	0.0216996902772619	0	0
Throt10049	-0.0439674516339547	0	0
Throt1005	-0.0863383465151931	0	0
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	0.140614854025963	0.0393518608036888	0
Throt10055	0.926237793848689	0.95810225015194	0
Throt10056	0.946648900276794	0.966578070808622	0
Throt10057	-0.13155837231316	0	0.0327498348083146
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	0.0797091173634473	0	0
Throt10062	0.0786732554220157	0	0
Throt10063	0.0786732554220157	0	0
Throt10064	0.0189853316910027	0	0
Throt10065	-0.0439674516339547	0	0
Throt10066	nan	nan	nan
Throt10067	nan	nan	nan
Throt10068	0.864399631018221	1	0
Throt10069	-0.349056672730989	0.000447800855988064	0.134559197270263
Throt1007	1.17892058635028	1	0
Throt10070	nan	nan	nan
Throt10071	nan	nan	nan
Throt10072	nan	nan	nan
Throt10073	nan	nan	nan
Throt10074	nan	nan	nan
Throt10075	0.091105451287386	0	0
Throt10076	-0.0439674516339547	0	0
Throt10077	-0.0439674516339547	0	0
Throt10078	-0.0439674516339547	0	0
Throt10079	0.0189853316910027	0	0
Throt1008	0.202178245184123	0.0818514433783688	0.00365327861940717
Throt10080	0.0786732554220157	0	0
Throt10081	-0.13155837231316	0	0.0327498348083146
Throt10082	-0.289824321656836	0.00255787930379757	0.128239733265789
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	-0.922289182127783	0	0.786961183158492
Throt10089	-0.0439674516339547	0	0
Throt1009	-0.298276900079189	0.00151559960511286	0.121642137334445
Throt10090	nan	nan	nan
Throt10091	-0.0439674516339547	0	0
Throt10092	-0.497454836850922	0.000256720881194187	0.293198707798935
Throt10093	-0.0439674516339547	0	0
Throt10094	-0.400849036365588	0.000874734921752066	0.193871897786545
Throt10095	0.0786732554220157	0	0
Throt10096	nan	nan	nan
Throt10097	nan	nan	nan
Throt10098	nan	nan	nan
Throt10099	nan	nan	nan
Throt101	0.615706044174632	0.170324374968188	0
Throt1010	-0.0407273013230941	0	0
Throt10100	nan	nan	nan
Throt10101	0.144233997096158	0.0390636943986332	0
Throt10102	nan	nan	nan
Throt10103	0.0786732554220157	0	0
Throt10104	-0.230696914721407	0.00350330138077288	0.0942710584153692
Throt10105	0.0216996902772619	0	0
Throt10106	nan	nan	nan
Throt10107	-0.106595709819957	0	0
Throt10108	nan	nan	nan
Throt10109	nan	nan	nan
Throt1011	0.0189853316910027	0	0
Throt10110	nan	nan	nan
Throt10111	0.317163593816694	0.00821399321134655	0
Throt10112	nan	nan	nan
Throt10113	-0.0439674516339547	0	0
Throt10114	0.0797091173634473	0	0
Throt10115	0.22315052832639	0.000190991792415245	0
Throt10116	nan	nan	nan
Throt10117	1.04330654521576	0.999989730509098	0
Throt10118	-0.250355627556991	0.00233016968354634	0.0921327153171611
Throt10119	nan	nan	nan
Throt1012	0.886047968364551	0.976047113144187	0
Throt10120	nan	nan	nan
Throt10121	nan	nan	nan
Throt10122	-0.106595709819957	0	0
Throt10123	-0.0439674516339547	0	0
Throt10124	nan	nan	nan
Throt10125	nan	nan	nan
Throt10126	nan	nan	nan
Throt10127	nan	nan	nan
Throt10128	nan	nan	nan
Throt10129	0.587485666365434	0.342610487499424	1.71784514903566e-06
Throt1013	0.0867460704349374	0	0
Throt10130	nan	nan	nan
Throt10131	nan	nan	nan
Throt10132	nan	nan	nan
Throt10133	-0.0439674516339547	0	0
Throt10134	nan	nan	nan
Throt10135	0.140614854025963	0.0393518608036888	0
Throt10136	0.485470818240546	0.271896319990958	0.000231051320451961
Throt10137	-0.0439674516339547	0	0
Throt10138	nan	nan	nan
Throt10139	nan	nan	nan
Throt1014	0.679598769025957	0.439945251771157	0
Throt10140	0.0189853316910027	0	0
Throt10141	-0.106595709819957	0	0
Throt10142	-0.0407273013230941	0	0
Throt10143	nan	nan	nan
Throt10144	nan	nan	nan
Throt10145	nan	nan	nan
Throt10146	0.202002046594118	0.0789921850282352	0.0033378725539328
Throt10147	0.0189853316910027	0	0
Throt10148	-0.169509865836633	0	0.0605466967989866
Throt10149	0.091105451287386	0	0
Throt1015	0.202118407878616	0.0809233728004448	0.00354744632538414
Throt10150	nan	nan	nan
Throt10151	0.00593449160465994	0	0
Throt10152	-0.0439674516339547	0	0
Throt10153	-0.0407273013230941	0	0
Throt10154	0.258369429413718	0.0978561836892897	0.00224128558470422
Throt10155	-0.0439674516339547	0	0
Throt10156	-0.0439674516339547	0	0
Throt10157	nan	nan	nan
Throt10158	nan	nan	nan
Throt10159	nan	nan	nan
Throt1016	nan	nan	nan
Throt10160	nan	nan	nan
Throt10161	0.0216996902772619	0	0
Throt10162	0.0189853316910027	0	0
Throt10163	0.526640586746681	0.00158298223917041	0
Throt10164	0.419531925328362	0	0
Throt10165	nan	nan	nan
Throt10166	nan	nan	nan
Throt10167	0.140614854025963	0.0393518608036888	0
Throt10168	nan	nan	nan
Throt10169	nan	nan	nan
Throt1017	-0.268917881854354	0.000516790304306594	0.0754295076022526
Throt10170	-0.0407273013230941	0	0
Throt10171	nan	nan	nan
Throt10172	0.140118655557281	0.0378088185079842	0
Throt10173	nan	nan	nan
Throt10174	0.0189853316910027	0	0
Throt10175	nan	nan	nan
Throt10176	nan	nan	nan
Throt10177	nan	nan	nan
Throt10178	nan	nan	nan
Throt10179	-0.0439674516339547	0	0
Throt1018	-0.677875889934144	9.90200251671618e-07	0.474403357661253
Throt10180	nan	nan	nan
Throt10181	0.0189853316910027	0	0
Throt10182	-0.150981505457449	0	0.0464626499047714
Throt10183	nan	nan	nan
Throt10184	-0.0407273013230941	0	0
Throt10185	nan	nan	nan
Throt10186	nan	nan	nan
Throt10187	1.09246075154217	0.999655849664352	0
Throt10188	nan	nan	nan
Throt10189	nan	nan	nan
Throt1019	-0.115203516900542	6.68343468476795e-06	0.00109052775103819
Throt10190	nan	nan	nan
Throt10191	-0.0439674516339547	0	0
Throt10192	-0.0982987970107094	0	0
Throt10193	-0.239084254851619	0.00140674385851596	0.0732026840468053
Throt10194	nan	nan	nan
Throt10195	nan	nan	nan
Throt10196	-0.0439674516339547	0	0
Throt10197	nan	nan	nan
Throt10198	0.384028542312935	0.0158336086165655	0
Throt10199	-0.106595709819957	0	0
Throt102	0.202215931297299	0	0
Throt1020	-0.518682193699364	0	0.200750676362185
Throt10200	0.327671874746514	0.000407656836118291	0
Throt10201	0.744354704234378	0.601497393200181	0
Throt10202	nan	nan	nan
Throt10203	nan	nan	nan
Throt10204	-0.695187899312159	3.27096418850315e-06	0.516463647206502
Throt10205	nan	nan	nan
Throt10206	-0.0290028422637708	0	0
Throt10207	0.0189853316910027	0	0
Throt10208	0.50138547096962	0	0
Throt10209	nan	nan	nan
Throt1021	-0.414853221936869	2.87603177676753e-07	0.11820290200534
Throt10210	nan	nan	nan
Throt10211	nan	nan	nan
Throt10212	-0.0439674516339547	0	0
Throt10213	-0.0439674516339547	0	0
Throt10214	nan	nan	nan
Throt10215	0.140118655557281	0.0378088185079842	0
Throt10216	nan	nan	nan
Throt10217	0.0786732554220157	0	0
Throt10218	-0.169509865836633	0	0.0605466967989866
Throt10219	nan	nan	nan
Throt1022	0.40947523990583	8.62093164743711e-08	0
Throt10220	nan	nan	nan
Throt10221	nan	nan	nan
Throt10222	-0.106595709819957	0	0
Throt10223	nan	nan	nan
Throt10224	-0.0439674516339547	0	0
Throt10225	-0.0439674516339547	0	0
Throt10226	nan	nan	nan
Throt10227	0.0797091173634473	0	0
Throt10228	-0.106595709819957	0	0
Throt10229	nan	nan	nan
Throt1023	nan	nan	nan
Throt10230	-0.0439674516339547	0	0
Throt10231	nan	nan	nan
Throt10232	nan	nan	nan
Throt10233	nan	nan	nan
Throt10234	nan	nan	nan
Throt10235	nan	nan	nan
Throt10236	nan	nan	nan
Throt10237	-0.106595709819957	0	0
Throt10238	nan	nan	nan
Throt10239	nan	nan	nan
Throt1024	-0.0407273013230941	0	0
Throt10240	-0.230696914721407	0.00350330138077288	0.0942710584153692
Throt10241	-0.106595709819957	0	0
Throt10242	-0.106595709819957	0	0
Throt10243	-0.346770417148634	0.00145575735627173	0.163288550519235
Throt10244	-0.106595709819957	0	0
Throt10245	nan	nan	nan
Throt10246	-0.289824321656836	0.00255787930379757	0.128239733265789
Throt10247	0.0797091173634473	0	0
Throt10248	nan	nan	nan
Throt10249	nan	nan	nan
Throt1025	-0.976469008064696	0	0.851482131816991
Throt10250	nan	nan	nan
Throt10251	-0.101703474463621	0	0.00608264321617618
Throt10252	nan	nan	nan
Throt10253	-0.0290028422637708	0	0
