delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	0.196989342709996	0.381460731159865	0
Throt10	0.357977636618014	1	0
Throt100	0.13408743982804	0	0
Throt1000	nan	nan	nan
Throt10000	-0.0652967954953342	0.0349603112874008	0.211477984355379
Throt10001	nan	nan	nan
Throt10002	0.0389686165508215	0.0252317869382815	0
Throt10003	0.0386765270867158	0.0210520926209772	0
Throt10004	-0.0652967954953342	0.0349603112874008	0.211477984355379
Throt10005	0.073317984102231	0.241460385901968	0.0605910930189529
Throt10006	nan	nan	nan
Throt10007	nan	nan	nan
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	0.073317984102231	0.241460385901968	0.0605910930189529
Throt10010	0.0736858851783195	0.243195625837705	0.057953685462319
Throt10011	-0.121201604866352	0.0171694426142698	0.257462180537275
Throt10012	nan	nan	nan
Throt10013	0.0386765270867158	0.0210520926209772	0
Throt10014	nan	nan	nan
Throt10015	0.0741765015972192	0.237822665526583	0.0546437408152445
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	0.0386765270867158	0.0210520926209772	0
Throt10019	nan	nan	nan
Throt1002	0.239974858813868	0.523350607860254	0.0350532869769349
Throt10020	0.2934659868468	0.656750838179936	0.000892489858145492
Throt10021	0.172831276691229	0.42225479016921	0.0606058730325264
Throt10022	nan	nan	nan
Throt10023	-0.0306036655986342	0	0
Throt10024	0.0386765270867158	0.0210520926209772	0
Throt10025	-0.0306036655986342	0	0
Throt10026	-0.0306036655986342	0	0
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	0.177029276664589	0.436072985476725	0.064644425894682
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	nan	nan	nan
Throt10034	-0.0566204177435344	0.0131283783992433	0.176071287581506
Throt10035	nan	nan	nan
Throt10036	-0.0306036655986342	0	0
Throt10037	nan	nan	nan
Throt10038	-0.0652967954953342	0.0349603112874008	0.211477984355379
Throt10039	nan	nan	nan
Throt1004	nan	nan	nan
Throt10040	nan	nan	nan
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	0.0386765270867158	0.0210520926209772	0
Throt10046	0.0386765270867158	0.0210520926209772	0
Throt10047	0.00441577411045787	0	0
Throt10048	-0.0282136528205682	0	0
Throt10049	-0.0306036655986342	0	0
Throt1005	0.0051022492611905	0	0
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	0.108030571830816	0.326830237749343	0.0886714671217719
Throt10055	0.169368717169344	0.30767269268495	0.000179515357903896
Throt10056	0.151880399755444	0.256825354716076	0.000317286415565737
Throt10057	-0.38779168569086	0.00598585143606555	0.742286637342207
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	0.073317984102231	0.241460385901968	0.0605910930189529
Throt10062	0.0386765270867158	0.0210520926209772	0
Throt10063	0.0386765270867158	0.0210520926209772	0
Throt10064	0.0386765270867158	0.0210520926209772	0
Throt10065	-0.100124587797213	0.0853406951075982	0.311175399049135
Throt10066	-0.0306036655986342	0	0
Throt10067	nan	nan	nan
Throt10068	0.0177168659262007	0	0
Throt10069	0.0051022492611905	0	0
Throt1007	0.958846829236711	1	0
Throt10070	-0.0652967954953342	0.0349603112874008	0.211477984355379
Throt10071	nan	nan	nan
Throt10072	nan	nan	nan
Throt10073	nan	nan	nan
Throt10074	-0.0306036655986342	0	0
Throt10075	0.0736858851783195	0.243195625837705	0.057953685462319
Throt10076	nan	nan	nan
Throt10077	nan	nan	nan
Throt10078	nan	nan	nan
Throt10079	-0.0297152333439301	0	0
Throt1008	0.108030571830816	0.326830237749343	0.0886714671217719
Throt10080	0.0386765270867158	0.0210520926209772	0
Throt10081	0.0389686165508215	0.0252317869382815	0
Throt10082	nan	nan	nan
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	-0.0632413256622645	0.032096727194583	0.205769015766987
Throt10089	nan	nan	nan
Throt1009	0.0386765270867158	0.0210520926209772	0
Throt10090	nan	nan	nan
Throt10091	nan	nan	nan
Throt10092	nan	nan	nan
Throt10093	nan	nan	nan
Throt10094	nan	nan	nan
Throt10095	0.0386765270867158	0.0210520926209772	0
Throt10096	nan	nan	nan
Throt10097	nan	nan	nan
Throt10098	nan	nan	nan
Throt10099	nan	nan	nan
Throt101	1.05307928570797	1	0
Throt1010	-0.0955385224166283	0.0839844487800141	0.300634864498296
Throt10100	nan	nan	nan
