delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	-0.884751515643875	0	1
Throt10	-1.48143164275678	0	1
Throt100	-0.117628861554992	0	0
Throt1000	-0.578993706854135	0.106731620519382	0.705496747079451
Throt10000	0.444624387378404	0.630230870953787	0.152229444843877
Throt10001	-0.460782365449781	0.118410877242088	0.660750707541811
Throt10002	0.0529164231384009	0.168514291123725	0
Throt10003	-0.380165756186355	0.169446484152706	0.597230981035101
Throt10004	-1.17056518113653	0.00279122208279172	0.968017098698934
Throt10005	0.0376124850741949	0.0145441331745252	0
Throt10006	nan	nan	nan
Throt10007	0.237488630134223	0.511833000225178	0.218096161121393
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	-0.201936865615793	0.204727911744052	0.478881774299092
Throt10010	-0.397733160377611	0.103088301596586	0.634539160580116
Throt10011	0.412375498820325	0.831407377147472	0.000500849601566206
Throt10012	nan	nan	nan
Throt10013	-0.17165972957358	0.207580722478476	0.463025427893923
Throt10014	-0.17165972957358	0.207580722478476	0.463025427893923
Throt10015	0.696142632509092	0.796970620140602	0.0516253882865689
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	-0.17165972957358	0.207580722478476	0.463025427893923
Throt10019	-0.17165972957358	0.207580722478476	0.463025427893923
Throt1002	-0.0499835514240125	0	0.167147029251619
Throt10020	0.526236598046932	0.878662937736332	0.00157462171739118
Throt10021	0.437743165976906	0.631336864605586	0.146715107213889
Throt10022	0.23499832847881	0.504970606041783	0.21849710366767
Throt10023	-0.320599508547957	0.184354085859724	0.561264735420728
Throt10024	nan	nan	nan
Throt10025	nan	nan	nan
Throt10026	nan	nan	nan
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	0.230809942178121	0.505890610556657	0.212914912523071
Throt10030	nan	nan	nan
Throt10031	-0.17165972957358	0.207580722478476	0.463025427893923
Throt10032	nan	nan	nan
Throt10033	-0.17165972957358	0.207580722478476	0.463025427893923
Throt10034	-0.473918247329052	0.0926821294433149	0.679968562955547
Throt10035	nan	nan	nan
Throt10036	-0.380165756186355	0.169446484152706	0.597230981035101
Throt10037	nan	nan	nan
Throt10038	-0.17165972957358	0.207580722478476	0.463025427893923
Throt10039	-0.17165972957358	0.207580722478476	0.463025427893923
Throt1004	nan	nan	nan
Throt10040	0.0376124850741949	0.0145441331745252	0
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	-0.639651931380942	0.0299371508158563	0.813513159026208
Throt10046	-0.565226985127998	0.0435469262526367	0.778020238052489
Throt10047	-0.127820705819833	0.203511823496484	0.409595534141659
Throt10048	0.0412164900216177	0.0581096295017578	0
Throt10049	-0.17165972957358	0.207580722478476	0.463025427893923
Throt1005	-0.250075311625923	0.190433759812256	0.51736119002518
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	-0.17165972957358	0.207580722478476	0.463025427893923
Throt10055	0.832655376783753	0.999982071550915	0
Throt10056	0.895386358472965	0.999996939928747	0
Throt10057	-0.58836327712522	0.0730040472066277	0.741102741838462
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	-0.17165972957358	0.207580722478476	0.463025427893923
