delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	-0.884751515643875	0	0.987168143190868
Throt10	-1.48143164275678	0	1
Throt100	-0.117628861554992	0	0
Throt1000	-0.578993706854135	0.0233538772297417	0.434270410975458
Throt10000	0.444624387378404	0.346199213733422	0.0394155691265989
Throt10001	-0.460782365449781	0.023100120813911	0.344134439527719
Throt10002	0.0529164231384009	0	0
Throt10003	-0.380165756186355	0.043906026309872	0.311310538662572
Throt10004	-1.17056518113653	0.000112722464305459	0.82374136076757
Throt10005	0.0376124850741949	0	0
Throt10006	nan	nan	nan
Throt10007	0.237488630134223	0.223935175132443	0.0437787394096202
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	-0.201936865615793	0.0360003195356988	0.161906338442747
Throt10010	-0.397733160377611	0.0126299709779006	0.279642742174284
Throt10011	0.412375498820325	0.074183194511862	0
Throt10012	nan	nan	nan
Throt10013	-0.17165972957358	0	0.129512563042332
Throt10014	-0.17165972957358	0	0.129512563042332
Throt10015	0.696142632509092	0.492151621602222	0.00765274566414419
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	-0.17165972957358	0	0.129512563042332
Throt10019	-0.17165972957358	0	0.129512563042332
Throt1002	-0.0499835514240125	0	0
Throt10020	0.526236598046932	0.259478069290033	5.19918419892879e-07
Throt10021	0.437743165976906	0.339970832491887	0.0384352950181825
Throt10022	0.23499832847881	0.219596506705579	0.0414369105459075
Throt10023	-0.320599508547957	0.0431754787312466	0.267620325080061
Throt10024	nan	nan	nan
Throt10025	nan	nan	nan
Throt10026	nan	nan	nan
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	0.230809942178121	0.209442467195356	0.0365076094388369
Throt10030	nan	nan	nan
Throt10031	-0.17165972957358	0	0.129512563042332
Throt10032	nan	nan	nan
Throt10033	-0.17165972957358	0	0.129512563042332
Throt10034	-0.473918247329052	0.0126403090047963	0.34619580263392
Throt10035	nan	nan	nan
Throt10036	-0.380165756186355	0.043906026309872	0.311310538662572
Throt10037	nan	nan	nan
Throt10038	-0.17165972957358	0	0.129512563042332
Throt10039	-0.17165972957358	0	0.129512563042332
Throt1004	nan	nan	nan
Throt10040	0.0376124850741949	0	0
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	-0.639651931380942	0.00153881539692302	0.456395684246723
Throt10046	-0.565226985127998	0.00313588497787626	0.394261970708004
Throt10047	-0.127820705819833	0	0.0628442500553134
Throt10048	0.0412164900216177	0	0
Throt10049	-0.17165972957358	0	0.129512563042332
Throt1005	-0.250075311625923	0.0391503320430481	0.206233675988406
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	-0.17165972957358	0	0.129512563042332
Throt10055	0.832655376783753	0.81916783091957	0
Throt10056	0.895386358472965	0.907025853953982	0
Throt10057	-0.58836327712522	0.0119186669403851	0.434378061331653
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	-0.17165972957358	0	0.129512563042332
Throt10062	nan	nan	nan
Throt10063	nan	nan	nan
Throt10064	-0.17165972957358	0	0.129512563042332
Throt10065	-0.17165972957358	0	0.129512563042332
Throt10066	nan	nan	nan
Throt10067	nan	nan	nan
Throt10068	0.863210794359231	1	0
Throt10069	-0.639651931380942	0.00153881539692302	0.456395684246723
Throt1007	0.161936761226591	0	0
Throt10070	0.237488630134223	0.223935175132443	0.0437787394096202
Throt10071	0.237488630134223	0.223935175132443	0.0437787394096202
Throt10072	nan	nan	nan
Throt10073	0.237488630134223	0.223935175132443	0.0437787394096202
Throt10074	nan	nan	nan
Throt10075	-0.460782365449781	0.023100120813911	0.344134439527719
Throt10076	-0.17165972957358	0	0.129512563042332
Throt10077	-0.17165972957358	0	0.129512563042332
Throt10078	-0.17165972957358	0	0.129512563042332
Throt10079	-0.17165972957358	0	0.129512563042332
Throt1008	0.237488630134223	0.223935175132443	0.0437787394096202
Throt10080	nan	nan	nan
Throt10081	-0.953249265966902	0.00440917104669119	0.666765935062729
Throt10082	-0.953249265966902	0.00440917104669119	0.666765935062729
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	-1.65840061064569	0	0.987846825811307
Throt10089	-0.17165972957358	0	0.129512563042332
Throt1009	-0.141929755036674	0.0131192388642745	0.101249099006421
Throt10090	nan	nan	nan
Throt10091	-0.17165972957358	0	0.129512563042332
Throt10092	-1.53945741655393	8.85394965603961e-05	0.922794170445228
Throt10093	-0.17165972957358	0	0.129512563042332
Throt10094	-1.27986727878574	0.000663189904595516	0.835444203474844
Throt10095	0.444624387378404	0.346199213733422	0.0394155691265989
Throt10096	nan	nan	nan
Throt10097	nan	nan	nan
Throt10098	nan	nan	nan
Throt10099	nan	nan	nan
Throt101	-0.055070117485968	0	0
Throt1010	-0.380165756186355	0.043906026309872	0.311310538662572
Throt10100	nan	nan	nan
Throt10101	-0.320599508547957	0.0431754787312466	0.267620325080061
Throt10102	nan	nan	nan
Throt10103	nan	nan	nan
Throt10104	-0.770689786278291	0.0100060518501226	0.547090248779018
Throt10105	-0.380165756186355	0.043906026309872	0.311310538662572
Throt10106	nan	nan	nan
Throt10107	-0.380165756186355	0.043906026309872	0.311310538662572
Throt10108	nan	nan	nan
Throt10109	0.645810460425773	0.46816341623163	0.0174031907751395
Throt1011	0.0376124850741949	0	0
Throt10110	nan	nan	nan
Throt10111	0.333137453370204	0.0160379819171294	0
Throt10112	nan	nan	nan
Throt10113	0.0376124850741949	0	0
Throt10114	0.23499832847881	0.219596506705579	0.0414369105459075
Throt10115	0.483832404543173	0.0550452678863488	0
Throt10116	nan	nan	nan
Throt10117	1.09918298360714	0.999999624117516	0
Throt10118	-0.473918247329052	0.0126403090047963	0.34619580263392
Throt10119	nan	nan	nan
Throt1012	0.762390415088925	0.743730511925487	0
Throt10120	nan	nan	nan
Throt10121	nan	nan	nan
Throt10122	-0.380165756186355	0.043906026309872	0.311310538662572
Throt10123	-0.17165972957358	0	0.129512563042332
Throt10124	nan	nan	nan
Throt10125	nan	nan	nan
Throt10126	nan	nan	nan
Throt10127	nan	nan	nan
Throt10128	nan	nan	nan
Throt10129	0.983012382146453	0.77998169212647	7.72817101120121e-06
Throt1013	0.559637187129304	0.40800197008812	0.0155251934083255
Throt10130	nan	nan	nan
Throt10131	nan	nan	nan
Throt10132	nan	nan	nan
Throt10133	-0.17165972957358	0	0.129512563042332
Throt10134	nan	nan	nan
Throt10135	0.437743165976906	0.339970832491887	0.0384352950181825
Throt10136	1.73443419918774	0.970375702297831	1.25004794292451e-06
Throt10137	0.0376124850741949	0	0
Throt10138	nan	nan	nan
Throt10139	nan	nan	nan
Throt1014	0.891354487017183	0.990293300858378	0
Throt10140	-0.17165972957358	0	0.129512563042332
Throt10141	-0.380165756186355	0.043906026309872	0.311310538662572
Throt10142	0.603682843755454	0.443606191795723	0.0169887023695157
Throt10143	nan	nan	nan
Throt10144	0.237488630134223	0.223935175132443	0.0437787394096202
Throt10145	nan	nan	nan
Throt10146	0.230809942178121	0.209442467195356	0.0365076094388369
Throt10147	-0.17165972957358	0	0.129512563042332
Throt10148	-0.578993706854135	0.0233538772297417	0.434270410975458
Throt10149	0.0529164231384009	0	0
Throt1015	0.437743165976906	0.339970832491887	0.0384352950181825
Throt10150	0.444624387378404	0.346199213733422	0.0394155691265989
Throt10151	0.157868121575726	0.0544311151899624	0
Throt10152	-0.17165972957358	0	0.129512563042332
Throt10153	-0.154785445053076	0	0.104393236601635
Throt10154	0.917374930301474	0.664164583220323	0.00129076828973506
Throt10155	-0.17165972957358	0	0.129512563042332
Throt10156	-0.17165972957358	0	0.129512563042332
Throt10157	nan	nan	nan
Throt10158	nan	nan	nan
Throt10159	nan	nan	nan
Throt1016	nan	nan	nan
Throt10160	nan	nan	nan
