delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	-0.210754080257746	0	0.440183468723387
Throt10	-0.189432785631476	0	0.10456485648339
Throt100	-0.0845763447364062	0	0
Throt1000	nan	nan	nan
Throt10000	6.79222299212162e-05	0	0
Throt10001	0.00726188112893296	0	0
Throt10002	0.0216060809103132	0	0
Throt10003	nan	nan	nan
Throt10004	-0.00713359611410396	0	0
Throt10005	0.00726188112893296	0	0
Throt10006	nan	nan	nan
Throt10007	0.00726188112893296	0	0
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	0.0216619483632924	0	0
Throt10010	8.80797917753207e-05	0	0
Throt10011	0.0220965500901265	0.0250708212814112	0.00795079371241407
Throt10012	nan	nan	nan
Throt10013	nan	nan	nan
Throt10014	nan	nan	nan
Throt10015	0.00720449972757001	0	0
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	nan	nan	nan
Throt1002	0.0358130764729127	0	0
Throt10020	-0.0161976235960161	0.0135451943776893	0.0281775682615215
Throt10021	0.00725264906649183	0	0
Throt10022	0.0144648029707599	0	0
Throt10023	5.86824264590351e-05	0	0
Throt10024	nan	nan	nan
Throt10025	-0.00715210929321794	0	0
Throt10026	-0.00715210929321794	0	0
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	0.0216619483632924	0	0
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	nan	nan	nan
Throt10034	-0.0213039749310063	0	0
Throt10035	nan	nan	nan
Throt10036	-0.00715210929321794	0	0
Throt10037	nan	nan	nan
Throt10038	-0.0143505080282076	0	0
Throt10039	nan	nan	nan
Throt1004	nan	nan	nan
Throt10040	0.00726188112893296	0	0
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	0.0216619483632924	0	0
Throt10046	0.0216619483632924	0	0
Throt10047	0.0072586436204721	0	0
Throt10048	-0.00709955712495561	0	0
Throt10049	-0.00715210929321794	0	0
Throt1005	6.79222299212162e-05	0	0
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	nan	nan	nan
Throt10055	-0.00504417053682516	0.00449860927784654	0.00601479490357549
Throt10056	0.00248218941911376	0.00520683864910658	0.00450301451042569
Throt10057	-0.104309647254378	0.00264286179047532	0.155669682698015
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	nan	nan	nan
Throt10062	nan	nan	nan
Throt10063	nan	nan	nan
Throt10064	nan	nan	nan
Throt10065	-0.0215434596106295	0	0
Throt10066	-0.00715210929321794	0	0
Throt10067	nan	nan	nan
Throt10068	0.0112741131265355	0	0
Throt10069	0.00725264906649183	0	0
Throt1007	-0.0465195552727578	0	7.64902015715415e-06
Throt10070	-0.00713359611410396	0	0
Throt10071	0.00726188112893296	0	0
Throt10072	nan	nan	nan
Throt10073	0.00726188112893296	0	0
Throt10074	-0.00715210929321794	0	0
Throt10075	-0.014308884864902	0	0
Throt10076	nan	nan	nan
Throt10077	nan	nan	nan
Throt10078	nan	nan	nan
Throt10079	-0.0143505080282076	0	0
Throt1008	0.00726188112893296	0	0
Throt10080	nan	nan	nan
Throt10081	-0.00715210929321794	0	0
Throt10082	nan	nan	nan
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	8.80797917753207e-05	0	0
Throt10089	nan	nan	nan
Throt1009	0.036033273809908	0	0
Throt10090	nan	nan	nan
Throt10091	nan	nan	nan
Throt10092	nan	nan	nan
Throt10093	nan	nan	nan
Throt10094	nan	nan	nan
Throt10095	0.0144648029707599	0	0
Throt10096	nan	nan	nan
Throt10097	nan	nan	nan
Throt10098	nan	nan	nan
Throt10099	nan	nan	nan
Throt101	0.264909016178475	0.692639102181434	0
Throt1010	-0.0287303595454005	0	0
Throt10100	nan	nan	nan
Throt10101	5.86824264590351e-05	0	0
Throt10102	nan	nan	nan
Throt10103	nan	nan	nan
Throt10104	nan	nan	nan
Throt10105	nan	nan	nan
Throt10106	nan	nan	nan
Throt10107	-0.00715210929321794	0	0
Throt10108	nan	nan	nan
Throt10109	0.0216619483632924	0	0
Throt1011	0.00726188112893296	0	0
Throt10110	nan	nan	nan
Throt10111	0.103835806103488	0.114129931723201	0.000454209208661322
Throt10112	nan	nan	nan
Throt10113	0.00726188112893296	0	0
Throt10114	-0.00709955712495561	0	0
Throt10115	0.0649116979361922	0.031580764533522	0.000380073601068415
Throt10116	nan	nan	nan
Throt10117	0.0904026123289868	0.0104532487439954	0
Throt10118	0.0144648029707599	0	0
Throt10119	nan	nan	nan
Throt1012	-0.0257231437521517	0.000180379851122407	0.00246108754499282
Throt10120	nan	nan	nan
Throt10121	nan	nan	nan
Throt10122	nan	nan	nan
Throt10123	nan	nan	nan
Throt10124	nan	nan	nan
Throt10125	nan	nan	nan
Throt10126	nan	nan	nan
Throt10127	nan	nan	nan
Throt10128	nan	nan	nan
Throt10129	0.0534647314521964	0.0616601831937451	0
Throt1013	-0.0206484430927298	0	0
Throt10130	nan	nan	nan
Throt10131	nan	nan	nan
Throt10132	nan	nan	nan
Throt10133	nan	nan	nan
Throt10134	nan	nan	nan
Throt10135	0.0216619483632924	0	0
Throt10136	0.0273802242404932	0	0
Throt10137	0.00726188112893296	0	0
Throt10138	nan	nan	nan
Throt10139	-0.00715210929321794	0	0
Throt1014	0.0951221445733386	0.0174769577299528	0
Throt10140	nan	nan	nan
Throt10141	nan	nan	nan
Throt10142	0.0215141179108936	0	0
Throt10143	nan	nan	nan
Throt10144	0.00726188112893296	0	0
Throt10145	nan	nan	nan
Throt10146	-0.0141182869414892	0	0
Throt10147	nan	nan	nan
Throt10148	nan	nan	nan
Throt10149	-0.0209801024407121	0	0
Throt1015	-0.0211435659928652	0	0
Throt10150	0.0144648029707599	0	0
Throt10151	0.000451488102947278	0	0
Throt10152	-0.0143505080282076	0	0
Throt10153	0.00726188112893296	0	0
Throt10154	0.0423198538515003	0.0291163081744988	0
Throt10155	nan	nan	nan
Throt10156	nan	nan	nan
Throt10157	nan	nan	nan
Throt10158	-0.00715210929321794	0	0
Throt10159	nan	nan	nan
Throt1016	-0.0143505080282076	0	0
Throt10160	nan	nan	nan
Throt10161	0.00726188112893296	0	0
Throt10162	-0.00715210929321794	0	0
Throt10163	-0.116279708923856	0	0.00694645742538186
Throt10164	-0.132747292417466	0	1.51932390205826e-05
Throt10165	nan	nan	nan
Throt10166	nan	nan	nan
Throt10167	0.0072586436204721	0	0
Throt10168	nan	nan	nan
Throt10169	nan	nan	nan
Throt1017	-0.0628743386764691	0.00433618580925465	0.0828722543197521
Throt10170	nan	nan	nan
Throt10171	nan	nan	nan
Throt10172	0.00726188112893296	0	0
Throt10173	nan	nan	nan
Throt10174	nan	nan	nan
Throt10175	0.0072586436204721	0	0
Throt10176	nan	nan	nan
Throt10177	nan	nan	nan
Throt10178	-0.0215434596106295	0	0
Throt10179	nan	nan	nan
Throt1018	0.0144050267251835	0	0
Throt10180	nan	nan	nan
Throt10181	-0.0287303595454005	0	0
Throt10182	0.0216619483632924	0	0
Throt10183	nan	nan	nan
Throt10184	-0.00715210929321794	0	0
Throt10185	nan	nan	nan
Throt10186	nan	nan	nan
Throt10187	0.297563022392778	0.8305244134115	0
Throt10188	nan	nan	nan
Throt10189	nan	nan	nan
Throt1019	-0.122150924335914	0.000314559640370581	0.157769752335964
Throt10190	nan	nan	nan
Throt10191	0.0144648029707599	0	0
Throt10192	0.00726188112893296	0	0
Throt10193	0.00724192002488345	0	0
Throt10194	nan	nan	nan
Throt10195	nan	nan	nan
Throt10196	nan	nan	nan
Throt10197	nan	nan	nan
Throt10198	0.0562275231360614	0.0353114120952027	0.00108818712644661
Throt10199	-0.00709955712495561	0	0
Throt102	-0.0465829242622707	0	0
Throt1020	-0.168776866646962	6.5914770749947e-05	0.29071089220989
Throt10200	0.0820177159596671	0.0353212430028465	4.39819309280642e-05
Throt10201	-0.0201413435616609	0.00911147001537197	0.0250823776153155
Throt10202	nan	nan	nan
Throt10203	nan	nan	nan
Throt10204	-0.014308884864902	0	0
Throt10205	nan	nan	nan
Throt10206	-0.014308884864902	0	0
Throt10207	-0.00713359611410396	0	0
Throt10208	0.101241124019877	0	0
Throt10209	-0.00715210929321794	0	0
Throt1021	-0.165950138964023	0.000146913107750551	0.290817387483042
Throt10210	nan	nan	nan
Throt10211	nan	nan	nan
Throt10212	nan	nan	nan
Throt10213	nan	nan	nan
Throt10214	nan	nan	nan
Throt10215	0.0144648029707599	0	0
Throt10216	nan	nan	nan
Throt10217	nan	nan	nan
Throt10218	0.00726188112893296	0	0
Throt10219	nan	nan	nan
Throt1022	-0.0152304066791509	7.56812269651412e-08	7.61961550114782e-06
Throt10220	nan	nan	nan
Throt10221	nan	nan	nan
Throt10222	nan	nan	nan
Throt10223	nan	nan	nan
Throt10224	-0.00715210929321794	0	0
Throt10225	nan	nan	nan
Throt10226	nan	nan	nan
Throt10227	nan	nan	nan
Throt10228	5.86824264590351e-05	0	0
Throt10229	-0.00715210929321794	0	0
Throt1023	nan	nan	nan
Throt10230	-0.00715210929321794	0	0
Throt10231	nan	nan	nan
Throt10232	nan	nan	nan
Throt10233	nan	nan	nan
