delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	0.539544431362326	0.999985709959915	0
Throt10	1.28436772250416	1	0
Throt100	0.0326817807656153	0	0
Throt1000	0.452319620264445	0.654649024686996	0.111768424900408
Throt10000	-0.344050882730833	0.159486000644688	0.590645675146257
Throt10001	0.603779162634189	0.753503348511707	0.0693432367821434
Throt10002	0.439577389833575	0.655163057695733	0.117556716493108
Throt10003	0.294966015046641	0.554978411199215	0.175447916364052
Throt10004	0.982712687599761	0.939509249673171	0.00589056190680089
Throt10005	0.130637266178277	0.415435935859327	0.183403795333743
Throt10006	nan	nan	nan
Throt10007	nan	nan	nan
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	0.749257241876833	0.821450023602636	0.0424331260415928
Throt10010	0.484891701148163	0.697859717223742	0.0847387550685026
Throt10011	-0.331613372580278	0.00201812339447524	0.710534235735202
Throt10012	nan	nan	nan
Throt10013	0.130637266178277	0.415435935859327	0.183403795333743
Throt10014	0.130637266178277	0.415435935859327	0.183403795333743
Throt10015	-0.371941236493115	0.101864557534749	0.622252645600392
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	0.130637266178277	0.415435935859327	0.183403795333743
Throt10019	0.130637266178277	0.415435935859327	0.183403795333743
Throt1002	0.833718192006634	0.871557187420365	0.0241481897564486
Throt10020	-0.572282416392007	0.00054534233943281	0.922840116146103
Throt10021	-0.18052307984218	0.200910206263885	0.465266204552794
Throt10022	0.130637266178277	0.415435935859327	0.183403795333743
Throt10023	0.286943505510876	0.547875083480765	0.174284396081115
Throt10024	nan	nan	nan
Throt10025	-0.184091618419984	0.208792907778458	0.467597198818037
Throt10026	-0.184091618419984	0.208792907778458	0.467597198818037
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	0.294966015046641	0.554978411199215	0.175447916364052
Throt10030	nan	nan	nan
Throt10031	0.130637266178277	0.415435935859327	0.183403795333743
Throt10032	nan	nan	nan
Throt10033	0.130637266178277	0.415435935859327	0.183403795333743
Throt10034	0.0611830117700171	0.229660464127333	0.048918055984657
Throt10035	nan	nan	nan
Throt10036	0.124958026520148	0.406033138575333	0.175973589615724
Throt10037	nan	nan	nan
Throt10038	-0.18052307984218	0.200910206263885	0.465266204552794
Throt10039	0.130637266178277	0.415435935859327	0.183403795333743
Throt1004	nan	nan	nan
Throt10040	0.130637266178277	0.415435935859327	0.183403795333743
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	1.31098481163869	0.979607827699556	0.0014725097937271
Throt10046	1.2263300040568	0.970568037141905	0.00312442981298554
Throt10047	0.286943505510876	0.547875083480765	0.174284396081115
Throt10048	-0.173898999758647	0.195305625326399	0.459877328811313
Throt10049	-0.0282667681384983	0	0
Throt1005	0.272008847827395	0.540682952936547	0.176550479374343
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	0.130637266178277	0.415435935859327	0.183403795333743
Throt10055	-0.829606577627727	0	0.99998191332007
Throt10056	-0.876034053218998	0	0.999994775255208
Throt10057	-0.814301538390695	0.00203244882419081	0.946842847152676
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	0.130637266178277	0.415435935859327	0.183403795333743
Throt10062	nan	nan	nan
Throt10063	nan	nan	nan
Throt10064	0.130637266178277	0.415435935859327	0.183403795333743
Throt10065	-0.322324052424736	0.151856437002421	0.570791230781431
Throt10066	-0.184091618419984	0.208792907778458	0.467597198818037
Throt10067	nan	nan	nan
Throt10068	-0.850883290870666	0	1
Throt10069	0.915143466138715	0.922043468500721	0.0110047825377583
Throt1007	-0.214059195101805	0	0.418990704345683
Throt10070	-0.344050882730833	0.159486000644688	0.590645675146257
Throt10071	nan	nan	nan
Throt10072	nan	nan	nan
Throt10073	nan	nan	nan
Throt10074	-0.184091618419984	0.208792907778458	0.467597198818037
Throt10075	0.0956815833798391	0.349612896116063	0.144439244154024
Throt10076	0.130637266178277	0.415435935859327	0.183403795333743
Throt10077	0.130637266178277	0.415435935859327	0.183403795333743
Throt10078	0.130637266178277	0.415435935859327	0.183403795333743
Throt10079	-0.18052307984218	0.200910206263885	0.465266204552794
Throt1008	nan	nan	nan
Throt10080	nan	nan	nan
Throt10081	0.582108430672843	0.735622660500319	0.0748915413824734
Throt10082	0.749257241876833	0.821450023602636	0.0424331260415928
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	1.4560662919823	0.999336220994717	4.01421386297301e-06
Throt10089	0.130637266178277	0.415435935859327	0.183403795333743
Throt1009	1.01337474044351	0.925216677799381	0.0111651340480353
Throt10090	nan	nan	nan
Throt10091	0.130637266178277	0.415435935859327	0.183403795333743
Throt10092	1.2263300040568	0.970568037141905	0.00312442981298554
Throt10093	0.130637266178277	0.415435935859327	0.183403795333743
Throt10094	1.01337474044351	0.925216677799381	0.0111651340480353
Throt10095	nan	nan	nan
Throt10096	nan	nan	nan
Throt10097	nan	nan	nan
Throt10098	nan	nan	nan
