delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	0.539544431362326	0.0230563730526134	0
Throt10	1.28436772250416	1	0
Throt100	0.0326817807656153	0	0
Throt1000	0.452319620264445	0.336192501380255	0.0208198073275224
Throt10000	-0.344050882730833	0.0332899064190816	0.265494290992446
Throt10001	0.603779162634189	0.436157496021929	0.0100297197718228
Throt10002	0.439577389833575	0.322426737163426	0.0202628738772196
Throt10003	0.294966015046641	0.240104146994145	0.0343536030696815
Throt10004	0.982712687599761	0.725131092818544	0.000239798841875149
Throt10005	0.130637266178277	0.0354166643325035	0
Throt10006	nan	nan	nan
Throt10007	nan	nan	nan
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	0.749257241876833	0.546899331326031	0.004844242513492
Throt10010	0.484891701148163	0.339058390395903	0.0102704472912051
Throt10011	-0.331613372580278	0	0.0326278364134827
Throt10012	nan	nan	nan
Throt10013	0.130637266178277	0.0354166643325035	0
Throt10014	0.130637266178277	0.0354166643325035	0
Throt10015	-0.371941236493115	0.0100168503870787	0.24303560527904
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	0.130637266178277	0.0354166643325035	0
Throt10019	0.130637266178277	0.0354166643325035	0
Throt1002	0.833718192006634	0.589695187547167	0.00242572428315669
Throt10020	-0.572282416392007	0	0.310383562126933
Throt10021	-0.18052307984218	0.00603823263631959	0.140826587057336
Throt10022	0.130637266178277	0.0354166643325035	0
Throt10023	0.286943505510876	0.228158224656295	0.0313244242531929
Throt10024	nan	nan	nan
Throt10025	-0.184091618419984	0.00851223403556671	0.150087877179663
Throt10026	-0.184091618419984	0.00851223403556671	0.150087877179663
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	0.294966015046641	0.240104146994145	0.0343536030696815
Throt10030	nan	nan	nan
Throt10031	0.130637266178277	0.0354166643325035	0
Throt10032	nan	nan	nan
Throt10033	0.130637266178277	0.0354166643325035	0
Throt10034	0.0611830117700171	0	0
Throt10035	nan	nan	nan
Throt10036	0.124958026520148	0.0179024327853567	0
Throt10037	nan	nan	nan
Throt10038	-0.18052307984218	0.00603823263631959	0.140826587057336
Throt10039	0.130637266178277	0.0354166643325035	0
Throt1004	nan	nan	nan
Throt10040	0.130637266178277	0.0354166643325035	0
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	nan	nan	nan
Throt10044	nan	nan	nan
Throt10045	1.31098481163869	0.870508637416106	4.70092844273865e-05
Throt10046	1.2263300040568	0.827933959471907	0.000170300771745095
Throt10047	0.286943505510876	0.228158224656295	0.0313244242531929
Throt10048	-0.173898999758647	0.00357445025099378	0.126176450222183
Throt10049	-0.0282667681384983	0	0
Throt1005	0.272008847827395	0.213729552542608	0.0298208963640156
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	0.130637266178277	0.0354166643325035	0
Throt10055	-0.829606577627727	0	0.819218634033038
Throt10056	-0.876034053218998	0	0.888733757477075
Throt10057	-0.814301538390695	1.78467466007565e-05	0.636743652723862
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	0.130637266178277	0.0354166643325035	0
Throt10062	nan	nan	nan
Throt10063	nan	nan	nan
Throt10064	0.130637266178277	0.0354166643325035	0
Throt10065	-0.322324052424736	0.0293470399053432	0.241206179962121
Throt10066	-0.184091618419984	0.00851223403556671	0.150087877179663
Throt10067	nan	nan	nan
Throt10068	-0.850883290870666	0	1
Throt10069	0.915143466138715	0.682129041060071	0.000571213475138686
Throt1007	-0.214059195101805	0	0
Throt10070	-0.344050882730833	0.0332899064190816	0.265494290992446
Throt10071	nan	nan	nan
Throt10072	nan	nan	nan
Throt10073	nan	nan	nan
Throt10074	-0.184091618419984	0.00851223403556671	0.150087877179663
Throt10075	0.0956815833798391	0	0
Throt10076	0.130637266178277	0.0354166643325035	0
Throt10077	0.130637266178277	0.0354166643325035	0
Throt10078	0.130637266178277	0.0354166643325035	0
Throt10079	-0.18052307984218	0.00603823263631959	0.140826587057336
Throt1008	nan	nan	nan
Throt10080	nan	nan	nan
Throt10081	0.582108430672843	0.428439384389631	0.0107705643619191
Throt10082	0.749257241876833	0.546899331326031	0.004844242513492
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	1.4560662919823	0.973811061510822	0
Throt10089	0.130637266178277	0.0354166643325035	0
Throt1009	1.01337474044351	0.725433726039542	0.000877396062309229
Throt10090	nan	nan	nan
Throt10091	0.130637266178277	0.0354166643325035	0
Throt10092	1.2263300040568	0.827933959471907	0.000170300771745095
Throt10093	0.130637266178277	0.0354166643325035	0
Throt10094	1.01337474044351	0.725433726039542	0.000877396062309229
Throt10095	nan	nan	nan
Throt10096	nan	nan	nan
Throt10097	nan	nan	nan
Throt10098	nan	nan	nan
Throt10099	nan	nan	nan
Throt101	0.545200083515669	0.0890782253650057	0
Throt1010	-0.294661178570672	0.0229820496342264	0.212304899349095
Throt10100	nan	nan	nan
Throt10101	0.286943505510876	0.228158224656295	0.0313244242531929
Throt10102	nan	nan	nan
