delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	0.556102984503059	1	0
Throt10	-1.39526210954038	0	1
Throt100	-0.263294497732515	0	1
Throt1000	nan	nan	nan
Throt10000	nan	nan	nan
Throt10001	-0.222049889300955	0.209089985610617	0.501745404857293
Throt10002	1.51655864880751	0.999483265468727	3.78853713859118e-06
Throt10003	0.422088451097131	0.619900152801229	0.16973345948375
Throt10004	0.635791776398173	0.880998065034543	0.00692578036324711
Throt10005	0.202136771059154	0.486592554048309	0.220541305908849
Throt10006	-0.0378519079603567	0	0.0146284116913482
Throt10007	0.213331774217202	0.497655054100806	0.22747833598538
Throt10008	0.213331774217202	0.497655054100806	0.22747833598538
Throt10009	0.471442070713261	0.632659187668601	0.165409718336096
Throt1001	0.454201093160581	0.633021272104982	0.16509424262999
Throt10010	-0.40425154111724	0.142374072545832	0.619148269078611
Throt10011	0.963486182139422	0.999994284875235	0
Throt10012	nan	nan	nan
Throt10013	-0.0378519079603567	0	0.0146284116913482
Throt10014	nan	nan	nan
Throt10015	0.682551424276182	0.797444845031102	0.0493861821998732
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	1.35143414873802	0.94996801745072	0.00944139686343482
Throt1002	0.0902415107682766	0.338685471324017	0.144768148454134
Throt10020	1.3694928212862	1	0
Throt10021	1.52806069485311	0.976372994774691	0.00480041415880552
Throt10022	-0.0413119995028695	0	0.0584037154496004
Throt10023	-0.781034968228241	0.0778343373986865	0.790010842742248
Throt10024	-0.781034968228241	0.0778343373986865	0.790010842742248
Throt10025	-0.476003317416641	0.145261739714418	0.654406577737072
Throt10026	-0.292094840896772	0.225306416724764	0.543682321523922
Throt10027	0.213331774217202	0.497655054100806	0.22747833598538
Throt10028	0.213331774217202	0.497655054100806	0.22747833598538
Throt10029	nan	nan	nan
Throt1003	0.183985709958862	0.475746086193058	0.216130837414803
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	0.712070897966761	0.757703790596605	0.0907702589092623
Throt10034	0.196435457805393	0.47474134453278	0.18888186388375
Throt10035	nan	nan	nan
Throt10036	0.202136771059154	0.486592554048309	0.220541305908849
Throt10037	0.626708141542892	0.731160305388974	0.102675813078
Throt10038	-0.0413119995028695	0	0.0584037154496004
Throt10039	-0.292094840896772	0.225306416724764	0.543682321523922
Throt1004	1.86368504368945	0.997424363657788	7.65713020466856e-05
Throt10040	1.07656200895265	0.896213830967149	0.0246499329203963
Throt10041	nan	nan	nan
Throt10042	0.802899430040544	0.803998399570357	0.0598707016769895
Throt10043	0.940800390767253	0.854471088734816	0.0485989823767693
Throt10044	nan	nan	nan
Throt10045	1.29637057020491	0.978982888985648	0.00115795665364422
Throt10046	1.27848100367317	0.961057790583688	0.00489634423072685
Throt10047	1.68309486814764	0.986530272536803	0.00189704065987241
Throt10048	0.953173068353606	0.878276494599718	0.0334399899222172
Throt10049	-0.0378519079603567	0	0.0146284116913482
Throt1005	2.58702523289238	0.999999999909122	0
Throt10050	0.213331774217202	0.497655054100806	0.22747833598538
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	1.52806069485311	0.976372994774691	0.00480041415880552
Throt10055	0.490372511240183	0.998401094932615	0
