delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	0.548619879201523	0.0145969351375408	0
Throt10	-0.968985714964291	0	1
Throt100	-0.367818175022311	0	0
Throt1000	nan	nan	nan
Throt10000	nan	nan	nan
Throt10001	0.189889441699152	0.0995609900578657	0
Throt10002	0.983779092075412	0.784408809688513	3.42535783203122e-07
Throt10003	0.170860437031364	0.0693918301507918	0
Throt10004	1.12339740816849	0.864702313258949	2.95280307344627e-07
Throt10005	-0.133182111959272	0	0.0318669660907038
Throt10006	-0.0145105648610637	0	0
Throt10007	-0.0145105648610637	0	0
Throt10008	-0.0145105648610637	0	0
Throt10009	0.0822805727211182	0	0
Throt1001	-0.046038945404747	0	0
Throt10010	-0.451636248315538	0.00235654369369448	0.283415459090789
Throt10011	0.271716780502078	0.00749381019901455	0
Throt10012	nan	nan	nan
Throt10013	-0.0990468295878504	0	0
Throt10014	nan	nan	nan
Throt10015	-0.307954580778089	0.00141337282827891	0.131585777303587
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	-0.183577838138841	0.0148822239342751	0.11910355180392
Throt10019	0.468360201012429	0.309941178614278	0.00415780369197116
Throt1002	-0.45625666329242	0.000581416012277863	0.25945976306016
Throt10020	0.0882598366801915	6.77297648789361e-05	0
Throt10021	-0.330127048530646	0.00185361133724408	0.158151093167592
Throt10022	0.0822805727211182	0	0
Throt10023	nan	nan	nan
Throt10024	-0.183577838138841	0.0148822239342751	0.11910355180392
Throt10025	-0.0145105648610637	0	0
Throt10026	nan	nan	nan
Throt10027	-0.0145105648610637	0	0
Throt10028	-0.0145105648610637	0	0
Throt10029	nan	nan	nan
Throt1003	-0.387421690721207	0.00284846632486253	0.218121440847375
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	0.189889441699152	0.0995609900578657	0
Throt10034	0.223006857497175	0.118698922273708	0.00519194932887408
Throt10035	nan	nan	nan
Throt10036	0.0822805727211182	0	0
Throt10037	0.382339362400256	0.242941798521197	0.00732236065508862
Throt10038	0.0822805727211182	0	0
Throt10039	nan	nan	nan
Throt1004	0.899250859879275	0.683972202499993	3.95427696487841e-05
Throt10040	0.468360201012429	0.309941178614278	0.00415780369197116
Throt10041	nan	nan	nan
Throt10042	0.468360201012429	0.309941178614278	0.00415780369197116
Throt10043	0.290816026708068	0.179071672921741	0.0109010058527038
Throt10044	nan	nan	nan
Throt10045	0.757818732675044	0.559976393960062	0.000125841512872671
Throt10046	0.608106652812807	0.42658006154689	0.00100171731349251
Throt10047	0.500051881346897	0.326217654999994	0.00264911343604075
Throt10048	0.310718023243699	0.189774813787718	0.00845732988354571
Throt10049	-0.0145105648610637	0	0
Throt1005	1.35232455055994	0.981915838592554	0
Throt10050	-0.0145105648610637	0	0
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	0.135585171870652	0.0383209855157322	0
Throt10055	0.0508202669247651	0	0
Throt10056	0.0735835522702824	0	0
Throt10057	1.09512416545341	0.87317262050059	0
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	0.0822805727211182	0	0
Throt10060	0.290816026708068	0.179071672921741	0.0109010058527038
Throt10061	0.113464904363104	0	0
Throt10062	-0.183577838138841	0.0148822239342751	0.11910355180392
Throt10063	-0.183577838138841	0.0148822239342751	0.11910355180392
Throt10064	0.55816802219327	0.377772465244109	0.0016019308791496
Throt10065	0.468360201012429	0.309941178614278	0.00415780369197116
Throt10066	0.382339362400256	0.242941798521197	0.00732236065508862
Throt10067	nan	nan	nan
Throt10068	0.534712399410178	0	0
Throt10069	-0.046038945404747	0	0
Throt1007	-2.36923269444081	0	1
Throt10070	0.382339362400256	0.242941798521197	0.00732236065508862
Throt10071	0.0822805727211182	0	0
Throt10072	nan	nan	nan
Throt10073	0.0822805727211182	0	0
Throt10074	-0.0145105648610637	0	0
Throt10075	0.187129512771469	0.0809884543548549	0
Throt10076	0.290816026708068	0.179071672921741	0.0109010058527038
Throt10077	nan	nan	nan
Throt10078	nan	nan	nan
Throt10079	0.271209919152812	0.164045036772083	0.0094115368314527
Throt1008	-0.175718988429253	0	0.0707342552195146
Throt10080	-0.0990468295878504	0	0
Throt10081	0.310718023243699	0.189774813787718	0.00845732988354571
Throt10082	0.468360201012429	0.309941178614278	0.00415780369197116
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	-0.0145105648610637	0	0
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	0.170860437031364	0.0693918301507918	0
Throt10089	nan	nan	nan
Throt1009	0.271209919152812	0.164045036772083	0.0094115368314527
Throt10090	-0.0145105648610637	0	0
Throt10091	nan	nan	nan
Throt10092	-0.0145105648610637	0	0
Throt10093	nan	nan	nan
Throt10094	-0.0145105648610637	0	0
Throt10095	0.0624761286155754	0	0
Throt10096	-0.0145105648610637	0	0
Throt10097	0.290816026708068	0.179071672921741	0.0109010058527038
Throt10098	nan	nan	nan
Throt10099	-0.0145105648610637	0	0
