delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	0.865429738632111	0.996001795866252	0
Throt10	-0.397324221325356	0	0
Throt100	-0.148347445850927	0	0
Throt1000	nan	nan	nan
Throt10000	-0.0294888100279885	0	0
Throt10001	0.00768736068994643	0	0
Throt10002	0.136189153541112	1.76564425387605e-05	0
Throt10003	0.0283102967921794	0	0
Throt10004	0.146198621038768	3.31955517180329e-05	0
Throt10005	-0.00135495435118156	0	0
Throt10006	-0.000233846991848287	0	0
Throt10007	-0.0104110746927197	0	0
Throt10008	-0.000233846991848287	0	0
Throt10009	0.00921059835635427	0	0
Throt1001	-0.0148496402801029	0	0
Throt10010	-0.0234247832071711	0	0
Throt10011	0.0166657561969922	0	0
Throt10012	nan	nan	nan
Throt10013	-0.000233846991848287	0	0
Throt10014	nan	nan	nan
Throt10015	-0.0210478387365031	0	0
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	0.047387890675557	0	0
Throt1002	-0.0309194377129596	0	0
Throt10020	0.244633492588705	2.44340850639536e-05	0
Throt10021	0.0151366267972414	0	0
Throt10022	-0.0120465052593473	0	0
Throt10023	-0.0194495152760006	0	0
Throt10024	nan	nan	nan
Throt10025	-0.000233846991848287	0	0
Throt10026	nan	nan	nan
Throt10027	-0.000233846991848287	0	0
Throt10028	-0.000233846991848287	0	0
Throt10029	nan	nan	nan
Throt1003	-0.0148496402801029	0	0
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	0.0187262524836067	0	0
Throt10034	0.0332863491533381	0	0
Throt10035	nan	nan	nan
Throt10036	0.00921059835635427	0	0
Throt10037	0.0379062693803866	0	0
Throt10038	0.00921059835635427	0	0
Throt10039	nan	nan	nan
Throt1004	0.106525856980859	0	0
Throt10040	0.0320716919254191	0	0
Throt10041	nan	nan	nan
Throt10042	0.047387890675557	0	0
Throt10043	0.0283102967921794	0	0
Throt10044	nan	nan	nan
Throt10045	0.0613844578765265	0	0
Throt10046	0.0339423941219096	0	0
Throt10047	0.0332863491533381	0	0
Throt10048	0.0266329691588217	0	0
Throt10049	-0.000233846991848287	0	0
Throt1005	0.282212185126269	0.000732231636693124	0
Throt10050	-0.000233846991848287	0	0
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	0.0565819038957116	0	0
Throt10055	0.17375582420755	0	0
Throt10056	0.166201799650912	0	0
Throt10057	0.206111297920099	0.000140519033821619	0
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	0.00921059835635427	0	0
Throt10060	0.0283102967921794	0	0
Throt10061	0.0379062693803866	0	0
Throt10062	nan	nan	nan
Throt10063	nan	nan	nan
Throt10064	0.0733818472724077	0	0
Throt10065	0.047387890675557	0	0
Throt10066	0.0379062693803866	0	0
Throt10067	nan	nan	nan
Throt10068	0.531015537715302	0	0
Throt10069	-0.0148496402801029	0	0
Throt1007	-1.19538763666954	0	1
Throt10070	0.0244510017510336	0	0
Throt10071	-0.00135495435118156	0	0
Throt10072	nan	nan	nan
Throt10073	-0.00135495435118156	0	0
Throt10074	-0.000233846991848287	0	0
Throt10075	0.0771672153472679	0	0
Throt10076	0.0283102967921794	0	0
Throt10077	nan	nan	nan
Throt10078	nan	nan	nan
Throt10079	0.0379062693803866	0	0
Throt1008	0.00768736068994643	0	0
Throt10080	-0.000233846991848287	0	0
Throt10081	0.0565819038957116	0	0
Throt10082	0.047387890675557	0	0
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	-0.000233846991848287	0	0
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	-0.00661568438112143	0	0
Throt10089	nan	nan	nan
Throt1009	-0.0248984517717784	0	0
Throt10090	-0.000233846991848287	0	0
Throt10091	nan	nan	nan
Throt10092	-0.000233846991848287	0	0
Throt10093	nan	nan	nan
Throt10094	-0.000233846991848287	0	0
