delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	0.227429922035213	0.539162758128583	0
Throt10	-1.9051239602239	0	1
Throt100	-0.266377078965463	0	1
Throt1000	-1.12016378716777	0.0417493289630405	0.881075784138421
Throt10000	nan	nan	nan
Throt10001	-0.536707545333606	0.105205153096225	0.705248178087438
Throt10002	1.49280356013067	0.996895724042462	5.59197737487065e-05
Throt10003	0.233639661351462	0.517620985936665	0.204591769846574
Throt10004	0.274424647763189	0.550558084218011	0.0877944493487459
Throt10005	0.00755575865185793	0	0
Throt10006	0.0354909185809966	0	0
Throt10007	0.0354909185809966	0	0
Throt10008	0.0354909185809966	0	0
Throt10009	0.362088074942874	0.5831836742722	0.206184040046044
Throt1001	-0.704310964048513	0.0532413310152253	0.798417329399681
Throt10010	-1.18214086513388	0.00720143781197483	0.959155514096416
Throt10011	0.46277962500216	0.916573549660288	2.03218309488123e-05
Throt10012	nan	nan	nan
Throt10013	-0.216170876958818	0.265729751343299	0.489912490820134
Throt10014	-0.520767990443796	0.181953923352385	0.637617662720035
Throt10015	0.793898747187293	0.805406160333914	0.0547567214439631
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	-0.520767990443796	0.181953923352385	0.637617662720035
Throt10019	1.05916676687601	0.878361331418027	0.0401851031763473
Throt1002	-0.54359987119718	0.0573837604641446	0.750926110049749
Throt10020	1.17678647935653	0.99999886278518	0
Throt10021	1.24565664767443	0.916603183262912	0.0218576517795607
Throt10022	0.00755575865185793	0	0
Throt10023	-1.12016378716777	0.0417493289630405	0.881075784138421
Throt10024	nan	nan	nan
Throt10025	0.0354909185809966	0	0
Throt10026	nan	nan	nan
Throt10027	0.0354909185809966	0	0
Throt10028	0.0354909185809966	0	0
Throt10029	nan	nan	nan
Throt1003	-0.0316190844185313	0	0
Throt10030	nan	nan	nan
Throt10031	-0.520767990443796	0.181953923352385	0.637617662720035
Throt10032	nan	nan	nan
Throt10033	0.315822033084947	0.56176590284434	0.206516590221353
Throt10034	-0.154024282845769	0.134833554604864	0.438375826210212
Throt10035	nan	nan	nan
Throt10036	-0.278098115088315	0.225698477286352	0.529885008965072
Throt10037	1.15792670351818	0.893812020108838	0.0292565164513837
Throt10038	0.00755575865185793	0	0
Throt10039	-0.520767990443796	0.181953923352385	0.637617662720035
Throt1004	2.44280626768786	0.9993219556006	5.12032400788432e-05
Throt10040	1.05916676687601	0.878361331418027	0.0401851031763473
Throt10041	nan	nan	nan
Throt10042	1.37984286533174	0.942913443561176	0.0137773171504198
Throt10043	0.915738435911538	0.822771082963213	0.0632510092391409
Throt10044	nan	nan	nan
Throt10045	-0.161736877571466	0.116070780226203	0.432796756191309
Throt10046	-0.373236826447053	0.0771294616271579	0.645846247715163
Throt10047	0.684084149508873	0.756253023156623	0.0851190371658859
Throt10048	0.894906093137536	0.82064328090938	0.0576498072532869
Throt10049	-0.216170876958818	0.265729751343299	0.489912490820134
Throt1005	2.02080346514631	0.99999813906359	6.71834766507977e-10
Throt10050	0.0354909185809966	0	0
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	1.24565664767443	0.916603183262912	0.0218576517795607
Throt10055	1.11101571584023	1	0
Throt10056	1.16296007567899	1	0
Throt10057	1.45244587843405	0.998471980595048	1.54828658477221e-05
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	0.362088074942874	0.5831836742722	0.206184040046044
Throt10060	0.915738435911538	0.822771082963213	0.0632510092391409
Throt10061	0.846762119587762	0.798187856000674	0.0712417319755562
Throt10062	nan	nan	nan
Throt10063	nan	nan	nan
Throt10064	1.54268007606053	0.965821891242586	0.00662443026863172
Throt10065	1.05916676687601	0.878361331418027	0.0401851031763473
Throt10066	1.15792670351818	0.893812020108838	0.0292565164513837
Throt10067	nan	nan	nan
Throt10068	1.38860829043482	1	0
Throt10069	-1.28195842604423	0.00117643966766833	0.984383920890242
Throt1007	-1.19811536587588	0	1
Throt10070	1.15792670351818	0.893812020108838	0.0292565164513837
Throt10071	0.362088074942874	0.5831836742722	0.206184040046044
Throt10072	nan	nan	nan
Throt10073	0.362088074942874	0.5831836742722	0.206184040046044
Throt10074	0.0354909185809966	0	0
Throt10075	0.75094669368398	0.814479653641372	0.0390104795223742
Throt10076	0.608077601811674	0.693827607363456	0.135597132470473
Throt10077	-0.520767990443796	0.181953923352385	0.637617662720035
Throt10078	-0.520767990443796	0.181953923352385	0.637617662720035
Throt10079	0.846762119587762	0.798187856000674	0.0712417319755562
Throt1008	0.654783594498826	0.721900111907008	0.125270551191843
Throt10080	0.0354909185809966	0	0
Throt10081	-0.0630885718305238	0	0.187810100889391
Throt10082	-0.252317768639888	0.155767608391056	0.531694936908278
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	0.0354909185809966	0	0
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	-2.26576502316832	0	0.999999591966445
Throt10089	-0.520767990443796	0.181953923352385	0.637617662720035
Throt1009	-0.667396537487524	0.0388707164762423	0.820860235645706
Throt10090	0.0354909185809966	0	0
Throt10091	-0.520767990443796	0.181953923352385	0.637617662720035
Throt10092	-1.71767336862869	0.000474830805276295	0.99606206965146
Throt10093	-0.520767990443796	0.181953923352385	0.637617662720035
Throt10094	-1.47649482451552	0.00245128088215123	0.978791789276205
Throt10095	0.654783594498826	0.721900111907008	0.125270551191843
Throt10096	0.0354909185809966	0	0
Throt10097	0.915738435911538	0.822771082963213	0.0632510092391409
Throt10098	nan	nan	nan
Throt10099	0.0354909185809966	0	0
Throt101	-0.998145274171779	0	1
Throt1010	1.68255742701674	0.99291379711558	0.000417397690874193
Throt10100	0.0354909185809966	0	0
Throt10101	0.100004144636815	0.369950741621269	0.17358607906911
Throt10102	0.0354909185809966	0	0
Throt10103	1.15792670351818	0.893812020108838	0.0292565164513837
Throt10104	-0.734502853768515	0.0631445767451416	0.787706171423542
Throt10105	-0.827225200054851	0.0934082955332285	0.77472236757893
Throt10106	nan	nan	nan
Throt10107	-0.525285938125619	0.164043284211679	0.648644722102478
Throt10108	0.362088074942874	0.5831836742722	0.206184040046044
Throt10109	nan	nan	nan
Throt1011	1.83604189596645	0.990316510432883	0.000989795319455662
Throt10110	nan	nan	nan
Throt10111	0.443440878063593	0.936927480489778	8.39029818048303e-07
Throt10112	nan	nan	nan
Throt10113	1.40619128373198	0.950682065287695	0.010449056323245
Throt10114	3.05476587477527	0.999999999990316	0
Throt10115	0.444022486498673	0.973859991098035	0
Throt10116	0.654783594498826	0.721900111907008	0.125270551191843
Throt10117	1.32063884308253	1	0
Throt10118	-0.302618791459602	0.135803083126408	0.564267903323797
Throt10119	nan	nan	nan
Throt1012	1.019649601022	1	0
Throt10120	nan	nan	nan
Throt10121	2.36721559099137	0.99898866283802	9.75639453056205e-05
Throt10122	-0.827225200054851	0.0934082955332285	0.77472236757893
Throt10123	-0.520767990443796	0.181953923352385	0.637617662720035
Throt10124	1.15792670351818	0.893812020108838	0.0292565164513837
Throt10125	nan	nan	nan
Throt10126	nan	nan	nan
Throt10127	0.654783594498826	0.721900111907008	0.125270551191843
Throt10128	0.0354909185809966	0	0
Throt10129	1.79652204883584	0.999999661267038	0
Throt1013	0.888478484340474	0.84992472061658	0.0366812284230764
Throt10130	0.0354909185809966	0	0
Throt10131	0.654783594498826	0.721900111907008	0.125270551191843
Throt10132	nan	nan	nan
Throt10133	1.7543361253089	0.986535553568523	0.00183701150966273
Throt10134	0.0354909185809966	0	0
Throt10135	1.83604189596645	0.990316510432883	0.000989795319455662
Throt10136	1.90566851476964	0.992953726223856	0.00053640129172078
Throt10137	0.315822033084947	0.56176590284434	0.206516590221353
Throt10138	nan	nan	nan
Throt10139	0.654783594498826	0.721900111907008	0.125270551191843
Throt1014	0.919251125072199	1	0
Throt10140	-0.216170876958818	0.265729751343299	0.489912490820134
Throt10141	-0.827225200054851	0.0934082955332285	0.77472236757893
Throt10142	0.726177345260575	0.759653591318094	0.0927930509833935
Throt10143	nan	nan	nan
Throt10144	nan	nan	nan
Throt10145	0.0354909185809966	0	0
Throt10146	1.15333933457858	0.909285475977133	0.0194775366304471
Throt10147	0.00755575865185793	0	0
Throt10148	0.360801788545272	0.584827520672601	0.182288634903551
Throt10149	1.46153462451471	0.996237423504077	7.50820512679573e-05
Throt1015	0.846762119587762	0.798187856000674	0.0712417319755562
Throt10150	0.915738435911538	0.822771082963213	0.0632510092391409
Throt10151	-0.166181534402987	0.0947145233802253	0.429515654375996
Throt10152	-0.216170876958818	0.265729751343299	0.489912490820134
Throt10153	0.233639661351462	0.517620985936665	0.204591769846574
Throt10154	1.23440624584442	0.960690868636882	0.00434445607995954
Throt10155	1.05916676687601	0.878361331418027	0.0401851031763473
Throt10156	0.315822033084947	0.56176590284434	0.206516590221353
Throt10157	0.0354909185809966	0	0
Throt10158	0.362088074942874	0.5831836742722	0.206184040046044
Throt10159	0.0354909185809966	0	0
Throt1016	nan	nan	nan
Throt10160	nan	nan	nan
Throt10161	0.726177345260575	0.759653591318094	0.0927930509833935
Throt10162	0.315822033084947	0.56176590284434	0.206516590221353
Throt10163	0.992517377733753	1	0
Throt10164	0.951665849671191	1	0
Throt10165	0.0354909185809966	0	0
Throt10166	0.0354909185809966	0	0
Throt10167	0.846762119587762	0.798187856000674	0.0712417319755562
Throt10168	0.654783594498826	0.721900111907008	0.125270551191843
Throt10169	0.0354909185809966	0	0
Throt1017	-1.34399239138461	0.000199672462423384	0.994051423339282
