delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	0.679764178138352	1	0
Throt10	-0.599106515510297	0	1
Throt100	-0.233346416918691	0	0.920447822286566
Throt1000	nan	nan	nan
Throt10000	-0.0482537969555346	0	0.100982524613633
Throt10001	0.0315155276441449	0	0
Throt10002	0.275212680229804	0.627964559012939	0.00160250952754147
Throt10003	0.0478122961206761	0.0771931394169765	0
Throt10004	0.212603552520266	0.486251275505494	0.00570309538528058
Throt10005	0.0154569048741605	0	0
Throt10006	-0.000301078101676563	0	0
Throt10007	-0.000301078101676563	0	0
Throt10008	-0.000301078101676563	0	0
Throt10009	0.0154569048741605	0	0
Throt1001	0.0315155276441449	0	0
Throt10010	-0.0392534303365984	0	0.00709456139325641
Throt10011	0.063653862951221	0.097684740824687	0.0085052914021285
Throt10012	nan	nan	nan
Throt10013	-0.000301078101676563	0	0
Throt10014	nan	nan	nan
Throt10015	-0.0105608648513383	0	0
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	0.0799602310314025	0.204116365799197	0.0291505318774794
Throt1002	0.0533712552856588	0.125176254338537	0
Throt10020	0.291250200540847	0.712422173549002	1.64310350111461e-05
Throt10021	0.0439429098936722	0.0841950615532915	0
Throt10022	0.0154569048741605	0	0
Throt10023	-0.0317321807356436	0	0
Throt10024	nan	nan	nan
Throt10025	-0.0170128326332129	0	0
Throt10026	-0.0317321807356436	0	0
Throt10027	-0.000301078101676563	0	0
Throt10028	-0.000301078101676563	0	0
Throt10029	nan	nan	nan
Throt1003	0.0315155276441449	0	0
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	0.0315155276441449	0	0
Throt10034	-0.00105799447439315	0	0
Throt10035	nan	nan	nan
Throt10036	-0.00217553941549076	0	0
Throt10037	0.0640891892599637	0.157913446701105	0.01132011679831
Throt10038	-0.019963100598632	0	0
Throt10039	nan	nan	nan
Throt1004	0.173932573566237	0.386622333588798	0.0119573206809961
Throt10040	0.0799602310314025	0.204116365799197	0.0291505318774794
Throt10041	nan	nan	nan
Throt10042	0.0799602310314025	0.204116365799197	0.0291505318774794
Throt10043	0.0478122961206761	0.0771931394169765	0
Throt10044	nan	nan	nan
Throt10045	0.173932573566237	0.386622333588798	0.0119573206809961
Throt10046	0.133513465931627	0.307738301738013	0.0227733467708603
Throt10047	0.079686663230014	0.206819944325926	0.0343512551708772
Throt10048	0.0252345377004703	0	0
Throt10049	-0.0170128326332129	0	0
Throt1005	0.427953891543161	0.899554090261818	1.77780428243906e-05
Throt10050	-0.000301078101676563	0	0
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	0.0950380465310242	0.235311788984202	0.0320783804763228
Throt10055	0.194389822848632	0.363195758369962	7.88170271626012e-07
Throt10056	0.196756121540495	0.382155255075582	7.87210715484484e-07
Throt10057	0.0431509065390442	0.127560474369734	0.0469590419936399
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	0.0154569048741605	0	0
Throt10060	0.0478122961206761	0.0771931394169765	0
Throt10061	0.0640891892599637	0.157913446701105	0.01132011679831
Throt10062	nan	nan	nan
Throt10063	nan	nan	nan
Throt10064	0.121837824851395	0.282620467823196	0.027828404480265
Throt10065	0.0148862431289267	0	0
Throt10066	0.0403635375671973	0.0435102425270989	0
Throt10067	nan	nan	nan
Throt10068	0.546901148059967	1	0
Throt10069	-0.00517114677411831	0	0
Throt1007	-1.30797762202837	0	1
Throt10070	0.021462922665161	0	0
Throt10071	0.0154569048741605	0	0
Throt10072	nan	nan	nan
Throt10073	0.0154569048741605	0	0
Throt10074	-0.0170128326332129	0	0
Throt10075	0.0806386137379839	0.200060454269136	0.0341197202220454
Throt10076	0.0478122961206761	0.0771931394169765	0
Throt10077	nan	nan	nan
Throt10078	nan	nan	nan
Throt10079	0.021462922665161	0	0
Throt1008	0.0315155276441449	0	0
Throt10080	-0.000301078101676563	0	0
Throt10081	0.0664466841470332	0.174590820654588	0.0262134325156831
Throt10082	0.0799602310314025	0.204116365799197	0.0291505318774794
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	-0.000301078101676563	0	0
Throt10086	nan	nan	nan
