delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	0.679764178138352	0.420264891664566	0
Throt10	-0.599106515510297	0	8.11350484264865e-05
Throt100	-0.233346416918691	0	0
Throt1000	nan	nan	nan
Throt10000	-0.0482537969555346	0	0
Throt10001	0.0315155276441449	0	0
Throt10002	0.275212680229804	0.00674842314532644	0
Throt10003	0.0478122961206761	0	0
Throt10004	0.212603552520266	0.00287880911580185	5.99656812125975e-08
Throt10005	0.0154569048741605	0	0
Throt10006	-0.000301078101676563	0	0
Throt10007	-0.000301078101676563	0	0
Throt10008	-0.000301078101676563	0	0
Throt10009	0.0154569048741605	0	0
Throt1001	0.0315155276441449	0	0
Throt10010	-0.0392534303365984	0	0
Throt10011	0.063653862951221	0	0
Throt10012	nan	nan	nan
Throt10013	-0.000301078101676563	0	0
Throt10014	nan	nan	nan
Throt10015	-0.0105608648513383	0	0
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	0.0799602310314025	0	0
Throt1002	0.0533712552856588	0	0
Throt10020	0.291250200540847	0.000800056728634132	0
Throt10021	0.0439429098936722	0	0
Throt10022	0.0154569048741605	0	0
Throt10023	-0.0317321807356436	0	0
Throt10024	nan	nan	nan
Throt10025	-0.0170128326332129	0	0
Throt10026	-0.0317321807356436	0	0
Throt10027	-0.000301078101676563	0	0
Throt10028	-0.000301078101676563	0	0
Throt10029	nan	nan	nan
Throt1003	0.0315155276441449	0	0
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	0.0315155276441449	0	0
Throt10034	-0.00105799447439315	0	0
Throt10035	nan	nan	nan
Throt10036	-0.00217553941549076	0	0
Throt10037	0.0640891892599637	0	0
Throt10038	-0.019963100598632	0	0
Throt10039	nan	nan	nan
Throt1004	0.173932573566237	0.00175265038872681	0
Throt10040	0.0799602310314025	0	0
Throt10041	nan	nan	nan
Throt10042	0.0799602310314025	0	0
Throt10043	0.0478122961206761	0	0
Throt10044	nan	nan	nan
Throt10045	0.173932573566237	0.00175265038872681	0
Throt10046	0.133513465931627	0.000646423851207031	0
Throt10047	0.079686663230014	0	0
Throt10048	0.0252345377004703	0	0
Throt10049	-0.0170128326332129	0	0
Throt1005	0.427953891543161	0.0517781159910936	0
Throt10050	-0.000301078101676563	0	0
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	0.0950380465310242	0	0
Throt10055	0.194389822848632	0	0
Throt10056	0.196756121540495	0	0
Throt10057	0.0431509065390442	2.42319967538828e-05	1.3271886543259e-06
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	0.0154569048741605	0	0
Throt10060	0.0478122961206761	0	0
Throt10061	0.0640891892599637	0	0
Throt10062	nan	nan	nan
Throt10063	nan	nan	nan
Throt10064	0.121837824851395	0	0
Throt10065	0.0148862431289267	0	0
Throt10066	0.0403635375671973	0	0
Throt10067	nan	nan	nan
Throt10068	0.546901148059967	0	0
Throt10069	-0.00517114677411831	0	0
Throt1007	-1.30797762202837	0	1
Throt10070	0.021462922665161	0	0
Throt10071	0.0154569048741605	0	0
Throt10072	nan	nan	nan
Throt10073	0.0154569048741605	0	0
Throt10074	-0.0170128326332129	0	0
Throt10075	0.0806386137379839	0	0
Throt10076	0.0478122961206761	0	0
Throt10077	nan	nan	nan
Throt10078	nan	nan	nan
Throt10079	0.021462922665161	0	0
Throt1008	0.0315155276441449	0	0
Throt10080	-0.000301078101676563	0	0
Throt10081	0.0664466841470332	0	0
Throt10082	0.0799602310314025	0	0
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	-0.000301078101676563	0	0
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	-0.00996203116143828	0	0
Throt10089	nan	nan	nan
Throt1009	0.0640891892599637	0	0
Throt10090	-0.000301078101676563	0	0
Throt10091	nan	nan	nan
Throt10092	-0.000301078101676563	0	0
Throt10093	nan	nan	nan
Throt10094	-0.000301078101676563	0	0
Throt10095	0.0315155276441449	0	0
Throt10096	-0.000301078101676563	0	0
Throt10097	0.0478122961206761	0	0
Throt10098	nan	nan	nan
Throt10099	-0.000301078101676563	0	0
Throt101	-0.306772030656097	0	7.42894063147467e-05
Throt1010	0.114996439873436	0	0
Throt10100	-0.000301078101676563	0	0
Throt10101	0.0403635375671973	0	0
Throt10102	-0.000301078101676563	0	0
Throt10103	0.0640891892599637	0	0
Throt10104	0.0154569048741605	0	0
Throt10105	nan	nan	nan
Throt10106	nan	nan	nan
Throt10107	-0.0170128326332129	0	0
Throt10108	0.0154569048741605	0	0
Throt10109	nan	nan	nan
Throt1011	0.154490296621306	0.00121895002270295	0
Throt10110	nan	nan	nan
Throt10111	0.253412940192933	7.60439038335596e-05	0
Throt10112	nan	nan	nan
Throt10113	0.109037036124536	0	0
Throt10114	0.511307565710362	0.118654119475125	0
Throt10115	0.062752811209575	0	0
Throt10116	0.0315155276441449	0	0
Throt10117	0.305334179823241	0	0
Throt10118	0.0950380465310242	0	0
Throt10119	nan	nan	nan
Throt1012	0.186091051035949	0	0
Throt10120	nan	nan	nan
Throt10121	0.164321052417012	0.00159118736165794	0
Throt10122	nan	nan	nan
Throt10123	nan	nan	nan
Throt10124	0.0640891892599637	0	0
Throt10125	nan	nan	nan
Throt10126	nan	nan	nan
Throt10127	0.0315155276441449	0	0
Throt10128	-0.000301078101676563	0	0
Throt10129	0.383084188393407	0.0189097968965439	0
Throt1013	-0.0705983229565493	0	0
Throt10130	-0.000301078101676563	0	0
Throt10131	0.0315155276441449	0	0
Throt10132	nan	nan	nan
Throt10133	0.144299997665573	0.00103976296579908	0
Throt10134	-0.000301078101676563	0	0
Throt10135	0.154490296621306	0.00121895002270295	0
Throt10136	-0.0551327950772752	0	0
Throt10137	0.0315155276441449	0	0
Throt10138	nan	nan	nan
Throt10139	0.0127881261161475	0	0
Throt1014	0.13496306790285	0	0
Throt10140	-0.000301078101676563	0	0
Throt10141	nan	nan	nan
Throt10142	0.0328511685238887	0	0
Throt10143	nan	nan	nan
Throt10144	nan	nan	nan
Throt10145	-0.000301078101676563	0	0
Throt10146	0.0095521831381105	0	0
Throt10147	0.0154569048741605	0	0
Throt10148	0.0799602310314025	0	0
Throt10149	0.146736369517971	0.000539211283657715	0
Throt1015	-0.0652320792963995	0	0
Throt10150	0.0478122961206761	0	0
Throt10151	-0.0821131736543501	0	0
Throt10152	-0.0341283756852341	0	0
Throt10153	0.0478122961206761	0	0
Throt10154	0.116106127789171	0	0
Throt10155	0.0799602310314025	0	0
Throt10156	0.0315155276441449	0	0
Throt10157	-0.000301078101676563	0	0
Throt10158	-0.00217553941549076	0	0
Throt10159	-0.000301078101676563	0	0
Throt1016	-0.0482537969555346	0	0
Throt10160	nan	nan	nan
Throt10161	0.0799602310314025	0	0
Throt10162	0.0127881261161475	0	0
Throt10163	0.216616148574794	0	0
Throt10164	0.333632750710151	0	0
Throt10165	-0.000301078101676563	0	0
Throt10166	-0.000301078101676563	0	0
Throt10167	0.0403635375671973	0	0
Throt10168	0.0315155276441449	0	0
Throt10169	-0.000301078101676563	0	0
Throt1017	-0.175538193226988	0	0.00141808428741397
Throt10170	0.0640891892599637	0	0
Throt10171	0.0154569048741605	0	0
Throt10172	0.0950380465310242	0	0
Throt10173	0.0154569048741605	0	0
Throt10174	0.0640891892599637	0	0
Throt10175	-0.0317321807356436	0	0
Throt10176	nan	nan	nan
Throt10177	nan	nan	nan
Throt10178	-0.024540256820188	0	0
Throt10179	nan	nan	nan
Throt1018	0.0801868415211921	0	0
Throt10180	-0.000301078101676563	0	0
Throt10181	-0.00422812394675244	0	0
Throt10182	0.0315155276441449	0	0
Throt10183	-0.000301078101676563	0	0
Throt10184	-0.0317321807356436	0	0
Throt10185	-0.000301078101676563	0	0
Throt10186	nan	nan	nan
Throt10187	0.320882534233544	4.51806278753091e-06	0
Throt10188	nan	nan	nan
Throt10189	nan	nan	nan
Throt1019	0.316028136247982	0.000284545643604333	0
Throt10190	nan	nan	nan
Throt10191	0.121837824851395	0	0
Throt10192	0.133513465931627	0.000646423851207031	0
Throt10193	-0.024540256820188	0	0
Throt10194	0.0315155276441449	0	0
Throt10195	-0.000301078101676563	0	0
Throt10196	0.0478122961206761	0	0
Throt10197	nan	nan	nan
Throt10198	0.0613727408451891	0	0
Throt10199	0.0928868305873339	0	0
Throt102	-1.89825830759604	0	1
Throt1020	0.310817949985281	0.000284361991225038	0
Throt10200	-0.340621008024209	0	3.24408924398248e-05
Throt10201	0.0850177520313723	2.89011144062127e-07	0
Throt10202	nan	nan	nan
Throt10203	nan	nan	nan
Throt10204	-0.00996203116143828	0	0
