delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	0.0145285048497598	4.6190805134881e-07	0
Throt10	-1.51499076661837	0	1
Throt100	-0.352447283984674	0	1
Throt1000	nan	nan	nan
Throt10000	-0.232067120782885	0.164524308139153	0.507805549580632
Throt10001	-0.523002297250527	0.025175879406525	0.780364482785657
Throt10002	0.700138003878942	0.949709843970043	0.000691237587939433
Throt10003	0.216096485916274	0.492206102478538	0.161853576590188
Throt10004	1.25109063546135	0.997820986382932	8.0940356627308e-06
Throt10005	-0.000879764547627674	0	0
Throt10006	0.11347099736005	0.380431820834934	0.157927410314876
Throt10007	0.11347099736005	0.380431820834934	0.157927410314876
Throt10008	0.11347099736005	0.380431820834934	0.157927410314876
Throt10009	0.230043246748713	0.507385658784578	0.165803399601055
Throt1001	0.344052250269525	0.594544448121395	0.120974775566826
Throt10010	-0.10521777957337	0.14923876755564	0.363209511339994
Throt10011	0.19538544248221	0.420245420772616	0.000743759531802105
Throt10012	nan	nan	nan
Throt10013	-0.21761146545775	0.167846537954402	0.491318586835369
Throt10014	-0.232067120782885	0.164524308139153	0.507805549580632
Throt10015	-0.0659729877783046	0.0543342693215702	0.238228066328751
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	0.532715489042307	0.747532320125542	0.0496380439821695
Throt1002	0.410964686600472	0.653128220296781	0.0836365630704116
Throt10020	0.136603562796425	0.240943989890018	0.00205428096916895
Throt10021	-0.246690589196925	0.0905128515510598	0.533096200285083
Throt10022	0.230043246748713	0.507385658784578	0.165803399601055
Throt10023	-0.232067120782885	0.164524308139153	0.507805549580632
Throt10024	-0.115996201930003	0.161924569216599	0.387825930424659
Throt10025	0.11347099736005	0.380431820834934	0.157927410314876
Throt10026	nan	nan	nan
Throt10027	0.11347099736005	0.380431820834934	0.157927410314876
Throt10028	0.11347099736005	0.380431820834934	0.157927410314876
Throt10029	-0.345594941534531	0.119965234930018	0.59484738807155
Throt1003	0.105746826363631	0.368912419622091	0.150896993108552
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	0.344052250269525	0.594544448121395	0.120974775566826
Throt10034	0.155191814317848	0.428771763065573	0.151212338368838
Throt10035	-0.115996201930003	0.161924569216599	0.387825930424659
Throt10036	-0.000879764547627674	0	0
Throt10037	0.318472474414707	0.580803060070646	0.118090820834088
Throt10038	-0.000879764547627674	0	0
Throt10039	-0.115996201930003	0.161924569216599	0.387825930424659
Throt1004	1.03312408984678	0.973909105463149	0.00100022239672455
Throt10040	0.657665492606722	0.827554167817188	0.0303858833088925
Throt10041	nan	nan	nan
Throt10042	0.657665492606722	0.827554167817188	0.0303858833088925
Throt10043	0.216096485916274	0.492206102478538	0.161853576590188
Throt10044	nan	nan	nan
Throt10045	0.364952724472303	0.664612999285414	0.0478008875166264
Throt10046	0.295601871815945	0.566097859704525	0.0910554745698596
Throt10047	0.155191814317848	0.428771763065573	0.151212338368838
Throt10048	0.377980591821352	0.644784349534578	0.0852749614260532
Throt10049	-0.000775261875917376	0	0
Throt1005	1.21487110343041	0.999959767397449	0
Throt10050	-0.000775261875917376	0	0
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	0.747692308303892	0.877623285563343	0.0186839569189945
Throt10055	0.0542201284923105	0.0154408537125802	0.000217371808077279
Throt10056	0.0571986323497335	0.0174975315255034	0.000179511851017409
Throt10057	0.979997616539805	0.996078056864167	9.88340075606406e-06
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	0.230043246748713	0.507385658784578	0.165803399601055
Throt10060	0.454013987054399	0.692346002049762	0.0790681022560049
Throt10061	0.318472474414707	0.580803060070646	0.118090820834088
Throt10062	-0.232067120782885	0.164524308139153	0.507805549580632
Throt10063	nan	nan	nan
Throt10064	0.899105080085713	0.937312801526471	0.00634254088853981
Throt10065	0.532715489042307	0.747532320125542	0.0496380439821695
Throt10066	0.559159251060362	0.752426855106392	0.0509064572172454
Throt10067	nan	nan	nan
Throt10068	0.503883695480112	1	0
Throt10069	0.105746826363631	0.368912419622091	0.150896993108552
Throt1007	-1.67461059608484	0	1
Throt10070	0.200124864272754	0.480938718344739	0.162581105345664
