delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	0.111633664755301	0	0
Throt10	-2.08788664809828	0	1
Throt100	-0.236486036098029	0	0
Throt1000	-0.13678537235034	0	0.0330866604006693
Throt10000	nan	nan	nan
Throt10001	0.0234909146833348	0	0
Throt10002	0.884072740873358	0.755986771538347	0
Throt10003	0.207331927594102	0.0739893456505831	0.00214212341623647
Throt10004	0.781167677640709	0.621097448453169	9.52127573630232e-08
Throt10005	0.0912190107153843	0	0
Throt10006	0.0329700796353857	0	0
Throt10007	0.0329700796353857	0	0
Throt10008	0.0329700796353857	0	0
Throt10009	0.0912190107153843	0	0
Throt1001	0.0857798199037837	0	0
Throt10010	0.0912190107153843	0	0
Throt10011	0.0747351346842595	1.93217909913003e-06	0
Throt10012	nan	nan	nan
Throt10013	-0.0253616278952658	0	0
Throt10014	nan	nan	nan
Throt10015	-0.185884982933332	0.000218092834764019	0.0342426926017334
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	0.314592690284991	0.129806801348948	0.0013271585360936
Throt1002	0.181921133432486	0.0560300284862611	0
Throt10020	0.454952594602497	0.0508568604476144	0
Throt10021	-0.130629164435596	0	0.00737293618888887
Throt10022	-0.0294174152711415	0	0
Throt10023	-0.421452333607695	0.000439734120749311	0.212524303931754
Throt10024	nan	nan	nan
Throt10025	0.0329700796353857	0	0
Throt10026	nan	nan	nan
Throt10027	0.0329700796353857	0	0
Throt10028	0.0329700796353857	0	0
Throt10029	nan	nan	nan
Throt1003	0.150164272941948	0.0384597924889794	0
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	0.150164272941948	0.0384597924889794	0
Throt10034	-0.262751366528046	0.000261135515921773	0.0600564557612486
Throt10035	nan	nan	nan
Throt10036	0.0912190107153843	0	0
Throt10037	0.262121838575409	0.102599743256372	0.00226708977251368
Throt10038	-0.148634074918783	0	0.0339998300898196
Throt10039	nan	nan	nan
Throt1004	0.620358373875722	0.412476997891474	1.2752920947775e-05
Throt10040	0.314592690284991	0.129806801348948	0.0013271585360936
Throt10041	nan	nan	nan
Throt10042	0.314592690284991	0.129806801348948	0.0013271585360936
Throt10043	0.144883941510811	0.0310721487975001	0
Throt10044	nan	nan	nan
Throt10045	0.195053914918799	0.0440637944764497	0.000571334758144178
Throt10046	0.10046962137104	0	0
Throt10047	0.276321284661007	0.0992046090048047	0.00134441372768482
Throt10048	0.364240964546629	0.157619080652499	0.000848171070114267
Throt10049	0.0329700796353857	0	0
Throt1005	1.04141970988501	0.926600721276949	0
Throt10050	0.0329700796353857	0	0
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	0.364240964546629	0.157619080652499	0.000848171070114267
Throt10055	1.15255283432715	0.999965407868263	0
Throt10056	1.16706703342548	0.999978444349737	0
Throt10057	0.628783258370125	0.389997703210186	0
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	0.0912190107153843	0	0
Throt10060	0.207331927594102	0.0739893456505831	0.00214212341623647
Throt10061	0.262121838575409	0.102599743256372	0.00226708977251368
Throt10062	nan	nan	nan
Throt10063	nan	nan	nan
Throt10064	0.452530495963425	0.242946535914622	0.000273642361676817
Throt10065	0.314592690284991	0.129806801348948	0.0013271585360936
Throt10066	0.262121838575409	0.102599743256372	0.00226708977251368
Throt10067	nan	nan	nan
Throt10068	1.17658965180279	1	0
Throt10069	-0.351098171621584	0.000276856310168911	0.129732328245659
Throt1007	-1.83397519022127	0	1
Throt10070	0.0611303509324438	0	0
Throt10071	0.0912190107153843	0	0
Throt10072	nan	nan	nan
Throt10073	0.0912190107153843	0	0
Throt10074	0.0329700796353857	0	0
Throt10075	0.180646766929754	0.0404943737609561	0.000151978481181971
Throt10076	0.207331927594102	0.0739893456505831	0.00214212341623647
Throt10077	nan	nan	nan
Throt10078	-0.079199421555583	0	0
Throt10079	0.262121838575409	0.102599743256372	0.00226708977251368
Throt1008	0.0234909146833348	0	0
Throt10080	0.0329700796353857	0	0
Throt10081	0.364240964546629	0.157619080652499	0.000848171070114267
Throt10082	0.314592690284991	0.129806801348948	0.0013271585360936
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	0.0329700796353857	0	0
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	-1.04096979852676	0	0.908783069605397
Throt10089	nan	nan	nan
Throt1009	0.262121838575409	0.102599743256372	0.00226708977251368
Throt10090	-0.0253616278952658	0	0
Throt10091	nan	nan	nan
Throt10092	0.0329700796353857	0	0
Throt10093	nan	nan	nan
Throt10094	0.0329700796353857	0	0
Throt10095	0.0234909146833348	0	0
Throt10096	-0.141386956693275	0	0.0331672670203492
Throt10097	0.207331927594102	0.0739893456505831	0.00214212341623647
Throt10098	nan	nan	nan
Throt10099	0.0329700796353857	0	0
Throt101	-1.88422476737411	0	1
Throt1010	0.509331742599342	0.263256704221439	1.75426404247054e-05
Throt10100	0.0329700796353857	0	0
Throt10101	-0.0545492876874933	0	0
Throt10102	-0.0825557609277236	0	0
Throt10103	0.262121838575409	0.102599743256372	0.00226708977251368
Throt10104	0.0912190107153843	0	0
Throt10105	nan	nan	nan
Throt10106	nan	nan	nan
Throt10107	-0.0825557609277236	0	0
Throt10108	0.0912190107153843	0	0
Throt10109	nan	nan	nan
Throt1011	0.559265355971447	0.33396904271561	3.91050748358432e-05
Throt10110	nan	nan	nan
Throt10111	0.0773203993728917	0	0
Throt10112	nan	nan	nan
Throt10113	0.276321284661007	0.0992046090048047	0.00134441372768482
Throt10114	1.27680225058872	0.994840949499591	0
Throt10115	-0.186870361168337	0	0
Throt10116	0.0234909146833348	0	0
Throt10117	1.32787319348663	1	0
Throt10118	0.232390028894566	0.0814542708642381	0.00201509825008365
Throt10119	nan	nan	nan
Throt1012	0.822149301357803	0.957703895621588	0
Throt10120	nan	nan	nan
Throt10121	0.520649869961174	0.280194617259855	5.69541171306509e-05
Throt10122	-0.252430229209267	0.00267747505097265	0.0940980108311588
Throt10123	nan	nan	nan
Throt10124	0.262121838575409	0.102599743256372	0.00226708977251368
Throt10125	nan	nan	nan
Throt10126	nan	nan	nan
Throt10127	-0.0355719217560338	0	0
Throt10128	-0.0825557609277236	0	0
Throt10129	0.801900272765074	0.69693526954523	0
Throt1013	0.10046962137104	0	0
Throt10130	0.0329700796353857	0	0
Throt10131	0.0234909146833348	0	0
Throt10132	nan	nan	nan
Throt10133	0.455743429952065	0.225891483475828	0.000142678216926809
Throt10134	-0.0253616278952658	0	0
Throt10135	0.559265355971447	0.33396904271561	3.91050748358432e-05
Throt10136	0.520649869961174	0.280194617259855	5.69541171306509e-05
Throt10137	0.150164272941948	0.0384597924889794	0
Throt10138	nan	nan	nan
Throt10139	0.150164272941948	0.0384597924889794	0
Throt1014	0.194493182621011	0	0
Throt10140	0.0329700796353857	0	0
Throt10141	nan	nan	nan
Throt10142	-0.217937493307836	0.000735333433811977	0.0514388577684265
Throt10143	nan	nan	nan
Throt10144	nan	nan	nan
Throt10145	-0.0253616278952658	0	0
Throt10146	0.118956663312179	0.00539124614602989	0
Throt10147	0.0912190107153843	0	0
Throt10148	0.314592690284991	0.129806801348948	0.0013271585360936
Throt10149	0.864590500389171	0.723367216971114	0
Throt1015	-0.0545492876874933	0	0
Throt10150	0.207331927594102	0.0739893456505831	0.00214212341623647
Throt10151	-0.24254607622111	2.49415588602361e-05	0.0241189479498775
Throt10152	0.0329700796353857	0	0
Throt10153	0.207331927594102	0.0739893456505831	0.00214212341623647
Throt10154	0.075201153184392	0	0
Throt10155	0.314592690284991	0.129806801348948	0.0013271585360936
Throt10156	0.150164272941948	0.0384597924889794	0
Throt10157	-0.199054602747015	0.0020626571346943	0.0656490772381881
Throt10158	0.0912190107153843	0	0
Throt10159	0.0329700796353857	0	0
Throt1016	nan	nan	nan
Throt10160	-0.309819215707403	0.00140703152829009	0.126016612978962
Throt10161	0.251681313962607	0.0961929149590868	0.002254609249603
Throt10162	0.150164272941948	0.0384597924889794	0
Throt10163	0.216067030203376	0	0
Throt10164	0.197327437179229	0	0
Throt10165	0.0329700796353857	0	0
Throt10166	0.0329700796353857	0	0
Throt10167	0.200250585889632	0.0681098293700455	0.00131608957223877
Throt10168	0.150164272941948	0.0384597924889794	0
Throt10169	0.0329700796353857	0	0
Throt1017	-0.211668798357328	0.00114181020206613	0.056970792873171
Throt10170	0.262121838575409	0.102599743256372	0.00226708977251368
Throt10171	0.0912190107153843	0	0
Throt10172	0.364240964546629	0.157619080652499	0.000848171070114267
Throt10173	0.0912190107153843	0	0
Throt10174	0.262121838575409	0.102599743256372	0.00226708977251368
Throt10175	nan	nan	nan
Throt10176	nan	nan	nan
Throt10177	nan	nan	nan
Throt10178	0.0234909146833348	0	0
Throt10179	nan	nan	nan
Throt1018	-0.431232417193773	6.46599226164167e-06	0.163477484509678
Throt10180	0.0329700796353857	0	0
Throt10181	-0.123032665213474	0	0
Throt10182	-0.155400823231867	0	0.0357585316196764
Throt10183	-0.0253616278952658	0	0
Throt10184	nan	nan	nan
Throt10185	-0.0825557609277236	0	0
Throt10186	nan	nan	nan
Throt10187	0.693922699694656	0.49966037289693	0
