delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	0.873826001133454	1	0
Throt10	1.57287197524668	1	0
Throt100	-0.0455970918652797	0	0
Throt1000	0.314313557058978	0.565918121266576	0.168460435674671
Throt10000	-0.0102793787063438	0	0
Throt10001	0.146097752734928	0.430324753478627	0.194373838902459
Throt10002	-0.267266032511491	0.163839401818983	0.538075831295401
Throt10003	0.150080942088239	0.434795265979026	0.197787852458102
Throt10004	-0.00934252822083618	0	0
Throt10005	-0.00934252822083618	0	0
Throt10006	nan	nan	nan
Throt10007	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10008	0.150080942088239	0.434795265979026	0.197787852458102
Throt10009	nan	nan	nan
Throt1001	-0.302759533134852	0.166780521855061	0.55468008865551
Throt10010	-0.488891067223366	0.100776225675566	0.676859688251393
Throt10011	-0.485753401177196	0.000177523615860712	0.906454726579436
Throt10012	nan	nan	nan
Throt10013	nan	nan	nan
Throt10014	0.150080942088239	0.434795265979026	0.197787852458102
Throt10015	-0.564065384987922	0.0444581075933971	0.767246609204728
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	nan	nan	nan
Throt1002	-0.64810982013755	0.043472895373972	0.810789774770358
Throt10020	-0.0855207098829773	0.0875138981955434	0.273582991176519
Throt10021	0.27480874351049	0.538985662560163	0.168455131271104
Throt10022	-0.330750079402646	0.163333381828067	0.578048071036502
Throt10023	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10024	nan	nan	nan
Throt10025	nan	nan	nan
Throt10026	nan	nan	nan
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	-0.488891067223366	0.100776225675566	0.676859688251393
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	nan	nan	nan
Throt10034	0.13840625568521	0.424636698663897	0.187128804576086
Throt10035	nan	nan	nan
Throt10036	nan	nan	nan
Throt10037	0.626321355696398	0.759245663109469	0.0626876748611513
Throt10038	nan	nan	nan
Throt10039	nan	nan	nan
Throt1004	nan	nan	nan
Throt10040	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	0.150080942088239	0.434795265979026	0.197787852458102
Throt10044	nan	nan	nan
Throt10045	-0.302759533134852	0.166780521855061	0.55468008865551
Throt10046	-0.488891067223366	0.100776225675566	0.676859688251393
Throt10047	-0.162692785921217	0.197924948824925	0.44833333773704
Throt10048	-0.0102793787063438	0	0
Throt10049	nan	nan	nan
Throt1005	2.24770191126449	1	0
Throt10050	nan	nan	nan
Throt10051	0.150080942088239	0.434795265979026	0.197787852458102
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	nan	nan	nan
Throt10055	-0.870681865762206	0	0.999989969658003
Throt10056	-0.920656560873332	0	0.999997286500327
Throt10057	0.863503520659213	0.878269673385494	0.0206121709258141
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	0.150080942088239	0.434795265979026	0.197787852458102
Throt10061	nan	nan	nan
Throt10062	nan	nan	nan
Throt10063	nan	nan	nan
Throt10064	nan	nan	nan
Throt10065	0.472820690496023	0.672988403098444	0.1090158091392
Throt10066	0.150080942088239	0.434795265979026	0.197787852458102
Throt10067	nan	nan	nan
Throt10068	-0.564940114443959	0	1
Throt10069	-0.150917749948767	0.197781739566105	0.43292109147829
Throt1007	0.370620681055864	0.999883723266982	0
Throt10070	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10071	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10072	nan	nan	nan
Throt10073	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10074	nan	nan	nan
Throt10075	0.46152553833595	0.65946872443356	0.113421805752016
Throt10076	nan	nan	nan
Throt10077	nan	nan	nan
Throt10078	nan	nan	nan
Throt10079	nan	nan	nan
Throt1008	-0.00934252822083618	0	0
Throt10080	nan	nan	nan
Throt10081	nan	nan	nan
Throt10082	nan	nan	nan
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	1.30863360476424	0.995210522813218	9.05877520878041e-05
Throt10089	nan	nan	nan
Throt1009	-0.791506657995873	0.0345631698955796	0.84768948667614
Throt10090	nan	nan	nan
Throt10091	nan	nan	nan
Throt10092	nan	nan	nan
Throt10093	nan	nan	nan
Throt10094	nan	nan	nan
Throt10095	-0.330750079402646	0.163333381828067	0.578048071036502
Throt10096	0.150080942088239	0.434795265979026	0.197787852458102
Throt10097	nan	nan	nan
Throt10098	nan	nan	nan
Throt10099	0.472820690496023	0.672988403098444	0.1090158091392
Throt101	0.948369076211303	1	0
Throt1010	nan	nan	nan
Throt10100	0.314313557058978	0.565918121266576	0.168460435674671
Throt10101	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10102	nan	nan	nan
Throt10103	nan	nan	nan
Throt10104	nan	nan	nan
Throt10105	nan	nan	nan
Throt10106	nan	nan	nan
Throt10107	0.314313557058978	0.565918121266576	0.168460435674671
Throt10108	nan	nan	nan
Throt10109	-0.488891067223366	0.100776225675566	0.676859688251393
Throt1011	0.307891024863936	0.557674547205805	0.172302169829844
Throt10110	nan	nan	nan
Throt10111	-0.445083987199822	4.41414732805668e-05	0.897149075594905
Throt10112	nan	nan	nan
Throt10113	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10114	-0.330750079402646	0.163333381828067	0.578048071036502
Throt10115	-0.297243178078979	1.34318500560268e-05	0.727132157879631
Throt10116	nan	nan	nan
Throt10117	-1.02757955452973	0	1
Throt10118	-0.330750079402646	0.163333381828067	0.578048071036502
Throt10119	nan	nan	nan
Throt1012	-0.816307780880751	0	1
Throt10120	nan	nan	nan
Throt10121	0.150080942088239	0.434795265979026	0.197787852458102
Throt10122	nan	nan	nan
Throt10123	0.150080942088239	0.434795265979026	0.197787852458102
Throt10124	nan	nan	nan
Throt10125	nan	nan	nan
Throt10126	nan	nan	nan
Throt10127	nan	nan	nan
Throt10128	nan	nan	nan
Throt10129	-0.370652183181095	0.0268262639277281	0.676791870667185
Throt1013	-0.472969237711277	0.0735016762899478	0.706820935305074
Throt10130	0.150080942088239	0.434795265979026	0.197787852458102
Throt10131	nan	nan	nan
Throt10132	nan	nan	nan
Throt10133	nan	nan	nan
Throt10134	nan	nan	nan
Throt10135	-0.302759533134852	0.166780521855061	0.55468008865551
Throt10136	-0.140424237372712	0.128944030406368	0.399014101576444
Throt10137	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10138	nan	nan	nan
Throt10139	0.150080942088239	0.434795265979026	0.197787852458102
Throt1014	-0.536679253808638	0	0.999976005318715
Throt10140	nan	nan	nan
Throt10141	0.314313557058978	0.565918121266576	0.168460435674671
Throt10142	-0.374260050098052	0.114562535584464	0.616013842758731
Throt10143	nan	nan	nan
Throt10144	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10145	nan	nan	nan
Throt10146	-0.488891067223366	0.100776225675566	0.676859688251393
Throt10147	nan	nan	nan
Throt10148	nan	nan	nan
Throt10149	0.360118706786793	0.6007610232702	0.123643018622157
Throt1015	-0.302759533134852	0.166780521855061	0.55468008865551
Throt10150	-0.330750079402646	0.163333381828067	0.578048071036502
Throt10151	-0.312761669804115	0.0586681401684776	0.596572290998619
Throt10152	nan	nan	nan
Throt10153	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10154	-0.462103472945346	0.0514645941706055	0.721436231289769
Throt10155	nan	nan	nan
Throt10156	nan	nan	nan
Throt10157	nan	nan	nan
Throt10158	nan	nan	nan
Throt10159	nan	nan	nan
Throt1016	nan	nan	nan
Throt10160	nan	nan	nan
Throt10161	-0.00934252822083618	0	0
Throt10162	0.150080942088239	0.434795265979026	0.197787852458102
Throt10163	-0.308971764895235	0	0.955590899141059
Throt10164	-0.143902501757057	0	0.00031888101776588
Throt10165	nan	nan	nan
Throt10166	nan	nan	nan
Throt10167	-0.330750079402646	0.163333381828067	0.578048071036502
Throt10168	nan	nan	nan
Throt10169	0.314313557058978	0.565918121266576	0.168460435674671
Throt1017	0.686100656121365	0.812193074687664	0.0431298365820729
Throt10170	nan	nan	nan
Throt10171	nan	nan	nan
Throt10172	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10173	0.150080942088239	0.434795265979026	0.197787852458102
Throt10174	0.314313557058978	0.565918121266576	0.168460435674671
Throt10175	-0.0102793787063438	0	0
Throt10176	nan	nan	nan
Throt10177	nan	nan	nan
Throt10178	0.472820690496023	0.672988403098444	0.1090158091392
Throt10179	nan	nan	nan
Throt1018	-0.0134409836938632	0	0
Throt10180	0.150080942088239	0.434795265979026	0.197787852458102
Throt10181	0.150080942088239	0.434795265979026	0.197787852458102
Throt10182	-0.150917749948767	0.197781739566105	0.43292109147829
Throt10183	0.314313557058978	0.565918121266576	0.168460435674671
Throt10184	nan	nan	nan
Throt10185	nan	nan	nan
Throt10186	nan	nan	nan
Throt10187	-0.995834272703387	0	1
Throt10188	nan	nan	nan
Throt10189	nan	nan	nan
Throt1019	-0.552611206352579	0.000362488961418941	0.923065579040033
Throt10190	nan	nan	nan
Throt10191	-0.330750079402646	0.163333381828067	0.578048071036502
Throt10192	0.606426158729359	0.757410573366687	0.0669916678125074
Throt10193	-0.267266032511491	0.163839401818983	0.538075831295401
Throt10194	nan	nan	nan
Throt10195	0.150080942088239	0.434795265979026	0.197787852458102
Throt10196	nan	nan	nan
Throt10197	0.150080942088239	0.434795265979026	0.197787852458102
Throt10198	-0.283264533828915	0.000167345107901299	0.656492682396633
Throt10199	-0.330750079402646	0.163333381828067	0.578048071036502
Throt102	0.823013077447158	1	0
Throt1020	-0.900025817822818	2.63723683385829e-05	0.991625652388383
Throt10200	-0.968113596288458	0	1
Throt10201	-0.859414213670212	3.19316774916314e-06	0.995241828346344
Throt10202	nan	nan	nan
Throt10203	nan	nan	nan
Throt10204	0.146097752734928	0.430324753478627	0.194373838902459
Throt10205	nan	nan	nan
Throt10206	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10207	-0.00934252822083618	0	0
Throt10208	-0.52545894190747	0	1
Throt10209	nan	nan	nan
Throt1021	-0.856306383195233	0.000613704046380477	0.969202863674301
Throt10210	nan	nan	nan
Throt10211	nan	nan	nan
Throt10212	nan	nan	nan
Throt10213	nan	nan	nan
Throt10214	0.150080942088239	0.434795265979026	0.197787852458102
Throt10215	-0.162692785921217	0.197924948824925	0.44833333773704
Throt10216	nan	nan	nan
Throt10217	nan	nan	nan
Throt10218	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10219	0.150080942088239	0.434795265979026	0.197787852458102
Throt1022	-0.330462167400218	0	0.972198226846173
Throt10220	nan	nan	nan
Throt10221	nan	nan	nan
Throt10222	0.150080942088239	0.434795265979026	0.197787852458102
Throt10223	nan	nan	nan
Throt10224	0.150080942088239	0.434795265979026	0.197787852458102
Throt10225	nan	nan	nan
Throt10226	nan	nan	nan
Throt10227	0.150080942088239	0.434795265979026	0.197787852458102
Throt10228	-0.169233118762809	0.202885401818822	0.458717121359951
Throt10229	nan	nan	nan
Throt1023	0.150080942088239	0.434795265979026	0.197787852458102
Throt10230	nan	nan	nan
Throt10231	nan	nan	nan
Throt10232	nan	nan	nan
Throt10233	nan	nan	nan
Throt10234	nan	nan	nan
Throt10235	nan	nan	nan
Throt10236	0.150080942088239	0.434795265979026	0.197787852458102
Throt10237	nan	nan	nan
Throt10238	0.150080942088239	0.434795265979026	0.197787852458102
Throt10239	nan	nan	nan
Throt1024	0.314313557058978	0.565918121266576	0.168460435674671
Throt10240	nan	nan	nan
Throt10241	0.150080942088239	0.434795265979026	0.197787852458102
Throt10242	nan	nan	nan
Throt10243	0.472820690496023	0.672988403098444	0.1090158091392
