delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	0.438534956307633	3.18252049060117e-06	0
Throt10	0.70615131797016	0.863861440069684	0
Throt100	-0.0267368282467182	0	0
Throt1000	0.229986528583893	0.152635035702852	0.0158351720414643
Throt10000	nan	nan	nan
Throt10001	-0.134224042044546	0	0.0571212724689223
Throt10002	-0.31829153164177	0.00880255379819249	0.192382621085706
Throt10003	-0.179100837417622	0	0.102539711339275
Throt10004	-0.709008912774994	0.00017447779644116	0.520817394866572
Throt10005	-0.0748006231710994	0	0
Throt10006	-0.0748006231710994	0	0
Throt10007	nan	nan	nan
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	0.0293233496553107	0	0
Throt10010	-0.379141777895993	0.00842566212554611	0.242846020897947
Throt10011	0.79511010499425	0.711053752715098	0
Throt10012	nan	nan	nan
Throt10013	0.0293233496553107	0	0
Throt10014	nan	nan	nan
Throt10015	0.5776783458765	0.39211187192024	0.000441533901931841
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	nan	nan	nan
Throt1002	-0.202036458108926	0.0116311342875874	0.113385755106629
Throt10020	0.736935241167819	0.580819606152692	0
Throt10021	0.789438780865334	0.598789304823202	0.000324398740247351
Throt10022	0.0334664016002475	0	0
Throt10023	0.397031341489603	0.234908594883167	0.00423052620891775
Throt10024	-0.28129546005629	0.0143761991610988	0.183420773810138
Throt10025	-0.28129546005629	0.0143761991610988	0.183420773810138
Throt10026	-0.0748006231710994	0	0
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	-0.179100837417622	0	0.102539711339275
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	nan	nan	nan
Throt10034	0.474163890850487	0.262815779654558	0.000677247067490818
Throt10035	nan	nan	nan
Throt10036	-0.0748006231710994	0	0
Throt10037	-0.179100837417622	0	0.102539711339275
Throt10038	0.227941135785744	0.144758189621044	0.0139208529244466
Throt10039	-0.0748006231710994	0	0
Throt1004	-0.0748006231710994	0	0
Throt10040	-0.0748006231710994	0	0
Throt10041	nan	nan	nan
Throt10042	-0.179100837417622	0	0.102539711339275
Throt10043	0.127657906243744	0.0359986643639238	0
Throt10044	nan	nan	nan
Throt10045	0.397031341489603	0.234908594883167	0.00423052620891775
Throt10046	0.413142983034081	0.251745658414916	0.00553489846293736
Throt10047	0.229986528583893	0.152635035702852	0.0158351720414643
Throt10048	-0.179100837417622	0	0.102539711339275
Throt10049	-0.0748006231710994	0	0
Throt1005	0.323473273015396	0.197589637661819	0.00976125221932045
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	nan	nan	nan
Throt10055	-0.748735222369239	0	0.65656287006157
Throt10056	-0.777479730631777	0	0.727774969822885
Throt10057	0.380918403386549	0.218125977457326	0.00363896085669666
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	-0.0748006231710994	0	0
Throt10062	-0.0748006231710994	0	0
Throt10063	nan	nan	nan
Throt10064	-0.0748006231710994	0	0
Throt10065	-0.0748006231710994	0	0
Throt10066	nan	nan	nan
Throt10067	nan	nan	nan
Throt10068	0.421160515246683	0	0
Throt10069	0.542601008864495	0.357227056054056	0.00103655404180674
Throt1007	0.878839896854986	1	0
Throt10070	0.0397004400840413	0	0
Throt10071	nan	nan	nan
Throt10072	nan	nan	nan
Throt10073	nan	nan	nan
Throt10074	nan	nan	nan
Throt10075	0.413142983034081	0.251745658414916	0.00553489846293736
Throt10076	-0.28129546005629	0.0143761991610988	0.183420773810138
Throt10077	nan	nan	nan
Throt10078	0.127657906243744	0.0359986643639238	0
Throt10079	-0.28129546005629	0.0143761991610988	0.183420773810138
Throt1008	0.0334664016002475	0	0
Throt10080	nan	nan	nan
Throt10081	-0.379141777895993	0.00842566212554611	0.242846020897947
Throt10082	-0.28129546005629	0.0143761991610988	0.183420773810138
