delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	0.379985680101994	0.993497263139393	0
Throt10	1.11374357144284	1	0
Throt100	-0.131106646198032	0	0
Throt1000	0.0174629848904464	0	0
Throt10000	nan	nan	nan
Throt10001	0.0174629848904464	0	0
Throt10002	-0.024640051821615	0	0
Throt10003	-0.0232015143906348	0	0
Throt10004	0.00400115558695475	0	0
Throt10005	-0.0372379557106562	0	0.00953617169314035
Throt10006	nan	nan	nan
Throt10007	nan	nan	nan
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	-0.024640051821615	0	0
Throt10010	-0.0792391448875607	0.0283138103757398	0.191532845518667
Throt10011	0.0952734308247725	0.147203200243066	0.00493054773738323
Throt10012	nan	nan	nan
Throt10013	-0.0102898857686256	0	0
Throt10014	nan	nan	nan
Throt10015	-0.00810424987738527	0	0
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	-0.0232015143906348	0	0
Throt10019	nan	nan	nan
Throt1002	-0.10739105804679	0.0202284442343796	0.237690652008474
Throt10020	-0.199447167535933	0.000410507689441299	0.419617902572226
Throt10021	-0.0242887067709465	0	0
Throt10022	0.0174629848904464	0	0
Throt10023	0.0837890775991122	0.196102067697793	0.0246267685483748
Throt10024	-0.0232015143906348	0	0
Throt10025	nan	nan	nan
Throt10026	nan	nan	nan
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	-0.0792391448875607	0.0283138103757398	0.191532845518667
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	nan	nan	nan
Throt10034	0.0813816201850075	0.188163544071555	0.0246199344714894
Throt10035	nan	nan	nan
Throt10036	nan	nan	nan
Throt10037	nan	nan	nan
Throt10038	0.0446205591181975	0.0552238011023334	0
Throt10039	nan	nan	nan
Throt1004	nan	nan	nan
Throt10040	nan	nan	nan
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	0.00400115558695475	0	0
Throt10044	nan	nan	nan
Throt10045	0.0627791383774922	0.147054712835919	0.0152645276538341
Throt10046	0.0512842212443861	0.105921159484416	0
Throt10047	0.002690237580364	0	0
Throt10048	-0.0372379557106562	0	0.00953617169314035
Throt10049	nan	nan	nan
Throt1005	0.023835183035249	0	0
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	-0.0511103657779385	0	0.105140299670519
Throt10055	-0.734141808361829	0	0.999999401096817
Throt10056	-0.725653667774325	0	0.999998861299981
Throt10057	0.0556717539374883	0.1240530370401	0.00514008183475916
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	-0.0372379557106562	0	0.00953617169314035
Throt10062	-0.0232015143906348	0	0
Throt10063	-0.0232015143906348	0	0
Throt10064	-0.0232015143906348	0	0
Throt10065	nan	nan	nan
Throt10066	nan	nan	nan
Throt10067	nan	nan	nan
Throt10068	-0.631291194865013	0	1
Throt10069	0.0666544146320305	0.156977978302647	0.020362695367095
Throt1007	-0.51094378010968	0	1
Throt10070	0.0310172708835219	0	0
Throt10071	nan	nan	nan
Throt10072	nan	nan	nan
Throt10073	nan	nan	nan
Throt10074	nan	nan	nan
Throt10075	-0.012661796337917	0	0
Throt10076	nan	nan	nan
Throt10077	nan	nan	nan
Throt10078	0.00400115558695475	0	0
Throt10079	-0.0232015143906348	0	0
Throt1008	-0.0274252027754525	0	0
Throt10080	-0.0232015143906348	0	0
Throt10081	-0.0372379557106562	0	0.00953617169314035
Throt10082	nan	nan	nan
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	0.290397604635139	0.66139690824772	0.000418413718232196
Throt10089	nan	nan	nan
Throt1009	-0.0232015143906348	0	0
Throt10090	0.00400115558695475	0	0
Throt10091	nan	nan	nan
Throt10092	nan	nan	nan
Throt10093	nan	nan	nan
Throt10094	nan	nan	nan
Throt10095	0.002690237580364	0	0
Throt10096	0.0310172708835219	0	0
Throt10097	nan	nan	nan
Throt10098	nan	nan	nan
Throt10099	nan	nan	nan
Throt101	0.300941771822486	0.905142050390993	0
Throt1010	0.0155518692231151	0	0
Throt10100	nan	nan	nan
Throt10101	-0.0244189184809916	0	0
Throt10102	0.0174629848904464	0	0
Throt10103	-0.0232015143906348	0	0
Throt10104	nan	nan	nan
Throt10105	-0.0372379557106562	0	0.00953617169314035
Throt10106	nan	nan	nan
Throt10107	0.0174629848904464	0	0
Throt10108	nan	nan	nan
Throt10109	nan	nan	nan
Throt1011	-0.0232015143906348	0	0
Throt10110	nan	nan	nan
Throt10111	-0.0111428618227683	0.0179816417484644	0.0274958813460451
Throt10112	nan	nan	nan
Throt10113	0.0174629848904464	0	0
Throt10114	0.0126527200748387	0	0
Throt10115	0.266816541766035	0.675117536650656	0
Throt10116	0.0174629848904464	0	0
Throt10117	-0.943407502094367	0	1
Throt10118	0.002690237580364	0	0
Throt10119	nan	nan	nan
Throt1012	-0.615413460897766	0	1
Throt10120	nan	nan	nan
Throt10121	0.00400115558695475	0	0
Throt10122	0.0446205591181975	0.0552238011023334	0
Throt10123	nan	nan	nan
Throt10124	nan	nan	nan
Throt10125	nan	nan	nan
Throt10126	nan	nan	nan
Throt10127	0.0310172708835219	0	0
Throt10128	0.0174629848904464	0	0
Throt10129	-0.130409823715453	0.00894363631898861	0.269379923695527
Throt1013	0.00371587352974605	0	0
Throt10130	nan	nan	nan
Throt10131	0.0174629848904464	0	0
Throt10132	nan	nan	nan
Throt10133	0.00400115558695475	0	0
Throt10134	0.00400115558695475	0	0
Throt10135	-0.0511103657779385	0	0.105140299670519
Throt10136	-0.131112142383721	0.0151370433940908	0.288717512569046
Throt10137	nan	nan	nan
Throt10138	nan	nan	nan
Throt10139	nan	nan	nan
Throt1014	0.00537546393784361	0.000348079608812402	0.00016367610665974
Throt10140	-0.0232015143906348	0	0
Throt10141	nan	nan	nan
Throt10142	0.0857206306212225	0.201117685824572	0.025879308636377
Throt10143	nan	nan	nan
Throt10144	nan	nan	nan
Throt10145	0.00400115558695475	0	0
Throt10146	-0.0244189184809916	0	0
Throt10147	-0.0232015143906348	0	0
Throt10148	nan	nan	nan
Throt10149	-0.0705883659854946	0.0210926264683781	0.166878634153473
Throt1015	-0.00738875026353802	0	0
Throt10150	nan	nan	nan
Throt10151	0.0456350551164295	0.126428593827708	0.0384483153611514
Throt10152	nan	nan	nan
Throt10153	-0.0232015143906348	0	0
Throt10154	-0.00230223238413172	0	0
Throt10155	nan	nan	nan
Throt10156	nan	nan	nan
Throt10157	0.0446205591181975	0.0552238011023334	0
Throt10158	nan	nan	nan
Throt10159	nan	nan	nan
Throt1016	nan	nan	nan
Throt10160	0.0581127261785861	0.125435339068432	0
Throt10161	-0.024640051821615	0	0
Throt10162	-0.0232015143906348	0	0
Throt10163	0.221731896999706	0.479662431633335	0
Throt10164	0.329882674096215	1	0
Throt10165	nan	nan	nan
Throt10166	nan	nan	nan
Throt10167	-0.0395514132420928	0	0.0256451356051855
Throt10168	nan	nan	nan
Throt10169	nan	nan	nan
Throt1017	-0.0015459330169407	0	0
Throt10170	-0.0232015143906348	0	0
Throt10171	nan	nan	nan
Throt10172	-0.0372379557106562	0	0.00953617169314035
Throt10173	nan	nan	nan
Throt10174	-0.0232015143906348	0	0
Throt10175	nan	nan	nan
Throt10176	nan	nan	nan
Throt10177	nan	nan	nan
Throt10178	0.0174629848904464	0	0
Throt10179	nan	nan	nan
Throt1018	0.150156840792568	0.326205057250194	0.00942124742085643
Throt10180	nan	nan	nan
Throt10181	0.0627791383774922	0.147054712835919	0.0152645276538341
Throt10182	0.0397293500854886	0.0315693699952783	0
Throt10183	0.00400115558695475	0	0
Throt10184	-0.0232015143906348	0	0
Throt10185	0.0174629848904464	0	0
Throt10186	nan	nan	nan
Throt10187	-0.58735909201603	0	0.999985296128092
Throt10188	nan	nan	nan
Throt10189	nan	nan	nan
Throt1019	-0.133364957142846	0.00469193355640072	0.255645980093724
Throt10190	nan	nan	nan
Throt10191	0.00400115558695475	0	0
Throt10192	0.0742898406145448	0.174097263893208	0.0235930082029345
Throt10193	-0.0395514132420928	0	0.0256451356051855
Throt10194	nan	nan	nan
Throt10195	nan	nan	nan
Throt10196	nan	nan	nan
Throt10197	nan	nan	nan
