delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	0.112445393283249	0	0
Throt10	0.197006477492732	0	0
Throt100	-0.029819319821922	0	0
Throt1000	-0.131660593243167	0	0.0305792325637498
Throt10000	nan	nan	nan
Throt10001	-0.215288636006776	0.00698294986242562	0.1094912214976
Throt10002	-0.293427726355573	0.00692397101843937	0.161179169123481
Throt10003	-0.206976624663694	0.00986471990206237	0.119838639106613
Throt10004	-0.773139800946263	3.39090545738051e-05	0.58047298290984
Throt10005	-0.118470196087167	0	0.0175451324718535
Throt10006	nan	nan	nan
Throt10007	nan	nan	nan
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	-0.371956987894738	0.00353556680840696	0.208744957387142
Throt10010	-0.629152293047875	0.000697749242856206	0.427961029017712
Throt10011	0.330627745740248	0.0190297678161294	0
Throt10012	nan	nan	nan
Throt10013	-0.0367400368633924	0	0
Throt10014	-0.118470196087167	0	0.0175451324718535
Throt10015	0.456012464581348	0.259064010605654	0.000850971725086418
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	-0.118470196087167	0	0.0175451324718535
Throt10019	-0.118470196087167	0	0.0175451324718535
Throt1002	-0.431587731624945	0.00136331921738822	0.247688114816723
Throt10020	0.525947073540189	0.214463807532361	0
Throt10021	0.505755396886209	0.31158756132192	0.00146347398588442
Throt10022	0.0460889505626214	0	0
Throt10023	0.243686299030795	0.123681588957104	0.00633732143488929
Throt10024	nan	nan	nan
Throt10025	nan	nan	nan
Throt10026	nan	nan	nan
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	-0.206976624663694	0.00986471990206237	0.119838639106613
Throt10030	nan	nan	nan
Throt10031	-0.118470196087167	0	0.0175451324718535
Throt10032	nan	nan	nan
Throt10033	-0.118470196087167	0	0.0175451324718535
Throt10034	0.248926624497723	0.102063331015698	0.00291400702297861
Throt10035	nan	nan	nan
Throt10036	-0.206976624663694	0.00986471990206237	0.119838639106613
Throt10037	nan	nan	nan
Throt10038	0.221809149291553	0.124402489063153	0.00761848546056228
Throt10039	-0.118470196087167	0	0.0175451324718535
Throt1004	nan	nan	nan
Throt10040	-0.118470196087167	0	0.0175451324718535
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	0.0515249044804353	0	0
Throt10044	nan	nan	nan
Throt10045	-0.286471263719052	0.00133441155893837	0.10782133449932
Throt10046	-0.28725954549645	0.00170087822518522	0.113521428867208
Throt10047	-0.131660593243167	0	0.0305792325637498
Throt10048	-0.206976624663694	0.00986471990206237	0.119838639106613
Throt10049	-0.118470196087167	0	0.0175451324718535
Throt1005	0.0100073319789602	0	0
Throt10050	nan	nan	nan
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	-0.118470196087167	0	0.0175451324718535
Throt10055	-0.153953781188874	0	0.000545278516682894
Throt10056	-0.122615747826949	4.49815812659965e-07	0.000313084166729471
Throt10057	0.111623797210499	0	0
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	nan	nan	nan
Throt10061	-0.118470196087167	0	0.0175451324718535
Throt10062	nan	nan	nan
Throt10063	nan	nan	nan
Throt10064	-0.118470196087167	0	0.0175451324718535
Throt10065	-0.118470196087167	0	0.0175451324718535
Throt10066	nan	nan	nan
Throt10067	nan	nan	nan
Throt10068	0.221697070652067	0	0
Throt10069	-0.183346051510922	0.000238891791173378	0.0530076006492453
Throt1007	0.661331227641188	0.196679063900956	0
Throt10070	0.230647238196394	0.132954247088264	0.00941111930067613
Throt10071	nan	nan	nan
Throt10072	nan	nan	nan
Throt10073	nan	nan	nan
Throt10074	nan	nan	nan
Throt10075	0.0713364486146244	0	0
Throt10076	-0.118470196087167	0	0.0175451324718535
Throt10077	-0.118470196087167	0	0.0175451324718535
Throt10078	-0.0367400368633924	0	0
Throt10079	-0.118470196087167	0	0.0175451324718535
Throt1008	0.141339167026934	0.0437771038208303	0
Throt10080	nan	nan	nan
Throt10081	-0.467655820002557	0.00259400664153237	0.296559350919699
Throt10082	-0.467655820002557	0.00259400664153237	0.296559350919699
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	-0.0339058869783553	0.00111620709933099	0.00237385218834307
Throt10089	-0.118470196087167	0	0.0175451324718535
Throt1009	-0.629152293047875	0.000697749242856206	0.427961029017712
Throt10090	0.0515249044804353	0	0
Throt10091	-0.118470196087167	0	0.0175451324718535
Throt10092	-0.770441885348474	0.000139573180825443	0.560700942270764
Throt10093	-0.118470196087167	0	0.0175451324718535
Throt10094	-0.629152293047875	0.000697749242856206	0.427961029017712
Throt10095	0.141339167026934	0.0437771038208303	0
Throt10096	0.230647238196394	0.132954247088264	0.00941111930067613
Throt10097	nan	nan	nan
Throt10098	nan	nan	nan
Throt10099	nan	nan	nan
Throt101	0.963433405479555	0.999928547134937	0
Throt1010	0.0363577102190033	0	0
Throt10100	nan	nan	nan
Throt10101	0.0928041155322421	0	0
Throt10102	0.141339167026934	0.0437771038208303	0
Throt10103	nan	nan	nan
Throt10104	-0.382245570412854	0.0052836941646793	0.222872104854439
Throt10105	-0.206976624663694	0.00986471990206237	0.119838639106613
Throt10106	nan	nan	nan
Throt10107	-0.0426847556407797	0	0
Throt10108	nan	nan	nan
Throt10109	nan	nan	nan
Throt1011	-0.118470196087167	0	0.0175451324718535
Throt10110	nan	nan	nan
Throt10111	0.326441589976183	0.00678279348183966	0
Throt10112	nan	nan	nan
Throt10113	0.0460889505626214	0	0
Throt10114	0.221809149291553	0.124402489063153	0.00761848546056228
Throt10115	0.60534194741377	0.226489513995893	0
Throt10116	0.141339167026934	0.0437771038208303	0
Throt10117	-0.0499693521103623	0	0
Throt10118	-0.363522097439586	0.00278304158478332	0.198388957064024
Throt10119	nan	nan	nan
Throt1012	0.157259376369703	0	0
Throt10120	nan	nan	nan
Throt10121	0.0515249044804353	0	0
Throt10122	0.115042416630893	0	0
Throt10123	-0.118470196087167	0	0.0175451324718535
Throt10124	nan	nan	nan
Throt10125	nan	nan	nan
Throt10126	nan	nan	nan
Throt10127	0.230647238196394	0.132954247088264	0.00941111930067613
Throt10128	0.141339167026934	0.0437771038208303	0
Throt10129	0.379769877946442	0.173576988034563	0.000421400961914949
Throt1013	0.17002069527862	0.076539792233049	0
Throt10130	nan	nan	nan
Throt10131	0.141339167026934	0.0437771038208303	0
Throt10132	nan	nan	nan
Throt10133	-0.0367400368633924	0	0
Throt10134	0.0515249044804353	0	0
Throt10135	-0.118470196087167	0	0.0175451324718535
Throt10136	-0.0367400368633924	0	0
Throt10137	-0.118470196087167	0	0.0175451324718535
Throt10138	nan	nan	nan
Throt10139	nan	nan	nan
Throt1014	0.701500057316234	0.539371791768345	0
Throt10140	-0.118470196087167	0	0.0175451324718535
Throt10141	-0.206976624663694	0.00986471990206237	0.119838639106613
Throt10142	0.456782948129712	0.279280514350892	0.00154495347349283
Throt10143	nan	nan	nan
Throt10144	nan	nan	nan
Throt10145	0.0515249044804353	0	0
Throt10146	0.20260071519408	0.105027325988233	0.00356395278172361
Throt10147	-0.118470196087167	0	0.0175451324718535
Throt10148	-0.295112408925677	0.00878230740923803	0.170786071673345
Throt10149	-0.293427726355573	0.00692397101843937	0.161179169123481
Throt1015	0.302601878598772	0.173546354674965	0.00761606486820618
Throt10150	nan	nan	nan
Throt10151	0.178512870406328	0.0344398250476669	0.000816360774483391
Throt10152	-0.118470196087167	0	0.0175451324718535
Throt10153	-0.206976624663694	0.00986471990206237	0.119838639106613
Throt10154	0.408850724287263	0.222322683336436	0.00150831061906935
Throt10155	-0.118470196087167	0	0.0175451324718535
Throt10156	-0.118470196087167	0	0.0175451324718535
Throt10157	0.31555188739223	0.184301219949864	0.00766275253689971
Throt10158	nan	nan	nan
Throt10159	nan	nan	nan
Throt1016	nan	nan	nan
Throt10160	0.396702785392529	0.232286049353948	0.00460096283349903
