Quad	Sample	Percent	StandardDev
L1	S1	0.0291663422231	0.0161782358164
L1	S2	0.0450204399455	0.00789027811524
L1	S3	0.0310531438583	0.0198300888548
L1	S4	0.0638762896632	0.0259596303302
L1	S5	0.0465933424178	0.0385311324262
L1	C	0.0156677048861	0.0124679067089
L2	S1	0.100374245669	0.0203090303984
L2	S2	0.886739342028	0.0100321602848
L2	S3	0.0588631496983	0.0210284591652
L2	S4	0.615635098306	0.0596117170232
L2	S5	0.131020050613	0.0542357922759
L2	C	0.0129384854974	0.00967894841133
L3	S1	0.0947007007981	0.0321053432265
L3	S2	0.0327272727273	0.00888193092352
L3	S3	0.115985984037	0.0441431501968
L3	S4	0.122840665758	0.0622489718891
L3	S5	0.196778275258	0.0787436423607
L3	C	0.0996953474791	0.0378442690541
L4	S1	0.77575871131	0.0296653276081
L4	S2	0.0355129452988	0.00636403533039
L4	S3	0.794097722406	0.0435850208033
L4	S4	0.197647946272	0.031548060189
L4	S5	0.625608331711	0.0688744380339
L4	C	0.871698462137	0.0386517186628
