Quad	Sample	Percent	StandardDev
L1	S1	0.123291505792	0.0508680887747
L1	S2	0.0442631917632	0.0235817637315
L1	S3	0.166647361647	0.117348441236
L1	S4	0.206106821107	0.0863727838471
L1	S5	0.138758043758	0.0862573742474
L1	C	0.0922586872587	0.0998723428593
L2	S1	0.496721364221	0.0483648036219
L2	S2	0.251875804376	0.0205040327285
L2	S3	0.230842985843	0.108709081988
L2	S4	0.351743886744	0.0519671609526
L2	S5	0.381126126126	0.0427883272459
L2	C	0.121833976834	0.0547795248464
L3	S1	0.063638996139	0.0292334132034
L3	S2	0.109964607465	0.0298489060209
L3	S3	0.174948519949	0.0827934117335
L3	S4	0.109066924067	0.0627102516916
L3	S5	0.102593307593	0.0423419271944
L3	C	0.180675675676	0.0706695181205
L4	S1	0.316348133848	0.0332114539539
L4	S2	0.593896396396	0.0320412455001
L4	S3	0.427561132561	0.0938495667557
L4	S4	0.333082368082	0.0932322242535
L4	S5	0.377522522523	0.0860368087628
L4	C	0.605231660232	0.109397757368
