gID	S1	S2	S3	S4	S5	A	B	C	D	E
K01365	52.766777	842.116608	65.612840	76.887286	45.757397	98.310301	23.812711	19.082605	113.954237	14.874374
K14301	11.674066	39.686471	4.864214	6.077002	2.433904	7.282245	5.470488	7.256765	5.157412	1.565724
K14306	12.074319	34.213443	4.323746	3.434827	1.460342	7.767727	1.608967	0.537538	7.122140	0.000000
K14309	60.304888	112.519847	26.699129	12.418221	4.381027	21.846734	9.975595	7.794303	18.173736	10.960065
K14308	12.274446	25.007529	4.648027	4.491697	0.811301	3.883864	2.252554	1.343845	4.420638	3.653355
K08568	40.725812	366.468356	35.670902	40.953709	17.848630	59.714405	8.688422	10.750763	51.574116	10.438157
K04640	12.874827	40.219741	9.187959	7.662307	2.109384	14.564489	6.114074	5.644151	16.945781	4.175263
K01652	270.804970	57.284362	292.393299	29.856575	33.263356	164.093243	110.696927	110.195325	166.510716	129.433151
K04646	14.008879	654.630308	14.160267	97.496249	15.414726	100.737716	31.857546	35.477519	109.779189	29.226840
K04649	2.868485	29.666620	1.189030	2.642175	0.649041	3.398381	0.321793	0.268769	3.192683	0.000000
K04648	7.571465	90.711934	7.458461	8.719177	4.056507	28.886237	2.574347	5.106613	28.979741	4.436217
K04083	74.380476	7.521905	30.266220	1.849522	3.569726	25.002373	9.975595	12.632147	13.507506	16.701052
K04082	0.500317	4.013554	0.108094	0.528435	0.000000	0.485483	0.965380	0.000000	0.000000	0.260954
K00509	7.104503	87.315850	10.485083	3.963262	2.596164	13.350782	4.505108	5.106613	22.594374	3.653355
K15542	22.947878	102.163193	5.837057	10.040264	1.784863	15.292713	3.539727	0.806307	17.682554	2.609539
K15544	4.702981	24.025191	0.972843	1.321087	0.000000	4.126605	0.000000	1.075076	4.175047	0.260954
K00507	91.357903	201.182904	71.990365	88.512855	34.885959	138.605387	19.307604	19.082605	108.305643	15.918190
K01101	14.475841	66.518343	32.644280	54.957235	8.924315	25.973339	15.446083	6.450458	28.488559	7.567664
K01100	37.890682	20.601040	13.835986	2.113740	1.947123	5.097571	2.252554	2.956460	8.595686	2.870493
K01103	17.811289	46.310239	2.702341	12.418221	0.649041	2.912898	0.643587	0.806307	2.701501	0.521908
K00981	6.237287	25.484665	1.513311	3.434827	0.811301	2.670156	1.287174	0.806307	4.666230	1.304770
K13071	6.170578	34.522178	3.242809	10.832917	2.596164	2.184673	0.000000	3.225229	4.175047	0.521908
K13076	32.020294	95.427159	16.754514	14.531961	10.222397	32.527359	7.401248	5.644151	38.557791	6.523848
K02922	750.675778	91.273271	355.303798	62.883759	58.413698	150.985203	127.108390	123.096241	193.280138	201.978344
K02923	242.186831	33.287238	121.281065	12.946656	14.603425	60.199888	49.234389	61.010583	62.625712	62.889898
K14549	107.201278	12.237130	133.387553	3.963262	9.086575	55.345058	45.051075	51.603665	51.328525	69.674700
K02921	1111.737953	124.644709	461.451754	66.054369	61.821164	234.731015	221.715648	166.905602	245.591027	279.742616
K02926	65.608249	49.650189	27.347691	6.605437	5.841370	19.176577	8.688422	10.750763	18.664918	8.872434
K02927	720.323208	133.233154	308.499252	60.241585	51.436506	175.016610	123.890456	114.495631	187.877136	166.488609
K02924	173.443262	32.978503	86.258726	13.475091	11.033699	38.838637	35.397273	39.777825	41.013702	31.575426
K02925	1478.870642	173.284493	830.699632	110.707123	111.797328	386.444442	304.094757	321.447827	354.142261	370.032677
K17969	11.907547	50.211526	18.916387	6.341219	7.139452	102.679648	9.332008	16.394914	151.529664	20.354407
K02929	785.664621	119.396216	431.293628	71.338719	74.315205	216.039920	212.383640	189.213437	210.717101	214.765087
K14545	75.781364	19.955503	98.581401	3.170610	6.328151	44.907174	44.085695	42.465516	41.504884	55.583188
K14544	465.728512	33.399506	704.338165	8.454959	51.598767	265.801924	146.415994	199.964200	256.642623	273.479722
K00215	27.917694	3.452218	58.911034	2.113740	5.354589	53.888609	46.016455	32.789828	64.344849	68.369930
K00213	7.738238	23.042852	2.053779	10.040264	2.758425	8.010469	0.643587	1.343845	10.069232	1.565724
K03978	73.880159	15.043811	24.969631	1.585305	0.649041	7.524986	4.183314	4.031536	3.683865	4.697171
K00218	209.199257	33.203038	23.996788	55.485670	2.109384	7.524986	2.896141	2.418922	9.086868	1.565724
K04512	0.100063	9.486582	0.432375	0.792652	0.000000	2.670156	0.000000	0.000000	0.245591	0.000000
K01749	311.897681	134.215492	81.502605	85.606462	15.414726	14.079006	11.262769	18.276298	39.048973	18.005821
K09522	222.641110	30.845426	254.668618	9.247612	21.093835	123.069932	96.859811	113.151785	125.251424	132.042690
K01586	413.061799	17.401423	148.088288	25.893313	24.825822	127.439279	59.209984	63.698273	107.077688	86.897660
K01581	246.789749	323.947137	305.364536	17.174136	31.153972	294.930902	128.395564	152.392072	231.837930	158.138083
