KEGG_ID	S1	S2	S3	S4	S5	A	B	C	D	E
Sterol biosynthesis	1190	10722	342	163	105	121	48	46	169	38		7	34	0	0	0	0	0	0	16	8
Glycosaminoglycan metabolism	1998	24861	934	343	168	439	175	107	650	252		48	57	34	0	13	7	6	6	14	6
Cofactor and vitamin biosynthesis	77098	107947	37429	55304	21153	8028	3072	3438	7316	3472		3323	2728	10033	24231	10333	2186	992	1018	1355	991
Purine metabolism	70	1531	18	38	7	6	0	0	6	0		0	10	0	0	0	0	0	0	2	1
Fatty acid metabolism	2698	2016	174	53	32	524	158	168	277	127		3	10	0	1	3	0	8	4	7	4
Spliceosome	7636	7462	1255	101	269	289	142	167	352	304		2234	1453	1295	909	793	2534	587	605	1690	792
Phosphate and amino acid transport system	32613	35939	3097	1166	504	1066	263	326	1018	436		9622	7447	6339	3812	3424	10784	2898	2955	6997	3678
Ribosome	34898	12924	4854	270	498	1236	749	936	1374	1318		137	133	184	16	40	49	49	45	28	67
Glycan metabolism	5017	62994	2270	705	418	1290	501	275	1657	690		46	134	24	0	17	21	23	21	27	4
Phenylpropanoid and flavonoid biosynthesis	9353	13851	2924	100	213	1241	408	580	975	614		10	16	16	3	5	3	3	2	5	4
Unknown	19069170	24774477	4924473	2329270	3224036	2397620	1608261	1715730	2473196	1756400		13647313	6262913	6186621	3238772	4896573	4831878	2982212	3242046	3113205	3191373
Aromatics degradation	61132	45485	14137	19096	7248	2957	1056	1204	2607	1207		1148	859	3256	8049	3370	701	287	291	442	299
Polyamine biosynthesis	20253	26698	6559	171	435	2662	896	1288	2072	1382		12	31	31	6	11	6	6	5	5	8
Phosphotransferase system (PTS)	187052	230524	115843	180924	77327	22649	8905	10849	21573	10822		19814	18271	19982	26685	11430	5819	1873	2104	4706	1740
Other terpenoid biosynthesis	1307	2511	119	56	24	120	90	84	206	101		2	8	0	1	2	6	2	0	4	0
Methane metabolism	35292	52398	5625	2390	771	1401	458	625	1656	692		130	197	110	70	47	42	19	16	44	18
Carbon fixation	304646	291279	176036	270750	117400	33284	13105	16422	32316	16181		31024	28591	27410	30898	13021	8342	2422	2766	6953	2208
ABC-2 type and other transport systems	33910	51558	6613	976	1437	2287	1106	1068	2480	1184		3773	3670	3634	1816	2815	3406	1451	1781	2505	1833
DNA polymerase	5156	3771	67	134	24	43	3	23	62	8		7	5	0	4	1	0	1	0	2	1
Replication system	19367	7727	3171	318	296	597	172	257	529	377		58	49	67	7	9	18	15	20	7	19
Other carbohydrate metabolism	44113	37328	12424	18562	7110	3013	1101	1237	2725	1325		2059	3313	5008	8342	3807	1720	1172	1125	825	1110
Two-component regulatory system	104079	78380	10605	1500	1825	2799	1058	1589	3095	1815		23343	18125	17540	9241	10265	27898	7743	8219	15515	8049
Proteasome	28281	69524	4977	3427	589	1376	446	581	1862	488		110	193	120	82	52	44	21	9	53	14
Pyrimidine metabolism	6420	3617	1738	71	118	377	195	221	297	374		31	9	7	1	7	2	0	0	3	6
Nucleotide sugar	334	3230	124	34	32	30	18	16	48	12		0	0	0	0	0	0	0	0	0	0
Branched-chain amino acid metabolism	19750	8199	1863	280	189	494	216	239	478	366		59	32	20	8	12	10	0	10	10	6
Nitrogen metabolism	32327	6212	3315	293	632	1235	473	648	1066	842		40169	24431	24910	15592	14655	50781	11118	11485	27894	11476
Aromatic amino acid metabolism	25774	15853	4024	542	778	1289	426	510	1148	699		120	176	143	52	109	49	42	61	76	61
Bacterial secretion system	8614	13537	1060	327	209	545	122	152	453	125		53	64	47	4	12	26	15	10	25	2
Saccharide and polyol transport system	8500	48207	2809	666	581	1393	515	561	1969	491		853	1359	1233	448	1036	478	473	619	470	541
Serine and threonine metabolism	7250	1665	2124	123	247	684	278	290	454	504		11	9	12	1	6	5	1	3	5	0
Sulfur metabolism	8338	9259	1475	93	180	561	318	386	711	507		54	102	49	0	16	17	20	18	9	10
Metabolic capacity	458	17388	445	161	282	816	345	317	1081	369		120	348	156	41	108	73	94	103	64	59
